"Row.names","cohort","dam_cage","diet","treatment","diet_treatment","sex","age","timepoint","Sample_or_control","Chao1","se.chao1","Shannon","Simpson"
"101w10","cohort1","105","Control","Vehicle","Control Vehicle","Female","pup","week 10","Sample",246,0.0712832435640251,4.05156110007775,0.96685671699067
"101w5","cohort1","105","Control","Vehicle","Control Vehicle","Female","pup","week 5","Sample",202.111111111111,0.409646898081791,3.23851053723167,0.900890935924074
"102w10","cohort1","105","Control","Vehicle","Control Vehicle","Female","pup","week 10","Sample",176,0,3.76317195292967,0.959187160799236
"102w5","cohort1","105","Control","Vehicle","Control Vehicle","Female","pup","week 5","Sample",195.2,0.621373412717978,3.49900634697568,0.931978358827357
"103w10","cohort1","105","Control","Vehicle","Control Vehicle","Male","pup","week 10","Sample",214,2.58577163594758,4.01632382253952,0.961201455105277
"103w5","cohort1","105","Control","Vehicle","Control Vehicle","Male","pup","week 5","Sample",126,0.166003973518666,2.96613549335263,0.89804319477396
"104dam","cohort1","104","Control","Vehicle","Control Vehicle","Female","dam","dam","Sample",131,0,3.4168999886273,0.91163321572354
"104w10","cohort1","105","Control","Vehicle","Control Vehicle","Male","pup","week 10","Sample",199,0.0623427670465073,3.37891215180087,0.928493137360589
"104w5","cohort1","105","Control","Vehicle","Control Vehicle","Male","pup","week 5","Sample",156.75,1.42313920939947,3.0758595986595,0.896957933446013
"105dam","cohort1","105","Control","Vehicle","Control Vehicle","Female","dam","dam","Sample",237,0,4.12924623167584,0.95253199421566
"105w10","cohort1","105","Control","Vehicle","Control Vehicle","Male","pup","week 10","Sample",193.25,1.73256823262701,3.17242337915734,0.892355834599526
"105w5","cohort1","105","Control","Vehicle","Control Vehicle","Male","pup","week 5","Sample",169.333333333333,0.925666338648254,2.88982269565027,0.851998186708664
"106dam","cohort1","106","HFHS","FOS+GOS","HFHS FOS+GOS","Female","dam","dam","Sample",141,0.249111897726007,3.53980932323978,0.93218266951299
"106w10","cohort1","105","Control","Vehicle","Control Vehicle","Male","pup","week 10","Sample",257.25,0.736606498659788,3.28003227071564,0.889254961399225
"106w5","cohort1","105","Control","Vehicle","Control Vehicle","Male","pup","week 5","Sample",148.333333333333,0.925577129476861,2.94708376488751,0.886703509583567
"107dam","cohort1","107","HFHS","Vehicle","HFHS Vehicle","Female","dam","dam","Sample",190.5,1.29790109179956,4.0778568350218,0.956549085964549
"109w10","cohort1","110","HFHS","Vehicle","HFHS Vehicle","Male","pup","week 10","Sample",219.5,2.23179007950966,3.38569961247045,0.924192650250981
"109w5","cohort1","110","HFHS","Vehicle","HFHS Vehicle","Male","pup","week 5","Sample",172.25,0.73647933111011,3.57595411499523,0.94261642472552
"110dam","cohort1","110","HFHS","Vehicle","HFHS Vehicle","Female","dam","dam","Sample",247.5,2.59632607561321,4.52081151777839,0.978445392418437
"110w10","cohort1","110","HFHS","Vehicle","HFHS Vehicle","Male","pup","week 10","Sample",264.142857142857,0.48692085896379,3.37358812064573,0.930454714147145
"110w5","cohort1","110","HFHS","Vehicle","HFHS Vehicle","Male","pup","week 5","Sample",229,0.249453551259163,3.96725750495018,0.955012225401104
"111dam","cohort1","111","HFHS","B. longum APC1472","HFHS B. longum APC1472","Female","dam","dam","Sample",133,0,3.19862883485859,0.89585111029289
"113dam","cohort4","113","Control","Vehicle","Control Vehicle","Female","dam","dam","Sample",177,0.16619519000309,3.75705144212477,0.934705225862445
"113w10","cohort1","104","Control","Vehicle","Control Vehicle","Female","pup","week 10","Sample",281.75,1.42345380903307,4.18607457219641,0.972738083551857
"113w5","cohort1","104","Control","Vehicle","Control Vehicle","Female","pup","week 5","Sample",202,0.124690210180477,3.69144574692107,0.941795621218837
"114dam","cohort3","114","HFHS","FOS+GOS","HFHS FOS+GOS","Female","dam","dam","Sample",129,0,2.81044208420399,0.843932291793299
"115dam","cohort1","115","HFHS","B. longum APC1472","HFHS B. longum APC1472","Female","dam","dam","Sample",202,0.124690210180477,3.79303261613254,0.934091092437439
"115w10","cohort1","104","Control","Vehicle","Control Vehicle","Female","pup","week 10","Sample",127,0,3.99679221403199,0.971256903777496
"115w5repeat","cohort1","104","Control","Vehicle","Control Vehicle","Female","pup","week 5","Sample",108,0.248839900932902,3.63497639083814,0.953014175076699
"116dam","cohort4","116","HFHS","B. longum APC1472","HFHS B. longum APC1472","Female","dam","dam","Sample",233,0.249462942451684,4.31908398728948,0.971296275685391
"116w10","cohort1","104","Control","Vehicle","Control Vehicle","Male","pup","week 10","Sample",214,0.124707601938729,3.70187734587216,0.94675838057424
"116w5","cohort1","104","Control","Vehicle","Control Vehicle","Male","pup","week 5","Sample",170,7.39077326209949,3.84502643571494,0.958747871020938
"117dam","cohort2","117","Control","Vehicle","Control Vehicle","Female","dam","dam","Sample",214,0,3.8292043879332,0.922062790079642
"117w10","cohort1","104","Control","Vehicle","Control Vehicle","Male","pup","week 10","Sample",164,0.0996946557757431,4.0259466883833,0.968207137959184
"117w5","cohort1","104","Control","Vehicle","Control Vehicle","Male","pup","week 5","Sample",124,0,3.36941666500595,0.921677922322949
