"metric","test",".y..x","group1","group2","n1.x","n2.x","statistic","p","p.adj","p.adj.signif",".y..y","effsize","n1.y","n2.y","magnitude"
"Simpson","Wilcoxon rank-sum","Simpson","Control Vehicle","HFHS Vehicle",7,7,0,0.000583,0.003,"**","Simpson",0.836660026534076,7,7,"large"
"Simpson","Wilcoxon rank-sum","Simpson","Control Vehicle","HFHS FOS+GOS",7,7,32,0.383,0.46,"ns","Simpson",0.256120416285941,7,7,"small"
"Simpson","Wilcoxon rank-sum","Simpson","Control Vehicle","HFHS B. longum APC1472",7,7,22,0.805,0.805,"ns","Simpson",0.0853734720953138,7,7,"small"
"Simpson","Wilcoxon rank-sum","Simpson","HFHS Vehicle","HFHS FOS+GOS",7,7,45,0.007,0.021,"*","Simpson",0.700062471181573,7,7,"large"
"Simpson","Wilcoxon rank-sum","Simpson","HFHS Vehicle","HFHS B. longum APC1472",7,7,33,0.318,0.46,"ns","Simpson",0.290269805124067,7,7,"small"
"Simpson","Wilcoxon rank-sum","Simpson","HFHS FOS+GOS","HFHS B. longum APC1472",7,7,15,0.259,0.46,"ns","Simpson",0.324419193962193,7,7,"moderate"
"Shannon","Wilcoxon rank-sum","Shannon","Control Vehicle","HFHS Vehicle",7,7,6,0.018,0.053,"ns","Shannon",0.631763693505322,7,7,"large"
"Shannon","Wilcoxon rank-sum","Shannon","Control Vehicle","HFHS FOS+GOS",7,7,40,0.053,0.08,"ns","Shannon",0.529315526990946,7,7,"large"
"Shannon","Wilcoxon rank-sum","Shannon","Control Vehicle","HFHS B. longum APC1472",7,7,20,0.62,0.62,"ns","Shannon",0.153672249771565,7,7,"small"
"Shannon","Wilcoxon rank-sum","Shannon","HFHS Vehicle","HFHS FOS+GOS",7,7,45,0.007,0.042,"*","Shannon",0.700062471181573,7,7,"large"
"Shannon","Wilcoxon rank-sum","Shannon","HFHS Vehicle","HFHS B. longum APC1472",7,7,34,0.259,0.311,"ns","Shannon",0.324419193962193,7,7,"moderate"
"Shannon","Wilcoxon rank-sum","Shannon","HFHS FOS+GOS","HFHS B. longum APC1472",7,7,9,0.053,0.08,"ns","Shannon",0.529315526990946,7,7,"large"
"Chao1","Wilcoxon rank-sum","Chao1","Control Vehicle","HFHS Vehicle",7,7,19.5,0.565,0.678,"ns","Chao1",0.170934888049604,7,7,"small"
"Chao1","Wilcoxon rank-sum","Chao1","Control Vehicle","HFHS FOS+GOS",7,7,43,0.018,0.05,"ns","Chao1",0.631763693505322,7,7,"large"
"Chao1","Wilcoxon rank-sum","Chao1","Control Vehicle","HFHS B. longum APC1472",7,7,28,0.71,0.71,"ns","Chao1",0.119522860933439,7,7,"small"
"Chao1","Wilcoxon rank-sum","Chao1","HFHS Vehicle","HFHS FOS+GOS",7,7,45,0.007,0.042,"*","Chao1",0.700062471181573,7,7,"large"
"Chao1","Wilcoxon rank-sum","Chao1","HFHS Vehicle","HFHS B. longum APC1472",7,7,31,0.456,0.678,"ns","Chao1",0.221971027447816,7,7,"small"
"Chao1","Wilcoxon rank-sum","Chao1","HFHS FOS+GOS","HFHS B. longum APC1472",7,7,6.5,0.025,0.05,"ns","Chao1",0.615365596978576,7,7,"large"
