"metric","test","sex","timepoint",".y..x","group1","group2","n1.x","n2.x","statistic","p","p.adj","p.adj.signif",".y..y","effsize","n1.y","n2.y","magnitude"
"Simpson","Wilcoxon rank-sum","Female","week 5","Simpson","Control Vehicle","HFHS Vehicle",12,12,48,0.178,0.534,"ns","Simpson",0.282842712474619,12,12,"small"
"Simpson","Wilcoxon rank-sum","Female","week 5","Simpson","Control Vehicle","HFHS FOS+GOS",12,12,59,0.478,0.689,"ns","Simpson",0.153206469257085,12,12,"small"
"Simpson","Wilcoxon rank-sum","Female","week 5","Simpson","Control Vehicle","HFHS B. longum APC1472",12,13,49,0.123,0.534,"ns","Simpson",0.315478410067844,12,13,"moderate"
"Simpson","Wilcoxon rank-sum","Female","week 5","Simpson","HFHS Vehicle","HFHS FOS+GOS",12,12,79,0.713,0.713,"ns","Simpson",0.0824957911384306,12,12,"small"
"Simpson","Wilcoxon rank-sum","Female","week 5","Simpson","HFHS Vehicle","HFHS B. longum APC1472",12,13,67,0.574,0.689,"ns","Simpson",0.119664224508493,12,13,"small"
"Simpson","Wilcoxon rank-sum","Female","week 5","Simpson","HFHS FOS+GOS","HFHS B. longum APC1472",12,13,64,0.47,0.689,"ns","Simpson",0.152299922101718,12,13,"small"
"Simpson","Wilcoxon rank-sum","Female","week 10","Simpson","Control Vehicle","HFHS Vehicle",12,12,69,0.887,0.887,"ns","Simpson",0.0353553390593274,12,12,"small"
"Simpson","Wilcoxon rank-sum","Female","week 10","Simpson","Control Vehicle","HFHS FOS+GOS",12,12,127,0.000858,0.005,"**","Simpson",0.648181216087669,12,12,"large"
"Simpson","Wilcoxon rank-sum","Female","week 10","Simpson","Control Vehicle","HFHS B. longum APC1472",12,13,113,0.06,0.09,"ns","Simpson",0.380749805254295,12,13,"moderate"
"Simpson","Wilcoxon rank-sum","Female","week 10","Simpson","HFHS Vehicle","HFHS FOS+GOS",12,12,119,0.006,0.017,"*","Simpson",0.553900311929462,12,12,"large"
"Simpson","Wilcoxon rank-sum","Female","week 10","Simpson","HFHS Vehicle","HFHS B. longum APC1472",12,13,110,0.087,0.104,"ns","Simpson",0.34811410766107,12,13,"moderate"
"Simpson","Wilcoxon rank-sum","Female","week 10","Simpson","HFHS FOS+GOS","HFHS B. longum APC1472",12,13,42,0.052,0.09,"ns","Simpson",0.391628371118703,12,13,"moderate"
"Simpson","Wilcoxon rank-sum","Male","week 5","Simpson","Control Vehicle","HFHS Vehicle",12,12,51,0.242,0.405,"ns","Simpson",0.247487373415292,12,12,"small"
"Simpson","Wilcoxon rank-sum","Male","week 5","Simpson","Control Vehicle","HFHS FOS+GOS",12,13,38,0.03,0.179,"ns","Simpson",0.435142634576337,12,13,"moderate"
"Simpson","Wilcoxon rank-sum","Male","week 5","Simpson","Control Vehicle","HFHS B. longum APC1472",12,12,49,0.198,0.405,"ns","Simpson",0.271057599454843,12,12,"small"
"Simpson","Wilcoxon rank-sum","Male","week 5","Simpson","HFHS Vehicle","HFHS FOS+GOS",12,13,57,0.27,0.405,"ns","Simpson",0.228449883152577,12,13,"small"
"Simpson","Wilcoxon rank-sum","Male","week 5","Simpson","HFHS Vehicle","HFHS B. longum APC1472",12,12,67,0.799,0.799,"ns","Simpson",0.058925565098879,12,12,"small"
