"timepoint","sex",".y..x","group1","group2","n1.x","n2.x","statistic","p","p.adj","p.adj.signif","group_comparison","formatted_p_value",".y..y","effsize","n1.y","n2.y","magnitude"
"week 5","Female","ratio_pups","Control Vehicle","HFHS Vehicle",12,12,13,0.000274,0.000822,"***","Control Vehicle vs HFHS Vehicle","8.22e-04","ratio_pups",0.695321668166772,12,12,"large"
"week 5","Female","ratio_pups","Control Vehicle","HFHS FOS+GOS",12,12,102,0.089,0.098,"ns","Control Vehicle vs HFHS FOS+GOS","9.80e-02","ratio_pups",0.353553390593274,12,12,"moderate"
"week 5","Female","ratio_pups","Control Vehicle","HFHS B. longum APC1472",12,13,42,0.052,0.078,"ns","Control Vehicle vs HFHS B. longum APC1472","7.80e-02","ratio_pups",0.391628371118703,12,13,"moderate"
"week 5","Female","ratio_pups","HFHS Vehicle","HFHS FOS+GOS",12,12,138,2.22e-05,0.000133,"***","HFHS Vehicle vs HFHS FOS+GOS","1.33e-04","ratio_pups",0.777817459305203,12,12,"large"
"week 5","Female","ratio_pups","HFHS Vehicle","HFHS B. longum APC1472",12,13,109,0.098,0.098,"ns","HFHS Vehicle vs HFHS B. longum APC1472","9.80e-02","ratio_pups",0.337235541796661,12,13,"moderate"
"week 5","Female","ratio_pups","HFHS FOS+GOS","HFHS B. longum APC1472",12,13,17,0.000451,0.000902,"***","HFHS FOS+GOS vs HFHS B. longum APC1472","9.02e-04","ratio_pups",0.663592517728914,12,13,"large"
"week 10","Female","ratio_pups","Control Vehicle","HFHS Vehicle",12,12,38,0.052,0.078,"ns","Control Vehicle vs HFHS Vehicle","7.80e-02","ratio_pups",0.400693842672377,12,12,"moderate"
"week 10","Female","ratio_pups","Control Vehicle","HFHS FOS+GOS",12,12,123,0.002,0.007,"**","Control Vehicle vs HFHS FOS+GOS","7.00e-03","ratio_pups",0.601040764008566,12,12,"large"
"week 10","Female","ratio_pups","Control Vehicle","HFHS B. longum APC1472",12,13,83,0.81,0.81,"ns","Control Vehicle vs HFHS B. longum APC1472","8.10e-01","ratio_pups",0.0543928293220421,12,13,"small"
"week 10","Female","ratio_pups","HFHS Vehicle","HFHS FOS+GOS",12,12,131,0.000274,0.002,"**","HFHS Vehicle vs HFHS FOS+GOS","2.00e-03","ratio_pups",0.695321668166772,12,12,"large"
"week 10","Female","ratio_pups","HFHS Vehicle","HFHS B. longum APC1472",12,13,109,0.098,0.117,"ns","HFHS Vehicle vs HFHS B. longum APC1472","1.17e-01","ratio_pups",0.337235541796661,12,13,"moderate"
"week 10","Female","ratio_pups","HFHS FOS+GOS","HFHS B. longum APC1472",12,13,40,0.04,0.078,"ns","HFHS FOS+GOS vs HFHS B. longum APC1472","7.80e-02","ratio_pups",0.41338550284752,12,13,"moderate"
"week 5","Male","ratio_pups","Control Vehicle","HFHS Vehicle",12,12,35,0.033,0.066,"ns","Control Vehicle vs HFHS Vehicle","6.60e-02","ratio_pups",0.436049181731704,12,12,"moderate"
"week 5","Male","ratio_pups","Control Vehicle","HFHS FOS+GOS",12,13,22,0.002,0.009,"**","Control Vehicle vs HFHS FOS+GOS","9.00e-03","ratio_pups",0.609199688406872,12,13,"large"
"week 5","Male","ratio_pups","Control Vehicle","HFHS B. longum APC1472",12,12,30,0.015,0.044,"*","Control Vehicle vs HFHS B. longum APC1472","4.40e-02","ratio_pups",0.494974746830583,12,12,"moderate"
"week 5","Male","ratio_pups","HFHS Vehicle","HFHS FOS+GOS",12,13,70,0.689,0.713,"ns","HFHS Vehicle vs HFHS FOS+GOS","7.13e-01","ratio_pups",0.0870285269152674,12,13,"small"
"week 5","Male","ratio_pups","HFHS Vehicle","HFHS B. longum APC1472",12,12,65,0.713,0.713,"ns","HFHS Vehicle vs HFHS B. longum APC1472","7.13e-01","ratio_pups",0.0824957911384306,12,12,"small"
"week 5","Male","ratio_pups","HFHS FOS+GOS","HFHS B. longum APC1472",13,12,66,0.538,0.713,"ns","HFHS FOS+GOS vs HFHS B. longum APC1472","7.13e-01","ratio_pups",0.130542790372901,13,12,"small"
"week 10","Male","ratio_pups","Control Vehicle","HFHS Vehicle",12,12,63,0.63,0.856,"ns","Control Vehicle vs HFHS Vehicle","8.56e-01","ratio_pups",0.106066017177982,12,12,"small"
"week 10","Male","ratio_pups","Control Vehicle","HFHS FOS+GOS",12,13,96,0.347,0.694,"ns","Control Vehicle vs HFHS FOS+GOS","6.94e-01","ratio_pups",0.195814185559352,12,13,"small"
"week 10","Male","ratio_pups","Control Vehicle","HFHS B. longum APC1472",12,12,75,0.887,0.887,"ns","Control Vehicle vs HFHS B. longum APC1472","8.87e-01","ratio_pups",0.0353553390593274,12,12,"small"
"week 10","Male","ratio_pups","HFHS Vehicle","HFHS FOS+GOS",12,13,111,0.077,0.461,"ns","HFHS Vehicle vs HFHS FOS+GOS","4.61e-01","ratio_pups",0.358992673525478,12,13,"moderate"
"week 10","Male","ratio_pups","HFHS Vehicle","HFHS B. longum APC1472",12,12,79,0.713,0.856,"ns","HFHS Vehicle vs HFHS B. longum APC1472","8.56e-01","ratio_pups",0.0824957911384306,12,12,"small"
"week 10","Male","ratio_pups","HFHS FOS+GOS","HFHS B. longum APC1472",13,12,58,0.295,0.694,"ns","HFHS FOS+GOS vs HFHS B. longum APC1472","6.94e-01","ratio_pups",0.217571317288168,13,12,"small"
