"metric","sex","timepoint","statistic_diet","p.adj_diet","statistic_treatment_FOSGOS","p.adj_treatment_FOSGOS","statistic_treatment_1472","p.adj_treatment_1472","restoration_FOSGOS","restoration_1472"
"chao1","Female","week 5",1.46674741750183,0.189174027782068,-0.561622184704161,1,-0.251930450108944,1,"not restored","not restored"
"chao1","Female","week 10",0.96090427685844,0.347043253002564,-1.99471696402676,0.170725644208451,-1.18589641612313,0.269603153797711,"not restored","not restored"
"chao1","Male","week 5",-0.354929301896968,0.73060782684213,2.25786421936326,0.0798789875786435,-0.338486074633957,0.739751696555339,"not restored","not restored"
"chao1","Male","week 10",0.122872870710656,0.903382547472836,-1.20722265093768,0.508867634962615,0.84238576663101,0.508867634962615,"not restored","not restored"
"shannon","Female","week 5",1.2084732838332,0.268353371898714,-0.978699492565678,0.704369351890298,-0.0411214613818833,0.967998911040115,"not restored","not restored"
"shannon","Female","week 10",0.332038026325273,0.743857312002498,-3.49085628117923,0.0124759026355638,-1.36548792481794,0.200207871129209,"not restored","not restored"
"shannon","Male","week 5",0.408527821804561,0.691213500224498,1.69153445890094,0.25589785194914,-0.689928003323733,0.507047419136329,"not restored","not restored"
"shannon","Male","week 10",-0.533978569176168,0.61034479127375,-2.25831408639739,0.095029912040417,1.69646726709197,0.118004748963816,"not restored","not restored"
"simpson","Female","week 5",1.11382833300978,0.305113373333436,-1.35921671385211,0.416603289397136,0.0876654455017337,0.932015303445984,"not restored","not restored"
"simpson","Female","week 10",-0.63745792354361,0.530405512309615,-2.2660987987833,0.0912099308082791,-0.12760050881496,0.90069008876039,"not restored","not restored"
"simpson","Male","week 5",0.0646506479710042,0.949709908403999,0.832653339029563,0.856503649325172,-0.482917827860148,0.856503649325172,"not restored","not restored"
"simpson","Male","week 10",-0.50308708151587,0.629579834597578,-1.83830453584682,0.191382671736435,1.22412329384916,0.246397720110191,"not restored","not restored"
