"metric","effect","group","term","estimate","std.error","statistic","df","p.value","conf.low","conf.high","R2_marginal","R2_conditional","p.adj"
"shannon","fixed",NA,"dietHFHS",0.459380324256786,0.238930427217131,1.92265309030447,21.8070182440191,0.0676817550184301,-0.0363854188477673,0.955146067361339,0.394110295325153,0.476420329514379,0.13536351003686
"shannon","fixed",NA,"treatmentFOS+GOS",-1.03833161431367,0.239892160218891,-4.32832658377096,21.9089641198107,0.000272743194092552,-1.53595738850491,-0.540705840122424,0.394110295325153,0.476420329514379,0.000818229582277657
"shannon","fixed",NA,"treatmentB. longum APC1472",-0.301095246576202,0.2392390184473,-1.25855409594288,22.0491329008953,0.221354975620856,-0.797182510081353,0.194992016928949,0.394110295325153,0.476420329514379,0.221354975620856
"shannon","ran_pars","cohort","sd__(Intercept)",0.175817666195481,NA,NA,NA,NA,NA,NA,0.394110295325153,0.476420329514379,NA
"shannon","ran_pars","Residual","sd__Observation",0.443432487146682,NA,NA,NA,NA,NA,NA,0.394110295325153,0.476420329514379,NA
"simpson","fixed",NA,"dietHFHS",0.0368452021606285,0.0236003142188751,1.56121659308927,21.4758127054419,0.133088989433272,-0.0121682110520998,0.0858586153733568,0.250683735290738,0.377162138757402,0.266177978866543
"simpson","fixed",NA,"treatmentFOS+GOS",-0.076227522284557,0.0236987702912399,-3.21651804493561,21.5127351862611,0.00405342539017154,-0.125440387158207,-0.0270146574109069,0.250683735290738,0.377162138757402,0.0121602761705146
"simpson","fixed",NA,"treatmentB. longum APC1472",-0.0285524362456754,0.023644919854624,-1.20755056144086,21.801452817164,0.240157871346299,-0.0776149039992401,0.0205100315078893,0.250683735290738,0.377162138757402,0.266177978866543
"simpson","ran_pars","cohort","sd__(Intercept)",0.0197069362767692,NA,NA,NA,NA,NA,NA,0.250683735290738,0.377162138757402,NA
"simpson","ran_pars","Residual","sd__Observation",0.0437319081413672,NA,NA,NA,NA,NA,NA,0.250683735290738,0.377162138757402,NA
"chao1","fixed",NA,"dietHFHS",14.2678571428571,20.1549311056662,0.707909000931586,23.9999999999179,0.485820466156998,-27.3298761758468,55.8655904615609,0.431053935282874,NA,0.602872161656954
"chao1","fixed",NA,"treatmentFOS+GOS",-84.142857142857,20.1549311056662,-4.17480251863535,23.9999999999179,0.000338465442297766,-125.740590461561,-42.5451238241531,0.431053935282874,NA,0.0010153963268933
"chao1","fixed",NA,"treatmentB. longum APC1472",-21.2857142857142,20.1549311056662,-1.05610454206564,24.0000000001439,0.301436080828477,-62.8834476043973,20.312019032969,0.431053935282874,NA,0.602872161656954
"chao1","ran_pars","cohort","sd__(Intercept)",0,NA,NA,NA,NA,NA,NA,0.431053935282874,NA,NA
"chao1","ran_pars","Residual","sd__Observation",37.7064234257178,NA,NA,NA,NA,NA,NA,0.431053935282874,NA,NA
