"sex","timepoint","effect","group","term","estimate","std.error","statistic","df","p.value","p.adj","comparison_type"
"Female","week 10","fixed",NA,"dietHFHS",0.0761719592392992,0.0776374328802659,0.98112413578606,6.37855089136574,0.362267757055227,0.362267757055227,"diet"
"Female","week 10","ran_pars","dam_cage","sd__(Intercept)",0.10780122501777,NA,NA,NA,NA,NA,"diet"
"Female","week 10","ran_pars","cohort","sd__(Intercept)",0.0526025201783796,NA,NA,NA,NA,NA,"diet"
"Female","week 10","ran_pars","Residual","sd__Observation",0.0613782357710752,NA,NA,NA,NA,NA,"diet"
"Female","week 5","fixed",NA,"dietHFHS",0.178588267456171,0.0326901063973652,5.4630677944372,3.86251218804256,0.00603722040430298,0.012074440808606,"diet"
"Female","week 5","ran_pars","dam_cage","sd__(Intercept)",0.0159820578342516,NA,NA,NA,NA,NA,"diet"
"Female","week 5","ran_pars","cohort","sd__(Intercept)",0.0642987043576745,NA,NA,NA,NA,NA,"diet"
"Female","week 5","ran_pars","Residual","sd__Observation",0.0618235264083253,NA,NA,NA,NA,NA,"diet"
"Male","week 10","fixed",NA,"dietHFHS",0.0774745137094251,0.051603168464451,1.50135187460043,8.19467980861173,0.170775231097924,0.341550462195849,"diet"
"Male","week 10","ran_pars","dam_cage","sd__(Intercept)",0.0798606155588747,NA,NA,NA,NA,NA,"diet"
"Male","week 10","ran_pars","cohort","sd__(Intercept)",0.0473195245421825,NA,NA,NA,NA,NA,"diet"
"Male","week 10","ran_pars","Residual","sd__Observation",0.0491838548503082,NA,NA,NA,NA,NA,"diet"
"Male","week 5","fixed",NA,"dietHFHS",0.132201685659524,0.0622105206690945,2.1250695901216,10.2927852687379,0.0587462814829962,0.117492562965992,"diet"
"Male","week 5","ran_pars","dam_cage","sd__(Intercept)",0.087267466523402,NA,NA,NA,NA,NA,"diet"
"Male","week 5","ran_pars","cohort","sd__(Intercept)",0,NA,NA,NA,NA,NA,"diet"
"Male","week 5","ran_pars","Residual","sd__Observation",0.0860210097592799,NA,NA,NA,NA,NA,"diet"
"Male","week 10","fixed",NA,"treatmentFOS+GOS",-0.615031444050245,0.0258459214742721,-23.7960733828921,9.69225034935449,6.36474085797662e-10,1.90942225739299e-09,"treatment"
"Male","week 10","fixed",NA,"treatmentB. longum APC1472",0.0483589512062732,0.0264707977804545,1.82687925038589,10.4097400085117,0.0964948410513496,0.0964948410513496,"treatment"
"Male","week 10","ran_pars","dam_cage","sd__(Intercept)",0.0393742064510383,NA,NA,NA,NA,NA,"treatment"
"Male","week 10","ran_pars","cohort","sd__(Intercept)",0.0495643473821554,NA,NA,NA,NA,NA,"treatment"
"Male","week 10","ran_pars","Residual","sd__Observation",0.0174837707743716,NA,NA,NA,NA,NA,"treatment"
"Male","week 5","fixed",NA,"treatmentFOS+GOS",-0.352821992324723,0.059894124402339,-5.89076133669874,10.5598919754301,0.000123093992735749,0.000369281978207246,"treatment"
"Male","week 5","fixed",NA,"treatmentB. longum APC1472",0.0538290020156392,0.0605557111490438,0.88891701532745,11.2880959531878,0.392596731116231,0.392596731116231,"treatment"
"Male","week 5","ran_pars","dam_cage","sd__(Intercept)",0.0611013658523072,NA,NA,NA,NA,NA,"treatment"
"Male","week 5","ran_pars","cohort","sd__(Intercept)",0.0427793706042905,NA,NA,NA,NA,NA,"treatment"
"Male","week 5","ran_pars","Residual","sd__Observation",0.113420367644619,NA,NA,NA,NA,NA,"treatment"
"Female","week 10","fixed",NA,"treatmentFOS+GOS",-0.597871891295349,0.0679341682106157,-8.80075383335484,10.5711185623826,3.4477111798149e-06,1.03431335394447e-05,"treatment"
"Female","week 10","fixed",NA,"treatmentB. longum APC1472",-0.0111362766063162,0.0653140430249595,-0.170503556211648,10.5538424582822,0.867838709752609,0.867838709752609,"treatment"
"Female","week 10","ran_pars","dam_cage","sd__(Intercept)",0.0960555315281678,NA,NA,NA,NA,NA,"treatment"
"Female","week 10","ran_pars","cohort","sd__(Intercept)",0,NA,NA,NA,NA,NA,"treatment"
"Female","week 10","ran_pars","Residual","sd__Observation",0.0470623730057534,NA,NA,NA,NA,NA,"treatment"
"Female","week 5","fixed",NA,"treatmentFOS+GOS",-0.517651732528138,0.0459139818936835,-11.2743811618603,6.36841278712818,1.92054814912499e-05,5.76164444737496e-05,"treatment"
"Female","week 5","fixed",NA,"treatmentB. longum APC1472",-0.0852344761658666,0.0446541937435279,-1.90876755395948,7.01060797168389,0.097871740230458,0.097871740230458,"treatment"
"Female","week 5","ran_pars","dam_cage","sd__(Intercept)",0.033865047381109,NA,NA,NA,NA,NA,"treatment"
"Female","week 5","ran_pars","cohort","sd__(Intercept)",0,NA,NA,NA,NA,NA,"treatment"
"Female","week 5","ran_pars","Residual","sd__Observation",0.0955072320598936,NA,NA,NA,NA,NA,"treatment"
