"genus_species","effect","group","term","estimate","std.error","statistic","df","p.value","conf.low","conf.high","R2_marginal","R2_conditional","p.adj"
"Bifidobacterium pseudolongum","fixed",NA,"dietHFHS",-0.197856201047786,0.024766728714448,-7.98879025684017,23.9999999996619,3.23528092305329e-08,-0.248972216817805,-0.146740185277767,0.76370978168203,NA,9.70584276915988e-08
"Bifidobacterium pseudolongum","fixed",NA,"treatmentFOS+GOS",0.0949999862505744,0.024766728714448,3.83579064259524,23.9999999996619,0.000797061282731573,0.0438839704805555,0.146116002020593,0.76370978168203,NA,0.00159412256546315
"Bifidobacterium pseudolongum","fixed",NA,"treatmentB. longum APC1472",-0.000226989627511736,0.024766728714448,-0.0091651033177958,23.9999999996619,0.992763167868448,-0.0513430053975306,0.0508890261425071,0.76370978168203,NA,0.992763167868448
"Bifidobacterium pseudolongum","ran_pars","cohort","sd__(Intercept)",0,NA,NA,NA,NA,NA,NA,0.76370978168203,NA,NA
"Bifidobacterium pseudolongum","ran_pars","Residual","sd__Observation",0.0463343067203203,NA,NA,NA,NA,NA,NA,0.76370978168203,NA,NA
"Bifidobacterium longum","fixed",NA,"dietHFHS",-9.46369242676265e-20,0.000556692209631118,-1.69998650296069e-16,24.0000000003613,1,-0.00114895625072628,0.00114895625072628,0.426497118534876,NA,1
"Bifidobacterium longum","fixed",NA,"treatmentFOS+GOS",-4.01510465401659e-19,0.000556692209631118,-7.21243190501466e-16,24.0000000003613,0.999999999999999,-0.00114895625072628,0.00114895625072628,0.426497118534876,NA,1
"Bifidobacterium longum","fixed",NA,"treatmentB. longum APC1472",0.00203676838374043,0.000556692209631118,3.6586974786122,24.0000000003613,0.00124202908295463,0.00088781213301415,0.0031857246344667,0.426497118534876,NA,0.00496811633181853
"Bifidobacterium longum","ran_pars","cohort","sd__(Intercept)",0,NA,NA,NA,NA,NA,NA,0.426497118534876,NA,NA
"Bifidobacterium longum","ran_pars","Residual","sd__Observation",0.00104147575916289,NA,NA,NA,NA,NA,NA,0.426497118534876,NA,NA
"Bifidobacterium breve","fixed",NA,"dietHFHS",3.49747857187474e-05,0.000107149296584022,0.326411715557291,18.6512866296793,0.747747147579275,-0.000189575400292193,0.000259524971729688,0.0110034887898957,NA,1
"Bifidobacterium breve","fixed",NA,"treatmentFOS+GOS",-5.75686149036608e-05,0.000107404986016444,-0.535995739479419,19.5604449682485,0.598004471415511,-0.000281934683305681,0.00016679745349836,0.0110034887898957,NA,1
"Bifidobacterium breve","fixed",NA,"treatmentB. longum APC1472",-2.44077708917527e-05,0.000107168784131455,-0.227750749339601,18.8454038351613,0.822292744476135,-0.000248839220484474,0.000200023678700968,0.0110034887898957,NA,1
"Bifidobacterium breve","ran_pars","cohort","sd__(Intercept)",4.43360122794251e-05,NA,NA,NA,NA,NA,NA,0.0110034887898957,NA,NA
"Bifidobacterium breve","ran_pars","Residual","sd__Observation",0.000199834300346798,NA,NA,NA,NA,NA,NA,0.0110034887898957,NA,NA
