"metric","effect","group","term","estimate","std.error","statistic","df","p.value","conf.low","conf.high","effect_size","R2_marginal","R2_conditional","p.adj","comparison_type"
"shannon","fixed",NA,"dietHFHS",0.465013093927261,0.153401039146221,3.03135556652921,11.9999999996686,0.0104402543666067,0.130780941750167,0.799245246104356,3.03135556652921,0.414127193457089,NA,0.0104402543666067,"diet"
"shannon","ran_pars","cohort","sd__(Intercept)",0,NA,NA,NA,NA,NA,NA,NA,0.414127193457089,NA,NA,"diet"
"shannon","ran_pars","Residual","sd__Observation",0.286987065630128,NA,NA,NA,NA,NA,NA,NA,0.414127193457089,NA,NA,"diet"
"simpson","fixed",NA,"dietHFHS",0.0356677827628642,0.00668180404088469,5.33804681260028,12.0000000001721,0.000177016547712961,0.0211093823932854,0.0502261831324429,5.33804681260028,0.686707307533768,NA,0.000177016547712961,"diet"
"simpson","ran_pars","cohort","sd__(Intercept)",0,NA,NA,NA,NA,NA,NA,NA,0.686707307533768,NA,NA,"diet"
"simpson","ran_pars","Residual","sd__Observation",0.0125005107232761,NA,NA,NA,NA,NA,NA,NA,0.686707307533768,NA,NA,"diet"
"chao1","fixed",NA,"dietHFHS",14.2678571428571,19.1730477768774,0.744162185840069,11.9999999997085,0.471099947517264,-27.5066253373386,56.0423396230529,0.744162185840069,0.0408577877718584,NA,0.471099947517264,"diet"
"chao1","ran_pars","cohort","sd__(Intercept)",0,NA,NA,NA,NA,NA,NA,NA,0.0408577877718584,NA,NA,"diet"
"chao1","ran_pars","Residual","sd__Observation",35.8694879206614,NA,NA,NA,NA,NA,NA,NA,0.0408577877718584,NA,NA,"diet"
"shannon","fixed",NA,"treatmentFOS+GOS",-1.03606932863262,0.267403209593734,-3.87455831291896,16.1129352563591,0.00132840429108162,-1.60261607020751,-0.469522587057725,-3.87455831291896,0.411264095264965,0.49758097647217,0.00265680858216324,"treatment"
"shannon","fixed",NA,"treatmentB. longum APC1472",-0.300662958735993,0.266119722204186,-1.1298033691216,16.0201186888444,0.275192223292871,-0.864753993478006,0.26342807600602,-1.1298033691216,0.411264095264965,0.49758097647217,0.275192223292871,"treatment"
"shannon","ran_pars","cohort","sd__(Intercept)",0.204305379865148,NA,NA,NA,NA,NA,NA,NA,0.411264095264965,0.49758097647217,NA,"treatment"
"shannon","ran_pars","Residual","sd__Observation",0.492906982444191,NA,NA,NA,NA,NA,NA,NA,0.411264095264965,0.49758097647217,NA,"treatment"
"simpson","fixed",NA,"treatmentFOS+GOS",-0.0763779740005082,0.0264781609235439,-2.88456491449881,15.7287511037319,0.010925331059587,-0.132587942975392,-0.0201680050256247,-2.88456491449881,0.259295950143747,0.412098625081566,0.021850662119174,"treatment"
"simpson","fixed",NA,"treatmentB. longum APC1472",-0.0285976981152595,0.0263480023373431,-1.08538392205651,15.7730834712438,0.294062468653411,-0.0845183459092394,0.0273229496787204,-1.08538392205651,0.259295950143747,0.412098625081566,0.294062468653411,"treatment"
"simpson","ran_pars","cohort","sd__(Intercept)",0.0247841008836123,NA,NA,NA,NA,NA,NA,NA,0.259295950143747,0.412098625081566,NA,"treatment"
"simpson","ran_pars","Residual","sd__Observation",0.0486138400409739,NA,NA,NA,NA,NA,NA,NA,0.259295950143747,0.412098625081566,NA,"treatment"
"chao1","fixed",NA,"treatmentFOS+GOS",-84.1428571428573,20.2390475966397,-4.15745141865408,17.9999999996329,0.000591592409080955,-126.663518312187,-41.6221959735273,-4.15745141865408,0.483080399223256,NA,0.00118318481816191,"treatment"
"chao1","fixed",NA,"treatmentB. longum APC1472",-21.2857142857144,20.2390475966397,-1.05171521456615,17.999999999778,0.306845319956157,-63.8063754550198,21.234946883591,-1.05171521456615,0.483080399223256,NA,0.306845319956157,"treatment"
"chao1","ran_pars","cohort","sd__(Intercept)",0,NA,NA,NA,NA,NA,NA,NA,0.483080399223256,NA,NA,"treatment"
"chao1","ran_pars","Residual","sd__Observation",37.8637909706182,NA,NA,NA,NA,NA,NA,NA,0.483080399223256,NA,NA,"treatment"
