"sex","timepoint","effect","group","term","estimate","std.error","statistic","df","p.value","conf.low","conf.high","effect_size","R2_marginal","R2_conditional","p.adj","comparison_type"
"Female","week 10","fixed",NA,"dietHFHS",0.0761719592392992,0.0776374328802659,0.98112413578606,6.37855089136574,0.362267757055227,-0.111100242042248,0.263444160520847,0.98112413578606,0.0769539317315643,0.808465968994159,0.362267757055227,"diet"
"Female","week 10","ran_pars","dam_cage","sd__(Intercept)",0.10780122501777,NA,NA,NA,NA,NA,NA,NA,0.0769539317315643,0.808465968994159,NA,"diet"
"Female","week 10","ran_pars","cohort","sd__(Intercept)",0.0526025201783796,NA,NA,NA,NA,NA,NA,NA,0.0769539317315643,0.808465968994159,NA,"diet"
"Female","week 10","ran_pars","Residual","sd__Observation",0.0613782357710752,NA,NA,NA,NA,NA,NA,NA,0.0769539317315643,0.808465968994159,NA,"diet"
"Female","week 5","fixed",NA,"dietHFHS",0.178588267456171,0.0326901063973652,5.4630677944372,3.86251218804256,0.00603722040430298,0.086537539861232,0.27063899505111,5.4630677944372,0.503272915393749,0.768803186936536,0.012074440808606,"diet"
"Female","week 5","ran_pars","dam_cage","sd__(Intercept)",0.0159820578342516,NA,NA,NA,NA,NA,NA,NA,0.503272915393749,0.768803186936536,NA,"diet"
"Female","week 5","ran_pars","cohort","sd__(Intercept)",0.0642987043576745,NA,NA,NA,NA,NA,NA,NA,0.503272915393749,0.768803186936536,NA,"diet"
"Female","week 5","ran_pars","Residual","sd__Observation",0.0618235264083253,NA,NA,NA,NA,NA,NA,NA,0.503272915393749,0.768803186936536,NA,"diet"
"Male","week 10","fixed",NA,"dietHFHS",0.0774745137094251,0.051603168464451,1.50135187460043,8.19467980861173,0.170775231097924,-0.0410323205925855,0.195981348011436,1.50135187460043,0.124254222520379,0.808038050301619,0.341550462195849,"diet"
"Male","week 10","ran_pars","dam_cage","sd__(Intercept)",0.0798606155588747,NA,NA,NA,NA,NA,NA,NA,0.124254222520379,0.808038050301619,NA,"diet"
