"genus_species","effect","group","term","estimate","std.error","statistic","df","p.value","conf.low","conf.high","effect_size","R2_marginal","R2_conditional","p.adj","comparison_type"
"Bifidobacterium pseudolongum","fixed",NA,"dietHFHS",-0.197856201047786,0.0229070070214126,-8.63736588821217,11.9999999997538,1.70092106239781e-06,-0.247766281835431,-0.147946120260141,-8.63736588821217,0.851605101129997,NA,1.70092106239781e-06,"diet"
"Bifidobacterium pseudolongum","ran_pars","cohort","sd__(Intercept)",0,NA,NA,NA,NA,NA,NA,NA,0.851605101129997,NA,NA,"diet"
"Bifidobacterium pseudolongum","ran_pars","Residual","sd__Observation",0.0428550860152755,NA,NA,NA,NA,NA,NA,NA,0.851605101129997,NA,NA,"diet"
"Bifidobacterium breve","fixed",NA,"dietHFHS",3.30629107020833e-05,0.000124495922121213,0.265574246439111,11.9999999999536,0.79507461638818,-0.000238190401656984,0.000304316223061151,0.265574246439111,0.00539608432836638,NA,0.884758176466218,"diet"
"Bifidobacterium breve","ran_pars","cohort","sd__(Intercept)",0,NA,NA,NA,NA,NA,NA,NA,0.00539608432836638,NA,NA,"diet"
"Bifidobacterium breve","ran_pars","Residual","sd__Observation",0.000232910543314035,NA,NA,NA,NA,NA,NA,NA,0.00539608432836638,NA,NA,"diet"
"Bifidobacterium pseudolongum","fixed",NA,"treatmentFOS+GOS",0.0949999862505744,0.0216682126261121,4.38430192142804,18.000000000149,0.00035767135606451,0.0494767607717734,0.140523211729375,4.38430192142804,0.562275651452776,NA,0.00107301406819353,"treatment"
"Bifidobacterium pseudolongum","fixed",NA,"treatmentB. longum APC1472",-0.000226989627511752,0.0216682126261121,-0.0104756968850402,18.0000000001687,0.99175699004705,-0.0457502151063092,0.0452962358512857,-0.0104756968850402,0.562275651452776,NA,1,"treatment"
"Bifidobacterium pseudolongum","ran_pars","cohort","sd__(Intercept)",0,NA,NA,NA,NA,NA,NA,NA,0.562275651452776,NA,NA,"treatment"
"Bifidobacterium pseudolongum","ran_pars","Residual","sd__Observation",0.0405375139153403,NA,NA,NA,NA,NA,NA,NA,0.562275651452776,NA,NA,"treatment"
"Bifidobacterium longum","fixed",NA,"treatmentFOS+GOS",-4.01510465401659e-19,0.000642812794172587,-6.24614925280809e-16,18.0000000002418,1,-0.00135049956702481,0.00135049956702481,-6.24614925280809e-16,0.400947711024917,NA,1,"treatment"
"Bifidobacterium longum","fixed",NA,"treatmentB. longum APC1472",0.00203676838374043,0.000642812794172587,3.16852496124024,18.0000000000873,0.00531774174735405,0.00068626881671478,0.00338726795076607,3.16852496124024,0.400947711024917,NA,0.0159532252420621,"treatment"
"Bifidobacterium longum","ran_pars","cohort","sd__(Intercept)",0,NA,NA,NA,NA,NA,NA,NA,0.400947711024917,NA,NA,"treatment"
"Bifidobacterium longum","ran_pars","Residual","sd__Observation",0.00120259261981433,NA,NA,NA,NA,NA,NA,NA,0.400947711024917,NA,NA,"treatment"
"Bifidobacterium breve","fixed",NA,"treatmentFOS+GOS",-4.28978216405219e-05,9.88107827507874e-05,-0.434141097219271,8.28710556506014,0.675268130353509,-0.000269389104968973,0.000183593461687929,-0.434141097219271,0.0113550791847843,0.381718784203685,1,"treatment"
"Bifidobacterium breve","fixed",NA,"treatmentB. longum APC1472",-5.56274684906373e-05,9.85417983261647e-05,-0.564506325595107,8.88845449909073,0.586370592634426,-0.000278971670402414,0.000167716733421139,-0.564506325595107,0.0113550791847843,0.381718784203685,1,"treatment"
"Bifidobacterium breve","ran_pars","cohort","sd__(Intercept)",0.000139263177814018,NA,NA,NA,NA,NA,NA,NA,0.0113550791847843,0.381718784203685,NA,"treatment"
"Bifidobacterium breve","ran_pars","Residual","sd__Observation",0.000179934779966293,NA,NA,NA,NA,NA,NA,NA,0.0113550791847843,0.381718784203685,NA,"treatment"
