"genus_species","sex","timepoint","effect","group","term","estimate","std.error","statistic","df","p.value","conf.low","conf.high","effect_size","R2_marginal","R2_conditional","p.adj","comparison_type"
"Bifidobacterium pseudolongum","Male","week 5","fixed",NA,"dietHFHS",-0.176405103254213,0.0334484222953714,-5.27394391569328,8.07531846553755,0.000729125299143105,-0.253412259360132,-0.0993979471482942,-5.27394391569328,0.600672946068367,0.847376509860517,0.00145825059828621,"diet"
"Bifidobacterium pseudolongum","Male","week 5","ran_pars","dam_cage","sd__(Intercept)",0.0457096048946443,NA,NA,NA,NA,NA,NA,NA,0.600672946068367,0.847376509860517,NA,"diet"
"Bifidobacterium pseudolongum","Male","week 5","ran_pars","cohort","sd__(Intercept)",0.0352812422810615,NA,NA,NA,NA,NA,NA,NA,0.600672946068367,0.847376509860517,NA,"diet"
"Bifidobacterium pseudolongum","Male","week 5","ran_pars","Residual","sd__Observation",0.0454165882355229,NA,NA,NA,NA,NA,NA,NA,0.600672946068367,0.847376509860517,NA,"diet"
"Bifidobacterium pseudolongum","Female","week 10","fixed",NA,"dietHFHS",-0.0236280639927948,0.0347383629783017,-0.680172062441554,6.32374934304749,0.520507430609414,-0.107585966414257,0.0603298384286676,-0.680172062441554,0.0320125147950806,0.548401244706635,0.520507430609414,"diet"
"Bifidobacterium pseudolongum","Female","week 10","ran_pars","dam_cage","sd__(Intercept)",0.0416369845014601,NA,NA,NA,NA,NA,NA,NA,0.0320125147950806,0.548401244706635,NA,"diet"
"Bifidobacterium pseudolongum","Female","week 10","ran_pars","cohort","sd__(Intercept)",0.0248123286411253,NA,NA,NA,NA,NA,NA,NA,0.0320125147950806,0.548401244706635,NA,"diet"
"Bifidobacterium pseudolongum","Female","week 10","ran_pars","Residual","sd__Observation",0.0453269312930933,NA,NA,NA,NA,NA,NA,NA,0.0320125147950806,0.548401244706635,NA,"diet"
"Bifidobacterium pseudolongum","Male","week 10","fixed",NA,"dietHFHS",-0.0686113267599071,0.0504336013116689,-1.36042886043183,8.21742383920893,0.209835663060721,-0.184377967997194,0.0471553144773794,-1.36042886043183,0.121187980178751,0.826893044317327,0.209835663060721,"diet"
"Bifidobacterium pseudolongum","Male","week 10","ran_pars","dam_cage","sd__(Intercept)",0.0810378525505055,NA,NA,NA,NA,NA,NA,NA,0.121187980178751,0.826893044317327,NA,"diet"
"Bifidobacterium pseudolongum","Male","week 10","ran_pars","cohort","sd__(Intercept)",0.0241674027472878,NA,NA,NA,NA,NA,NA,NA,0.121187980178751,0.826893044317327,NA,"diet"
"Bifidobacterium pseudolongum","Male","week 10","ran_pars","Residual","sd__Observation",0.0418827327354132,NA,NA,NA,NA,NA,NA,NA,0.121187980178751,0.826893044317327,NA,"diet"
"Bifidobacterium pseudolongum","Female","week 5","fixed",NA,"dietHFHS",-0.105158084506402,0.0390427933132313,-2.69340576281884,6.78439825513715,0.0318627186915977,-0.198077715789216,-0.0122384532235882,-2.69340576281884,0.335011341893671,0.87766064259652,0.0637254373831955,"diet"
"Bifidobacterium pseudolongum","Female","week 5","ran_pars","dam_cage","sd__(Intercept)",0.0509427177189843,NA,NA,NA,NA,NA,NA,NA,0.335011341893671,0.87766064259652,NA,"diet"
