"family","effect","group","term","estimate","std.error","statistic","df","p.value","conf.low","conf.high","effect_size","R2_marginal","R2_conditional","p.adj","comparison_type"
"Lachnospiraceae","fixed",NA,"dietHFHS",0.14985472855321,0.0494788568043163,3.02866190190831,11.9999999999204,0.0104926480572224,0.0420495605506181,0.257659896555801,3.02866190190831,0.413695872720771,NA,0.0189160547739401,"diet"
"Lachnospiraceae","ran_pars","cohort","sd__(Intercept)",0,NA,NA,NA,NA,NA,NA,NA,0.413695872720771,NA,NA,"diet"
"Lachnospiraceae","ran_pars","Residual","sd__Observation",0.0925664650255002,NA,NA,NA,NA,NA,NA,NA,0.413695872720771,NA,NA,"diet"
"Muribaculaceae","fixed",NA,"dietHFHS",-0.120512910503316,0.0306329172105709,-3.93409839731912,11.9999999997846,0.00198393401942121,-0.187256303531975,-0.0537695174746575,-3.93409839731912,0.543493325739109,NA,0.00198393401942121,"diet"
"Muribaculaceae","ran_pars","cohort","sd__(Intercept)",0,NA,NA,NA,NA,NA,NA,NA,0.543493325739109,NA,NA,"diet"
"Muribaculaceae","ran_pars","Residual","sd__Observation",0.0573089404796837,NA,NA,NA,NA,NA,NA,NA,0.543493325739109,NA,NA,"diet"
"Bacteroidaceae","fixed",NA,"dietHFHS",0.0392493013432401,0.0340495579969093,1.1527110380347,9.02705934352909,0.278638930429824,-0.0377409686904306,0.116239571376911,1.1527110380347,0.0877907437844893,0.148880569900398,0.278638930429824,"diet"
"Bacteroidaceae","ran_pars","cohort","sd__(Intercept)",0.0169884734877159,NA,NA,NA,NA,NA,NA,NA,0.0877907437844893,0.148880569900398,NA,"diet"
"Bacteroidaceae","ran_pars","Residual","sd__Observation",0.0634110821582026,NA,NA,NA,NA,NA,NA,NA,0.0877907437844893,0.148880569900398,NA,"diet"
"Lactobacillaceae","fixed",NA,"dietHFHS",-0.066644876210671,0.0426196846616408,-1.5637111522473,9.60695757674615,0.150194731480244,-0.162136719540178,0.028846967118836,-1.5637111522473,0.152366372453374,0.195602969767481,0.150194731480244,"diet"
"Lactobacillaceae","ran_pars","cohort","sd__(Intercept)",0.0184208769560916,NA,NA,NA,NA,NA,NA,NA,0.152366372453374,0.195602969767481,NA,"diet"
"Lactobacillaceae","ran_pars","Residual","sd__Observation",0.0794547337944844,NA,NA,NA,NA,NA,NA,NA,0.152366372453374,0.195602969767481,NA,"diet"
"Bifidobacteriaceae","fixed",NA,"dietHFHS",-0.197889834311755,0.022933038547129,-8.62902811178192,11.9999999997644,1.71817870508967e-06,-0.247856632921602,-0.147923035701908,-8.62902811178192,0.851360836398509,NA,1.71817870508967e-06,"diet"
"Bifidobacteriaceae","ran_pars","cohort","sd__(Intercept)",0,NA,NA,NA,NA,NA,NA,NA,0.851360836398509,NA,NA,"diet"
"Bifidobacteriaceae","ran_pars","Residual","sd__Observation",0.0429037865405185,NA,NA,NA,NA,NA,NA,NA,0.851360836398509,NA,NA,"diet"
"Oscillospiraceae","fixed",NA,"dietHFHS",0.0719772652098599,0.0122857147307383,5.85861439788896,7.48181183950397,0.000488015534933017,0.0433011485482539,0.100653381871466,5.85861439788896,0.320460094062264,0.888688992817276,0.000976031069866034,"diet"
"Oscillospiraceae","ran_pars","cohort","sd__(Intercept)",0.049731592706931,NA,NA,NA,NA,NA,NA,NA,0.320460094062264,0.888688992817276,NA,"diet"
"Oscillospiraceae","ran_pars","Residual","sd__Observation",0.0220109995972135,NA,NA,NA,NA,NA,NA,NA,0.320460094062264,0.888688992817276,NA,"diet"
"Erysipelotrichaceae","fixed",NA,"dietHFHS",-0.0401438909072722,0.0319705851058478,-1.2556508044618,11.999999999963,0.233141732561323,-0.109801811907885,0.0295140300933408,-1.2556508044618,0.108163259423054,NA,0.233141732561323,"diet"
"Erysipelotrichaceae","ran_pars","cohort","sd__(Intercept)",0,NA,NA,NA,NA,NA,NA,NA,0.108163259423054,NA,NA,"diet"
"Erysipelotrichaceae","ran_pars","Residual","sd__Observation",0.0598114879603901,NA,NA,NA,NA,NA,NA,NA,0.108163259423054,NA,NA,"diet"
"Akkermansiaceae","fixed",NA,"dietHFHS",0.0223954512612351,0.0257986504497638,0.868086154539147,11.9999999997527,0.402374340820821,-0.0338149793269389,0.0786058818494091,0.868086154539147,0.0547911106719938,NA,0.402374340820821,"diet"
"Akkermansiaceae","ran_pars","cohort","sd__(Intercept)",0,NA,NA,NA,NA,NA,NA,NA,0.0547911106719938,NA,NA,"diet"
"Akkermansiaceae","ran_pars","Residual","sd__Observation",0.0482648555120788,NA,NA,NA,NA,NA,NA,NA,0.0547911106719938,NA,NA,"diet"
"Rikenellaceae","fixed",NA,"dietHFHS",-0.0209272876598124,0.0191981239753755,-1.0900694092118,11.9999999995431,0.297088217065803,-0.0627564064830793,0.0209018311634544,-1.0900694092118,0.0837489617542968,NA,0.297088217065803,"diet"
"Rikenellaceae","ran_pars","cohort","sd__(Intercept)",0,NA,NA,NA,NA,NA,NA,NA,0.0837489617542968,NA,NA,"diet"
"Rikenellaceae","ran_pars","Residual","sd__Observation",0.0359164011923329,NA,NA,NA,NA,NA,NA,NA,0.0837489617542968,NA,NA,"diet"
"Peptostreptococcaceae","fixed",NA,"dietHFHS",0.0467286487910657,0.0166190046229806,2.81175978051355,11.9999999996847,0.0156980848400487,0.010518948302111,0.0829383492800204,2.81175978051355,0.378168740388002,NA,0.0313961696800975,"diet"
"Peptostreptococcaceae","ran_pars","cohort","sd__(Intercept)",0,NA,NA,NA,NA,NA,NA,NA,0.378168740388002,NA,NA,"diet"
"Peptostreptococcaceae","ran_pars","Residual","sd__Observation",0.0310913107042029,NA,NA,NA,NA,NA,NA,NA,0.378168740388002,NA,NA,"diet"
"Atopobiaceae","fixed",NA,"dietHFHS",0.00917474519262878,0.01393208191781,0.658533681236849,11.9999999998298,0.522629910580639,-0.0211806536339183,0.0395301440191758,0.658533681236849,0.0322820732369805,NA,1,"diet"
"Atopobiaceae","ran_pars","cohort","sd__(Intercept)",0,NA,NA,NA,NA,NA,NA,NA,0.0322820732369805,NA,NA,"diet"
"Atopobiaceae","ran_pars","Residual","sd__Observation",0.0260645386104568,NA,NA,NA,NA,NA,NA,NA,0.0322820732369805,NA,NA,"diet"
"Ruminococcaceae","fixed",NA,"dietHFHS",0.0224541316088152,0.00909051552240968,2.47006141218965,11.9999999997763,0.0294901698222439,0.00264759976025897,0.0422606634573715,2.47006141218965,0.319414607478624,NA,0.0294901698222439,"diet"
"Ruminococcaceae","ran_pars","cohort","sd__(Intercept)",0,NA,NA,NA,NA,NA,NA,NA,0.319414607478624,NA,NA,"diet"
"Ruminococcaceae","ran_pars","Residual","sd__Observation",0.0170067972770037,NA,NA,NA,NA,NA,NA,NA,0.319414607478624,NA,NA,"diet"
"Staphylococcaceae","fixed",NA,"dietHFHS",0.012135337071223,0.0109292349297648,1.11035558748706,11.9999999996347,0.288600019037208,-0.011677420212276,0.0359480943547221,1.11035558748706,0.086622574285254,NA,0.577200038074416,"diet"
"Staphylococcaceae","ran_pars","cohort","sd__(Intercept)",0,NA,NA,NA,NA,NA,NA,NA,0.086622574285254,NA,NA,"diet"
"Staphylococcaceae","ran_pars","Residual","sd__Observation",0.0204467263033711,NA,NA,NA,NA,NA,NA,NA,0.086622574285254,NA,NA,"diet"
"Deferribacteraceae","fixed",NA,"dietHFHS",0.0165224713045529,0.00965481151820955,1.71131992306536,11.9999999997596,0.11272231707545,-0.00451355589938772,0.0375584985084935,1.71131992306536,0.183858779778014,NA,0.225444634150899,"diet"
"Deferribacteraceae","ran_pars","cohort","sd__(Intercept)",0,NA,NA,NA,NA,NA,NA,NA,0.183858779778014,NA,NA,"diet"
"Deferribacteraceae","ran_pars","Residual","sd__Observation",0.0180624984175094,NA,NA,NA,NA,NA,NA,NA,0.183858779778014,NA,NA,"diet"
"Desulfovibrionaceae","fixed",NA,"dietHFHS",0.021259396895984,0.00523358647105204,4.06210865408908,11.9999999997787,0.00157573690595009,0.00985639154765968,0.0326624022443083,4.06210865408908,0.559332889510377,NA,0.00183799040417258,"diet"
"Desulfovibrionaceae","ran_pars","cohort","sd__(Intercept)",0,NA,NA,NA,NA,NA,NA,NA,0.559332889510377,NA,NA,"diet"
"Desulfovibrionaceae","ran_pars","Residual","sd__Observation",0.00979114373936601,NA,NA,NA,NA,NA,NA,NA,0.559332889510377,NA,NA,"diet"
"Marinifilaceae","fixed",NA,"dietHFHS",-0.00700622418173805,0.00444929396558673,-1.5746822385592,12.0000000001295,0.141312523659296,-0.0167004029569078,0.00268795459343169,-1.5746822385592,0.160186328041043,NA,0.141312523659296,"diet"
"Marinifilaceae","ran_pars","cohort","sd__(Intercept)",0,NA,NA,NA,NA,NA,NA,NA,0.160186328041043,NA,NA,"diet"
"Marinifilaceae","ran_pars","Residual","sd__Observation",0.00832386681613315,NA,NA,NA,NA,NA,NA,NA,0.160186328041043,NA,NA,"diet"
"Erysipelatoclostridiaceae","fixed",NA,"dietHFHS",0.0119109418463846,0.00365432239778215,3.25941188265531,8.24263566026492,0.0110785144448341,0.00352704270208622,0.020294840990683,3.25941188265531,0.366179665759396,0.5687808894467,0.0221570288896682,"diet"
"Erysipelatoclostridiaceae","ran_pars","cohort","sd__(Intercept)",0.00459708326891665,NA,NA,NA,NA,NA,NA,NA,0.366179665759396,0.5687808894467,NA,"diet"
