"family","sex","timepoint","effect","group","term","estimate","std.error","statistic","df","p.value","conf.low","conf.high","effect_size","R2_marginal","R2_conditional","p.adj","comparison_type"
"Lactobacillaceae","Female","week 10","fixed",NA,"dietHFHS",0.0585619283095938,0.0409698372395517,1.42939128528094,21.9999999995161,0.166939104438729,-0.0264043137380323,0.14352817035722,1.42939128528094,0.081585530404303,NA,0.237206943658845,"diet"
"Lactobacillaceae","Female","week 10","ran_pars","dam_cage","sd__(Intercept)",0,NA,NA,NA,NA,NA,NA,NA,0.081585530404303,NA,NA,"diet"
"Lactobacillaceae","Female","week 10","ran_pars","cohort","sd__(Intercept)",0,NA,NA,NA,NA,NA,NA,NA,0.081585530404303,NA,NA,"diet"
"Lactobacillaceae","Female","week 10","ran_pars","Residual","sd__Observation",0.100355196081778,NA,NA,NA,NA,NA,NA,NA,0.081585530404303,NA,NA,"diet"
"Akkermansiaceae","Male","week 5","fixed",NA,"dietHFHS",0.111411716302002,0.0663818519366095,1.67834600951467,10.6477898464131,0.122349092850983,-0.0352855692805836,0.258109001884588,1.67834600951467,0.378578153499475,NA,0.244698185701967,"diet"
"Akkermansiaceae","Male","week 5","ran_pars","dam_cage","sd__(Intercept)",0.101529811788971,NA,NA,NA,NA,NA,NA,NA,0.378578153499475,NA,NA,"diet"
"Akkermansiaceae","Male","week 5","ran_pars","cohort","sd__(Intercept)",3.56847098061755e-06,NA,NA,NA,NA,NA,NA,NA,0.378578153499475,NA,NA,"diet"
"Akkermansiaceae","Male","week 5","ran_pars","Residual","sd__Observation",0.0729051245123942,NA,NA,NA,NA,NA,NA,NA,0.378578153499475,NA,NA,"diet"
"Lachnospiraceae","Female","week 5","fixed",NA,"dietHFHS",0.115285654563666,0.0331184334296595,3.48101170934072,20.4558213252298,0.00229676883899569,0.0463003676741842,0.184270941453148,3.48101170934072,0.389175109831531,NA,0.00459353767799138,"diet"
"Lachnospiraceae","Female","week 5","ran_pars","dam_cage","sd__(Intercept)",0,NA,NA,NA,NA,NA,NA,NA,0.389175109831531,NA,NA,"diet"
"Lachnospiraceae","Female","week 5","ran_pars","cohort","sd__(Intercept)",0.0315073535882832,NA,NA,NA,NA,NA,NA,NA,0.389175109831531,NA,NA,"diet"
"Lachnospiraceae","Female","week 5","ran_pars","Residual","sd__Observation",0.0737688157189608,NA,NA,NA,NA,NA,NA,NA,0.389175109831531,NA,NA,"diet"
