"genus","effect","group","term","estimate","std.error","statistic","df","p.value","conf.low","conf.high","effect_size","R2_marginal","R2_conditional","p.adj","comparison_type"
"Bacteroides","fixed",NA,"dietHFHS",0.0392493013432401,0.0340495579969093,1.1527110380347,9.02705934352909,0.278638930429824,-0.0377409686904306,0.116239571376911,1.1527110380347,0.0877907437844893,0.148880569900398,0.278638930429824,"diet"
"Bacteroides","ran_pars","cohort","sd__(Intercept)",0.0169884734877159,NA,NA,NA,NA,NA,NA,NA,0.0877907437844893,0.148880569900398,NA,"diet"
"Bacteroides","ran_pars","Residual","sd__Observation",0.0634110821582026,NA,NA,NA,NA,NA,NA,NA,0.0877907437844893,0.148880569900398,NA,"diet"
"Bifidobacterium","fixed",NA,"dietHFHS",-0.197823138137084,0.0228962551287975,-8.63997789264123,11.9999999996054,1.69555297079064e-06,-0.247709792563224,-0.147936483710944,-8.63997789264123,0.851681506135332,NA,1.69555297079064e-06,"diet"
"Bifidobacterium","ran_pars","cohort","sd__(Intercept)",0,NA,NA,NA,NA,NA,NA,NA,0.851681506135332,NA,NA,"diet"
"Bifidobacterium","ran_pars","Residual","sd__Observation",0.0428349710660629,NA,NA,NA,NA,NA,NA,NA,0.851681506135332,NA,NA,"diet"
"Ligilactobacillus","fixed",NA,"dietHFHS",-0.0280444880526166,0.0414626971224718,-0.676378769325577,9.49388710700406,0.514939173570132,-0.12110107802006,0.065012101914827,-0.676378769325577,0.0298713354637703,0.166624000094156,0.514939173570132,"diet"
"Ligilactobacillus","ran_pars","cohort","sd__(Intercept)",0.0311351126633883,NA,NA,NA,NA,NA,NA,NA,0.0298713354637703,0.166624000094156,NA,"diet"
"Ligilactobacillus","ran_pars","Residual","sd__Observation",0.0768604702958578,NA,NA,NA,NA,NA,NA,NA,0.0298713354637703,0.166624000094156,NA,"diet"
"Akkermansia","fixed",NA,"dietHFHS",0.0223954512612351,0.0257986504497638,0.868086154539147,11.9999999997527,0.402374340820821,-0.0338149793269389,0.0786058818494091,0.868086154539147,0.0547911106719938,NA,0.402374340820821,"diet"
"Akkermansia","ran_pars","cohort","sd__(Intercept)",0,NA,NA,NA,NA,NA,NA,NA,0.0547911106719938,NA,NA,"diet"
"Akkermansia","ran_pars","Residual","sd__Observation",0.0482648555120788,NA,NA,NA,NA,NA,NA,NA,0.0547911106719938,NA,NA,"diet"
"Romboutsia","fixed",NA,"dietHFHS",0.0467286487910657,0.0166190046229806,2.81175978051355,11.9999999996847,0.0156980848400487,0.010518948302111,0.0829383492800204,2.81175978051355,0.378168740388002,NA,0.0313961696800975,"diet"
"Romboutsia","ran_pars","cohort","sd__(Intercept)",0,NA,NA,NA,NA,NA,NA,NA,0.378168740388002,NA,NA,"diet"
"Romboutsia","ran_pars","Residual","sd__Observation",0.0310913107042029,NA,NA,NA,NA,NA,NA,NA,0.378168740388002,NA,NA,"diet"
"Faecalibaculum","fixed",NA,"dietHFHS",-0.0114719930225137,0.0194848288557569,-0.588765398322924,11.9999999996577,0.566936486516896,-0.0539257881174414,0.030981802072414,-0.588765398322924,0.0259724224479709,NA,0.566936486516896,"diet"
"Faecalibaculum","ran_pars","cohort","sd__(Intercept)",0,NA,NA,NA,NA,NA,NA,NA,0.0259724224479709,NA,NA,"diet"
"Faecalibaculum","ran_pars","Residual","sd__Observation",0.0364527769090845,NA,NA,NA,NA,NA,NA,NA,0.0259724224479709,NA,NA,"diet"
"Alistipes","fixed",NA,"dietHFHS",-0.0260933860250872,0.0130656816587332,-1.99709335545047,7.86276985855081,0.0815032837687354,-0.0563146799952364,0.00412790794506207,-1.99709335545047,0.199923097828702,0.365091636180422,0.0815032837687354,"diet"
"Alistipes","ran_pars","cohort","sd__(Intercept)",0.0123062281320668,NA,NA,NA,NA,NA,NA,NA,0.199923097828702,0.365091636180422,NA,"diet"
"Alistipes","ran_pars","Residual","sd__Observation",0.0241277499338469,NA,NA,NA,NA,NA,NA,NA,0.199923097828702,0.365091636180422,NA,"diet"
"Turicibacter","fixed",NA,"dietHFHS",-0.0238268381471468,0.0132379987609889,-1.79988218592089,9.14688064386892,0.104874712295359,-0.053700128728301,0.00604645243400737,-1.79988218592089,0.131586966528027,0.497052815267509,0.121850305572155,"diet"
"Turicibacter","ran_pars","cohort","sd__(Intercept)",0.020603723981347,NA,NA,NA,NA,NA,NA,NA,0.131586966528027,0.497052815267509,NA,"diet"
