"genus","sex","timepoint","effect","group","term","estimate","std.error","statistic","df","p.value","conf.low","conf.high","effect_size","R2_marginal","R2_conditional","p.adj","comparison_type"
"Ligilactobacillus","Female","week 10","fixed",NA,"dietHFHS",0.0559857023200353,0.0404051413101443,1.38560837815902,22.000000000116,0.179754204731048,-0.0278094320479038,0.139780836687974,1.38560837815902,0.0770432370390753,NA,0.359508409462096,"diet"
"Ligilactobacillus","Female","week 10","ran_pars","dam_cage","sd__(Intercept)",0,NA,NA,NA,NA,NA,NA,NA,0.0770432370390753,NA,NA,"diet"
"Ligilactobacillus","Female","week 10","ran_pars","cohort","sd__(Intercept)",0,NA,NA,NA,NA,NA,NA,NA,0.0770432370390753,NA,NA,"diet"
"Ligilactobacillus","Female","week 10","ran_pars","Residual","sd__Observation",0.0989719791949034,NA,NA,NA,NA,NA,NA,NA,0.0770432370390753,NA,NA,"diet"
"Akkermansia","Male","week 5","fixed",NA,"dietHFHS",0.111411716302002,0.0663818519366095,1.67834600951467,10.6477898464131,0.122349092850983,-0.0352855692805836,0.258109001884588,1.67834600951467,0.378578153499475,NA,0.244698185701967,"diet"
"Akkermansia","Male","week 5","ran_pars","dam_cage","sd__(Intercept)",0.101529811788971,NA,NA,NA,NA,NA,NA,NA,0.378578153499475,NA,NA,"diet"
"Akkermansia","Male","week 5","ran_pars","cohort","sd__(Intercept)",3.56847098061755e-06,NA,NA,NA,NA,NA,NA,NA,0.378578153499475,NA,NA,"diet"
"Akkermansia","Male","week 5","ran_pars","Residual","sd__Observation",0.0729051245123942,NA,NA,NA,NA,NA,NA,NA,0.378578153499475,NA,NA,"diet"
"Bacteroides","Male","week 10","fixed",NA,"dietHFHS",0.0638607403194071,0.0407490078099364,1.56717288963868,10.1598744188781,0.147665007075111,-0.0267404171764963,0.15446189781531,1.56717288963868,0.336767417655423,NA,0.147665007075111,"diet"
"Bacteroides","Male","week 10","ran_pars","dam_cage","sd__(Intercept)",0.0619285420002456,NA,NA,NA,NA,NA,NA,NA,0.336767417655423,NA,NA,"diet"
"Bacteroides","Male","week 10","ran_pars","cohort","sd__(Intercept)",2.98834326202556e-06,NA,NA,NA,NA,NA,NA,NA,0.336767417655423,NA,NA,"diet"
"Bacteroides","Male","week 10","ran_pars","Residual","sd__Observation",0.0457734397206787,NA,NA,NA,NA,NA,NA,NA,0.336767417655423,NA,NA,"diet"
"Akkermansia","Male","week 10","fixed",NA,"dietHFHS",0.00721672567394771,0.0460962595690479,0.156557728141428,8.87152553855048,0.879098194658468,-0.097290906225184,0.111724357573079,0.156557728141428,0.00177551826148628,0.656026888721554,0.879098194658468,"diet"
"Akkermansia","Male","week 10","ran_pars","dam_cage","sd__(Intercept)",0.0701243904237486,NA,NA,NA,NA,NA,NA,NA,0.00177551826148628,0.656026888721554,NA,"diet"
"Akkermansia","Male","week 10","ran_pars","cohort","sd__(Intercept)",0.00943101515913377,NA,NA,NA,NA,NA,NA,NA,0.00177551826148628,0.656026888721554,NA,"diet"
"Akkermansia","Male","week 10","ran_pars","Residual","sd__Observation",0.0513040416838702,NA,NA,NA,NA,NA,NA,NA,0.00177551826148628,0.656026888721554,NA,"diet"
"Bacteroides","Female","week 10","fixed",NA,"dietHFHS",-0.0611044178910706,0.0377948118932871,-1.61674089194035,5.97697803211137,0.157251741452287,-0.153671406958289,0.0314625711761482,-1.61674089194035,0.124152854604107,0.500177924913794,0.157251741452287,"diet"
"Bacteroides","Female","week 10","ran_pars","dam_cage","sd__(Intercept)",0.0342195939754529,NA,NA,NA,NA,NA,NA,NA,0.124152854604107,0.500177924913794,NA,"diet"
"Bacteroides","Female","week 10","ran_pars","cohort","sd__(Intercept)",0.0421789637426323,NA,NA,NA,NA,NA,NA,NA,0.124152854604107,0.500177924913794,NA,"diet"
"Bacteroides","Female","week 10","ran_pars","Residual","sd__Observation",0.0626200889466778,NA,NA,NA,NA,NA,NA,NA,0.124152854604107,0.500177924913794,NA,"diet"
"Bifidobacterium","Male","week 5","fixed",NA,"dietHFHS",-0.176405103254213,0.0334484222953714,-5.27394391569328,8.07531846554637,0.000729125299140515,-0.253412259360118,-0.0993979471483087,-5.27394391569328,0.600672946068367,0.847376509860517,0.00145825059828103,"diet"
"Bifidobacterium","Male","week 5","ran_pars","dam_cage","sd__(Intercept)",0.0457096048946443,NA,NA,NA,NA,NA,NA,NA,0.600672946068367,0.847376509860517,NA,"diet"
"Bifidobacterium","Male","week 5","ran_pars","cohort","sd__(Intercept)",0.0352812422810615,NA,NA,NA,NA,NA,NA,NA,0.600672946068367,0.847376509860517,NA,"diet"
"Bifidobacterium","Male","week 5","ran_pars","Residual","sd__Observation",0.0454165882355229,NA,NA,NA,NA,NA,NA,NA,0.600672946068367,0.847376509860517,NA,"diet"
"Bacteroides","Male","week 5","fixed",NA,"dietHFHS",0.0432664779729259,0.0385419483976707,1.12258149293617,8.29053510562166,0.293071494278939,-0.045072174601983,0.131605130547835,1.12258149293617,0.0769129366066784,0.593950401783271,0.293071494278939,"diet"
"Bacteroides","Male","week 5","ran_pars","dam_cage","sd__(Intercept)",0.0548692169537998,NA,NA,NA,NA,NA,NA,NA,0.0769129366066784,0.593950401783271,NA,"diet"
"Bacteroides","Male","week 5","ran_pars","cohort","sd__(Intercept)",0.0164986223035303,NA,NA,NA,NA,NA,NA,NA,0.0769129366066784,0.593950401783271,NA,"diet"
"Bacteroides","Male","week 5","ran_pars","Residual","sd__Observation",0.0507753699913552,NA,NA,NA,NA,NA,NA,NA,0.0769129366066784,0.593950401783271,NA,"diet"
"Ligilactobacillus","Male","week 5","fixed",NA,"dietHFHS",-0.0553909480396465,0.0254887333574505,-2.17315420357895,19.3385084400032,0.0423887035547272,-0.10867634600562,-0.0021055500736732,-2.17315420357895,0.191898745133391,NA,0.0847774071094544,"diet"
"Ligilactobacillus","Male","week 5","ran_pars","dam_cage","sd__(Intercept)",0,NA,NA,NA,NA,NA,NA,NA,0.191898745133391,NA,NA,"diet"
"Ligilactobacillus","Male","week 5","ran_pars","cohort","sd__(Intercept)",0.0805798554272672,NA,NA,NA,NA,NA,NA,NA,0.191898745133391,NA,NA,"diet"
"Ligilactobacillus","Male","week 5","ran_pars","Residual","sd__Observation",0.0580560292270567,NA,NA,NA,NA,NA,NA,NA,0.191898745133391,NA,NA,"diet"
"Bifidobacterium","Female","week 10","fixed",NA,"dietHFHS",-0.0236365038388292,0.0347349263610019,-0.680482336227629,6.32364784986061,0.520324045063079,-0.107586407607866,0.0603133999302076,-0.680482336227629,0.0320360692193623,0.548355894750881,0.520324045063079,"diet"
"Bifidobacterium","Female","week 10","ran_pars","dam_cage","sd__(Intercept)",0.0416280635180543,NA,NA,NA,NA,NA,NA,NA,0.0320360692193623,0.548355894750881,NA,"diet"
"Bifidobacterium","Female","week 10","ran_pars","cohort","sd__(Intercept)",0.0248199729633594,NA,NA,NA,NA,NA,NA,NA,0.0320360692193623,0.548355894750881,NA,"diet"
"Bifidobacterium","Female","week 10","ran_pars","Residual","sd__Observation",0.0453287254259142,NA,NA,NA,NA,NA,NA,NA,0.0320360692193623,0.548355894750881,NA,"diet"
"Bifidobacterium","Male","week 10","fixed",NA,"dietHFHS",-0.0686186523364208,0.0504323425577506,-1.36060807125596,8.21737600584461,0.209781477054238,-0.184382517985041,0.0471452133121998,-1.36060807125596,0.121225531318121,0.826895338444921,0.209781477054238,"diet"
"Bifidobacterium","Male","week 10","ran_pars","dam_cage","sd__(Intercept)",0.0810369310360657,NA,NA,NA,NA,NA,NA,NA,0.121225531318121,0.826895338444921,NA,"diet"
"Bifidobacterium","Male","week 10","ran_pars","cohort","sd__(Intercept)",0.0241488500886707,NA,NA,NA,NA,NA,NA,NA,0.121225531318121,0.826895338444921,NA,"diet"
"Bifidobacterium","Male","week 10","ran_pars","Residual","sd__Observation",0.0418804389571554,NA,NA,NA,NA,NA,NA,NA,0.121225531318121,0.826895338444921,NA,"diet"
"Bacteroides","Female","week 5","fixed",NA,"dietHFHS",0.0230543252549998,0.0318193012602745,0.724539016945115,4.64696092638825,0.503549916901259,-0.0606446554534833,0.106753305963483,0.724539016945115,0.0186429583269337,0.717978754862735,0.503549916901259,"diet"
"Bacteroides","Female","week 5","ran_pars","dam_cage","sd__(Intercept)",0.0296563652294411,NA,NA,NA,NA,NA,NA,NA,0.0186429583269337,0.717978754862735,NA,"diet"
"Bacteroides","Female","week 5","ran_pars","cohort","sd__(Intercept)",0.0657392392375472,NA,NA,NA,NA,NA,NA,NA,0.0186429583269337,0.717978754862735,NA,"diet"
"Bacteroides","Female","week 5","ran_pars","Residual","sd__Observation",0.0457981169325091,NA,NA,NA,NA,NA,NA,NA,0.0186429583269337,0.717978754862735,NA,"diet"
"Bifidobacterium","Female","week 5","fixed",NA,"dietHFHS",-0.105158084506402,0.0390427933132313,-2.69340576281884,6.78439825513715,0.0318627186915977,-0.198077715789216,-0.0122384532235882,-2.69340576281884,0.335011341893671,0.87766064259652,0.0637254373831955,"diet"
"Bifidobacterium","Female","week 5","ran_pars","dam_cage","sd__(Intercept)",0.0509427177189843,NA,NA,NA,NA,NA,NA,NA,0.335011341893671,0.87766064259652,NA,"diet"
"Bifidobacterium","Female","week 5","ran_pars","cohort","sd__(Intercept)",0.0455801032850896,NA,NA,NA,NA,NA,NA,NA,0.335011341893671,0.87766064259652,NA,"diet"
"Bifidobacterium","Female","week 5","ran_pars","Residual","sd__Observation",0.0324569507216591,NA,NA,NA,NA,NA,NA,NA,0.335011341893671,0.87766064259652,NA,"diet"
"Ligilactobacillus","Male","week 10","fixed",NA,"dietHFHS",0.0362700465742786,0.0324279386593004,1.11848141059303,8.64561184665947,0.293474077043932,-0.0375479813887629,0.11008807453732,1.11848141059303,0.0805273752592104,0.898939326301815,0.586948154087863,"diet"
