"order","effect","group","term","estimate","std.error","statistic","df","p.value","conf.low","conf.high","effect_size","R2_marginal","R2_conditional","p.adj","comparison_type"
"Bacteroidales","fixed",NA,"dietHFHS",-0.108248658244613,0.0492442695413005,-2.1981980696013,7.76606825488528,0.0601561002438362,-0.222404315237704,0.00590699874847783,-2.1981980696013,0.265392377133253,0.289222092982668,0.0601561002438362,"diet"
"Bacteroidales","ran_pars","cohort","sd__(Intercept)",0.0168306185640779,NA,NA,NA,NA,NA,NA,NA,0.265392377133253,0.289222092982668,NA,"diet"
"Bacteroidales","ran_pars","Residual","sd__Observation",0.0919194899494606,NA,NA,NA,NA,NA,NA,NA,0.265392377133253,0.289222092982668,NA,"diet"
"Lachnospirales","fixed",NA,"dietHFHS",0.14985472855321,0.0494788568043163,3.02866190190831,11.9999999999204,0.0104926480572224,0.0420495605506181,0.257659896555801,3.02866190190831,0.413695872720771,NA,0.0189160547739401,"diet"
"Lachnospirales","ran_pars","cohort","sd__(Intercept)",0,NA,NA,NA,NA,NA,NA,NA,0.413695872720771,NA,NA,"diet"
"Lachnospirales","ran_pars","Residual","sd__Observation",0.0925664650255002,NA,NA,NA,NA,NA,NA,NA,0.413695872720771,NA,NA,"diet"
"Oscillospirales","fixed",NA,"dietHFHS",0.0900675237588633,0.0193423888884082,4.65648396785365,7.26398580173827,0.00210740237749437,0.0446648482096944,0.135470199308032,4.65648396785365,0.277059777763956,0.84703923437239,0.00421480475498874,"diet"
"Oscillospirales","ran_pars","cohort","sd__(Intercept)",0.0670306498036665,NA,NA,NA,NA,NA,NA,NA,0.277059777763956,0.84703923437239,NA,"diet"
"Oscillospirales","ran_pars","Residual","sd__Observation",0.0347243282056726,NA,NA,NA,NA,NA,NA,NA,0.277059777763956,0.84703923437239,NA,"diet"
"Lactobacillales","fixed",NA,"dietHFHS",-0.0659701563620768,0.0432059012261712,-1.52687837748693,9.60716711566938,0.15901701282399,-0.162775152230654,0.0308348395065003,-1.52687837748693,0.14675306531581,0.18699091754187,0.15901701282399,"diet"
"Lactobacillales","ran_pars","cohort","sd__(Intercept)",0.0179239475527519,NA,NA,NA,NA,NA,NA,NA,0.14675306531581,0.18699091754187,NA,"diet"
"Lactobacillales","ran_pars","Residual","sd__Observation",0.0805682568400668,NA,NA,NA,NA,NA,NA,NA,0.14675306531581,0.18699091754187,NA,"diet"
"Bifidobacteriales","fixed",NA,"dietHFHS",-0.197889834311755,0.022933038547129,-8.62902811178192,11.9999999997644,1.71817870508967e-06,-0.247856632921602,-0.147923035701908,-8.62902811178192,0.851360836398509,NA,1.71817870508967e-06,"diet"
"Bifidobacteriales","ran_pars","cohort","sd__(Intercept)",0,NA,NA,NA,NA,NA,NA,NA,0.851360836398509,NA,NA,"diet"
"Bifidobacteriales","ran_pars","Residual","sd__Observation",0.0429037865405185,NA,NA,NA,NA,NA,NA,NA,0.851360836398509,NA,NA,"diet"
"Erysipelotrichales","fixed",NA,"dietHFHS",-0.0280847393704433,0.0333007219070896,-0.84336728341208,9.7204525957292,0.419292391344622,-0.102573632133282,0.0464041533923953,-0.84336728341208,0.049909941227253,0.0935548750587146,0.419292391344622,"diet"
"Erysipelotrichales","ran_pars","cohort","sd__(Intercept)",0.0136271844532194,NA,NA,NA,NA,NA,NA,NA,0.049909941227253,0.0935548750587146,NA,"diet"
"Erysipelotrichales","ran_pars","Residual","sd__Observation",0.0621026272690574,NA,NA,NA,NA,NA,NA,NA,0.049909941227253,0.0935548750587146,NA,"diet"
