"order","sex","timepoint","effect","group","term","estimate","std.error","statistic","df","p.value","conf.low","conf.high","effect_size","R2_marginal","R2_conditional","p.adj","comparison_type"
"Bacteroidales","Male","week 10","fixed",NA,"dietHFHS",0.00631689474158773,0.0724424055635443,0.087198853937101,9.0599186799205,0.932410340700589,-0.157394149301148,0.170027938784323,0.087198853937101,0.000411092718590985,0.42448067400671,0.932410340700589,"diet"
"Bacteroidales","Male","week 10","ran_pars","dam_cage","sd__(Intercept)",0.0865138285436992,NA,NA,NA,NA,NA,NA,NA,0.000411092718590985,0.42448067400671,NA,"diet"
"Bacteroidales","Male","week 10","ran_pars","cohort","sd__(Intercept)",0.0570392146298973,NA,NA,NA,NA,NA,NA,NA,0.000411092718590985,0.42448067400671,NA,"diet"
"Bacteroidales","Male","week 10","ran_pars","Residual","sd__Observation",0.120718939392631,NA,NA,NA,NA,NA,NA,NA,0.000411092718590985,0.42448067400671,NA,"diet"
"Bacteroidales","Female","week 10","fixed",NA,"dietHFHS",-0.0961980157579145,0.0515799267797307,-1.86502815656802,21.9999999995312,0.075572165349428,-0.203168236750992,0.0107722052351628,-1.86502815656802,0.131365158661243,NA,0.075572165349428,"diet"
"Bacteroidales","Female","week 10","ran_pars","dam_cage","sd__(Intercept)",0,NA,NA,NA,NA,NA,NA,NA,0.131365158661243,NA,NA,"diet"
"Bacteroidales","Female","week 10","ran_pars","cohort","sd__(Intercept)",0,NA,NA,NA,NA,NA,NA,NA,0.131365158661243,NA,NA,"diet"
"Bacteroidales","Female","week 10","ran_pars","Residual","sd__Observation",0.126344501580458,NA,NA,NA,NA,NA,NA,NA,0.131365158661243,NA,NA,"diet"
"Bacteroidales","Male","week 5","fixed",NA,"dietHFHS",-0.063658861014053,0.0461736341858008,-1.37868422394244,9.04037184366428,0.201145669371208,-0.168039817339416,0.0407220953113099,-1.37868422394244,0.0452492586971294,0.685245373503086,0.201145669371208,"diet"
"Bacteroidales","Male","week 5","ran_pars","dam_cage","sd__(Intercept)",0.0434820025271067,NA,NA,NA,NA,NA,NA,NA,0.0452492586971294,0.685245373503086,NA,"diet"
"Bacteroidales","Male","week 5","ran_pars","cohort","sd__(Intercept)",0.114287275488313,NA,NA,NA,NA,NA,NA,NA,0.0452492586971294,0.685245373503086,NA,"diet"
"Bacteroidales","Male","week 5","ran_pars","Residual","sd__Observation",0.085753311099973,NA,NA,NA,NA,NA,NA,NA,0.0452492586971294,0.685245373503086,NA,"diet"
"Bacteroidales","Female","week 5","fixed",NA,"dietHFHS",-0.079130416167932,0.0415850603045378,-1.90285683340219,21.1723539264202,0.0707464966725549,-0.165568436986557,0.00730760465069265,-1.90285683340219,0.170812025906757,NA,0.0707464966725549,"diet"
