"phylum","effect","group","term","estimate","std.error","statistic","df","p.value","conf.low","conf.high","effect_size","R2_marginal","R2_conditional","p.adj","comparison_type"
"Firmicutes","fixed",NA,"dietHFHS",0.234807269578426,0.0766910848112994,3.0617283632925,11.9999999996272,0.0098673021623389,0.0677117500698938,0.401902789086959,3.0617283632925,0.418973134726189,NA,0.0098673021623389,"diet"
"Firmicutes","ran_pars","cohort","sd__(Intercept)",0,NA,NA,NA,NA,NA,NA,NA,0.418973134726189,NA,NA,"diet"
"Firmicutes","ran_pars","Residual","sd__Observation",0.143475881991953,NA,NA,NA,NA,NA,NA,NA,0.418973134726189,NA,NA,"diet"
"Bacteroidota","fixed",NA,"dietHFHS",-0.108248658244613,0.0492442695413005,-2.1981980696013,7.76606825488528,0.0601561002438362,-0.222404315237704,0.00590699874847783,-2.1981980696013,0.265392377133253,0.289222092982668,0.0601561002438362,"diet"
"Bacteroidota","ran_pars","cohort","sd__(Intercept)",0.0168306185640779,NA,NA,NA,NA,NA,NA,NA,0.265392377133253,0.289222092982668,NA,"diet"
"Bacteroidota","ran_pars","Residual","sd__Observation",0.0919194899494606,NA,NA,NA,NA,NA,NA,NA,0.265392377133253,0.289222092982668,NA,"diet"
"Actinobacteriota","fixed",NA,"dietHFHS",-0.18618676012634,0.0289617989307361,-6.42870149646493,11.9999999997746,3.2611807860476e-05,-0.249289099207002,-0.123084421045678,-6.42870149646493,0.760713601799154,NA,3.2611807860476e-05,"diet"
"Actinobacteriota","ran_pars","cohort","sd__(Intercept)",0,NA,NA,NA,NA,NA,NA,NA,0.760713601799154,NA,NA,"diet"
"Actinobacteriota","ran_pars","Residual","sd__Observation",0.0541825644517252,NA,NA,NA,NA,NA,NA,NA,0.760713601799154,NA,NA,"diet"
"Verrucomicrobiota","fixed",NA,"dietHFHS",0.0223954512612351,0.0257986504497638,0.868086154539147,11.9999999997527,0.402374340820821,-0.0338149793269389,0.0786058818494091,0.868086154539147,0.0547911106719938,NA,0.402374340820821,"diet"
"Verrucomicrobiota","ran_pars","cohort","sd__(Intercept)",0,NA,NA,NA,NA,NA,NA,NA,0.0547911106719938,NA,NA,"diet"
"Verrucomicrobiota","ran_pars","Residual","sd__Observation",0.0482648555120788,NA,NA,NA,NA,NA,NA,NA,0.0547911106719938,NA,NA,"diet"
"Deferribacterota","fixed",NA,"dietHFHS",0.0165224713045529,0.00965481151820955,1.71131992306536,11.9999999997596,0.11272231707545,-0.00451355589938772,0.0375584985084935,1.71131992306536,0.183858779778014,NA,0.225444634150899,"diet"
"Deferribacterota","ran_pars","cohort","sd__(Intercept)",0,NA,NA,NA,NA,NA,NA,NA,0.183858779778014,NA,NA,"diet"
"Deferribacterota","ran_pars","Residual","sd__Observation",0.0180624984175094,NA,NA,NA,NA,NA,NA,NA,0.183858779778014,NA,NA,"diet"
"Desulfobacterota","fixed",NA,"dietHFHS",0.021259396895984,0.00523358647105204,4.06210865408908,11.9999999997787,0.00157573690595009,0.00985639154765968,0.0326624022443083,4.06210865408908,0.559332889510377,NA,0.00183799040417258,"diet"
