"phylum","sex","timepoint","effect","group","term","estimate","std.error","statistic","df","p.value","conf.low","conf.high","effect_size","R2_marginal","R2_conditional","p.adj","comparison_type"
"Firmicutes","Female","week 5","fixed",NA,"dietHFHS",0.170929321126478,0.0356148046408642,4.79938954741184,21.9655227440589,8.60673042982822e-05,0.0970620147197492,0.244796627533207,4.79938954741184,0.578694956846387,NA,0.000172134608596564,"diet"
"Firmicutes","Female","week 5","ran_pars","dam_cage","sd__(Intercept)",0,NA,NA,NA,NA,NA,NA,NA,0.578694956846387,NA,NA,"diet"
"Firmicutes","Female","week 5","ran_pars","cohort","sd__(Intercept)",0.0547816205352417,NA,NA,NA,NA,NA,NA,NA,0.578694956846387,NA,NA,"diet"
"Firmicutes","Female","week 5","ran_pars","Residual","sd__Observation",0.0744906484756739,NA,NA,NA,NA,NA,NA,NA,0.578694956846387,NA,NA,"diet"
"Bacteroidota","Male","week 10","fixed",NA,"dietHFHS",0.00631689474158773,0.0724424055635443,0.087198853937101,9.0599186799205,0.932410340700589,-0.157394149301148,0.170027938784323,0.087198853937101,0.000411092718590985,0.42448067400671,0.932410340700589,"diet"
"Bacteroidota","Male","week 10","ran_pars","dam_cage","sd__(Intercept)",0.0865138285436992,NA,NA,NA,NA,NA,NA,NA,0.000411092718590985,0.42448067400671,NA,"diet"
"Bacteroidota","Male","week 10","ran_pars","cohort","sd__(Intercept)",0.0570392146298973,NA,NA,NA,NA,NA,NA,NA,0.000411092718590985,0.42448067400671,NA,"diet"
"Bacteroidota","Male","week 10","ran_pars","Residual","sd__Observation",0.120718939392631,NA,NA,NA,NA,NA,NA,NA,0.000411092718590985,0.42448067400671,NA,"diet"
"Bacteroidota","Female","week 10","fixed",NA,"dietHFHS",-0.0961980157579145,0.0515799267797307,-1.86502815656802,21.9999999995312,0.075572165349428,-0.203168236750992,0.0107722052351628,-1.86502815656802,0.131365158661243,NA,0.075572165349428,"diet"
"Bacteroidota","Female","week 10","ran_pars","dam_cage","sd__(Intercept)",0,NA,NA,NA,NA,NA,NA,NA,0.131365158661243,NA,NA,"diet"
"Bacteroidota","Female","week 10","ran_pars","cohort","sd__(Intercept)",0,NA,NA,NA,NA,NA,NA,NA,0.131365158661243,NA,NA,"diet"
"Bacteroidota","Female","week 10","ran_pars","Residual","sd__Observation",0.126344501580458,NA,NA,NA,NA,NA,NA,NA,0.131365158661243,NA,NA,"diet"
"Firmicutes","Female","week 10","fixed",NA,"dietHFHS",0.0960155852682727,0.0462228799634505,2.07723069925964,19.6043158948333,0.0511485449175084,-0.000528562855689099,0.192559733392235,2.07723069925964,0.17578072183586,NA,0.0511485449175084,"diet"
"Firmicutes","Female","week 10","ran_pars","dam_cage","sd__(Intercept)",0,NA,NA,NA,NA,NA,NA,NA,0.17578072183586,NA,NA,"diet"
"Firmicutes","Female","week 10","ran_pars","cohort","sd__(Intercept)",0.033743637986728,NA,NA,NA,NA,NA,NA,NA,0.17578072183586,NA,NA,"diet"
"Firmicutes","Female","week 10","ran_pars","Residual","sd__Observation",0.106191364939006,NA,NA,NA,NA,NA,NA,NA,0.17578072183586,NA,NA,"diet"
"Firmicutes","Male","week 5","fixed",NA,"dietHFHS",0.142485301105487,0.0511680972564164,2.78465115463366,7.85343985592064,0.02418477890079,0.0241070702220892,0.260863531988885,2.78465115463366,0.308305409729635,0.595277521091318,0.02418477890079,"diet"
"Firmicutes","Male","week 5","ran_pars","dam_cage","sd__(Intercept)",0.063130725616607,NA,NA,NA,NA,NA,NA,NA,0.308305409729635,0.595277521091318,NA,"diet"
"Firmicutes","Male","week 5","ran_pars","cohort","sd__(Intercept)",0.0307283199786779,NA,NA,NA,NA,NA,NA,NA,0.308305409729635,0.595277521091318,NA,"diet"
"Firmicutes","Male","week 5","ran_pars","Residual","sd__Observation",0.0833815304603628,NA,NA,NA,NA,NA,NA,NA,0.308305409729635,0.595277521091318,NA,"diet"
"Bacteroidota","Male","week 5","fixed",NA,"dietHFHS",-0.063658861014053,0.0461736341858008,-1.37868422394244,9.04037184366428,0.201145669371208,-0.168039817339416,0.0407220953113099,-1.37868422394244,0.0452492586971294,0.685245373503086,0.201145669371208,"diet"
"Bacteroidota","Male","week 5","ran_pars","dam_cage","sd__(Intercept)",0.0434820025271067,NA,NA,NA,NA,NA,NA,NA,0.0452492586971294,0.685245373503086,NA,"diet"
"Bacteroidota","Male","week 5","ran_pars","cohort","sd__(Intercept)",0.114287275488313,NA,NA,NA,NA,NA,NA,NA,0.0452492586971294,0.685245373503086,NA,"diet"
"Bacteroidota","Male","week 5","ran_pars","Residual","sd__Observation",0.085753311099973,NA,NA,NA,NA,NA,NA,NA,0.0452492586971294,0.685245373503086,NA,"diet"
"Bacteroidota","Female","week 5","fixed",NA,"dietHFHS",-0.079130416167932,0.0415850603045378,-1.90285683340219,21.1723539264202,0.0707464966725549,-0.165568436986557,0.00730760465069265,-1.90285683340219,0.170812025906757,NA,0.0707464966725549,"diet"
"Bacteroidota","Female","week 5","ran_pars","dam_cage","sd__(Intercept)",0,NA,NA,NA,NA,NA,NA,NA,0.170812025906757,NA,NA,"diet"
"Bacteroidota","Female","week 5","ran_pars","cohort","sd__(Intercept)",0.0531673641122144,NA,NA,NA,NA,NA,NA,NA,0.170812025906757,NA,NA,"diet"
"Bacteroidota","Female","week 5","ran_pars","Residual","sd__Observation",0.0890476438081291,NA,NA,NA,NA,NA,NA,NA,0.170812025906757,NA,NA,"diet"
"Firmicutes","Male","week 10","fixed",NA,"dietHFHS",0.0615417886446717,0.0381204414030891,1.6144038835732,22.0000000001693,0.120692382795029,-0.0175151681177731,0.140598745407117,1.6144038835732,0.101783541923129,NA,0.120692382795029,"diet"
"Firmicutes","Male","week 10","ran_pars","dam_cage","sd__(Intercept)",0,NA,NA,NA,NA,NA,NA,NA,0.101783541923129,NA,NA,"diet"
