"metric","sex","timepoint","statistic_diet","p.adj_diet","conf.low_diet","conf.high_diet","R2_marginal_diet","R2_conditional_diet","effect_size_diet","statistic_treatment_FOSGOS","p.adj_treatment_FOSGOS","statistic_treatment_1472","p.adj_treatment_1472","restoration_FOSGOS","restoration_1472"
"chao1","Female","week 5",1.46674741750183,0.189174027782068,-57.189571789088,45.4076153636639,0.0357717176189208,NA,-0.251930450108944,-0.561622184704161,1,-0.251930450108944,1,"not restored","not restored"
"chao1","Female","week 10",0.96090427685844,0.347043253002564,-72.5380754836026,23.2535868745406,0.11585406307616,0.202710167824724,-1.18589641612313,-1.99471696402676,0.170725644208451,-1.18589641612313,0.269603153797711,"not restored","not restored"
"chao1","Male","week 5",-0.354929301896968,0.73060782684213,-56.2750269738088,40.8667042224252,0.396734568890301,NA,-0.338486074633957,2.25786421936326,0.0798789875786435,-0.338486074633957,0.739751696555339,"not restored","not restored"
"chao1","Male","week 10",0.122872870710656,0.903382547472836,-30.6271088383742,69.0190528858102,0.104610989081118,0.273337346030225,0.84238576663101,-1.20722265093768,0.508867634962615,0.84238576663101,0.508867634962615,"not restored","not restored"
"shannon","Female","week 5",1.2084732838332,0.268353371898714,-0.371695050171184,0.358202423470037,0.0613284585058564,0.621168153896673,-0.0411214613818833,-0.978699492565678,0.704369351890298,-0.0411214613818833,0.967998911040115,"not restored","not restored"
"shannon","Female","week 10",0.332038026325273,0.743857312002498,-0.646056243100858,0.152520291322928,0.288957032991047,0.43693962285557,-1.36548792481794,-3.49085628117923,0.0124759026355638,-1.36548792481794,0.200207871129209,"not restored","not restored"
"shannon","Male","week 5",0.408527821804561,0.691213500224498,-0.632862642297645,0.335852700467112,0.134346336892389,0.777389441923886,-0.689928003323733,1.69153445890094,0.25589785194914,-0.689928003323733,0.507047419136329,"not restored","not restored"
"shannon","Male","week 10",-0.533978569176168,0.61034479127375,-0.0742494352402671,0.572373117990356,0.301416407840539,0.709949707036156,1.69646726709197,-2.25831408639739,0.095029912040417,1.69646726709197,0.118004748963816,"not restored","not restored"
"simpson","Female","week 5",1.11382833300978,0.305113373333436,-0.0207066892219314,0.0223828670132455,0.109235059185204,0.646344973244912,0.0876654455017337,-1.35921671385211,0.416603289397136,0.0876654455017337,0.932015303445984,"not restored","not restored"
"simpson","Female","week 10",-0.63745792354361,0.530405512309615,-0.0465454145735712,0.041424113988815,0.203776137791554,0.451578126819859,-0.12760050881496,-2.2660987987833,0.0912099308082791,-0.12760050881496,0.90069008876039,"not restored","not restored"
"simpson","Male","week 5",0.0646506479710042,0.949709908403999,-0.0666938952407235,0.0430911375528323,0.0610856116217495,0.683324320490985,-0.482917827860148,0.832653339029563,0.856503649325172,-0.482917827860148,0.856503649325172,"not restored","not restored"
"simpson","Male","week 10",-0.50308708151587,0.629579834597578,-0.0116018967318071,0.0407045306470109,0.212764093829679,0.577592744808725,1.22412329384916,-1.83830453584682,0.191382671736435,1.22412329384916,0.246397720110191,"not restored","not restored"
