"family","statistic_diet","p.adj_diet","conf.low_diet","conf.high_diet","R2_marginal_diet","R2_conditional_diet","effect_size_diet","statistic_treatment_FOSGOS","p.adj_treatment_FOSGOS","conf.low_treatment_FOSGOS","conf.high_treatment_FOSGOS","R2_marginal_treatment_FOSGOS","R2_conditional_treatment_FOSGOS","effect_size_treatment_FOSGOS","statistic_treatment_1472","p.adj_treatment_1472","conf.low_treatment_1472","conf.high_treatment_1472","R2_marginal_treatment_1472","R2_conditional_treatment_1472","effect_size_treatment_1472","restoration_FOSGOS","restoration_1472"
"Acholeplasmataceae",0.240648795858161,1,-0.000132882516997749,0.000164982757090835,0.00454431067381916,NA,0.240648795858161,-1.22474487139159,0.472916886411899,-0.000161757066914084,4.26163691963732e-05,0.0909090909090909,NA,-1.22474487139159,-1.22474487139159,0.472916886411899,-0.000161757066914084,4.26163691963733e-05,0.0909090909090909,NA,-1.22474487139159,"not restored","not restored"
"Akkermansiaceae",0.868086154539147,0.402374340820821,-0.0338149793269389,0.0786058818494091,0.0547911106719938,NA,0.868086154539147,1.26764913778477,0.24055762594722,-0.0409419915765469,0.165511217740054,0.215019048423976,NA,1.26764913778477,2.33780320307942,0.0934339727593814,0.0116389079073755,0.218092117223977,0.215019048423976,NA,2.33780320307942,"not restored","not restored"
"Anaerovoracaceae",4.31485184154245,0.00434804142901545,0.000602010887363112,0.00194972683470786,0.499069521268121,0.665049921483192,4.31485184154245,-5.3558126253622,0.000132854052535575,-0.00217329219106554,-0.000940038873426337,0.551971874463609,0.628585370204656,-5.3558126253622,-2.92311182480162,0.0100468208730103,-0.0014591212309485,-0.000231709512499512,0.551971874463609,0.628585370204656,-2.92311182480162,"restored","restored"
"Atopobiaceae",0.658533681236849,1,-0.0211806536339183,0.0395301440191758,0.0322820732369805,NA,0.658533681236849,0.400027664855471,1,-0.0263123573221071,0.0386889881214131,0.0230280981999209,NA,0.400027664855471,-0.283252931790533,1,-0.0368825158636051,0.0281188295799101,0.0230280981999209,NA,-0.283252931790533,"not restored","not restored"
"Bacteroidaceae",1.1527110380347,0.278638930429824,-0.0377409686904306,0.116239571376911,0.0877907437844893,0.148880569900398,1.1527110380347,2.82309089822994,0.0387267567271027,0.048845711219,0.350588762665679,0.312099191632453,0.507263065939185,2.82309089822994,-0.349609612191385,0.731451689417018,-0.174663266627186,0.12540853185192,0.312099191632453,0.507263065939185,-0.349609612191385,"not restored","not restored"
"Bifidobacteriaceae",-8.62902811178192,1.71817870508967e-06,-0.247856632921602,-0.147923035701908,0.851360836398509,NA,-8.62902811178192,4.37454454519119,0.00109643457316624,0.0493861858582527,0.140655977679516,0.555989594486459,NA,4.37454454519119,0.0823941128089892,1,-0.0438451832560606,0.0474246085651954,0.555989594486459,NA,0.0823941128089892,"restored","not restored"
"Butyricicoccaceae",0.869448419062521,0.41900697561791,-0.00154369896528432,0.00322573816950733,0.0298349206376684,0.515070077408199,0.869448419062521,-2.84249043293008,0.0216097398607875,-0.00655568980071066,-0.000983428426175014,0.341273895287872,NA,-2.84249043293008,-0.113036295019535,0.911252922800897,-0.00293603338917332,0.00263622798535954,0.341273895287872,NA,-0.113036295019535,"not restored","not restored"
"Caldicoprobacteraceae",NA,NA,NA,NA,NA,NA,NA,1.22474487139159,0.709375329618503,-2.78442078191203e-05,0.000105687027597424,0.0909090909090909,NA,1.22474487139159,0,1,-6.67656177082152e-05,6.67656177082152e-05,0.0909090909090909,NA,0,"not restored","not restored"
"Carnobacteriaceae",-1,0.365433525411888,-0.000130702390102293,4.8468929307095e-05,0.0714285714285714,NA,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"not restored","not restored"
"Christensenellaceae",3.39045819180659,0.0197024672958922,0.000468590749532458,0.0024892120475841,0.0691120032218189,0.928842269180319,3.39045819180659,-3.15422749963275,0.0109744400684035,-0.00456309546077217,-0.000914594974716201,0.332422116476447,NA,-3.15422749963275,-1.66328258919792,0.113569043234809,-0.00326849406048129,0.000380006425577148,0.332422116476447,NA,-1.66328258919792,"restored","not restored"
"Clostridiaceae",1.50834768024392,0.314669802182455,-0.00105720880157116,0.00581402112729316,0.148942450738746,NA,1.50834768024392,-1.75714567763755,0.191777779408305,-0.00588614711750934,0.000524490079949153,0.175772006308872,NA,-1.75714567763755,0.0612023106567022,0.951872532385761,-0.0031119439275722,0.00329869326988549,0.175772006308872,NA,0.0612023106567022,"not restored","not restored"
"Deferribacteraceae",1.71131992306536,0.225444634150899,-0.00451355589938772,0.0375584985084935,0.183858779778014,NA,1.71131992306536,-1.97149759263589,0.132945374801399,-0.0330884985160219,0.00121971984516137,0.160422285775005,0.231011068596923,-1.97149759263589,-1.38380678832401,0.186125148960792,-0.0282631813061,0.00597934326519641,0.160422285775005,0.231011068596923,-1.38380678832401,"not restored","not restored"
"Defluviitaleaceae",NA,NA,NA,NA,NA,NA,NA,-1.97504966750265e-16,1,-3.33671271043966e-05,3.33671271043966e-05,0.0909090909090909,NA,-1.97504966750265e-16,1.22474487139159,0.709375329619115,-1.39155639281792e-05,5.28186902806707e-05,0.0909090909090909,NA,1.22474487139159,"not restored","not restored"
"Desulfovibrionaceae",4.06210865408908,0.00183799040417258,0.00985639154765968,0.0326624022443083,0.559332889510377,NA,4.06210865408908,-4.39416762760114,0.000831929580279558,-0.0406912269318645,-0.014261023164805,0.479985772874237,0.509761942223511,-4.39416762760114,-2.17755945992271,0.0444627349845544,-0.0267720727439328,-0.000378710208331464,0.479985772874237,0.509761942223511,-2.17755945992271,"restored","restored"
"Eggerthellaceae",2.07971332446965,0.0659232206238766,-0.000216697100878669,0.00561008314197567,0.203046712786973,0.408805278890926,2.07971332446965,-3.41543179345376,0.00616850760270799,-0.00736848132101269,-0.00175585918793937,0.481513457478777,NA,-3.41543179345376,0.568569400370733,0.576673974231234,-0.00204684328534791,0.00356577884772587,0.481513457478777,NA,0.568569400370733,"not restored","not restored"
"Enterobacteriaceae",-1.30981191900088,0.246704900244402,-0.00505798258484616,0.0013104430544306,0.10830988786914,0.189211077527586,-1.30981191900088,-0.0596120878876114,1,-0.00172758508530004,0.00163335426862695,0.129970591766952,0.225512492027456,-0.0596120878876114,1.54381654374747,0.429696370116449,-0.000460773673678166,0.00289052583729294,0.129970591766952,0.225512492027456,1.54381654374747,"not restored","not restored"
"Enterococcaceae",0.856793002235943,0.823407160896861,-0.00106965638165727,0.0024050193802187,0.0510606510780973,0.102475712319664,0.856793002235943,-1.47508475507442,0.314934403119338,-0.00268790879403966,0.000470411170540887,0.104915984244296,NA,-1.47508475507442,-0.382159304865151,0.706817745703864,-0.00186641037499522,0.00129190958958533,0.104915984244296,NA,-0.382159304865151,"not restored","not restored"
"Erysipelatoclostridiaceae",3.25941188265531,0.0221570288896682,0.00352704270208622,0.020294840990683,0.366179665759396,0.5687808894467,3.25941188265531,-2.67880481659828,0.0335203363232819,-0.0193836381579596,-0.00223613352382586,0.264521217587044,0.276602712779821,-2.67880481659828,-1.62133996902603,0.126207580822437,-0.0151434821158099,0.00207214580216483,0.264521217587044,0.276602712779821,-1.62133996902603,"restored","not restored"
"Erysipelotrichaceae",-1.2556508044618,0.233141732561323,-0.109801811907885,0.0295140300933408,0.108163259423054,NA,-1.2556508044618,-0.609135674546246,1,-0.0589296915361691,0.0324386118747797,0.042782063990617,NA,-0.609135674546246,0.321633321994489,1,-0.0386902960582444,0.0526780073527114,0.042782063990617,NA,0.321633321994489,"not restored","not restored"
