"family","sex","timepoint","statistic_diet","p.adj_diet","conf.low_diet","conf.high_diet","R2_marginal_diet","R2_conditional_diet","effect_size_diet","statistic_treatment_FOSGOS","p.adj_treatment_FOSGOS","conf.low_treatment_FOSGOS","conf.high_treatment_FOSGOS","R2_marginal_treatment_FOSGOS","R2_conditional_treatment_FOSGOS","effect_size_treatment_FOSGOS","statistic_treatment_1472","p.adj_treatment_1472","conf.low_treatment_1472","conf.high_treatment_1472","R2_marginal_treatment_1472","R2_conditional_treatment_1472","effect_size_treatment_1472","restoration_FOSGOS","restoration_1472"
"Acholeplasmataceae","Female","week 5",NA,NA,NA,NA,NA,NA,NA,1.24316312101612,0.66693705655736,-8.59777398384337e-06,3.56886056723762e-05,0.0548316346277899,NA,1.24316312101612,-1.01638476397806e-16,1,-2.17131840435959e-05,2.17131840435959e-05,0.0548316346277899,NA,-1.01638476397806e-16,"not restored","not restored"
"Acholeplasmataceae","Female","week 10",NA,NA,NA,NA,NA,NA,NA,-6.69433174858929e-10,1,-1.80716800919202e-05,1.80716800800144e-05,0.083508412307905,NA,-6.69433174858929e-10,1.5580016932697,0.385481288663054,-4.13530788179348e-06,3.13061666876304e-05,0.083508412307905,NA,1.5580016932697,"not restored","not restored"
"Acholeplasmataceae","Male","week 5",-0.987248640096646,0.405290491616853,-8.37990663215559e-05,3.27545972687484e-05,0.0456392000317273,NA,-0.987248640096646,1.22636226234431,0.744213356054891,-2.07947603893132e-05,7.17555524516666e-05,0.0543972243031013,NA,1.22636226234431,0.849572367525363,0.826850026990282,-2.84154318780148e-05,6.42411824556933e-05,0.0543972243031013,NA,0.849572367525363,"not restored","not restored"
"Akkermansiaceae","Female","week 5",0.070368828629194,0.946265572681153,-0.0674651106411831,0.0714250326471178,0.000223516601261044,0.456193109186422,0.070368828629194,1.70868027911195,0.363250311637854,-0.020909215774985,0.151455596519809,0.112184116308913,0.572615962272624,1.70868027911195,0.725906132688437,0.483873483340942,-0.0563115445299383,0.111181256760155,0.112184116308913,0.572615962272624,0.725906132688437,"not restored","not restored"
"Akkermansiaceae","Female","week 10",0.901213887679487,0.378178968621446,-0.0119922249779572,0.0302406876096083,0.0398665056750269,NA,0.901213887679487,2.65033193687728,0.0688824448606071,0.0282912222524411,0.310038125675068,0.386473366608733,0.952083079413052,2.65033193687728,-0.103166072336861,1,-0.143177525179786,0.130278636093178,0.386473366608733,0.952083079413052,-0.103166072336861,"not restored","not restored"
"Akkermansiaceae","Male","week 5",1.67834600951467,0.244698185701967,-0.0352855692805836,0.258109001884588,0.378578153499475,NA,1.67834600951467,-0.508592810066525,1,-0.164721112695217,0.103225658069638,0.0208387207849817,0.540722287727009,-0.508592810066525,0.198498827788122,1,-0.121886752372282,0.146069589948735,0.0208387207849817,0.540722287727009,0.198498827788122,"not restored","not restored"
"Akkermansiaceae","Male","week 10",0.156557728141428,0.879098194658468,-0.097290906225184,0.111724357573079,0.00177551826148628,0.656026888721554,0.156557728141428,1.59547667371822,0.417874038922509,-0.0317989306784443,0.198367145147822,0.121360927875211,0.838872054707792,1.59547667371822,-0.0595660545804187,0.953519697905226,-0.118698121279585,0.112407451514223,0.121360927875211,0.838872054707792,-0.0595660545804187,"not restored","not restored"
"Anaerofustaceae","Female","week 10",0.994149249779877,0.80797594402678,-7.35367161569555e-06,1.32005464772204e-05,0.0430594387714037,NA,0.994149249779877,-1.32888242741399,0.614959893335435,-1.13269547430482e-05,5.06858532518317e-06,0.0615230655234664,NA,-1.32888242741399,-1.29452306335184,0.614959893335435,-1.09069213763665e-05,4.92653374876068e-06,0.0615230655234664,NA,-1.29452306335184,"not restored","not restored"
"Anaerovoracaceae","Female","week 5",3.12925713003958,0.00977861328088799,0.000245948502651441,0.00121296743172882,0.367012243604691,NA,3.12925713003958,-3.3616708373633,0.0038549513838616,-0.00125714069958808,-0.000309837368323055,0.327643752601478,NA,-3.3616708373633,-0.302780831386635,0.763978180625672,-0.000553959829856358,0.000410488660072517,0.327643752601478,NA,-0.302780831386635,"restored","not restored"
"Anaerovoracaceae","Female","week 10",0.81909631522862,0.421615842130407,-0.000213829869374345,0.00049269281638634,0.0407534177973305,NA,0.81909631522862,-3.73883749088827,0.00845812112622866,-0.00110799316085564,-0.000276651055499321,0.425382890370461,NA,-3.73883749088827,-1.06800364932351,0.310432694017647,-0.000590589668835155,0.000207596131399089,0.425382890370461,NA,-1.06800364932351,"not restored","not restored"
"Anaerovoracaceae","Male","week 5",2.42901439524952,0.0881902318488548,1.59258010210997e-05,0.00090653677342917,0.224704324077449,0.369655757424928,2.42901439524952,-2.7640564672382,0.0287527807723034,-0.000669315839761071,-0.000100762819527185,0.19070030436493,NA,-2.7640564672382,-1.34884334315664,0.186876315630995,-0.000493491006043387,0.000100312222331228,0.19070030436493,NA,-1.34884334315664,"not restored","not restored"
"Anaerovoracaceae","Male","week 10",0.327642281575493,0.746394948869253,-0.000353274604868791,0.000485501191205318,0.00513073759428889,NA,0.327642281575493,-4.64662299519882,0.0016080359539027,-0.00106123246918452,-0.000376262907749997,0.679744667784763,NA,-4.64662299519882,0.800658600253518,0.440234418450584,-0.000218291308254818,0.000468045439500383,0.679744667784763,NA,0.800658600253518,"not restored","not restored"
"Atopobiaceae","Female","week 5",-1.00768131258812,0.343134208305027,-0.00210432586322223,0.000824618239831351,0.857323406404403,NA,-1.00768131258812,1.65266991896297,0.373508056249403,-0.000990262604750026,0.0071889692052242,0.530304689384623,NA,1.65266991896297,0.433671734435211,1,-0.00315081933420514,0.00471472456594768,0.530304689384623,NA,0.433671734435211,"not restored","not restored"
"Atopobiaceae","Female","week 10",0.573190672179162,0.83399119108774,-0.00578550208043422,0.00959549109160644,0.494310544785107,NA,0.573190672179162,0.0855314159512938,0.933368528172971,-0.00598211854514692,0.00646615020281905,0.531476298277979,NA,0.0855314159512938,-1.27497773745561,0.457026422996108,-0.00945543466127275,0.00251737909914173,0.531476298277979,NA,-1.27497773745561,"not restored","not restored"
"Atopobiaceae","Male","week 5",1.08653011957993,0.334199391156847,-0.00390143880589875,0.0124881832182658,0.0488222068153382,NA,1.08653011957993,0.0768390444457297,0.939817729417486,-0.0126322268600986,0.0135727805846133,0.0949029515677097,NA,0.0768390444457297,-0.993618266909636,0.67298509839237,-0.0192981175690385,0.00704170112137862,0.0949029515677097,NA,-0.993618266909636,"not restored","not restored"
"Atopobiaceae","Male","week 10",-0.199153295685062,0.846539080644269,-0.030032367398342,0.0251675706037111,0.00244662072590335,0.619178829394521,-0.199153295685062,1.16873743920326,0.692090872065048,-0.00975392576264735,0.0320376183127264,0.187614959100426,0.96292420314149,1.16873743920326,-0.956147006082052,0.692090872065048,-0.0300216336194387,0.0117382671369634,0.187614959100426,0.96292420314149,-0.956147006082052,"not restored","not restored"
"Bacteroidaceae","Female","week 5",0.724539016945115,0.503549916901259,-0.0606446554534833,0.106753305963483,0.0186429583269337,0.717978754862735,0.724539016945115,2.87268586033741,0.0139275677417226,0.0214567328793377,0.125224420009636,0.188253432692202,NA,2.87268586033741,1.19757133316062,0.239366541765739,-0.0208956540549378,0.0808569347061783,0.188253432692202,NA,1.19757133316062,"not restored","not restored"
"Bacteroidaceae","Female","week 10",-1.61674089194035,0.157251741452287,-0.153671406958289,0.0314625711761482,0.124152854604107,0.500177924913794,-1.61674089194035,1.58569087327783,0.278320719963685,-0.0473770852513123,0.299230043187927,0.364543155720663,NA,1.58569087327783,1.17094818339404,0.278320719963685,-0.0771975006118035,0.255989470799818,0.364543155720663,NA,1.17094818339404,"not restored","not restored"
"Bacteroidaceae","Male","week 5",1.12258149293617,0.293071494278939,-0.045072174601983,0.131605130547835,0.0769129366066784,0.593950401783271,1.12258149293617,-1.65726080789748,0.2492410271432,-0.143536501441556,0.0199013472181611,0.120274003067273,0.66721622631451,-1.65726080789748,-0.906334622276254,0.383606067863943,-0.116051290149469,0.0481749019660759,0.120274003067273,0.66721622631451,-0.906334622276254,"not restored","not restored"
"Bacteroidaceae","Male","week 10",1.56717288963868,0.147665007075111,-0.0267404171764963,0.15446189781531,0.336767417655423,NA,1.56717288963868,-1.62245415884999,0.183928701677798,-0.122188236807048,0.0201577048135454,0.0833666142232282,0.820446078877106,-1.62245415884999,-1.86827934557403,0.183928701677798,-0.132950392449154,0.0118903685305433,0.0833666142232282,0.820446078877106,-1.86827934557403,"not restored","not restored"
"Bifidobacteriaceae","Female","week 5",-2.69344162826953,0.063721689856206,-0.198076128215278,-0.0122398375788195,0.335023683041878,0.877654588039491,-2.69344162826953,2.68634370260329,0.0621112829730343,0.00764631867284942,0.0757030902352479,0.545648298292916,NA,2.68634370260329,0.653868610509228,1,-0.0229469464133977,0.0424548199484113,0.545648298292916,NA,0.653868610509228,"not restored","not restored"
"Bifidobacteriaceae","Female","week 10",-0.680482336227629,0.520324045063079,-0.107586407607866,0.0603133999302076,0.0320360692193623,0.548355894750881,-0.680482336227629,2.69760525737817,0.0773853750550506,0.0109453504559884,0.131644826151383,0.434387972251155,NA,2.69760525737817,0.141958338228359,0.890340687639286,-0.0542775603875843,0.0615071057130979,0.434387972251155,NA,0.141958338228359,"not restored","not restored"
"Bifidobacteriaceae","Male","week 5",-5.27394391569328,0.00145825059828621,-0.253412259360132,-0.0993979471482942,0.600672946068367,0.847376509860517,-5.27394391569328,5.03064008129963,0.00106223248173204,0.0685529350753236,0.17460467690098,0.603804416081099,0.826721885109038,5.03064008129963,0.0653569212689986,1,-0.0515026224804665,0.0546747726729752,0.603804416081099,0.826721885109038,0.0653569212689986,"restored","not restored"
"Bifidobacteriaceae","Male","week 10",-1.3608155377097,0.209717943148728,-0.184405306356262,0.047137657618858,0.12125284884483,0.826927396506772,-1.3608155377097,3.66797012049178,0.00858366594373298,0.0477652808828019,0.184835123455406,0.936468524976848,NA,3.66797012049178,-0.829693649149091,0.421709428141919,-0.0949026883339075,0.0422407446774614,0.936468524976848,NA,-0.829693649149091,"not restored","not restored"
"Butyricicoccaceae","Female","week 5",2.57614803285305,0.0836413699326956,0.000177433755153023,0.00675665430316171,0.322744740171515,0.76555430018149,2.57614803285305,-3.55219210957665,0.0086156701845792,-0.00861205222453706,-0.00203920478209338,0.799839785467474,NA,-3.55219210957665,-0.0904892844147402,0.929471745475673,-0.00328986835684799,0.00302902445534935,0.799839785467474,NA,-0.0904892844147402,"not restored","not restored"
"Butyricicoccaceae","Female","week 10",0.542338130083708,0.605577204327501,-0.00202419414145373,0.00320659250655181,0.0168556052512033,0.442033478241841,0.542338130083708,-3.79586727302923,0.00746795801754757,-0.00495905940282054,-0.00127952837573154,0.459769999645815,0.632952763174558,-3.79586727302923,0.156862471236679,0.878208953088385,-0.00163912708483902,0.00189053355528533,0.459769999645815,0.632952763174558,0.156862471236679,"not restored","not restored"
"Butyricicoccaceae","Male","week 5",2.88593555012471,0.0178812106082486,0.000382272928658016,0.00236141626712423,0.28479562076467,NA,2.88593555012471,-1.66516355713635,0.263874659370693,-0.00233340423661455,0.000363490213877448,0.128063167602493,0.629587635417738,-1.66516355713635,1.23000914610022,0.263874659370693,-0.000620309159891353,0.00213382090445119,0.128063167602493,0.629587635417738,1.23000914610022,"not restored","not restored"
"Butyricicoccaceae","Male","week 10",0.986218248618139,0.35391841451193,-0.0011600971255303,0.00287492327781474,0.0504039165425556,0.57694609099411,0.986218248618139,-3.68742787315703,0.00705625087931893,-0.00535871718641109,-0.00135538867408054,0.477263850290381,0.797902570385417,-3.68742787315703,0.265385863771141,0.795458098369279,-0.00176033396060872,0.00224528655400572,0.477263850290381,0.797902570385417,0.265385863771141,"not restored","not restored"
"Chlamydiaceae","Female","week 5",NA,NA,NA,NA,NA,NA,NA,0.666755516039201,1,-6.40451235491878e-06,1.29697682070995e-05,0.0861185392623493,NA,0.666755516039201,1.60204609768598,0.330480090750094,-1.81637469924745e-06,1.77362229571173e-05,0.0861185392623493,NA,1.60204609768598,"not restored","not restored"
"Chlamydiaceae","Female","week 10",-0.533883988333385,0.622461537744462,-2.88689775687667e-05,1.96435511004595e-05,0.012959030899643,NA,-0.533883988333385,-1.24316312101612,0.575672319526178,-1.13055040376955e-05,4.74769696837952e-06,0.0548316346277899,NA,-1.24316312101612,-1.26778260252802,0.575672319526178,-1.11496328794276e-05,4.59182581011161e-06,0.0548316346277899,NA,-1.26778260252802,"not restored","not restored"
"Chlamydiaceae","Male","week 10",1.14643349685459,0.730792400359863,-8.06160552775608e-06,1.42971303572993e-05,0.0562439885208977,NA,1.14643349685459,-0.946048047182452,0.713779498047626,-8.79162684209355e-06,4.80926138207343e-06,0.057434179632749,NA,-0.946048047182452,-1.39446717444866,0.713779498047626,-9.9831083708001e-06,3.96258522149335e-06,0.057434179632749,NA,-1.39446717444866,"not restored","not restored"
"Christensenellaceae","Female","week 5",3.74202136203964,0.00225833447400366,0.000798811525145764,0.00278500629471055,0.37842413768395,NA,3.74202136203964,-6.81339883682581,1.54399572286684e-07,-0.00386961448356997,-0.0020915634182752,0.597559530645436,NA,-6.81339883682581,-1.19303686681032,0.241114081925977,-0.0013835320186052,0.000359990496414161,0.597559530645436,NA,-1.19303686681032,"restored","not restored"
"Christensenellaceae","Female","week 10",1.27358143682104,0.239407046451753,-0.000417523794875436,0.00143792017978809,0.0667879406497889,NA,1.27358143682104,-7.30721089807141,3.66004144346839e-08,-0.00257934853806099,-0.00145682764675857,0.599511777855124,NA,-7.30721089807141,-4.33115948409821,0.000124145555578254,-0.00172330165233961,-0.000622579358269053,0.599511777855124,NA,-4.33115948409821,"not restored","not restored"
"Christensenellaceae","Male","week 5",0.945737144288805,0.354554975041357,-0.000345632828519317,0.000925133573727642,0.0374321198432164,NA,0.945737144288805,-3.66895483626346,0.00281108473549866,-0.00150187157096324,-0.000427852941610886,0.535432476652631,NA,-3.66895483626346,2.24614744993178,0.0319382612146057,5.72293639432155e-05,0.00118538392044595,0.535432476652631,NA,2.24614744993178,"not restored","not restored"
"Christensenellaceae","Male","week 10",0.869728142063679,0.404911437186991,-0.000677175351273464,0.0015436273901106,0.0537396626572815,NA,0.869728142063679,-6.03847743260997,0.000539886416990803,-0.00259633879586707,-0.00118389800958796,0.531955568695469,0.741408401526839,-6.03847743260997,-0.538087580649037,0.601814658042807,-0.00088422185552701,0.00053869228241983,0.531955568695469,0.741408401526839,-0.538087580649037,"not restored","not restored"
"Clostridiaceae","Female","week 5",3.1641272954061,0.00915382527748358,0.00384781042344206,0.0185394068767144,0.363427439026659,NA,3.1641272954061,-2.90129162940302,0.0259012035024225,-0.0157605009196771,-0.0014235412609725,0.257264954999655,0.492877993319444,-2.90129162940302,-3.17454908032724,0.0235008176413367,-0.0163532217307722,-0.00270454618764599,0.257264954999655,0.492877993319444,-3.17454908032724,"restored","restored"
"Clostridiaceae","Female","week 10",2.03604581911442,0.147335559265706,-9.2025525754452e-05,0.00163981988354075,0.238078853088796,NA,2.03604581911442,-1.36388560963515,0.613050751804255,-0.00306635545045484,0.00075018240666031,0.116182851635298,0.783412875152492,-1.36388560963515,0.26075968358538,0.799264212139432,-0.00165978344091007,0.00210372165877996,0.116182851635298,0.783412875152492,0.26075968358538,"not restored","not restored"
"Clostridiaceae","Male","week 5",1.79586584353773,0.221150662284611,-0.000731694506305613,0.00584799960665425,0.130215678445852,0.635104361655662,1.79586584353773,-1.40242739721519,0.376645497259112,-0.00582603583478064,0.00129047643961306,0.0879969515300859,0.732789680791909,-1.40242739721519,-0.599573230588249,0.560605212764581,-0.00452817809932428,0.00258412576749157,0.0879969515300859,0.732789680791909,-0.599573230588249,"not restored","not restored"
"Clostridiaceae","Male","week 10",2.14189873088851,0.11522586540041,-3.75397315140235e-05,0.00196174023037616,0.365481813563386,NA,2.14189873088851,-0.193307174988646,1,-0.0104756382430956,0.00877354889020779,0.165765000711483,0.973427273642947,-0.193307174988646,1.48402172858337,0.493407633577268,-0.00309398590075955,0.0161521547129407,0.165765000711483,0.973427273642947,1.48402172858337,"not restored","not restored"
"Comamonadaceae","Female","week 10",NA,NA,NA,NA,NA,NA,NA,1.78700690025623,0.234515319552157,-8.29692344248536e-07,1.51778256771249e-05,0.107040911865071,NA,1.78700690025623,-1.37928240516849e-16,1,-7.84833141876649e-06,7.84833141876649e-06,0.107040911865071,NA,-1.37928240516849e-16,"not restored","not restored"
"Corynebacteriaceae","Male","week 5",-1,0.414994610712133,-1.13596643955439e-05,4.77959148833607e-06,0.0416666666666667,NA,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"not restored","not restored"
"Corynebacteriaceae","Male","week 10",NA,NA,NA,NA,NA,NA,NA,-0.0572920880227889,1,-7.99480445093745e-06,7.70593904594686e-06,0.0601261922944344,NA,-0.0572920880227889,1.27002288637895,0.872060525890023,-4.74276080538191e-06,1.12621561200397e-05,0.0601261922944344,NA,1.27002288637895,"not restored","not restored"
"Deferribacteraceae","Female","week 5",0.0207121522848577,0.9840371280255,-0.0281891315828923,0.0286902432481618,0.000142238535167757,NA,0.0207121522848577,-1.11494968171667,0.605973514352313,-0.0208414881038573,0.00755331180662002,0.128923365086703,NA,-1.11494968171667,-0.905791247434534,0.605973514352313,-0.0188095512256098,0.00842118481699848,0.128923365086703,NA,-0.905791247434534,"not restored","not restored"
"Deferribacteraceae","Female","week 10",1.13201434723401,0.542457857492978,-0.00612545797650316,0.0206307707852097,0.0618773658141823,NA,1.13201434723401,-1.77014476388,0.173548065151844,-0.0230549201996667,0.00164126882628947,0.0876923080284784,NA,-1.77014476388,-0.978063822600802,0.336719340260385,-0.0180722045141004,0.00640435835408549,0.0876923080284784,NA,-0.978063822600802,"not restored","not restored"
"Deferribacteraceae","Male","week 5",1.95460891825529,0.128343081075308,-5.84623897097863e-05,0.00187333653632721,0.156959403790328,NA,1.95460891825529,1.00296396407969,0.927182967738943,-0.00248709113847548,0.00728739606429755,0.0632698558222533,NA,1.00296396407969,-0.402287590224027,0.927182967738943,-0.00617187851216972,0.00413909754878623,0.0632698558222533,NA,-0.402287590224027,"not restored","not restored"
"Deferribacteraceae","Male","week 10",-0.706009498342737,0.488544616048735,-0.00872450358943435,0.00431790007754865,0.0243570039996675,NA,-0.706009498342737,-1.50138972929697,0.330449268831419,-0.0115927890054084,0.00228590215349341,0.0977463319022287,0.500898535204617,-1.50138972929697,-1.49097954880696,0.330449268831419,-0.0115923647147121,0.00226510024600037,0.0977463319022287,0.500898535204617,-1.49097954880696,"not restored","not restored"
"Defluviitaleaceae","Female","week 5",NA,NA,NA,NA,NA,NA,NA,1.24316312101612,0.666937056556347,-1.38289145382976e-05,5.74026112762618e-05,0.05483163462779,NA,1.24316312101612,0,1,-3.49241288568653e-05,3.49241288568653e-05,0.05483163462779,NA,0,"not restored","not restored"
"Defluviitaleaceae","Female","week 10",NA,NA,NA,NA,NA,NA,NA,1.78437369233242,0.24986875804991,-2.17990404967399e-06,3.35653126696215e-05,0.106759341391122,NA,1.78437369233242,-2.51849090119064e-16,1,-1.75255343816648e-05,1.75255343816648e-05,0.106759341391122,NA,-2.51849090119064e-16,"not restored","not restored"
"Defluviitaleaceae","Male","week 5",1.31790584561443,0.402188585902523,-2.40118339109268e-05,0.000107733284635273,0.0702140331176151,NA,1.31790584561443,0.922545804353599,1,-9.97809039948902e-05,0.000244733353100278,0.120752156750894,NA,0.922545804353599,-0.542506970708495,1,-0.000216339348604987,0.000130383470195916,0.120752156750894,NA,-0.542506970708495,"not restored","not restored"
"Defluviitaleaceae","Male","week 10",0.983272795219273,0.905310013330193,-8.71310925094356e-06,1.23672385998142e-05,0.0425830313879508,NA,0.983272795219273,1.75486172209344,0.247982816432134,-4.19737015562441e-06,6.78018802612492e-05,0.5567408993771,NA,1.75486172209344,-0.218073085571671,1,-3.9954848333399e-05,3.2036490006933e-05,0.5567408993771,NA,-0.218073085571671,"not restored","not restored"
"Desulfovibrionaceae","Female","week 5",1.8425687197238,0.109204042090884,-0.00264845690049316,0.0208406327164818,0.193713964781731,NA,1.8425687197238,-3.45715714606271,0.0177457869404991,-0.0322657932911287,-0.00639031563138718,0.455871129915459,0.656345640553893,-3.45715714606271,0.801198837520291,0.443282857439271,-0.00800416432451359,0.0168214770788877,0.455871129915459,0.656345640553893,0.801198837520291,"not restored","not restored"
"Desulfovibrionaceae","Female","week 10",1.15515104972604,0.26042132580283,-0.00649178376172359,0.0228166147302949,0.0548349405064605,NA,1.15515104972604,-3.56067236761129,0.00223475533543785,-0.0333926463902399,-0.00912551574214848,0.272072293132232,NA,-3.56067236761129,-2.57390369331789,0.0145864673774375,-0.02696706682646,-0.00317118745847097,0.272072293132232,NA,-2.57390369331789,"not restored","not restored"
"Desulfovibrionaceae","Male","week 5",0.86453242366887,0.407483112941564,-0.00535343957843909,0.01214714339055,0.0411917876895431,NA,0.86453242366887,-2.05714977241657,0.153353133203646,-0.0138611095034053,0.000893727291140757,0.147281107869737,0.724626322570259,-2.05714977241657,1.85173214220759,0.153353133203646,-0.00149600760618483,0.0137491145872141,0.147281107869737,0.724626322570259,1.85173214220759,"not restored","not restored"
"Desulfovibrionaceae","Male","week 10",1.24282032572155,0.227017701280182,-0.00371040562572019,0.0148080587450792,0.0629304292342624,NA,1.24282032572155,-2.40451878401749,0.0435992761774111,-0.0185671942100263,-0.00155720648267522,0.196651107870454,NA,-2.40451878401749,0.207411243431393,0.836928523908262,-0.00776686915507527,0.00953229202011148,0.196651107870454,NA,0.207411243431393,"not restored","not restored"
"Eggerthellaceae","Female","week 5",3.83403669153888,0.00192562441812506,0.00164926483017237,0.00555821178761168,0.445915669541546,NA,3.83403669153888,-1.61786236504436,0.267660198275806,-0.00652238923314673,0.000993806564838886,0.105221908946743,0.551440825665672,-1.61786236504436,-0.92407664444557,0.373858343045454,-0.00522386546009127,0.00211517369525062,0.105221908946743,0.551440825665672,-0.92407664444557,"not restored","not restored"
"Eggerthellaceae","Female","week 10",1.08136132118189,0.317415117379678,-0.00165537350228687,0.00438405205256927,0.0628190589929915,0.505109480031037,1.08136132118189,-1.67397114200037,0.248260950849295,-0.00572911696324276,0.000801830917434954,0.131615249088371,0.501463751847616,-1.67397114200037,-0.168462159263168,0.869200276285355,-0.00340720663425822,0.00292131507125237,0.131615249088371,0.501463751847616,-0.168462159263168,"not restored","not restored"
"Eggerthellaceae","Male","week 5",2.21113092077748,0.113367158034389,-0.000119926104372606,0.00682317162036172,0.253379244018517,0.764376374673148,2.21113092077748,-0.451981454249324,0.660056587948928,-0.00335745398314352,0.00221333587068864,0.28138202450845,0.730130522660305,-0.451981454249324,-2.92015779663534,0.026496278252773,-0.00651531855068743,-0.000935059537203083,0.28138202450845,0.730130522660305,-2.92015779663534,"not restored","not restored"
