"genus","statistic_diet","p.adj_diet","conf.low_diet","conf.high_diet","R2_marginal_diet","R2_conditional_diet","effect_size_diet","statistic_treatment_FOSGOS","p.adj_treatment_FOSGOS","conf.low_treatment_FOSGOS","conf.high_treatment_FOSGOS","R2_marginal_treatment_FOSGOS","R2_conditional_treatment_FOSGOS","effect_size_treatment_FOSGOS","statistic_treatment_1472","p.adj_treatment_1472","conf.low_treatment_1472","conf.high_treatment_1472","R2_marginal_treatment_1472","R2_conditional_treatment_1472","effect_size_treatment_1472","restoration_FOSGOS","restoration_1472"
"A2",-0.755671516049378,0.464421684484738,-0.00831603021773577,0.00403303775855571,0.0420777968176976,NA,-0.755671516049378,0.0896926187276133,1,-0.00876426411683323,0.0095459648929367,0.000792716389564678,NA,0.0896926187276133,-0.0317474561787342,1,-0.00929345928445704,0.00901676972531289,0.000792716389564678,NA,-0.0317474561787342,"not restored","not restored"
"ASF356",0.367647382376262,0.719538719062822,-0.00069253631420069,0.000973691372119083,0.0102902858020587,NA,0.367647382376262,0.932895953747486,1,-0.00138870536770425,0.00344581895183125,0.0552042154724883,0.186901490394592,0.932895953747486,-0.114616732157873,1,-0.00253861404311134,0.00228707192709827,0.0552042154724883,0.186901490394592,-0.114616732157873,"not restored","not restored"
"Acetatifactor",2.37873981396641,0.0816801631091746,0.000143221922695613,0.00540714884255363,0.230812360901847,0.490640553167133,2.37873981396641,-1.95700720714983,0.132079555681206,-0.00921051760238167,0.000326651851872288,0.295253881199551,NA,-1.95700720714983,0.868616485454103,0.396491084563426,-0.00279703546117102,0.00674013399308294,0.295253881199551,NA,0.868616485454103,"not restored","not restored"
"Acinetobacter",NA,NA,NA,NA,NA,NA,NA,-0.0876981354222305,1,-0.000308909108427693,0.000284426859293009,0.10581729534762,NA,-0.0876981354222305,1.27870725731639,0.660920317580069,-0.000118419933123017,0.000474068987429766,0.10581729534762,NA,1.27870725731639,"not restored","not restored"
"Akkermansia",0.868086154539147,0.402374340820821,-0.0338149793269389,0.0786058818494091,0.0547911106719938,NA,0.868086154539147,1.26764913778477,0.24055762594722,-0.0409419915765469,0.165511217740054,0.215019048423976,NA,1.26764913778477,2.33780320307942,0.0934339727593814,0.0116389079073755,0.218092117223977,0.215019048423976,NA,2.33780320307942,"not restored","not restored"
"Alistipes",-1.99709335545047,0.0815032837687354,-0.0563146799952364,0.00412790794506207,0.199923097828702,0.365091636180422,-1.99709335545047,-3.969164110078,0.00258811263852951,-0.0364033395485841,-0.0109274610634733,0.495431825973925,0.639310252138971,-3.969164110078,0.822239443609468,0.423946500665448,-0.007783878933898,0.0175471470270441,0.495431825973925,0.639310252138971,0.822239443609468,"not restored","not restored"
"Anaeroplasma",0.240648795858161,1,-0.000132882516997749,0.000164982757090835,0.00454431067381916,NA,0.240648795858161,-1.22474487139159,0.472916886411899,-0.000161757066914084,4.26163691963732e-05,0.0909090909090909,NA,-1.22474487139159,-1.22474487139159,0.472916886411899,-0.000161757066914084,4.26163691963733e-05,0.0909090909090909,NA,-1.22474487139159,"not restored","not restored"
"Anaerotruncus",3.59258830263391,0.00739169343916992,0.00255091867681167,0.0104135170126618,0.498199127615053,NA,3.59258830263391,-2.64187276330619,0.0331419024308406,-0.0134075026440242,-0.00152922455011404,0.2826786049698,NA,-2.64187276330619,-0.498434155575096,0.624213712645298,-0.0073481726517281,0.00453010544218209,0.2826786049698,NA,-0.498434155575096,"restored","not restored"
"Anaerovorax",2.36889524642847,0.0818755873728815,1.0018354400649e-05,0.000384471553332023,0.219759527457938,0.512893887956396,2.36889524642847,-2.8190340920407,0.0243641522784183,-0.000471828248073142,-6.71336392045217e-05,0.289195556316065,NA,-2.8190340920407,-1.37760799883467,0.187171557903916,-0.000332797129166612,7.05495398962574e-05,0.289195556316065,NA,-1.37760799883467,"not restored","not restored"
"Atopostipes",-1,0.365433525411888,-0.000130702390102293,4.8468929307095e-05,0.0714285714285714,NA,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"not restored","not restored"
"Bacteroides",1.1527110380347,0.278638930429824,-0.0377409686904306,0.116239571376911,0.0877907437844893,0.148880569900398,1.1527110380347,2.82309089822994,0.0387267567271027,0.048845711219,0.350588762665679,0.312099191632453,0.507263065939185,2.82309089822994,-0.349609612191385,0.731451689417018,-0.174663266627186,0.12540853185192,0.312099191632453,0.507263065939185,-0.349609612191385,"not restored","not restored"
"Bifidobacterium",-8.63997789264123,1.69555297079064e-06,-0.247709792563224,-0.147936483710944,0.851681506135332,NA,-8.63997789264123,4.37339198013303,0.00109923498742967,0.0493636087661401,0.140637945840709,0.55585851555088,NA,4.37339198013303,0.0823900097704328,1,-0.0438474558826955,0.0474268811918303,0.55585851555088,NA,0.0823900097704328,"restored","not restored"
"Bilophila",3.5907977305209,0.00741603103504762,0.00314953486275841,0.0128695353561864,0.497949865560904,NA,3.5907977305209,-4.91120023739188,0.000357870479650732,-0.0161680561418318,-0.00639196453826661,0.52966542865815,0.593566828264501,-4.91120023739188,-1.50463653084113,0.153046417590122,-0.00830927078223062,0.00143009699346674,0.52966542865815,0.593566828264501,-1.50463653084113,"restored","not restored"
"Butyricicoccus",0.324944583825476,0.752504202395514,-0.000667142552177577,0.000891746073720577,0.00745496789885667,0.0926976869707612,0.324944583825476,-2.22469528259557,0.0782613849247008,-0.00154308708186211,-4.41539038481553e-05,0.20022900205078,NA,-2.22469528259557,-0.903980304395386,0.377945745156943,-0.00107194549221584,0.000426987685797895,0.20022900205078,NA,-0.903980304395386,"not restored","not restored"
"Caldicoprobacter",NA,NA,NA,NA,NA,NA,NA,1.22474487139159,0.709375329618503,-2.78442078191203e-05,0.000105687027597424,0.0909090909090909,NA,1.22474487139159,0,1,-6.67656177082152e-05,6.67656177082152e-05,0.0909090909090909,NA,0,"not restored","not restored"
"Candidatus Arthromitus",0.588273792000032,0.571556106646371,-0.000780759911320758,0.00132362918728985,0.0199663083079436,0.273463370211492,0.588273792000032,-1.19160087833941,0.497785788694616,-0.00193742522146997,0.000535073497451914,0.103303461992893,NA,-1.19160087833941,0.218529205698108,0.829475325609762,-0.00110765982334547,0.00136483889557484,0.103303461992893,NA,0.218529205698108,"not restored","not restored"
"Candidatus Saccharimonas",-2.60787871645608,0.0228909848159115,-0.000882713763741944,-7.91240380048297e-05,0.34346854274633,NA,-2.60787871645608,0.677978143888943,1,-0.000301760954590173,0.000589315976844247,0.0648442864089892,NA,0.677978143888943,-0.494898617494418,1,-0.000550490656469903,0.000340586274964606,0.0648442864089892,NA,-0.494898617494418,"not restored","not restored"
"Candidatus Soleaferrea",2.85064053975788,0.0292107988564941,6.16825618297683e-05,0.000461769533722297,0.384648926329328,NA,2.85064053975788,-2.81090411948849,0.0283729954785418,-0.000463543897480344,-6.17010792064956e-05,0.292222937107571,NA,-2.81090411948849,-1.17577284187826,0.259852148363079,-0.000309249780793211,9.06322057541121e-05,0.292222937107571,NA,-1.17577284187826,"restored","not restored"
"Christensenella",-0.3888929235327,0.705513191765149,-0.000527318878490387,0.000370611951337501,0.0115147244134466,NA,-0.3888929235327,-2.63798332927453,0.0334151587511552,-0.000410278210361533,-4.64969285810142e-05,0.258147368608032,NA,-2.63798332927453,-1.29820192573182,0.210606316394973,-0.000294284521173937,6.94967606065823e-05,0.258147368608032,NA,-1.29820192573182,"not restored","not restored"
"Christensenellaceae R-7 group",2.17314741700485,0.125709602616161,-6.98831711350896e-06,0.000210809283066627,0.041762310533811,0.895050152099429,2.17314741700485,1.00879073845345,0.57624666975201,-0.000155752269684102,0.000438919602123974,0.163239653198637,0.282852777692024,1.00879073845345,-1.09871827579336,0.57624666975201,-0.000449539059521819,0.000142600107924773,0.163239653198637,0.282852777692024,-1.09871827579336,"not restored","not restored"
"Clostridium sensu stricto 1",1.43393114613541,0.354264809610993,-0.00112821332873272,0.00547193735177201,0.136565945922169,NA,1.43393114613541,-1.32474118639009,0.403660806102372,-0.00511920620984533,0.00115990089630321,0.103100239002305,NA,-1.32474118639009,-0.0235650339081072,0.981458838858225,-0.00317476841803231,0.00310433868811623,0.103100239002305,NA,-0.0235650339081072,"not restored","not restored"
"Colidextribacter",4.86787710430857,0.00130497170745159,0.0168920822783839,0.0454039710934983,0.629375383064359,0.658348151055245,4.86787710430857,-4.41044365262382,0.000904371445679199,-0.0613480328466018,-0.0214858761874689,0.548977839606737,0.642992155905612,-4.41044365262382,0.557973956917893,0.584674383817082,-0.0146142538522006,0.0250422984539486,0.548977839606737,0.642992155905612,0.557973956917893,"restored","not restored"
"Coprococcus",-0.0679387176655642,0.946953318604658,-0.000134131076667372,0.000126019193216186,0.000354925472262657,NA,-0.0679387176655642,-0.641665286080719,0.967019041585824,-0.000129751503640717,6.96738933714599e-05,0.112205761963096,NA,-0.641665286080719,0.91063430203537,0.967019041585824,-5.67288635399407e-05,0.000141601221903467,0.112205761963096,NA,0.91063430203537,"not restored","not restored"
"Coriobacteriaceae UCG-002",0.65853368123685,1,-0.0211806536339491,0.0395301440192066,0.0322820732369805,NA,0.65853368123685,0.400027664855471,1,-0.0263123573221071,0.0386889881214131,0.0230280981999209,NA,0.400027664855471,-0.283252931790533,1,-0.0368825158636051,0.0281188295799101,0.0230280981999209,NA,-0.283252931790533,"not restored","not restored"
"Defluviitaleaceae UCG-011",NA,NA,NA,NA,NA,NA,NA,-1.97504966750265e-16,1,-3.33671271043966e-05,3.33671271043966e-05,0.0909090909090909,NA,-1.97504966750265e-16,1.22474487139159,0.709375329619115,-1.39155639281792e-05,5.28186902806707e-05,0.0909090909090909,NA,1.22474487139159,"not restored","not restored"
"Desulfovibrio",2.9347141657331,0.0124940736893613,0.00341279854239591,0.0230869250306273,0.398497555197225,NA,2.9347141657331,-3.23979890540846,0.00981528217955374,-0.0266650458540693,-0.00561454545863605,0.345120058091319,0.358471570171497,-3.23979890540846,-2.01379494811606,0.0609539637808799,-0.0205559272964383,0.000517586886156452,0.345120058091319,0.358471570171497,-2.01379494811606,"restored","not restored"
"Dorea",1.88611342149104,0.167419208576338,-0.00109131386740879,0.0151558570462182,0.214853703896112,NA,1.88611342149104,-1.76100364805597,0.192858562155803,-0.0142996196465866,0.00129509925733086,0.148768775658414,0.151942538781451,-1.76100364805597,-0.330383893328671,0.74533564946693,-0.00903588116071331,0.00659672419516864,0.148768775658414,0.151942538781451,-0.330383893328671,"not restored","not restored"
