"genus","sex","timepoint","statistic_diet","p.adj_diet","conf.low_diet","conf.high_diet","R2_marginal_diet","R2_conditional_diet","effect_size_diet","statistic_treatment_FOSGOS","p.adj_treatment_FOSGOS","conf.low_treatment_FOSGOS","conf.high_treatment_FOSGOS","R2_marginal_treatment_FOSGOS","R2_conditional_treatment_FOSGOS","effect_size_treatment_FOSGOS","statistic_treatment_1472","p.adj_treatment_1472","conf.low_treatment_1472","conf.high_treatment_1472","R2_marginal_treatment_1472","R2_conditional_treatment_1472","effect_size_treatment_1472","restoration_FOSGOS","restoration_1472"
"28-4","Female","week 5",NA,NA,NA,NA,NA,NA,NA,-1.57416435321375e-16,1,-7.67208174980543e-06,7.67208174980543e-06,0.0485714285714286,NA,-1.57416435321375e-16,1.16619037896906,0.754228647921364,-3.20120972690233e-06,1.1844980485458e-05,0.0485714285714286,NA,1.16619037896906,"not restored","not restored"
"A2","Female","week 5",-1.06375582177962,0.320846385313343,-0.0106217563082522,0.00397876318147562,0.0716579863484492,0.617740421355341,-1.06375582177962,2.32399525954551,0.121050522387364,0.00165254315856226,0.0611482438247449,0.250889727077374,0.540636353997886,2.32399525954551,0.0500400102474121,1,-0.0280228087560893,0.0293325909692527,0.250889727077374,0.540636353997886,0.0500400102474121,"not restored","not restored"
"A2","Female","week 10",-0.0534812097325306,0.959358410664123,-0.0141357786724623,0.0135543699215614,0.000107817031122407,0.55020219521249,-0.0534812097325306,2.1835507205713,0.157389784053158,-0.000435146652058446,0.0685981352475544,0.230748450167206,0.549104022963479,2.1835507205713,-0.180005593563795,1,-0.036421334871514,0.0309023850977334,0.230748450167206,0.549104022963479,-0.180005593563795,"not restored","not restored"
"A2","Male","week 5",-0.383164988009419,0.70981074831912,-0.00358372986497404,0.00253502156086555,0.00791786432870183,NA,-0.383164988009419,3.15762356662916,0.0323520592743188,0.00147565702537348,0.00870786925527019,0.326020922881292,0.38692342301484,3.15762356662916,-0.61997063448163,0.843043601711845,-0.00465390574448353,0.00262400298376633,0.326020922881292,0.38692342301484,-0.61997063448163,"not restored","not restored"
"A2","Male","week 10",-0.203633675562997,0.840572869415971,-0.0114664393503794,0.0094195606201384,0.00196593983289093,NA,-0.203633675562997,1.57086903783207,0.376737015811136,-0.00664809871009818,0.0518347483503712,0.0785043823620721,NA,1.57086903783207,0.224595185241841,0.994999490683596,-0.0264892512903082,0.0330710423815725,0.0785043823620721,NA,0.224595185241841,"not restored","not restored"
"ASF356","Female","week 5",-0.871462504604416,0.39291272653812,-8.68428182336052e-05,3.54529117040029e-05,0.031963997319714,NA,-0.871462504604416,1.68278115352529,0.353354584393238,-0.000480037444731637,0.00376503293271036,0.317530750008186,NA,1.68278115352529,0.277576212204659,1,-0.00177924987598288,0.00230033717534281,0.317530750008186,NA,0.277576212204659,"not restored","not restored"
"ASF356","Female","week 10",-0.00553886285877751,0.995630569027355,-4.73284722769585e-05,4.70763376100565e-05,1.33386786289611e-06,NA,-0.00553886285877751,2.83344624654893,0.0498781474161882,0.000238813028241793,0.00192336068872063,0.326776718951323,0.573472897427376,2.83344624654893,0.0443293649932841,1,-0.000796779854892321,0.000829603551260867,0.326776718951323,0.573472897427376,0.0443293649932841,"not restored","not restored"
"ASF356","Male","week 5",-0.430509859780997,0.676415337471296,-0.000100244387631576,6.79688189742863e-05,0.00845993604483664,NA,-0.430509859780997,1.82612238703843,0.263989309671385,-0.000314292576207485,0.00405163732052887,0.238869400887807,NA,1.82612238703843,-0.0161181732675097,1,-0.0022120786960351,0.00217881785624535,0.238869400887807,NA,-0.0161181732675097,"not restored","not restored"
"ASF356","Male","week 10",-1.54841166548121,0.158515340224534,-0.000421175801577882,8.12864487575557e-05,0.483867935893519,NA,-1.54841166548121,4.80356300351585,0.00109909607764021,0.000660337679985434,0.00174421428347462,0.555023947871356,NA,4.80356300351585,0.58463386160249,1,-0.000397900267219467,0.000694244976546594,0.555023947871356,NA,0.58463386160249,"not restored","not restored"
"Acetatifactor","Female","week 5",3.7270549226436,0.00321959121541765,0.00558766490005036,0.0200970527853499,0.39918540620358,NA,3.7270549226436,-1.75400859483429,0.265285550535724,-0.0179180008336839,0.00307024335066962,0.0826259327720009,0.294665763697294,-1.75400859483429,-0.41159112245654,0.692647191428163,-0.0118260314168884,0.00830421777525962,0.0826259327720009,0.294665763697294,-0.41159112245654,"not restored","not restored"
