"order","statistic_diet","p.adj_diet","conf.low_diet","conf.high_diet","R2_marginal_diet","R2_conditional_diet","effect_size_diet","statistic_treatment_FOSGOS","p.adj_treatment_FOSGOS","conf.low_treatment_FOSGOS","conf.high_treatment_FOSGOS","R2_marginal_treatment_FOSGOS","R2_conditional_treatment_FOSGOS","effect_size_treatment_FOSGOS","statistic_treatment_1472","p.adj_treatment_1472","conf.low_treatment_1472","conf.high_treatment_1472","R2_marginal_treatment_1472","R2_conditional_treatment_1472","effect_size_treatment_1472","restoration_FOSGOS","restoration_1472"
"Acholeplasmatales",0.240648795858161,1,-0.000132882516997749,0.000164982757090835,0.00454431067381916,NA,0.240648795858161,-1.22474487139159,0.472916886411899,-0.000161757066914084,4.26163691963732e-05,0.0909090909090909,NA,-1.22474487139159,-1.22474487139159,0.472916886411899,-0.000161757066914084,4.26163691963733e-05,0.0909090909090909,NA,-1.22474487139159,"not restored","not restored"
"Bacillales",-1,0.365433525410257,-0.0001120306200874,4.15447965486593e-05,0.0714285714285714,NA,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"not restored","not restored"
"Bacteroidales",-2.1981980696013,0.0601561002438362,-0.222404315237704,0.00590699874847783,0.265392377133253,0.289222092982668,-2.1981980696013,4.87197902439933,0.000451368438594259,0.157325070268979,0.40349229686938,0.573952651786713,0.68719792218011,4.87197902439933,-0.486916988457964,0.63351544252421,-0.150271164915503,0.0944728214592948,0.573952651786713,0.68719792218011,-0.486916988457964,"not restored","not restored"
"Bifidobacteriales",-8.62902811178192,1.71817870508967e-06,-0.247856632921602,-0.147923035701908,0.851360836398509,NA,-8.62902811178192,4.37454454519119,0.00109643457316624,0.0493861858582527,0.140655977679516,0.555989594486459,NA,4.37454454519119,0.0823941128089892,1,-0.0438451832560606,0.0474246085651954,0.555989594486459,NA,0.0823941128089892,"restored","not restored"
"Burkholderiales",1.33114175313828,0.427819467420377,-0.00239722679834375,0.00941152008762439,0.108626292047711,0.215558038145666,1.33114175313828,2.78900092647947,0.0363566630046954,0.00323211848307709,0.0229694744566211,0.321985741584985,NA,2.78900092647947,0.258923992352771,0.798631701076298,-0.00865243223627091,0.0110849237372732,0.321985741584985,NA,0.258923992352771,"not restored","not restored"
"Caldicoprobacterales",NA,NA,NA,NA,NA,NA,NA,1.22474487139159,0.709375329618503,-2.78442078191203e-05,0.000105687027597424,0.0909090909090909,NA,1.22474487139159,0,1,-6.67656177082152e-05,6.67656177082152e-05,0.0909090909090909,NA,0,"not restored","not restored"
"Christensenellales",3.39045819180659,0.0197024672958922,0.000468590749532458,0.0024892120475841,0.0691120032218189,0.928842269180319,3.39045819180659,-3.15422749963275,0.0109744400684035,-0.00456309546077217,-0.000914594974716201,0.332422116476447,NA,-3.15422749963275,-1.66328258919792,0.113569043234809,-0.00326849406048129,0.000380006425577148,0.332422116476447,NA,-1.66328258919792,"restored","not restored"
"Clostridiales",1.50834768024392,0.314669802182455,-0.00105720880157116,0.00581402112729316,0.148942450738746,NA,1.50834768024392,-1.75714567763755,0.191777779408305,-0.00588614711750934,0.000524490079949153,0.175772006308872,NA,-1.75714567763755,0.0612023106567022,0.951872532385761,-0.0031119439275722,0.00329869326988549,0.175772006308872,NA,0.0612023106567022,"not restored","not restored"
"Coriobacteriales",0.811099837923789,0.707114093437562,-0.0197342495440345,0.0431403979148651,0.0481687352006959,NA,0.811099837923789,0.103764528070289,1,-0.0312984413168024,0.0345507316071563,0.00584426413036247,NA,0.103764528070289,-0.231144231440221,1,-0.0365469618226378,0.0293022111013208,0.00584426413036247,NA,-0.231144231440221,"not restored","not restored"
"Deferribacterales",1.71131992306536,0.225444634150899,-0.00451355589938772,0.0375584985084935,0.183858779778014,NA,1.71131992306536,-1.97149759263589,0.132945374801399,-0.0330884985160219,0.00121971984516137,0.160422285775005,0.231011068596923,-1.97149759263589,-1.38380678832401,0.186125148960792,-0.0282631813061,0.00597934326519641,0.160422285775005,0.231011068596923,-1.38380678832401,"not restored","not restored"
"Desulfovibrionales",4.06210865408908,0.00183799040417258,0.00985639154765968,0.0326624022443083,0.559332889510377,NA,4.06210865408908,-4.39416762760114,0.000831929580279558,-0.0406912269318645,-0.014261023164805,0.479985772874237,0.509761942223511,-4.39416762760114,-2.17755945992271,0.0444627349845544,-0.0267720727439328,-0.000378710208331464,0.479985772874237,0.509761942223511,-2.17755945992271,"restored","restored"
