"phylum","sex","timepoint","statistic_diet","p.adj_diet","conf.low_diet","conf.high_diet","R2_marginal_diet","R2_conditional_diet","effect_size_diet","statistic_treatment_FOSGOS","p.adj_treatment_FOSGOS","conf.low_treatment_FOSGOS","conf.high_treatment_FOSGOS","R2_marginal_treatment_FOSGOS","R2_conditional_treatment_FOSGOS","effect_size_treatment_FOSGOS","statistic_treatment_1472","p.adj_treatment_1472","conf.low_treatment_1472","conf.high_treatment_1472","R2_marginal_treatment_1472","R2_conditional_treatment_1472","effect_size_treatment_1472","restoration_FOSGOS","restoration_1472"
"Actinobacteriota","Female","week 5",-2.53923884050922,0.0788638080723437,-0.19570832226078,-0.00652061009458565,0.316597014365725,0.865321172359377,-2.53923884050922,2.43121102904987,0.100560062765161,0.00396385660824254,0.0806411714796694,0.286209860704529,0.767720043692914,2.43121102904987,0.536841370541901,1,-0.0277390083916361,0.0457450729503644,0.286209860704529,0.767720043692914,0.536841370541901,"not restored","not restored"
"Actinobacteriota","Female","week 10",-0.594923355322724,0.572939803646563,-0.108774417043056,0.0659533801950943,0.0243258477238322,0.554362021955118,-0.594923355322724,2.58622576225877,0.0952702998523491,0.00785365205206433,0.132964467104353,0.42275398099468,NA,2.58622576225877,0.0361324648820027,0.972021063874474,-0.0590457067627602,0.0609412347417926,0.42275398099468,NA,0.0361324648820027,"not restored","not restored"
"Actinobacteriota","Male","week 5",-5.24851425276052,0.00158246875106245,-0.23939606699642,-0.0931332000620368,0.579407624264232,0.816673451204298,-5.24851425276052,4.27274257674436,0.00368883346876787,0.0592177189742856,0.184115803798656,0.558789825978119,0.848420813523345,4.27274257674436,-0.285808458330698,0.858877261973851,-0.0706060598401488,0.0542823435881793,0.558789825978119,0.848420813523345,-0.285808458330698,"restored","not restored"
"Actinobacteriota","Male","week 10",-1.12858734584633,0.290527210640997,-0.210574741054643,0.0715487954684015,0.0861672431098798,0.785329239519865,-1.12858734584633,3.11533938120391,0.0247783455907495,0.037274111396622,0.206300065116445,0.928483691984539,NA,3.11533938120391,-0.868275793256739,0.401044268642876,-0.118522401964036,0.0505822618916699,0.928483691984539,NA,-0.868275793256739,"not restored","not restored"
"Bacteroidota","Female","week 5",-1.90285683340219,0.0707464966725549,-0.165568436986557,0.00730760465069265,0.170812025906757,NA,-1.90285683340219,5.02202110890118,3.21705634653778e-05,0.11455194194175,0.270281005494866,0.433814480943098,NA,5.02202110890118,1.23846739548644,0.224025745172561,-0.0298226080721587,0.122882302291431,0.433814480943098,NA,1.23846739548644,"not restored","not restored"
"Bacteroidota","Female","week 10",-1.86502815656802,0.075572165349428,-0.203168236750992,0.0107722052351628,0.131365158661243,NA,-1.86502815656802,0.885189683493191,0.397037637119853,-0.0897882507657869,0.207894643372457,0.1061368402858,NA,0.885189683493191,1.45641378221735,0.349586014100389,-0.0490156659205479,0.236843229541642,0.1061368402858,NA,1.45641378221735,"not restored","not restored"
"Bacteroidota","Male","week 5",-1.37868422394244,0.201145669371208,-0.168039817339416,0.0407220953113099,0.0452492586971294,0.685245373503086,-1.37868422394244,-1.31492959466618,0.439727424848732,-0.161795422144266,0.0424136790457738,0.0405848700649333,0.564129809751369,-1.31492959466618,-0.315370529366279,0.758735866810072,-0.118515797849235,0.089001841117389,0.0405848700649333,0.564129809751369,-0.315370529366279,"not restored","not restored"
"Bacteroidota","Male","week 10",0.087198853937101,0.932410340700589,-0.157394149301148,0.170027938784323,0.000411092718590985,0.42448067400671,0.087198853937101,-1.10760477570284,0.553223435967358,-0.136971759193987,0.0405770308295918,0.0848777786836856,NA,-1.10760477570284,0.570476243162295,0.57231801681148,-0.0666640608512243,0.118545943869776,0.0848777786836856,NA,0.570476243162295,"not restored","not restored"
"Cyanobacteria","Female","week 10",NA,NA,NA,NA,NA,NA,NA,0.084981665115118,1,-9.07163782605867e-06,9.56971101193455e-06,0.00453091833417906,NA,0.084981665115118,0.309585823466612,1,-8.81646404729623e-06,1.07268211921583e-05,0.00453091833417906,NA,0.309585823466612,"not restored","not restored"
"Deferribacterota","Female","week 5",0.0207121522848577,0.9840371280255,-0.0281891315828923,0.0286902432481618,0.000142238535167757,NA,0.0207121522848577,-1.11495012855706,0.605974181025079,-0.0208411699320601,0.0075532196845451,0.128917392302681,NA,-1.11495012855706,-0.905789204556768,0.605974181025079,-0.018809248540461,0.00842108460279521,0.128917392302681,NA,-0.905789204556768,"not restored","not restored"
