"family","effect","group","term","estimate","std.error","statistic","df","p.value","conf.low","conf.high","R2_marginal","R2_conditional","p.adj"
"Lachnospiraceae","fixed",NA,"dietHFHS",0.0506458850361712,0.0292595225875782,1.73091973338186,18.5547654778537,0.100061824327524,-0.0106946126411555,0.111986382713498,0.101962864771757,0.318852519040606,0.300185472982572
"Lachnospiraceae","fixed",NA,"treatmentFOS+GOS",0.0391687401309014,0.0298610942642837,1.31169808394297,16.1950644319083,0.20791325429233,-0.0240720410835424,0.102409521345345,0.101962864771757,0.318852519040606,0.415826508584659
"Lachnospiraceae","fixed",NA,"treatmentB. longum APC1472",0.0205369492791958,0.0294325676386628,0.697762748100111,18.9649807846799,0.493792342389234,-0.0410738226823022,0.0821477212406938,0.101962864771757,0.318852519040606,0.493792342389234
"Lachnospiraceae","ran_pars","dam_cage","sd__(Intercept)",0.0378607072055321,NA,NA,NA,NA,NA,NA,0.101962864771757,0.318852519040606,NA
"Lachnospiraceae","ran_pars","cohort","sd__(Intercept)",0.0309731701545948,NA,NA,NA,NA,NA,NA,0.101962864771757,0.318852519040606,NA
"Lachnospiraceae","ran_pars","Residual","sd__Observation",0.0866865411661307,NA,NA,NA,NA,NA,NA,0.101962864771757,0.318852519040606,NA
"Bacteroidaceae","fixed",NA,"dietHFHS",0.0135073386282509,0.0273785150806419,0.493355413486296,19.2041245000733,0.627356003805456,-0.0437553546497542,0.0707700319062559,0.0113201412714772,NA,1
"Bacteroidaceae","fixed",NA,"treatmentFOS+GOS",0.0117166626038293,0.0280197199999776,0.418157733333478,17.5436686582007,0.680905629508947,-0.0472605328976684,0.0706938581053271,0.0113201412714772,NA,1
"Bacteroidaceae","fixed",NA,"treatmentB. longum APC1472",0.000210918500872807,0.0273143023457676,0.00772190694101653,18.8595622789091,0.993919968695099,-0.0569874004125675,0.0574092374143131,0.0113201412714772,NA,1
"Bacteroidaceae","ran_pars","dam_cage","sd__(Intercept)",0.0360674239552583,NA,NA,NA,NA,NA,NA,0.0113201412714772,NA,NA
