"genus","effect","group","term","estimate","std.error","statistic","df","p.value","conf.low","conf.high","R2_marginal","R2_conditional","p.adj"
"Bacteroides","fixed",NA,"dietHFHS",0.0372129278842112,0.064252353702615,0.57916832208898,21.0233615222992,0.568630070345774,-0.0963981160312209,0.170823971799643,0.349679820745069,0.478629426909904,1
"Bacteroides","fixed",NA,"treatmentFOS+GOS",0.198239762417263,0.0645213864286317,3.07246594331229,21.0038715541521,0.00577693754705219,0.0640616998759426,0.332417824958584,0.349679820745069,0.478629426909904,0.0231077501882088
"Bacteroides","fixed",NA,"treatmentB. longum APC1472",-0.0240924988041276,0.0644125635989268,-0.374034155108974,21.44637794026,0.71205132247727,-0.157876196321709,0.109691198713453,0.349679820745069,0.478629426909904,1
"Bacteroides","ran_pars","cohort","sd__(Intercept)",0.0591347738439278,NA,NA,NA,NA,NA,NA,0.349679820745069,0.478629426909904,NA
"Bacteroides","ran_pars","Residual","sd__Observation",0.118906662075364,NA,NA,NA,NA,NA,NA,0.349679820745069,0.478629426909904,NA
"Akkermansia","fixed",NA,"dietHFHS",0.022395451261235,0.0438731925743581,0.510458663870387,23.9999999991628,0.614393376422275,-0.0681543677871792,0.112945270309649,0.308403914942538,NA,0.614393376422275
"Akkermansia","fixed",NA,"treatmentFOS+GOS",0.0622846130817533,0.0438731925743581,1.41965080330525,23.9999999991628,0.168568789661192,-0.028265205966661,0.152834432130167,0.308403914942538,NA,0.505706368983575
"Akkermansia","fixed",NA,"treatmentB. longum APC1472",0.114865512565676,0.0438731925743581,2.61812523378592,23.999999999138,0.0150731577167173,0.024315693517257,0.205415331614095,0.308403914942538,NA,0.0602926308668692
"Akkermansia","ran_pars","cohort","sd__(Intercept)",0,NA,NA,NA,NA,NA,NA,0.308403914942538,NA,NA
"Akkermansia","ran_pars","Residual","sd__Observation",0.0820792275386014,NA,NA,NA,NA,NA,NA,0.308403914942538,NA,NA
"Bifidobacterium","fixed",NA,"dietHFHS",-0.197823138137084,0.0247980545288362,-7.97736523673851,23.9999999995776,3.31819054553562e-08,-0.24900380721037,-0.146642469063798,0.761202681121796,NA,9.95457163660687e-08
"Bifidobacterium","fixed",NA,"treatmentFOS+GOS",0.0950007773034246,0.0247980545288362,3.83097703059543,23.9999999995776,0.000806763467902382,0.0438201082301385,0.146181446376711,0.761202681121796,NA,0.00161352693580476
"Bifidobacterium","fixed",NA,"treatmentB. longum APC1472",0.00178971265456746,0.0247980545288362,0.0721714944406752,23.9999999995776,0.94306352139339,-0.0493909564187186,0.0529703817278535,0.761202681121796,NA,0.94306352139339
"Bifidobacterium","ran_pars","cohort","sd__(Intercept)",0,NA,NA,NA,NA,NA,NA,0.761202681121796,NA,NA
"Bifidobacterium","ran_pars","Residual","sd__Observation",0.0463929119527215,NA,NA,NA,NA,NA,NA,0.761202681121796,NA,NA
"Ligilactobacillus","fixed",NA,"dietHFHS",-0.0281256228234499,0.0296859580971944,-0.947438608225618,21.2905985717764,0.354045793132972,-0.0898096846285142,0.0335584389816144,0.177476350912299,0.298652336059975,0.699231465211722
"Ligilactobacillus","fixed",NA,"treatmentFOS+GOS",-0.0426899302075577,0.0298075127850399,-1.4321869293631,21.3818004677879,0.166548189396403,-0.104610717861337,0.0192308574462211,0.177476350912299,0.298652336059975,0.49964456818921
"Ligilactobacillus","fixed",NA,"treatmentB. longum APC1472",-0.0284240659085971,0.0297301979804208,-0.956067158628277,21.6030719956251,0.349615732605861,-0.090146471456799,0.0332983396396048,0.177476350912299,0.298652336059975,0.699231465211722
"Ligilactobacillus","ran_pars","cohort","sd__(Intercept)",0.022887987798759,NA,NA,NA,NA,NA,NA,0.177476350912299,0.298652336059975,NA
"Ligilactobacillus","ran_pars","Residual","sd__Observation",0.0550637786936233,NA,NA,NA,NA,NA,NA,0.177476350912299,0.298652336059975,NA
"Romboutsia","fixed",NA,"dietHFHS",0.0468891028301003,0.0174764031724742,2.68299502863106,21.6733729618793,0.0136933465949308,0.010613565890028,0.0831646397701727,0.468723769964618,0.557261751089103,0.0547733863797234
"Romboutsia","fixed",NA,"treatmentFOS+GOS",-0.0450481070376475,0.0175492255361636,-2.56695698307695,21.7118663466905,0.0176905586176194,-0.0814709969756878,-0.00862521709960727,0.468723769964618,0.557261751089103,0.0547733863797234
"Romboutsia","fixed",NA,"treatmentB. longum APC1472",0.0312459441284934,0.0175087106030778,1.78459424207975,21.9730440992708,0.0881423868221879,-0.00506748211250506,0.0675593703694918,0.468723769964618,0.557261751089103,0.176284773644376
"Romboutsia","ran_pars","cohort","sd__(Intercept)",0.0144832600222562,NA,NA,NA,NA,NA,NA,0.468723769964618,0.557261751089103,NA
"Romboutsia","ran_pars","Residual","sd__Observation",0.0323873222052663,NA,NA,NA,NA,NA,NA,0.468723769964618,0.557261751089103,NA
"Faecalibaculum","fixed",NA,"dietHFHS",-0.0114719930225138,0.0159860495819254,-0.717625262183881,24.000000000027,0.479915739243847,-0.044465577760762,0.0215215917157345,0.126380598720863,NA,0.959831478487694
"Faecalibaculum","fixed",NA,"treatmentFOS+GOS",-0.0175084744498579,0.0159860495819254,-1.09523458939185,24.000000000027,0.284283662245251,-0.0505020591881061,0.0154851102883903,0.126380598720863,NA,0.852850986735752
"Faecalibaculum","fixed",NA,"treatmentB. longum APC1472",0.0078588559433209,0.0159860495819254,0.491607129268915,24.000000000027,0.627463258620499,-0.0251347287949273,0.0408524406815691,0.126380598720863,NA,0.959831478487694
"Faecalibaculum","ran_pars","cohort","sd__(Intercept)",0,NA,NA,NA,NA,NA,NA,0.126380598720863,NA,NA
