"genus","effect","group","term","estimate","std.error","statistic","df","p.value","conf.low","conf.high","R2_marginal","R2_conditional","p.adj"
"Bacteroides","fixed",NA,"dietHFHS",0.0135073386282509,0.0273785150806419,0.493355413486296,19.2041245000733,0.627356003805456,-0.0437553546497542,0.0707700319062559,0.0113201412714772,NA,1
"Bacteroides","fixed",NA,"treatmentFOS+GOS",0.0117166626038293,0.0280197199999776,0.418157733333478,17.5436686582007,0.680905629508947,-0.0472605328976684,0.0706938581053271,0.0113201412714772,NA,1
"Bacteroides","fixed",NA,"treatmentB. longum APC1472",0.000210918500872807,0.0273143023457676,0.00772190694101653,18.8595622789091,0.993919968695099,-0.0569874004125675,0.0574092374143131,0.0113201412714772,NA,1
"Bacteroides","ran_pars","dam_cage","sd__(Intercept)",0.0360674239552583,NA,NA,NA,NA,NA,NA,0.0113201412714772,NA,NA
"Bacteroides","ran_pars","cohort","sd__(Intercept)",0,NA,NA,NA,NA,NA,NA,0.0113201412714772,NA,NA
"Bacteroides","ran_pars","Residual","sd__Observation",0.0836152671924774,NA,NA,NA,NA,NA,NA,0.0113201412714772,NA,NA
"Ligilactobacillus","fixed",NA,"dietHFHS",-0.0042315704566875,0.0140353509197025,-0.301493741118172,14.376503130758,0.767355018824746,-0.0342606112997687,0.0257974703863937,0.186329656604496,0.310790695250052,0.767355018824746
"Ligilactobacillus","fixed",NA,"treatmentFOS+GOS",-0.0686084810019576,0.0138802586706554,-4.94288201897884,11.0818887654084,0.000430981748054234,-0.0991312041866581,-0.038085757817257,0.186329656604496,0.310790695250052,0.00172392699221693
"Ligilactobacillus","fixed",NA,"treatmentB. longum APC1472",-0.0348262128050738,0.0141850114831115,-2.45514167165373,14.7876009024378,0.0269694339403697,-0.0650987166751434,-0.00455370893500424,0.186329656604496,0.310790695250052,0.0539388678807395
"Ligilactobacillus","ran_pars","dam_cage","sd__(Intercept)",0.0110435871850673,NA,NA,NA,NA,NA,NA,0.186329656604496,0.310790695250052,NA
"Ligilactobacillus","ran_pars","cohort","sd__(Intercept)",0.0215281447762565,NA,NA,NA,NA,NA,NA,0.186329656604496,0.310790695250052,NA
"Ligilactobacillus","ran_pars","Residual","sd__Observation",0.0569368339650536,NA,NA,NA,NA,NA,NA,0.186329656604496,0.310790695250052,NA
"Akkermansia","fixed",NA,"dietHFHS",0.0318928347192306,0.0353880385857717,0.901232054495769,17.5928730422728,0.379637520662656,-0.0425781934859668,0.106363862924428,0.110968733845631,0.470951689164187,0.759275041325312
"Akkermansia","fixed",NA,"treatmentFOS+GOS",0.0675670066772905,0.0365175197355927,1.85026275515187,16.0969379166528,0.0827181801251583,-0.00980880523078995,0.144942818585371,0.110968733845631,0.470951689164187,0.330872720500633
"Akkermansia","fixed",NA,"treatmentB. longum APC1472",-0.00244048738281906,0.0356610904719006,-0.0684355792412479,18.1703782076361,0.94618638137025,-0.0773113342446721,0.0724303594790339,0.110968733845631,0.470951689164187,0.94618638137025
"Akkermansia","ran_pars","dam_cage","sd__(Intercept)",0.0520534037718226,NA,NA,NA,NA,NA,NA,0.110968733845631,0.470951689164187,NA
"Akkermansia","ran_pars","cohort","sd__(Intercept)",0.0406486856523365,NA,NA,NA,NA,NA,NA,0.110968733845631,0.470951689164187,NA
"Akkermansia","ran_pars","Residual","sd__Observation",0.0800650869984307,NA,NA,NA,NA,NA,NA,0.110968733845631,0.470951689164187,NA
