"order","effect","group","term","estimate","std.error","statistic","df","p.value","conf.low","conf.high","R2_marginal","R2_conditional","p.adj"
"Bacteroidales","fixed",NA,"dietHFHS",-0.104029220150218,0.0537086932083008,-1.9369158684751,20.8438982379378,0.0664280259699134,-0.215773517249801,0.00771507694936457,0.548852374558137,0.640272828399136,0.132856051939827
"Bacteroidales","fixed",NA,"treatmentFOS+GOS",0.280490797928368,0.0539333066147529,5.20069722281116,20.8151313234337,3.83949186971689e-05,0.168269660538529,0.392711935318207,0.548852374558137,0.640272828399136,0.000115184756091507
"Bacteroidales","fixed",NA,"treatmentB. longum APC1472",-0.0263414751664048,0.0538476603217079,-0.489185138389117,21.2957458282425,0.629711174998968,-0.138229197161344,0.0855462468285342,0.548852374558137,0.640272828399136,0.629711174998968
"Bacteroidales","ran_pars","cohort","sd__(Intercept)",0.050097568983659,NA,NA,NA,NA,NA,NA,0.548852374558137,0.640272828399136,NA
"Bacteroidales","ran_pars","Residual","sd__Observation",0.0993760171849631,NA,NA,NA,NA,NA,NA,0.548852374558137,0.640272828399136,NA
"Lachnospirales","fixed",NA,"dietHFHS",0.149854728553209,0.053682098469671,2.79152143498774,23.9999999995278,0.0101265457365632,0.0390603227363658,0.260649134370053,0.285154316529529,NA,0.0359312332587991
"Lachnospirales","fixed",NA,"treatmentFOS+GOS",-0.141201407177853,0.053682098469671,-2.63032577345366,23.9999999995278,0.0146616966033715,-0.251995812994696,-0.0304070013610094,0.285154316529529,NA,0.0359312332587991
"Lachnospirales","fixed",NA,"treatmentB. longum APC1472",-0.0543964204228678,0.053682098469671,-1.01330652067561,23.9999999995278,0.321021112263517,-0.165190826239711,0.0563979853939757,0.285154316529529,NA,0.321021112263517
"Lachnospirales","ran_pars","cohort","sd__(Intercept)",0,NA,NA,NA,NA,NA,NA,0.285154316529529,NA,NA
"Lachnospirales","ran_pars","Residual","sd__Observation",0.100430010138285,NA,NA,NA,NA,NA,NA,0.285154316529529,NA,NA
