"order","effect","group","term","estimate","std.error","statistic","df","p.value","conf.low","conf.high","R2_marginal","R2_conditional","p.adj"
"Bacteroidales","fixed",NA,"dietHFHS",-0.0560225005478945,0.0338841844469452,-1.65335248471489,13.0128453309338,0.122167780164541,-0.129217485807432,0.0171724847116425,0.0180868079474122,0.0729615886008434,0.366503340493622
"Bacteroidales","fixed",NA,"treatmentFOS+GOS",0.0296236807363906,0.0339293686720094,0.873098495370152,9.92910137170125,0.403230544332201,-0.046048899019834,0.105296260492615,0.0180868079474122,0.0729615886008434,0.692968098078683
"Bacteroidales","fixed",NA,"treatmentB. longum APC1472",0.0329261890142142,0.0337357195602988,0.976003756355702,13.2981440794884,0.346484049039342,-0.0397896485938488,0.105642026622277,0.0180868079474122,0.0729615886008434,0.692968098078683
"Bacteroidales","ran_pars","dam_cage","sd__(Intercept)",0.0272948741352248,NA,NA,NA,NA,NA,NA,0.0180868079474122,0.0729615886008434,NA
"Bacteroidales","ran_pars","cohort","sd__(Intercept)",0.0209596890731588,NA,NA,NA,NA,NA,NA,0.0180868079474122,0.0729615886008434,NA
"Bacteroidales","ran_pars","Residual","sd__Observation",0.141447984335429,NA,NA,NA,NA,NA,NA,0.0180868079474122,0.0729615886008434,NA
"Lachnospirales","fixed",NA,"dietHFHS",0.0506634006835115,0.0292534205930872,1.73187954284852,18.5544260892639,0.0998874110966339,-0.0106643824566242,0.111991183823647,0.102053397931022,0.318835627997338,0.299662233289902
"Lachnospirales","fixed",NA,"treatmentFOS+GOS",0.0392029418746652,0.0298545360131433,1.31313184225695,16.1939876145982,0.207442028754203,-0.0240242873581644,0.102430171107495,0.102053397931022,0.318835627997338,0.414884057508407
"Lachnospirales","fixed",NA,"treatmentB. longum APC1472",0.0205182805190236,0.0294264161349425,0.69727419149283,18.9645540794903,0.494091285939563,-0.0410797085773449,0.0821162696153921,0.102053397931022,0.318835627997338,0.494091285939563
"Lachnospirales","ran_pars","dam_cage","sd__(Intercept)",0.0378477117224047,NA,NA,NA,NA,NA,NA,0.102053397931022,0.318835627997338,NA
"Lachnospirales","ran_pars","cohort","sd__(Intercept)",0.030967542556532,NA,NA,NA,NA,NA,NA,0.102053397931022,0.318835627997338,NA
"Lachnospirales","ran_pars","Residual","sd__Observation",0.0866849460029795,NA,NA,NA,NA,NA,NA,0.102053397931022,0.318835627997338,NA
"Lactobacillales","fixed",NA,"dietHFHS",-0.0329834419800296,0.0146741501929896,-2.2477241643463,179.67199849287,0.0258097326630122,-0.0619392852035099,-0.00402759875654926,0.198599136312735,NA,0.0469565548151417
"Lactobacillales","fixed",NA,"treatmentFOS+GOS",-0.0568531444278482,0.0143353451352264,-3.96594179571878,191.572826691854,0.000103204188664371,-0.0851285287589409,-0.0285777600967556,0.198599136312735,NA,0.000309612565993113
"Lactobacillales","fixed",NA,"treatmentB. longum APC1472",-0.0336636036708498,0.0147082955112288,-2.28874947781338,151.26560439168,0.0234782774075709,-0.0627238259299141,-0.00460338141178554,0.198599136312735,NA,0.0469565548151417
"Lactobacillales","ran_pars","dam_cage","sd__(Intercept)",0,NA,NA,NA,NA,NA,NA,0.198599136312735,NA,NA
"Lactobacillales","ran_pars","cohort","sd__(Intercept)",0.0180725818640767,NA,NA,NA,NA,NA,NA,0.198599136312735,NA,NA
"Lactobacillales","ran_pars","Residual","sd__Observation",0.0684347993851452,NA,NA,NA,NA,NA,NA,0.198599136312735,NA,NA
"Verrucomicrobiales","fixed",NA,"dietHFHS",0.0318928347192306,0.0353880385857717,0.901232054495769,17.5928730422728,0.379637520662656,-0.0425781934859668,0.106363862924428,0.110968733845631,0.470951689164187,0.759275041325312
"Verrucomicrobiales","fixed",NA,"treatmentFOS+GOS",0.0675670066772905,0.0365175197355927,1.85026275515187,16.0969379166528,0.0827181801251583,-0.00980880523078995,0.144942818585371,0.110968733845631,0.470951689164187,0.330872720500633
