"phylum","effect","group","term","estimate","std.error","statistic","df","p.value","conf.low","conf.high","R2_marginal","R2_conditional","p.adj"
"Firmicutes","fixed",NA,"dietHFHS",0.232284129125376,0.0764539014335259,3.03822466571362,21.5286737697407,0.00613334167085551,0.0735269393952558,0.391041318855497,0.551261332138005,0.573333466285641,0.012266683341711
"Firmicutes","fixed",NA,"treatmentFOS+GOS",-0.411202414906433,0.0766422995400416,-5.36521499712573,21.9880704912044,2.18981758972211e-05,-0.57015381580799,-0.252251014004876,0.551261332138005,0.573333466285641,6.56945276916634e-05
"Firmicutes","fixed",NA,"treatmentB. longum APC1472",-0.0671940368156998,0.0764691139180422,-0.878708191750683,21.6364185839423,0.389214025882239,-0.225935925499025,0.0915478518676257,0.551261332138005,0.573333466285641,0.389214025882239
"Firmicutes","ran_pars","cohort","sd__(Intercept)",0.0324262987010829,NA,NA,NA,NA,NA,NA,0.551261332138005,0.573333466285641,NA
"Firmicutes","ran_pars","Residual","sd__Observation",0.142567162272633,NA,NA,NA,NA,NA,NA,0.551261332138005,0.573333466285641,NA
"Bacteroidota","fixed",NA,"dietHFHS",-0.104029220150218,0.0537086932083008,-1.9369158684751,20.8438982379378,0.0664280259699134,-0.215773517249801,0.00771507694936457,0.548852374558137,0.640272828399136,0.132856051939827
"Bacteroidota","fixed",NA,"treatmentFOS+GOS",0.280490797928368,0.0539333066147529,5.20069722281116,20.8151313234337,3.83949186971689e-05,0.168269660538529,0.392711935318207,0.548852374558137,0.640272828399136,0.000115184756091507
"Bacteroidota","fixed",NA,"treatmentB. longum APC1472",-0.0263414751664048,0.0538476603217079,-0.489185138389117,21.2957458282425,0.629711174998968,-0.138229197161344,0.0855462468285342,0.548852374558137,0.640272828399136,0.629711174998968
"Bacteroidota","ran_pars","cohort","sd__(Intercept)",0.050097568983659,NA,NA,NA,NA,NA,NA,0.548852374558137,0.640272828399136,NA
"Bacteroidota","ran_pars","Residual","sd__Observation",0.0993760171849631,NA,NA,NA,NA,NA,NA,0.548852374558137,0.640272828399136,NA
"Verrucomicrobiota","fixed",NA,"dietHFHS",0.022395451261235,0.0438731925743581,0.510458663870387,23.9999999991628,0.614393376422275,-0.0681543677871792,0.112945270309649,0.308403914942538,NA,0.614393376422275
"Verrucomicrobiota","fixed",NA,"treatmentFOS+GOS",0.0622846130817533,0.0438731925743581,1.41965080330525,23.9999999991628,0.168568789661192,-0.028265205966661,0.152834432130167,0.308403914942538,NA,0.505706368983575
"Verrucomicrobiota","fixed",NA,"treatmentB. longum APC1472",0.114865512565676,0.0438731925743581,2.61812523378592,23.999999999138,0.0150731577167173,0.024315693517257,0.205415331614095,0.308403914942538,NA,0.0602926308668692
"Verrucomicrobiota","ran_pars","cohort","sd__(Intercept)",0,NA,NA,NA,NA,NA,NA,0.308403914942538,NA,NA
"Verrucomicrobiota","ran_pars","Residual","sd__Observation",0.0820792275386014,NA,NA,NA,NA,NA,NA,0.308403914942538,NA,NA
"Actinobacteriota","fixed",NA,"dietHFHS",-0.18618676012634,0.0334970141016486,-5.5583091544024,24.0000000004547,1.01884903902009e-05,-0.255321199349497,-0.117052320903183,0.615705053770448,NA,3.05654711706027e-05
"Actinobacteriota","fixed",NA,"treatmentFOS+GOS",0.0966472269140611,0.0334970141016486,2.88524901415928,24.0000000004547,0.00813723466227281,0.0275127876909042,0.165781666137218,0.615705053770448,NA,0.0162744693245456
"Actinobacteriota","fixed",NA,"treatmentB. longum APC1472",-0.001832662706091,0.0334970141016486,-0.0547112259179184,24.0000000004547,0.956821427810877,-0.0709671019292479,0.0673017765170659,0.615705053770448,NA,0.956821427810877
"Actinobacteriota","ran_pars","cohort","sd__(Intercept)",0,NA,NA,NA,NA,NA,NA,0.615705053770448,NA,NA
"Actinobacteriota","ran_pars","Residual","sd__Observation",0.0626671751241522,NA,NA,NA,NA,NA,NA,0.615705053770448,NA,NA
"Deferribacterota","fixed",NA,"dietHFHS",0.0165224713045529,0.00753432105192249,2.19296087738881,23.9999999998669,0.0382398727697442,0.000972396922641786,0.0320725456864641,0.199002113297037,NA,0.12448361791396
"Deferribacterota","fixed",NA,"treatmentFOS+GOS",-0.0172524533438955,0.00753432105192249,-2.28984844486993,23.9999999998669,0.03112090447849,-0.0328025277258066,-0.00170237896198435,0.199002113297037,NA,0.12448361791396
"Deferribacterota","fixed",NA,"treatmentB. longum APC1472",-0.011219194011392,0.00753432105192249,-1.48907830368196,23.9999999998661,0.149491065555357,-0.0267692683933032,0.00433088037051912,0.199002113297037,NA,0.298982131110714
"Deferribacterota","ran_pars","cohort","sd__(Intercept)",0,NA,NA,NA,NA,NA,NA,0.199002113297037,NA,NA
"Deferribacterota","ran_pars","Residual","sd__Observation",0.0140954240091261,NA,NA,NA,NA,NA,NA,0.199002113297037,NA,NA
"Desulfobacterota","fixed",NA,"dietHFHS",0.0212969641238379,0.00578984331860629,3.67833168393309,22.1258059232821,0.00130785434272551,0.00929352120280088,0.0333004070448748,0.462805886397445,0.512497683805468,0.00392356302817652
"Desulfobacterota","fixed",NA,"treatmentFOS+GOS",-0.0276285365193971,0.0058102523424657,-4.75513538671408,22.3235974432491,9.21347797763806e-05,-0.0396681431776266,-0.0155889298611675,0.462805886397445,0.512497683805468,0.000368539119105523
"Desulfobacterota","fixed",NA,"treatmentB. longum APC1472",-0.0135505520999728,0.00579358588025634,-2.33888862270101,22.276774223099,0.0287051019119867,-0.0255570645414196,-0.00154403965852601,0.462805886397445,0.512497683805468,0.0287051019119867
"Desulfobacterota","ran_pars","cohort","sd__(Intercept)",0.00343835824278208,NA,NA,NA,NA,NA,NA,0.462805886397445,0.512497683805468,NA
"Desulfobacterota","ran_pars","Residual","sd__Observation",0.0107695389826998,NA,NA,NA,NA,NA,NA,0.462805886397445,0.512497683805468,NA
"Proteobacteria","fixed",NA,"dietHFHS",0.00166441345351413,0.00430205635918654,0.386887877458874,23.9999999990074,0.702248499817838,-0.0072145944782731,0.0105434213853014,0.343878810104831,NA,1
"Proteobacteria","fixed",NA,"treatmentFOS+GOS",0.0130538634322168,0.00430205635918654,3.03433110641189,23.9999999990074,0.00571881381105107,0.00417485550042958,0.021932871364004,0.343878810104831,NA,0.0228752552442043
"Proteobacteria","fixed",NA,"treatmentB. longum APC1472",0.00263213540904015,0.00430205635918654,0.611831921592457,23.9999999990074,0.546401892662719,-0.00624687252274708,0.0115111433408274,0.343878810104831,NA,1
"Proteobacteria","ran_pars","cohort","sd__(Intercept)",0,NA,NA,NA,NA,NA,NA,0.343878810104831,NA,NA
"Proteobacteria","ran_pars","Residual","sd__Observation",0.00804841047733406,NA,NA,NA,NA,NA,NA,0.343878810104831,NA,NA
"Patescibacteria","fixed",NA,"dietHFHS",-0.000480918900873387,0.000218944640064954,-2.19653196685113,23.9999999998975,0.0379532791978448,-0.000932798428579712,-2.90393731670606e-05,0.231949257465619,NA,0.113859837593534
"Patescibacteria","fixed",NA,"treatmentFOS+GOS",0.000143777511127037,0.000218944640064954,0.656684315653415,23.9999999998975,0.517631744463938,-0.000308102016579289,0.000595657038833363,0.231949257465619,NA,1
"Patescibacteria","fixed",NA,"treatmentB. longum APC1472",-0.000104952190752649,0.000218944640064954,-0.4793549215067,23.9999999999279,0.636025303616118,-0.000556831718458944,0.000346927336953647,0.231949257465619,NA,1
"Patescibacteria","ran_pars","cohort","sd__(Intercept)",0,NA,NA,NA,NA,NA,NA,0.231949257465619,NA,NA
"Patescibacteria","ran_pars","Residual","sd__Observation",0.000409607914896798,NA,NA,NA,NA,NA,NA,0.231949257465619,NA,NA
