"genus_species","sex","timepoint","effect","group","term","estimate","std.error","statistic","df","p.value","p.adj","comparison_type"
"Bifidobacterium pseudolongum","Male","week 5","fixed",NA,"dietHFHS",-0.176405103254213,0.0334484222953714,-5.27394391569328,8.07531846553755,0.000729125299143105,0.00145825059828621,"diet"
"Bifidobacterium pseudolongum","Male","week 5","ran_pars","dam_cage","sd__(Intercept)",0.0457096048946443,NA,NA,NA,NA,NA,"diet"
"Bifidobacterium pseudolongum","Male","week 5","ran_pars","cohort","sd__(Intercept)",0.0352812422810615,NA,NA,NA,NA,NA,"diet"
"Bifidobacterium pseudolongum","Male","week 5","ran_pars","Residual","sd__Observation",0.0454165882355229,NA,NA,NA,NA,NA,"diet"
"Bifidobacterium pseudolongum","Female","week 10","fixed",NA,"dietHFHS",-0.0236280639927948,0.0347383629783017,-0.680172062441554,6.32374934304749,0.520507430609414,0.520507430609414,"diet"
"Bifidobacterium pseudolongum","Female","week 10","ran_pars","dam_cage","sd__(Intercept)",0.0416369845014601,NA,NA,NA,NA,NA,"diet"
"Bifidobacterium pseudolongum","Female","week 10","ran_pars","cohort","sd__(Intercept)",0.0248123286411253,NA,NA,NA,NA,NA,"diet"
"Bifidobacterium pseudolongum","Female","week 10","ran_pars","Residual","sd__Observation",0.0453269312930933,NA,NA,NA,NA,NA,"diet"
"Bifidobacterium pseudolongum","Male","week 10","fixed",NA,"dietHFHS",-0.0686113267599071,0.0504336013116689,-1.36042886043183,8.21742383920893,0.209835663060721,0.209835663060721,"diet"
"Bifidobacterium pseudolongum","Male","week 10","ran_pars","dam_cage","sd__(Intercept)",0.0810378525505055,NA,NA,NA,NA,NA,"diet"
"Bifidobacterium pseudolongum","Male","week 10","ran_pars","cohort","sd__(Intercept)",0.0241674027472878,NA,NA,NA,NA,NA,"diet"
"Bifidobacterium pseudolongum","Male","week 10","ran_pars","Residual","sd__Observation",0.0418827327354132,NA,NA,NA,NA,NA,"diet"
"Bifidobacterium pseudolongum","Female","week 5","fixed",NA,"dietHFHS",-0.105158084506402,0.0390427933132313,-2.69340576281884,6.78439825513715,0.0318627186915977,0.0637254373831955,"diet"
"Bifidobacterium pseudolongum","Female","week 5","ran_pars","dam_cage","sd__(Intercept)",0.0509427177189843,NA,NA,NA,NA,NA,"diet"
"Bifidobacterium pseudolongum","Female","week 5","ran_pars","cohort","sd__(Intercept)",0.0455801032850896,NA,NA,NA,NA,NA,"diet"
"Bifidobacterium pseudolongum","Female","week 5","ran_pars","Residual","sd__Observation",0.0324569507216591,NA,NA,NA,NA,NA,"diet"
"Bifidobacterium longum","Male","week 10","fixed",NA,"dietHFHS",-1.00541771064765e-05,1.01840374331679e-05,-0.987248640085669,9.21165134418234,0.348741401829392,0.405290491752876,"diet"
"Bifidobacterium longum","Male","week 10","ran_pars","dam_cage","sd__(Intercept)",5.65088353598281e-06,NA,NA,NA,NA,NA,"diet"
"Bifidobacterium longum","Male","week 10","ran_pars","cohort","sd__(Intercept)",0,NA,NA,NA,NA,NA,"diet"
"Bifidobacterium longum","Male","week 10","ran_pars","Residual","sd__Observation",2.34825644440369e-05,NA,NA,NA,NA,NA,"diet"
"Bifidobacterium pseudolongum","Male","week 10","fixed",NA,"treatmentFOS+GOS",0.11627627804795,0.031727838439014,3.66480301743378,12.9330298277361,0.00287845192281029,0.00863535576843088,"treatment"
"Bifidobacterium pseudolongum","Male","week 10","fixed",NA,"treatmentB. longum APC1472",-0.0308873190785992,0.0317565595328135,-0.972628002938538,12.9800302819136,0.348515723844803,0.348515723844803,"treatment"
"Bifidobacterium pseudolongum","Male","week 10","ran_pars","dam_cage","sd__(Intercept)",0.0512219041907516,NA,NA,NA,NA,NA,"treatment"
"Bifidobacterium pseudolongum","Male","week 10","ran_pars","cohort","sd__(Intercept)",0,NA,NA,NA,NA,NA,"treatment"
"Bifidobacterium pseudolongum","Male","week 10","ran_pars","Residual","sd__Observation",0.016538422062574,NA,NA,NA,NA,NA,"treatment"
"Bifidobacterium pseudolongum","Male","week 5","fixed",NA,"treatmentFOS+GOS",0.121145819847496,0.0243100989103547,4.98335363810038,11.3036288275678,0.000380713013789452,0.00114213904136836,"treatment"
"Bifidobacterium pseudolongum","Male","week 5","fixed",NA,"treatmentB. longum APC1472",-0.000530005747700566,0.0244146681827551,-0.0217084968648039,11.5807622300592,0.9830500287535,1,"treatment"
"Bifidobacterium pseudolongum","Male","week 5","ran_pars","dam_cage","sd__(Intercept)",0.0335169318639406,NA,NA,NA,NA,NA,"treatment"
"Bifidobacterium pseudolongum","Male","week 5","ran_pars","cohort","sd__(Intercept)",0.0116480191166254,NA,NA,NA,NA,NA,"treatment"
"Bifidobacterium pseudolongum","Male","week 5","ran_pars","Residual","sd__Observation",0.0320010026933907,NA,NA,NA,NA,NA,"treatment"
"Bifidobacterium pseudolongum","Female","week 10","fixed",NA,"treatmentFOS+GOS",0.0718973482532347,0.025994085790455,2.76591178596615,8.19233470407074,0.0239039601414756,0.0717118804244269,"treatment"
"Bifidobacterium pseudolongum","Female","week 10","fixed",NA,"treatmentB. longum APC1472",0.00019094805322463,0.0250570670716293,0.00762052688284617,8.45729185152566,0.994096467996266,0.994096467996266,"treatment"
"Bifidobacterium pseudolongum","Female","week 10","ran_pars","dam_cage","sd__(Intercept)",0.0296502392559799,NA,NA,NA,NA,NA,"treatment"
"Bifidobacterium pseudolongum","Female","week 10","ran_pars","cohort","sd__(Intercept)",1.25295566788634e-05,NA,NA,NA,NA,NA,"treatment"
"Bifidobacterium pseudolongum","Female","week 10","ran_pars","Residual","sd__Observation",0.0384573883937883,NA,NA,NA,NA,NA,"treatment"
"Bifidobacterium pseudolongum","Female","week 5","fixed",NA,"treatmentFOS+GOS",0.0416309064403955,0.0156610300083813,2.65824830283296,11.3013738006253,0.0218058075262295,0.0654174225786886,"treatment"
"Bifidobacterium pseudolongum","Female","week 5","fixed",NA,"treatmentB. longum APC1472",0.006661645934609,0.0150590637070923,0.442367869887659,11.358704574419,0.666528368798327,1,"treatment"
"Bifidobacterium pseudolongum","Female","week 5","ran_pars","dam_cage","sd__(Intercept)",0.0206094862980108,NA,NA,NA,NA,NA,"treatment"
"Bifidobacterium pseudolongum","Female","week 5","ran_pars","cohort","sd__(Intercept)",0,NA,NA,NA,NA,NA,"treatment"
"Bifidobacterium pseudolongum","Female","week 5","ran_pars","Residual","sd__Observation",0.0164204284262959,NA,NA,NA,NA,NA,"treatment"
"Bifidobacterium longum","Female","week 5","fixed",NA,"treatmentFOS+GOS",0.000246405779270985,0.000827622581801423,0.297727230611147,7.56862858805037,0.773919116939158,0.999681250006192,"treatment"
"Bifidobacterium longum","Female","week 5","fixed",NA,"treatmentB. longum APC1472",0.00247955593822369,0.000856561824991845,2.89477754655631,8.51095717332536,0.0187931572272187,0.0563794716816561,"treatment"
"Bifidobacterium longum","Female","week 5","ran_pars","dam_cage","sd__(Intercept)",0.000801575837473813,NA,NA,NA,NA,NA,"treatment"
"Bifidobacterium longum","Female","week 5","ran_pars","cohort","sd__(Intercept)",0.00204456683479291,NA,NA,NA,NA,NA,"treatment"
"Bifidobacterium longum","Female","week 5","ran_pars","Residual","sd__Observation",0.00123621891123562,NA,NA,NA,NA,NA,"treatment"
"Bifidobacterium longum","Male","week 10","fixed",NA,"treatmentFOS+GOS",5.97384322323017e-19,0.000532497986623821,1.12185273433726e-15,33.9999999990473,0.999999999999999,1,"treatment"
"Bifidobacterium longum","Male","week 10","fixed",NA,"treatmentB. longum APC1472",0.00456417725780556,0.000543043524948747,8.40480927976508,33.999999999044,8.18310945195527e-10,2.45493283558658e-09,"treatment"
