"family","sex","timepoint","effect","group","term","estimate","std.error","statistic","df","p.value","p.adj","comparison_type"
"Lactobacillaceae","Female","week 10","fixed",NA,"dietHFHS",0.0585619283095938,0.0409698372395517,1.42939128528094,21.9999999995161,0.166939104438729,0.237206943658845,"diet"
"Lactobacillaceae","Female","week 10","ran_pars","dam_cage","sd__(Intercept)",0,NA,NA,NA,NA,NA,"diet"
"Lactobacillaceae","Female","week 10","ran_pars","cohort","sd__(Intercept)",0,NA,NA,NA,NA,NA,"diet"
"Lactobacillaceae","Female","week 10","ran_pars","Residual","sd__Observation",0.100355196081778,NA,NA,NA,NA,NA,"diet"
"Akkermansiaceae","Male","week 5","fixed",NA,"dietHFHS",0.111411716302002,0.0663818519366095,1.67834600951467,10.6477898464131,0.122349092850983,0.244698185701967,"diet"
"Akkermansiaceae","Male","week 5","ran_pars","dam_cage","sd__(Intercept)",0.101529811788971,NA,NA,NA,NA,NA,"diet"
"Akkermansiaceae","Male","week 5","ran_pars","cohort","sd__(Intercept)",3.56847098061755e-06,NA,NA,NA,NA,NA,"diet"
"Akkermansiaceae","Male","week 5","ran_pars","Residual","sd__Observation",0.0729051245123942,NA,NA,NA,NA,NA,"diet"
"Lachnospiraceae","Female","week 5","fixed",NA,"dietHFHS",0.115285654563666,0.0331184334296595,3.48101170934072,20.4558213252298,0.00229676883899569,0.00459353767799138,"diet"
"Lachnospiraceae","Female","week 5","ran_pars","dam_cage","sd__(Intercept)",0,NA,NA,NA,NA,NA,"diet"
"Lachnospiraceae","Female","week 5","ran_pars","cohort","sd__(Intercept)",0.0315073535882832,NA,NA,NA,NA,NA,"diet"
"Lachnospiraceae","Female","week 5","ran_pars","Residual","sd__Observation",0.0737688157189608,NA,NA,NA,NA,NA,"diet"
"Bacteroidaceae","Male","week 10","fixed",NA,"dietHFHS",0.0638607403194071,0.0407490078099364,1.56717288963868,10.1598744188781,0.147665007075111,0.147665007075111,"diet"
"Bacteroidaceae","Male","week 10","ran_pars","dam_cage","sd__(Intercept)",0.0619285420002456,NA,NA,NA,NA,NA,"diet"
"Bacteroidaceae","Male","week 10","ran_pars","cohort","sd__(Intercept)",2.98834326202556e-06,NA,NA,NA,NA,NA,"diet"
"Bacteroidaceae","Male","week 10","ran_pars","Residual","sd__Observation",0.0457734397206787,NA,NA,NA,NA,NA,"diet"
"Akkermansiaceae","Male","week 10","fixed",NA,"dietHFHS",0.00721672567394771,0.0460962595690479,0.156557728141428,8.87152553855048,0.879098194658468,0.879098194658468,"diet"
"Akkermansiaceae","Male","week 10","ran_pars","dam_cage","sd__(Intercept)",0.0701243904237486,NA,NA,NA,NA,NA,"diet"
"Akkermansiaceae","Male","week 10","ran_pars","cohort","sd__(Intercept)",0.00943101515913377,NA,NA,NA,NA,NA,"diet"
"Akkermansiaceae","Male","week 10","ran_pars","Residual","sd__Observation",0.0513040416838702,NA,NA,NA,NA,NA,"diet"
"Muribaculaceae","Female","week 10","fixed",NA,"dietHFHS",-0.022296888812304,0.0484771254127778,-0.459946595893388,6.32329475140459,0.660947398123479,0.660947398123479,"diet"
"Muribaculaceae","Female","week 10","ran_pars","dam_cage","sd__(Intercept)",0.061369248118014,NA,NA,NA,NA,NA,"diet"
"Muribaculaceae","Female","week 10","ran_pars","cohort","sd__(Intercept)",0,NA,NA,NA,NA,NA,"diet"
"Muribaculaceae","Female","week 10","ran_pars","Residual","sd__Observation",0.0648954105021342,NA,NA,NA,NA,NA,"diet"
"Bacteroidaceae","Female","week 10","fixed",NA,"dietHFHS",-0.0611044178910706,0.0377948118932871,-1.61674089194035,5.97697803211137,0.157251741452287,0.157251741452287,"diet"
"Bacteroidaceae","Female","week 10","ran_pars","dam_cage","sd__(Intercept)",0.0342195939754529,NA,NA,NA,NA,NA,"diet"
"Bacteroidaceae","Female","week 10","ran_pars","cohort","sd__(Intercept)",0.0421789637426323,NA,NA,NA,NA,NA,"diet"
"Bacteroidaceae","Female","week 10","ran_pars","Residual","sd__Observation",0.0626200889466778,NA,NA,NA,NA,NA,"diet"
"Muribaculaceae","Male","week 10","fixed",NA,"dietHFHS",-0.0285262503259619,0.0363265131838023,-0.78527355988247,10.918403971773,0.448997910864271,0.448997910864271,"diet"
"Muribaculaceae","Male","week 10","ran_pars","dam_cage","sd__(Intercept)",0.0528167013804922,NA,NA,NA,NA,NA,"diet"
"Muribaculaceae","Male","week 10","ran_pars","cohort","sd__(Intercept)",7.27399114473109e-06,NA,NA,NA,NA,NA,"diet"
