"order","sex","timepoint","effect","group","term","estimate","std.error","statistic","df","p.value","p.adj","comparison_type"
"Bacteroidales","Male","week 10","fixed",NA,"dietHFHS",0.00631689474158773,0.0724424055635443,0.087198853937101,9.0599186799205,0.932410340700589,0.932410340700589,"diet"
"Bacteroidales","Male","week 10","ran_pars","dam_cage","sd__(Intercept)",0.0865138285436992,NA,NA,NA,NA,NA,"diet"
"Bacteroidales","Male","week 10","ran_pars","cohort","sd__(Intercept)",0.0570392146298973,NA,NA,NA,NA,NA,"diet"
"Bacteroidales","Male","week 10","ran_pars","Residual","sd__Observation",0.120718939392631,NA,NA,NA,NA,NA,"diet"
"Bacteroidales","Female","week 10","fixed",NA,"dietHFHS",-0.0961980157579145,0.0515799267797307,-1.86502815656802,21.9999999995312,0.075572165349428,0.075572165349428,"diet"
"Bacteroidales","Female","week 10","ran_pars","dam_cage","sd__(Intercept)",0,NA,NA,NA,NA,NA,"diet"
"Bacteroidales","Female","week 10","ran_pars","cohort","sd__(Intercept)",0,NA,NA,NA,NA,NA,"diet"
"Bacteroidales","Female","week 10","ran_pars","Residual","sd__Observation",0.126344501580458,NA,NA,NA,NA,NA,"diet"
"Bacteroidales","Male","week 5","fixed",NA,"dietHFHS",-0.063658861014053,0.0461736341858008,-1.37868422394244,9.04037184366428,0.201145669371208,0.201145669371208,"diet"
"Bacteroidales","Male","week 5","ran_pars","dam_cage","sd__(Intercept)",0.0434820025271067,NA,NA,NA,NA,NA,"diet"
"Bacteroidales","Male","week 5","ran_pars","cohort","sd__(Intercept)",0.114287275488313,NA,NA,NA,NA,NA,"diet"
"Bacteroidales","Male","week 5","ran_pars","Residual","sd__Observation",0.085753311099973,NA,NA,NA,NA,NA,"diet"
"Bacteroidales","Female","week 5","fixed",NA,"dietHFHS",-0.079130416167932,0.0415850603045378,-1.90285683340219,21.1723539264202,0.0707464966725549,0.0707464966725549,"diet"
"Bacteroidales","Female","week 5","ran_pars","dam_cage","sd__(Intercept)",0,NA,NA,NA,NA,NA,"diet"
"Bacteroidales","Female","week 5","ran_pars","cohort","sd__(Intercept)",0.0531673641122144,NA,NA,NA,NA,NA,"diet"
"Bacteroidales","Female","week 5","ran_pars","Residual","sd__Observation",0.0890476438081291,NA,NA,NA,NA,NA,"diet"
"Lactobacillales","Female","week 10","fixed",NA,"dietHFHS",0.0584549340362273,0.0409583770512918,1.42717896177929,21.999999999898,0.16756856736258,0.232544889293721,"diet"
"Lactobacillales","Female","week 10","ran_pars","dam_cage","sd__(Intercept)",0,NA,NA,NA,NA,NA,"diet"
"Lactobacillales","Female","week 10","ran_pars","cohort","sd__(Intercept)",0,NA,NA,NA,NA,NA,"diet"
"Lactobacillales","Female","week 10","ran_pars","Residual","sd__Observation",0.100327124468185,NA,NA,NA,NA,NA,"diet"
"Verrucomicrobiales","Male","week 5","fixed",NA,"dietHFHS",0.111411716302002,0.0663818519366095,1.67834600951467,10.6477898464131,0.122349092850983,0.244698185701967,"diet"
"Verrucomicrobiales","Male","week 5","ran_pars","dam_cage","sd__(Intercept)",0.101529811788971,NA,NA,NA,NA,NA,"diet"
"Verrucomicrobiales","Male","week 5","ran_pars","cohort","sd__(Intercept)",3.56847098061755e-06,NA,NA,NA,NA,NA,"diet"
"Verrucomicrobiales","Male","week 5","ran_pars","Residual","sd__Observation",0.0729051245123942,NA,NA,NA,NA,NA,"diet"
"Lachnospirales","Female","week 5","fixed",NA,"dietHFHS",0.115285654563666,0.0331184334296595,3.48101170934072,20.4558213252298,0.00229676883899569,0.00459353767799138,"diet"
"Lachnospirales","Female","week 5","ran_pars","dam_cage","sd__(Intercept)",0,NA,NA,NA,NA,NA,"diet"
"Lachnospirales","Female","week 5","ran_pars","cohort","sd__(Intercept)",0.0315073535882832,NA,NA,NA,NA,NA,"diet"
"Lachnospirales","Female","week 5","ran_pars","Residual","sd__Observation",0.0737688157189608,NA,NA,NA,NA,NA,"diet"
"Verrucomicrobiales","Male","week 10","fixed",NA,"dietHFHS",0.00721672567394771,0.0460962595690479,0.156557728141428,8.87152553855048,0.879098194658468,0.879098194658468,"diet"
"Verrucomicrobiales","Male","week 10","ran_pars","dam_cage","sd__(Intercept)",0.0701243904237486,NA,NA,NA,NA,NA,"diet"
"Verrucomicrobiales","Male","week 10","ran_pars","cohort","sd__(Intercept)",0.00943101515913377,NA,NA,NA,NA,NA,"diet"
"Verrucomicrobiales","Male","week 10","ran_pars","Residual","sd__Observation",0.0513040416838702,NA,NA,NA,NA,NA,"diet"
"Lactobacillales","Female","week 5","fixed",NA,"dietHFHS",-0.121643761213447,0.0313732451713905,-3.87730885182303,19.3872281383673,0.000982866735892299,0.000982866735892299,"diet"
"Lactobacillales","Female","week 5","ran_pars","dam_cage","sd__(Intercept)",0,NA,NA,NA,NA,NA,"diet"
"Lactobacillales","Female","week 5","ran_pars","cohort","sd__(Intercept)",0.0195246407054034,NA,NA,NA,NA,NA,"diet"
"Lactobacillales","Female","week 5","ran_pars","Residual","sd__Observation",0.073161080650444,NA,NA,NA,NA,NA,"diet"
"Lachnospirales","Male","week 10","fixed",NA,"dietHFHS",0.0185228380136484,0.0318619436317383,0.581346769918877,21.8532328529675,0.566955341993941,0.566955341993941,"diet"
"Lachnospirales","Male","week 10","ran_pars","dam_cage","sd__(Intercept)",0,NA,NA,NA,NA,NA,"diet"
"Lachnospirales","Male","week 10","ran_pars","cohort","sd__(Intercept)",0.0203235236448987,NA,NA,NA,NA,NA,"diet"
"Lachnospirales","Male","week 10","ran_pars","Residual","sd__Observation",0.0766882391585766,NA,NA,NA,NA,NA,"diet"
"Lachnospirales","Female","week 10","fixed",NA,"dietHFHS",0.00292548112759437,0.0321284234813898,0.0910558567957415,21.2692772290975,0.928300324117919,0.928300324117919,"diet"
"Lachnospirales","Female","week 10","ran_pars","dam_cage","sd__(Intercept)",0,NA,NA,NA,NA,NA,"diet"
"Lachnospirales","Female","week 10","ran_pars","cohort","sd__(Intercept)",0.037057022918331,NA,NA,NA,NA,NA,"diet"
"Lachnospirales","Female","week 10","ran_pars","Residual","sd__Observation",0.0697556226632009,NA,NA,NA,NA,NA,"diet"
"Lachnospirales","Male","week 5","fixed",NA,"dietHFHS",0.073883049922498,0.0330548591240037,2.2351645682509,10.0819652823208,0.0492005777539576,0.0984011555079152,"diet"
"Lachnospirales","Male","week 5","ran_pars","dam_cage","sd__(Intercept)",0.0436299009398684,NA,NA,NA,NA,NA,"diet"
"Lachnospirales","Male","week 5","ran_pars","cohort","sd__(Intercept)",1.37521422212989e-06,NA,NA,NA,NA,NA,"diet"
"Lachnospirales","Male","week 5","ran_pars","Residual","sd__Observation",0.0506733887269858,NA,NA,NA,NA,NA,"diet"
"Bifidobacteriales","Male","week 5","fixed",NA,"dietHFHS",-0.176405103254213,0.0334484222953714,-5.27394391569328,8.07531846553755,0.000729125299143105,0.00145825059828621,"diet"
"Bifidobacteriales","Male","week 5","ran_pars","dam_cage","sd__(Intercept)",0.0457096048946443,NA,NA,NA,NA,NA,"diet"
"Bifidobacteriales","Male","week 5","ran_pars","cohort","sd__(Intercept)",0.0352812422810615,NA,NA,NA,NA,NA,"diet"
"Bifidobacteriales","Male","week 5","ran_pars","Residual","sd__Observation",0.0454165882355229,NA,NA,NA,NA,NA,"diet"
"Lactobacillales","Male","week 5","fixed",NA,"dietHFHS",-0.0778630408776668,0.0297637158373631,-2.61603898193127,4.283258885834,0.055121833611146,0.055385770971815,"diet"
"Lactobacillales","Male","week 5","ran_pars","dam_cage","sd__(Intercept)",0.0173127417351891,NA,NA,NA,NA,NA,"diet"
"Lactobacillales","Male","week 5","ran_pars","cohort","sd__(Intercept)",0.0745960218299917,NA,NA,NA,NA,NA,"diet"
"Lactobacillales","Male","week 5","ran_pars","Residual","sd__Observation",0.0634514400613684,NA,NA,NA,NA,NA,"diet"
"Bifidobacteriales","Female","week 10","fixed",NA,"dietHFHS",-0.0236365038388292,0.0347349263610019,-0.680482336227629,6.32364784986061,0.520324045063079,0.520324045063079,"diet"
"Bifidobacteriales","Female","week 10","ran_pars","dam_cage","sd__(Intercept)",0.0416280635180543,NA,NA,NA,NA,NA,"diet"
"Bifidobacteriales","Female","week 10","ran_pars","cohort","sd__(Intercept)",0.0248199729633594,NA,NA,NA,NA,NA,"diet"
"Bifidobacteriales","Female","week 10","ran_pars","Residual","sd__Observation",0.0453287254259142,NA,NA,NA,NA,NA,"diet"
"Bifidobacteriales","Male","week 10","fixed",NA,"dietHFHS",-0.0686338243687019,0.0504358029922374,-1.3608155377097,8.21751339298774,0.209717943148728,0.209717943148728,"diet"
"Bifidobacteriales","Male","week 10","ran_pars","dam_cage","sd__(Intercept)",0.0810426026469766,NA,NA,NA,NA,NA,"diet"
"Bifidobacteriales","Male","week 10","ran_pars","cohort","sd__(Intercept)",0.0241629136092762,NA,NA,NA,NA,NA,"diet"
"Bifidobacteriales","Male","week 10","ran_pars","Residual","sd__Observation",0.0418811013659939,NA,NA,NA,NA,NA,"diet"
"Oscillospirales","Female","week 5","fixed",NA,"dietHFHS",0.104980172313982,0.024676916651552,4.25418514785879,5.48640052913883,0.0065514135333549,0.0131028270667098,"diet"
"Oscillospirales","Female","week 5","ran_pars","dam_cage","sd__(Intercept)",0.0201732096086872,NA,NA,NA,NA,NA,"diet"
"Oscillospirales","Female","week 5","ran_pars","cohort","sd__(Intercept)",0.0277578116600162,NA,NA,NA,NA,NA,"diet"
"Oscillospirales","Female","week 5","ran_pars","Residual","sd__Observation",0.043447651608927,NA,NA,NA,NA,NA,"diet"
"Bifidobacteriales","Female","week 5","fixed",NA,"dietHFHS",-0.105157982897049,0.0390422357007268,-2.69344162826953,6.78445345529173,0.031860844928103,0.063721689856206,"diet"
"Bifidobacteriales","Female","week 5","ran_pars","dam_cage","sd__(Intercept)",0.0509421196289992,NA,NA,NA,NA,NA,"diet"
"Bifidobacteriales","Female","week 5","ran_pars","cohort","sd__(Intercept)",0.0455770468281136,NA,NA,NA,NA,NA,"diet"
"Bifidobacteriales","Female","week 5","ran_pars","Residual","sd__Observation",0.0324571246719042,NA,NA,NA,NA,NA,"diet"
"Oscillospirales","Male","week 5","fixed",NA,"dietHFHS",0.0420768521537295,0.0232713770645894,1.80809464076602,8.08211467783918,0.107825907101942,0.107825907101942,"diet"
"Oscillospirales","Male","week 5","ran_pars","dam_cage","sd__(Intercept)",0.0260623171878733,NA,NA,NA,NA,NA,"diet"
"Oscillospirales","Male","week 5","ran_pars","cohort","sd__(Intercept)",0.00666723716616468,NA,NA,NA,NA,NA,"diet"
"Oscillospirales","Male","week 5","ran_pars","Residual","sd__Observation",0.0421834830997132,NA,NA,NA,NA,NA,"diet"
"Lactobacillales","Male","week 10","fixed",NA,"dietHFHS",0.00684890022606893,0.0350389511353609,0.195465332270095,8.45195429706733,0.849646491415017,0.849646491415017,"diet"
"Lactobacillales","Male","week 10","ran_pars","dam_cage","sd__(Intercept)",0.0583192061459314,NA,NA,NA,NA,NA,"diet"
"Lactobacillales","Male","week 10","ran_pars","cohort","sd__(Intercept)",0.0132947871102217,NA,NA,NA,NA,NA,"diet"
"Lactobacillales","Male","week 10","ran_pars","Residual","sd__Observation",0.0213339968156235,NA,NA,NA,NA,NA,"diet"
"Verrucomicrobiales","Female","week 5","fixed",NA,"dietHFHS",0.00197996100296733,0.0281369043870356,0.070368828629194,5.79439400493834,0.946265572681153,0.946265572681153,"diet"
"Verrucomicrobiales","Female","week 5","ran_pars","dam_cage","sd__(Intercept)",0.0206002739608891,NA,NA,NA,NA,NA,"diet"
