"genus","sex","timepoint","statistic_diet","p.adj_diet","statistic_treatment_FOSGOS","p.adj_treatment_FOSGOS","statistic_treatment_1472","p.adj_treatment_1472","restoration_FOSGOS","restoration_1472"
"A2","Female","week 5",-1.06375582177962,0.320846385313343,2.32399525954551,0.121050522387364,0.0500400102474121,1,"not restored","not restored"
"A2","Female","week 10",-0.0534812097325306,0.959358410664123,2.1835507205713,0.157389784053158,-0.180005593563795,1,"not restored","not restored"
"A2","Male","week 5",-0.383164988009419,0.70981074831912,3.15762356662916,0.0323520592743188,-0.61997063448163,0.843043601711845,"not restored","not restored"
"A2","Male","week 10",-0.203633675562997,0.840572869415971,1.57086903783207,0.376737015811136,0.224595185241841,0.994999490683596,"not restored","not restored"
"ASF356","Female","week 5",-0.871462504604416,0.39291272653812,1.68278115352529,0.353354584393238,0.277576212204659,1,"not restored","not restored"
"ASF356","Female","week 10",-0.00553886285877751,0.995630569027355,2.83344624654893,0.0498781474161882,0.0443293649932841,1,"not restored","not restored"
"ASF356","Male","week 5",-0.430509859780997,0.676415337471296,1.82612238703843,0.263989309671385,-0.0161181732675097,1,"not restored","not restored"
"ASF356","Male","week 10",-1.54841166548121,0.158515340224534,4.80356300351585,0.00109909607764021,0.58463386160249,1,"not restored","not restored"
"Acetatifactor","Female","week 5",3.7270549226436,0.00321959121541765,-1.75400859483429,0.265285550535724,-0.41159112245654,0.692647191428163,"not restored","not restored"
"Acetatifactor","Female","week 10",1.50197550509911,0.305628969891484,-2.39433955071775,0.048872119553236,-1.3085036699987,0.203949148171331,"not restored","not restored"
"Acetatifactor","Male","week 5",1.99673176578835,0.166140989686172,1.70332127813507,0.36689793379638,0.479624796299917,0.641254996179915,"not restored","not restored"
"Acetatifactor","Male","week 10",-0.267589619244833,0.79338090864874,0.483207631878806,0.653807896136752,1.01708822111535,0.653807896136752,"not restored","not restored"
"Afipia","Male","week 10",0.98327279521404,1,-1.2261428821866,1,-1.20454578398834,1,"not restored","not restored"
"Akkermansia","Female","week 5",0.070368828629194,0.946265572681153,1.70868027911195,0.363250311637854,0.725906132688437,0.483873483340942,"not restored","not restored"
"Akkermansia","Female","week 10",0.901213887679487,0.378178968621446,2.65033193687728,0.0688824448606071,-0.103166072336861,1,"not restored","not restored"
"Akkermansia","Male","week 5",1.67834600951467,0.244698185701967,-0.508592810066525,1,0.198498827788122,1,"not restored","not restored"
"Akkermansia","Male","week 10",0.156557728141428,0.879098194658468,1.59547667371822,0.417874038922509,-0.0595660545804187,0.953519697905226,"not restored","not restored"
"Alistipes","Female","week 5",0.653416903736322,0.520259459148095,-3.77459262791219,0.0186285618795338,-0.75365058296001,0.476742077485276,"not restored","not restored"
"Alistipes","Female","week 10",1.78897867183791,0.13507425564039,-4.76256220861767,0.00255705572524254,-0.52052880833978,0.614680122286789,"not restored","not restored"
"Alistipes","Male","week 5",-0.0937760286508397,0.927103970342192,-1.60185979161947,0.267003822883211,0.753946958319902,0.464429968925491,"not restored","not restored"
"Alistipes","Male","week 10",0.0400363359977784,0.969046501999176,-3.76426220785945,0.0043735096661896,1.51975540780985,0.150717504663058,"not restored","not restored"
"Anaerofustis","Female","week 10",0.994149249779877,0.80797594402678,-1.32888242741399,0.614959893335435,-1.29452306335184,0.614959893335435,"not restored","not restored"
"Anaeroplasma","Male","week 5",-0.987248640096646,0.405290491616853,1.22636226234431,0.744213355849574,0.849572367525363,0.826850026910258,"not restored","not restored"
"Anaerotruncus","Female","week 5",3.13858152600385,0.0447976310698985,-2.62698256145278,0.0467779349999358,-0.0492597997809434,0.961574510961487,"restored","not restored"
"Anaerotruncus","Female","week 10",0.758394870600928,0.456303983950889,-3.73295613980739,0.00907357171099424,-1.69919896345511,0.12023189599044,"not restored","not restored"
"Anaerotruncus","Male","week 5",0.977161245751784,0.339112850324968,-0.930000179570914,0.717854840419521,0.0879245764290569,0.93045245850305,"not restored","not restored"
"Anaerotruncus","Male","week 10",0.619949879968282,0.541851584329699,-2.99607880400043,0.0101638363772706,1.10244008506204,0.278026685036847,"not restored","not restored"
"Anaerovorax","Female","week 5",0.58107519125484,0.567147202908385,-1.58537575039031,0.244411058590887,0.278145482247446,0.782741828712677,"not restored","not restored"
"Anaerovorax","Female","week 10",0.521387610640471,0.608138984957276,-3.7202917240394,0.00143232411576991,-1.35551874937961,0.184188990286458,"not restored","not restored"
"Anaerovorax","Male","week 5",2.16091676522255,0.0840204757644807,-1.73018883946251,0.187365271002044,-0.486527440205036,0.629923860941375,"not restored","not restored"
"Anaerovorax","Male","week 10",0.161914008814558,0.872851423429225,-5.11963671609661,3.80381185588106e-05,-1.85819397983661,0.0718512438107106,"not restored","not restored"
"Asaccharospora","Female","week 5",1.10080368283112,0.77359332619602,-1.02534310154614,0.70506329784394,-1.32640266334539,0.70506329784394,"not restored","not restored"
"Bacteroides","Female","week 5",0.724539016945115,0.503549916901259,2.87268586033741,0.0139275677417226,1.19757133316062,0.239366541765739,"not restored","not restored"
"Bacteroides","Female","week 10",-1.61674089194035,0.157251741452287,1.58569087327783,0.278320719963685,1.17094818339404,0.278320719963685,"not restored","not restored"
"Bacteroides","Male","week 5",1.12258149293617,0.293071494278939,-1.65726080789748,0.2492410271432,-0.906334622276254,0.383606067863943,"not restored","not restored"
"Bacteroides","Male","week 10",1.56717288963868,0.147665007075111,-1.62245415884999,0.183928701677798,-1.86827934557403,0.183928701677798,"not restored","not restored"
"Bifidobacterium","Female","week 5",-2.69340576281884,0.0637254373831955,2.68512441000953,0.0622391842137847,0.654332145904947,1,"not restored","not restored"
"Bifidobacterium","Female","week 10",-0.680482336227629,0.520324045063079,2.69230756514794,0.0779722940049336,0.141390071803896,0.890773507814189,"not restored","not restored"
"Bifidobacterium","Male","week 5",-5.27394391569328,0.00145825059828103,5.03021731704064,0.00106304954262737,0.0650476663015094,1,"restored","not restored"
"Bifidobacterium","Male","week 10",-1.36060807125596,0.209781477054238,3.66746639244248,0.00859184511397726,-0.830001655145528,0.421541425361218,"not restored","not restored"
"Bilophila","Female","week 5",2.40742615521427,0.0809989701293733,-2.59949166442726,0.0484648258514669,0.280217599888349,0.784294354415995,"not restored","not restored"
"Bilophila","Female","week 10",0.680359670413536,0.503374535217453,-3.57457481595375,0.00215038641683534,-2.36541837151704,0.0238545737473128,"not restored","not restored"
"Bilophila","Male","week 5",1.53160783091221,0.212170699832494,-0.687279852938166,0.509242355083669,2.84785868301614,0.0336880748934546,"not restored","not restored"
"Bilophila","Male","week 10",0.99621498989326,0.329977522671295,-2.41976993459748,0.0591754871778961,0.770175382572578,0.453169886877717,"not restored","not restored"
"Butyricicoccus","Female","week 5",-0.746652782141985,0.482700289810827,-2.70356279644507,0.0874948506014062,0.0856877471399552,0.933672698558,"not restored","not restored"
"Butyricicoccus","Female","week 10",0.934755473035097,0.3786879084344,-3.70684403720615,0.0129634508571343,-1.25591539224791,0.239600980148774,"not restored","not restored"
"Butyricicoccus","Male","week 5",-0.856066565869462,0.411869967088444,0.300320817940246,1,0.283400016682865,1,"not restored","not restored"
"Butyricicoccus","Male","week 10",1.56800734591358,0.153031237960618,-3.46893996274961,0.0097448514103949,-1.10837423120515,0.289327320444248,"not restored","not restored"
"Candidatus Saccharimonas","Female","week 5",-0.748637029376497,0.479272080518015,2.10200186306397,0.264572027232256,0.157589805208528,0.880127594696044,"not restored","not restored"
"Candidatus Saccharimonas","Female","week 10",-0.884083548908819,0.403982861551535,-1.1420745485508,0.450921879144276,-1.23455470122432,0.450921879144276,"not restored","not restored"
