"phylum","sex","timepoint","statistic_diet","p.adj_diet","statistic_treatment_FOSGOS","p.adj_treatment_FOSGOS","statistic_treatment_1472","p.adj_treatment_1472","restoration_FOSGOS","restoration_1472"
"Actinobacteriota","Female","week 5",-2.53923884050922,0.0788638080723437,2.43121102904987,0.100560062765161,0.536841370541901,1,"not restored","not restored"
"Actinobacteriota","Female","week 10",-0.594923355322724,0.572939803646563,2.58622576225877,0.0952702998523491,0.0361324648820027,0.972021063874474,"not restored","not restored"
"Actinobacteriota","Male","week 5",-5.24851425276052,0.00158246875106245,4.27274257674436,0.00368883346876787,-0.285808458330698,0.858877261973851,"restored","not restored"
"Actinobacteriota","Male","week 10",-1.12858734584633,0.290527210640997,3.11533938120391,0.0247783455907495,-0.868275793256739,0.401044268642876,"not restored","not restored"
"Bacteroidota","Female","week 5",-1.90285683340219,0.0707464966725549,5.02202110890118,3.21705634653778e-05,1.23846739548644,0.224025745172561,"not restored","not restored"
"Bacteroidota","Female","week 10",-1.86502815656802,0.075572165349428,0.885189683493191,0.397037637119853,1.45641378221735,0.349586014100389,"not restored","not restored"
"Bacteroidota","Male","week 5",-1.37868422394244,0.201145669371208,-1.31492959466618,0.439727424848732,-0.315370529366279,0.758735866810072,"not restored","not restored"
"Bacteroidota","Male","week 10",0.087198853937101,0.932410340700589,-1.10760477570284,0.553223435967358,0.570476243162295,0.57231801681148,"not restored","not restored"
"Deferribacterota","Female","week 5",0.0207121522848577,0.9840371280255,-1.11495012855706,0.605974181025079,-0.905789204556768,0.605974181025079,"not restored","not restored"
"Deferribacterota","Female","week 10",1.13201434723401,0.542457857492978,-1.77014476388,0.173548065151844,-0.978063822600802,0.336719340260385,"not restored","not restored"
"Deferribacterota","Male","week 5",1.95460891825529,0.128343081075308,1.00296396407969,0.927182967738943,-0.402287590224027,0.927182967738943,"not restored","not restored"
"Deferribacterota","Male","week 10",-0.706009498342737,0.488544616048735,-1.50138972929697,0.330449268831419,-1.49097954880696,0.330449268831419,"not restored","not restored"
"Desulfobacterota","Female","week 5",1.8425687197238,0.109204042090884,-3.45715714606271,0.0177457869404991,0.801198837520291,0.443282857439271,"not restored","not restored"
"Desulfobacterota","Female","week 10",1.15515104972604,0.26042132580283,-3.56067236761129,0.00223475533543785,-2.57390369331789,0.0145864673774375,"not restored","not restored"
"Desulfobacterota","Male","week 5",0.86453242366887,0.407483112941564,-2.05714977241657,0.153353133203646,1.85173214220759,0.153353133203646,"not restored","not restored"
"Desulfobacterota","Male","week 10",1.24282032572155,0.227017701280182,-2.40451878401749,0.0435992761774111,0.207411243431393,0.836928523908262,"not restored","not restored"
"Firmicutes","Female","week 5",4.79938954741184,0.000172134608596564,-4.59281282776548,0.0027872039254595,-1.20562872831544,0.258204258794902,"restored","not restored"
"Firmicutes","Female","week 10",2.07723069925964,0.0511485449175084,-4.27924969205537,0.00694305418758715,-1.51099951833731,0.170910639822772,"not restored","not restored"
"Firmicutes","Male","week 5",2.78465115463366,0.02418477890079,-0.575484823930745,1,0.0922999683298974,1,"not restored","not restored"
"Firmicutes","Male","week 10",1.6144038835732,0.120692382795029,-3.64383690622205,0.0117149618080662,0.0591933269722757,0.954001075726423,"not restored","not restored"
"Patescibacteria","Female","week 5",-0.748637029376497,0.479272080518015,2.10200186305842,0.264572027348649,0.157589805213837,0.880127594695921,"not restored","not restored"
"Patescibacteria","Female","week 10",-0.884083548908819,0.403982861551535,-1.1420745485508,0.450921879144276,-1.23455470122432,0.450921879144276,"not restored","not restored"
"Patescibacteria","Male","week 5",0.173914019512374,0.866099037489001,1.88294040251163,0.253686761232964,-0.497840154210684,0.834052438899032,"not restored","not restored"
"Patescibacteria","Male","week 10",-1.99438427468239,0.0784658063116826,-0.0530944462111286,0.958509924286906,1.2287253256404,0.724755117739867,"not restored","not restored"
"Proteobacteria","Female","week 5",0.0326523214617382,0.974286746555614,7.33425080712473,0.00145850702644095,0.306708385700455,1,"not restored","not restored"
"Proteobacteria","Female","week 10",0.21096088509511,0.84079066862144,4.53370043558122,0.000205575428925743,-0.173176676852983,0.863539437458268,"not restored","not restored"
"Proteobacteria","Male","week 5",-0.311682991777402,0.762671787765676,1.74629977310731,0.306719505377025,0.316444437673604,0.756128155592518,"not restored","not restored"
"Proteobacteria","Male","week 10",-1.9225373662248,0.0897614633849046,6.62426009247865,0.000127606301858926,0.450251634684022,1,"not restored","not restored"
"Verrucomicrobiota","Female","week 5",0.070368828629194,0.946265572681153,1.70873715650428,0.363215582878368,0.726086098374489,0.483767606620442,"not restored","not restored"
"Verrucomicrobiota","Female","week 10",0.90084352915004,0.378373266379196,2.65030046182564,0.0688862392544027,-0.103201487337735,1,"not restored","not restored"
"Verrucomicrobiota","Male","week 5",1.67834600951467,0.244698185701967,-0.508592810066525,1,0.198498827788122,1,"not restored","not restored"
"Verrucomicrobiota","Male","week 10",0.156622018447212,0.879048982730601,1.59544137786415,0.417897198427163,-0.0596276669756443,0.953471678157681,"not restored","not restored"
