"genus","effect","group","term","estimate","std.error","statistic","df","p.value","p.adj"
"Bacteroides","fixed",NA,"dietHFHS",0.0135073386282509,0.0273785150806419,0.493355413486296,19.2041245000733,0.627356003805456,1
"Bacteroides","fixed",NA,"treatmentFOS+GOS",0.0117166626038293,0.0280197199999776,0.418157733333478,17.5436686582007,0.680905629508947,1
"Bacteroides","fixed",NA,"treatmentB. longum APC1472",0.000210918500872807,0.0273143023457676,0.00772190694101653,18.8595622789091,0.993919968695099,1
"Bacteroides","ran_pars","dam_cage","sd__(Intercept)",0.0360674239552583,NA,NA,NA,NA,NA
"Bacteroides","ran_pars","cohort","sd__(Intercept)",0,NA,NA,NA,NA,NA
"Bacteroides","ran_pars","Residual","sd__Observation",0.0836152671924774,NA,NA,NA,NA,NA
"Ligilactobacillus","fixed",NA,"dietHFHS",-0.0042315704566875,0.0140353509197025,-0.301493741118172,14.376503130758,0.767355018824746,0.767355018824746
"Ligilactobacillus","fixed",NA,"treatmentFOS+GOS",-0.0686084810019576,0.0138802586706554,-4.94288201897884,11.0818887654084,0.000430981748054234,0.00172392699221693
"Ligilactobacillus","fixed",NA,"treatmentB. longum APC1472",-0.0348262128050738,0.0141850114831115,-2.45514167165373,14.7876009024378,0.0269694339403697,0.0539388678807395
"Ligilactobacillus","ran_pars","dam_cage","sd__(Intercept)",0.0110435871850673,NA,NA,NA,NA,NA
"Ligilactobacillus","ran_pars","cohort","sd__(Intercept)",0.0215281447762565,NA,NA,NA,NA,NA
"Ligilactobacillus","ran_pars","Residual","sd__Observation",0.0569368339650536,NA,NA,NA,NA,NA
"Akkermansia","fixed",NA,"dietHFHS",0.0318928347192306,0.0353880385857717,0.901232054495769,17.5928730422728,0.379637520662656,0.759275041325312
"Akkermansia","fixed",NA,"treatmentFOS+GOS",0.0675670066772905,0.0365175197355927,1.85026275515187,16.0969379166528,0.0827181801251583,0.330872720500633
