"Family",".y..x","group1","group2","p","p.adj","p.format","p.signif","method",".y..y","effsize","n1","n2","magnitude"
"Acholeplasmataceae","Abundance","Control Vehicle","HFHS Vehicle",1,1,"1.0000","ns","Wilcoxon","Abundance",0.0280165907340263,7,7,"small"
"Acholeplasmataceae","Abundance","Control Vehicle","HFHS FOS+GOS",0.391365938307552,1,"0.3914","ns","Wilcoxon","Abundance",0.267261241912424,7,7,"small"
"Acholeplasmataceae","Abundance","Control Vehicle","HFHS B. longum APC1472",0.391365938307552,1,"0.3914","ns","Wilcoxon","Abundance",0.267261241912424,7,7,"small"
"Acholeplasmataceae","Abundance","HFHS Vehicle","HFHS FOS+GOS",0.391365938307552,1,"0.3914","ns","Wilcoxon","Abundance",0.267261241912424,7,7,"small"
"Acholeplasmataceae","Abundance","HFHS Vehicle","HFHS B. longum APC1472",0.391365938307552,1,"0.3914","ns","Wilcoxon","Abundance",0.267261241912424,7,7,"small"
"Akkermansiaceae","Abundance","Control Vehicle","HFHS Vehicle",0.306685065904181,1,"0.3067","ns","Wilcoxon","Abundance",0.290269805124067,7,7,"small"
"Akkermansiaceae","Abundance","Control Vehicle","HFHS FOS+GOS",0.0151936099774602,1,"0.0152","*","Wilcoxon","Abundance",0.665913082343448,7,7,"large"
"Akkermansiaceae","Abundance","Control Vehicle","HFHS B. longum APC1472",0.0966975676176362,1,"0.0967","ns","Wilcoxon","Abundance",0.461016749314695,7,7,"moderate"
"Akkermansiaceae","Abundance","HFHS Vehicle","HFHS FOS+GOS",0.0966975676176362,1,"0.0967","ns","Wilcoxon","Abundance",0.461016749314695,7,7,"moderate"
"Akkermansiaceae","Abundance","HFHS Vehicle","HFHS B. longum APC1472",0.125201029610315,1,"0.1252","ns","Wilcoxon","Abundance",0.426867360476569,7,7,"moderate"
"Akkermansiaceae","Abundance","HFHS FOS+GOS","HFHS B. longum APC1472",0.701478108866614,1,"0.7015","ns","Wilcoxon","Abundance",0.119522860933439,7,7,"small"
"Anaerovoracaceae","Abundance","Control Vehicle","HFHS Vehicle",0.00722622222663166,1,"0.0072","**","Wilcoxon","Abundance",0.735020018613299,7,7,"large"
"Anaerovoracaceae","Abundance","Control Vehicle","HFHS FOS+GOS",0.219435985644436,1,"0.2194","ns","Wilcoxon","Abundance",0.346438214326836,7,7,"moderate"
"Anaerovoracaceae","Abundance","Control Vehicle","HFHS B. longum APC1472",0.055017327657759,1,"0.0550","ns","Wilcoxon","Abundance",0.529898152953774,7,7,"large"
"Anaerovoracaceae","Abundance","HFHS Vehicle","HFHS FOS+GOS",0.00404088025979272,0.8,"0.0040","**","Wilcoxon","Abundance",0.785826234747513,7,7,"large"
"Anaerovoracaceae","Abundance","HFHS Vehicle","HFHS B. longum APC1472",0.0298420644179543,1,"0.0298","*","Wilcoxon","Abundance",0.597614304667197,7,7,"large"
"Anaerovoracaceae","Abundance","HFHS FOS+GOS","HFHS B. longum APC1472",0.0186610299622997,1,"0.0187","*","Wilcoxon","Abundance",0.646123793014621,7,7,"large"
"Atopobiaceae","Abundance","Control Vehicle","HFHS Vehicle",0.513499507859253,1,"0.5135","ns","Wilcoxon","Abundance",0.192090857382725,7,7,"small"
"Atopobiaceae","Abundance","Control Vehicle","HFHS FOS+GOS",0.159404993147933,1,"0.1594","ns","Wilcoxon","Abundance",0.39315024251409,7,7,"moderate"
"Atopobiaceae","Abundance","Control Vehicle","HFHS B. longum APC1472",0.513499507859253,1,"0.5135","ns","Wilcoxon","Abundance",0.192090857382725,7,7,"small"
"Atopobiaceae","Abundance","HFHS Vehicle","HFHS FOS+GOS",0.0542155482977505,1,"0.0542","ns","Wilcoxon","Abundance",0.5316576425313,7,7,"large"
"Atopobiaceae","Abundance","HFHS Vehicle","HFHS B. longum APC1472",0.841880134933279,1,"0.8419","ns","Wilcoxon","Abundance",0.0710876216468742,7,7,"small"
"Atopobiaceae","Abundance","HFHS FOS+GOS","HFHS B. longum APC1472",0.0542155482977505,1,"0.0542","ns","Wilcoxon","Abundance",0.5316576425313,7,7,"large"
"Bacteroidaceae","Abundance","Control Vehicle","HFHS Vehicle",0.522903234512671,1,"0.5229","ns","Wilcoxon","Abundance",0.18782163860969,7,7,"small"
"Bacteroidaceae","Abundance","Control Vehicle","HFHS FOS+GOS",0.0214507336863221,1,"0.0215","*","Wilcoxon","Abundance",0.631763693505322,7,7,"large"
"Bacteroidaceae","Abundance","Control Vehicle","HFHS B. longum APC1472",0.798297847328526,1,"0.7983","ns","Wilcoxon","Abundance",0.0853734720953138,7,7,"small"
"Bacteroidaceae","Abundance","HFHS Vehicle","HFHS FOS+GOS",0.0736382701203026,1,"0.0736","ns","Wilcoxon","Abundance",0.49516613815282,7,7,"moderate"
"Bacteroidaceae","Abundance","HFHS Vehicle","HFHS B. longum APC1472",0.250153007959382,1,"0.2502","ns","Wilcoxon","Abundance",0.324419193962193,7,7,"moderate"
"Bacteroidaceae","Abundance","HFHS FOS+GOS","HFHS B. longum APC1472",0.0736382701203026,1,"0.0736","ns","Wilcoxon","Abundance",0.49516613815282,7,7,"moderate"
"Bifidobacteriaceae","Abundance","Control Vehicle","HFHS Vehicle",0.00216502933303838,0.47,"0.0022","**","Wilcoxon","Abundance",0.836660026534076,7,7,"large"
"Bifidobacteriaceae","Abundance","Control Vehicle","HFHS FOS+GOS",0.0214507336863221,1,"0.0215","*","Wilcoxon","Abundance",0.631763693505322,7,7,"large"
"Bifidobacteriaceae","Abundance","Control Vehicle","HFHS B. longum APC1472",0.00216502933303838,0.47,"0.0022","**","Wilcoxon","Abundance",0.836660026534076,7,7,"large"
"Bifidobacteriaceae","Abundance","HFHS Vehicle","HFHS FOS+GOS",0.00216502933303838,0.47,"0.0022","**","Wilcoxon","Abundance",0.836660026534076,7,7,"large"
"Bifidobacteriaceae","Abundance","HFHS Vehicle","HFHS B. longum APC1472",0.306685065904181,1,"0.3067","ns","Wilcoxon","Abundance",0.290269805124067,7,7,"small"
"Bifidobacteriaceae","Abundance","HFHS FOS+GOS","HFHS B. longum APC1472",0.00216502933303838,0.47,"0.0022","**","Wilcoxon","Abundance",0.836660026534076,7,7,"large"
"Butyricicoccaceae","Abundance","Control Vehicle","HFHS Vehicle",0.44328852211644,1,"0.4433","ns","Wilcoxon","Abundance",0.221971027447816,7,7,"small"
"Butyricicoccaceae","Abundance","Control Vehicle","HFHS FOS+GOS",0.00141376326491381,0.32,"0.0014","**","Wilcoxon","Abundance",0.870823365174209,7,7,"large"
"Butyricicoccaceae","Abundance","Control Vehicle","HFHS B. longum APC1472",0.609280159304103,1,"0.6093","ns","Wilcoxon","Abundance",0.153672249771565,7,7,"small"
"Butyricicoccaceae","Abundance","HFHS Vehicle","HFHS FOS+GOS",0.00141376326491381,0.32,"0.0014","**","Wilcoxon","Abundance",0.870823365174209,7,7,"large"
"Butyricicoccaceae","Abundance","HFHS Vehicle","HFHS B. longum APC1472",0.798297847328526,1,"0.7983","ns","Wilcoxon","Abundance",0.0853734720953138,7,7,"small"
"Butyricicoccaceae","Abundance","HFHS FOS+GOS","HFHS B. longum APC1472",0.00222200581631201,0.47,"0.0022","**","Wilcoxon","Abundance",0.835279554350772,7,7,"large"
"Caldicoprobacteraceae","Abundance","Control Vehicle","HFHS FOS+GOS",0.391365938307552,1,"0.3914","ns","Wilcoxon","Abundance",0.267261241912424,7,7,"small"
"Caldicoprobacteraceae","Abundance","HFHS Vehicle","HFHS FOS+GOS",0.391365938307552,1,"0.3914","ns","Wilcoxon","Abundance",0.267261241912424,7,7,"small"
"Caldicoprobacteraceae","Abundance","HFHS FOS+GOS","HFHS B. longum APC1472",0.391365938307552,1,"0.3914","ns","Wilcoxon","Abundance",0.267261241912424,7,7,"small"
"Carnobacteriaceae","Abundance","Control Vehicle","HFHS Vehicle",0.391365938307552,1,"0.3914","ns","Wilcoxon","Abundance",0.267261241912424,7,7,"small"
"Carnobacteriaceae","Abundance","Control Vehicle","HFHS FOS+GOS",0.391365938307552,1,"0.3914","ns","Wilcoxon","Abundance",0.267261241912424,7,7,"small"
"Carnobacteriaceae","Abundance","Control Vehicle","HFHS B. longum APC1472",0.391365938307552,1,"0.3914","ns","Wilcoxon","Abundance",0.267261241912424,7,7,"small"
"Christensenellaceae","Abundance","Control Vehicle","HFHS Vehicle",0.0151936099774602,1,"0.0152","*","Wilcoxon","Abundance",0.665913082343448,7,7,"large"
"Christensenellaceae","Abundance","Control Vehicle","HFHS FOS+GOS",0.608886305023202,1,"0.6089","ns","Wilcoxon","Abundance",0.153841399244644,7,7,"small"
"Christensenellaceae","Abundance","Control Vehicle","HFHS B. longum APC1472",0.201336485287401,1,"0.2013","ns","Wilcoxon","Abundance",0.358568582800318,7,7,"moderate"
"Christensenellaceae","Abundance","HFHS Vehicle","HFHS FOS+GOS",0.00214070973158512,0.47,"0.0021","**","Wilcoxon","Abundance",0.837580951443062,7,7,"large"
"Christensenellaceae","Abundance","HFHS Vehicle","HFHS B. longum APC1472",0.250153007959382,1,"0.2502","ns","Wilcoxon","Abundance",0.324419193962193,7,7,"moderate"
"Christensenellaceae","Abundance","HFHS FOS+GOS","HFHS B. longum APC1472",0.0400288484634404,1,"0.0400","*","Wilcoxon","Abundance",0.565958135597835,7,7,"large"
"Clostridiaceae","Abundance","Control Vehicle","HFHS Vehicle",0.0409135529844968,1,"0.0409","*","Wilcoxon","Abundance",0.563464915829071,7,7,"large"
"Clostridiaceae","Abundance","Control Vehicle","HFHS FOS+GOS",0.0893501473953888,1,"0.0894","ns","Wilcoxon","Abundance",0.471495740848508,7,7,"moderate"
"Clostridiaceae","Abundance","Control Vehicle","HFHS B. longum APC1472",0.0736382701203026,1,"0.0736","ns","Wilcoxon","Abundance",0.49516613815282,7,7,"moderate"
"Clostridiaceae","Abundance","HFHS Vehicle","HFHS FOS+GOS",0.00895956001760788,1,"0.0090","**","Wilcoxon","Abundance",0.715975013881067,7,7,"large"
"Clostridiaceae","Abundance","HFHS Vehicle","HFHS B. longum APC1472",0.701478108866614,1,"0.7015","ns","Wilcoxon","Abundance",0.119522860933439,7,7,"small"
"Clostridiaceae","Abundance","HFHS FOS+GOS","HFHS B. longum APC1472",0.0138795351777304,1,"0.0139","*","Wilcoxon","Abundance",0.675332405645305,7,7,"large"
"Deferribacteraceae","Abundance","Control Vehicle","HFHS Vehicle",0.0409135529844968,1,"0.0409","*","Wilcoxon","Abundance",0.563464915829071,7,7,"large"
"Deferribacteraceae","Abundance","Control Vehicle","HFHS FOS+GOS",1,1,"1.0000","ns","Wilcoxon","Abundance",0.0170746944190628,7,7,"small"
"Deferribacteraceae","Abundance","Control Vehicle","HFHS B. longum APC1472",0.159864197547973,1,"0.1599","ns","Wilcoxon","Abundance",0.392717971638444,7,7,"moderate"
"Deferribacteraceae","Abundance","HFHS Vehicle","HFHS FOS+GOS",0.0552849927170241,1,"0.0553","ns","Wilcoxon","Abundance",0.529315526990946,7,7,"large"
"Deferribacteraceae","Abundance","HFHS Vehicle","HFHS B. longum APC1472",0.306685065904181,1,"0.3067","ns","Wilcoxon","Abundance",0.290269805124067,7,7,"small"
"Deferribacteraceae","Abundance","HFHS FOS+GOS","HFHS B. longum APC1472",0.159864197547973,1,"0.1599","ns","Wilcoxon","Abundance",0.392717971638444,7,7,"moderate"
"Defluviitaleaceae","Abundance","Control Vehicle","HFHS B. longum APC1472",0.391365938307552,1,"0.3914","ns","Wilcoxon","Abundance",0.267261241912424,7,7,"small"
"Defluviitaleaceae","Abundance","HFHS Vehicle","HFHS B. longum APC1472",0.391365938307552,1,"0.3914","ns","Wilcoxon","Abundance",0.267261241912424,7,7,"small"
"Defluviitaleaceae","Abundance","HFHS FOS+GOS","HFHS B. longum APC1472",0.391365938307552,1,"0.3914","ns","Wilcoxon","Abundance",0.267261241912424,7,7,"small"
"Desulfovibrionaceae","Abundance","Control Vehicle","HFHS Vehicle",0.00729035809153564,1,"0.0073","**","Wilcoxon","Abundance",0.734211860019699,7,7,"large"
"Desulfovibrionaceae","Abundance","Control Vehicle","HFHS FOS+GOS",0.201336485287401,1,"0.2013","ns","Wilcoxon","Abundance",0.358568582800318,7,7,"moderate"
"Desulfovibrionaceae","Abundance","Control Vehicle","HFHS B. longum APC1472",0.44328852211644,1,"0.4433","ns","Wilcoxon","Abundance",0.221971027447816,7,7,"small"
"Desulfovibrionaceae","Abundance","HFHS Vehicle","HFHS FOS+GOS",0.00329451387658258,0.67,"0.0033","**","Wilcoxon","Abundance",0.80251063769595,7,7,"large"
"Desulfovibrionaceae","Abundance","HFHS Vehicle","HFHS B. longum APC1472",0.0736382701203026,1,"0.0736","ns","Wilcoxon","Abundance",0.49516613815282,7,7,"moderate"
"Desulfovibrionaceae","Abundance","HFHS FOS+GOS","HFHS B. longum APC1472",0.0552849927170241,1,"0.0553","ns","Wilcoxon","Abundance",0.529315526990946,7,7,"large"
