"Order",".y..x","group1","group2","p","p.adj","p.format","p.signif","method",".y..y","effsize","n1","n2","magnitude"
"Acholeplasmatales","Abundance","Control Vehicle","HFHS Vehicle",1,1,"1.0000","ns","Wilcoxon","Abundance",0.0280165907340263,7,7,"small"
"Acholeplasmatales","Abundance","Control Vehicle","HFHS FOS+GOS",0.391365938307552,1,"0.3914","ns","Wilcoxon","Abundance",0.267261241912424,7,7,"small"
"Acholeplasmatales","Abundance","Control Vehicle","HFHS B. longum APC1472",0.391365938307552,1,"0.3914","ns","Wilcoxon","Abundance",0.267261241912424,7,7,"small"
"Acholeplasmatales","Abundance","HFHS Vehicle","HFHS FOS+GOS",0.391365938307552,1,"0.3914","ns","Wilcoxon","Abundance",0.267261241912424,7,7,"small"
"Acholeplasmatales","Abundance","HFHS Vehicle","HFHS B. longum APC1472",0.391365938307552,1,"0.3914","ns","Wilcoxon","Abundance",0.267261241912424,7,7,"small"
"Bacillales","Abundance","Control Vehicle","HFHS Vehicle",0.391365938307552,1,"0.3914","ns","Wilcoxon","Abundance",0.267261241912424,7,7,"small"
"Bacillales","Abundance","Control Vehicle","HFHS FOS+GOS",0.391365938307552,1,"0.3914","ns","Wilcoxon","Abundance",0.267261241912424,7,7,"small"
"Bacillales","Abundance","Control Vehicle","HFHS B. longum APC1472",0.391365938307552,1,"0.3914","ns","Wilcoxon","Abundance",0.267261241912424,7,7,"small"
"Bacteroidales","Abundance","Control Vehicle","HFHS Vehicle",0.0409135529844968,1,"0.0409","*","Wilcoxon","Abundance",0.563464915829071,7,7,"large"
"Bacteroidales","Abundance","Control Vehicle","HFHS FOS+GOS",0.0552849927170241,1,"0.0553","ns","Wilcoxon","Abundance",0.529315526990946,7,7,"large"
"Bacteroidales","Abundance","Control Vehicle","HFHS B. longum APC1472",0.0106033453821227,1,"0.0106","*","Wilcoxon","Abundance",0.700062471181573,7,7,"large"
"Bacteroidales","Abundance","HFHS Vehicle","HFHS FOS+GOS",0.0106033453821227,1,"0.0106","*","Wilcoxon","Abundance",0.700062471181573,7,7,"large"
"Bacteroidales","Abundance","HFHS Vehicle","HFHS B. longum APC1472",0.798297847328526,1,"0.7983","ns","Wilcoxon","Abundance",0.0853734720953138,7,7,"small"
"Bacteroidales","Abundance","HFHS FOS+GOS","HFHS B. longum APC1472",0.00729035809153564,0.87,"0.0073","**","Wilcoxon","Abundance",0.734211860019699,7,7,"large"
"Bifidobacteriales","Abundance","Control Vehicle","HFHS Vehicle",0.00216502933303838,0.29,"0.0022","**","Wilcoxon","Abundance",0.836660026534076,7,7,"large"
"Bifidobacteriales","Abundance","Control Vehicle","HFHS FOS+GOS",0.0214507336863221,1,"0.0215","*","Wilcoxon","Abundance",0.631763693505322,7,7,"large"
"Bifidobacteriales","Abundance","Control Vehicle","HFHS B. longum APC1472",0.00216502933303838,0.29,"0.0022","**","Wilcoxon","Abundance",0.836660026534076,7,7,"large"
"Bifidobacteriales","Abundance","HFHS Vehicle","HFHS FOS+GOS",0.00216502933303838,0.29,"0.0022","**","Wilcoxon","Abundance",0.836660026534076,7,7,"large"
"Bifidobacteriales","Abundance","HFHS Vehicle","HFHS B. longum APC1472",0.306685065904181,1,"0.3067","ns","Wilcoxon","Abundance",0.290269805124067,7,7,"small"
"Bifidobacteriales","Abundance","HFHS FOS+GOS","HFHS B. longum APC1472",0.00216502933303838,0.29,"0.0022","**","Wilcoxon","Abundance",0.836660026534076,7,7,"large"
"Burkholderiales","Abundance","Control Vehicle","HFHS Vehicle",0.891467370962664,1,"0.8915","ns","Wilcoxon","Abundance",0.0547007706831847,7,7,"small"
"Burkholderiales","Abundance","Control Vehicle","HFHS FOS+GOS",0.00315890713941138,0.4,"0.0032","**","Wilcoxon","Abundance",0.806061587063584,7,7,"large"
"Burkholderiales","Abundance","Control Vehicle","HFHS B. longum APC1472",0.191281772131877,1,"0.1913","ns","Wilcoxon","Abundance",0.366718909548839,7,7,"moderate"
"Burkholderiales","Abundance","HFHS Vehicle","HFHS FOS+GOS",0.0200370024458742,1,"0.0200","*","Wilcoxon","Abundance",0.638822724818517,7,7,"large"
"Burkholderiales","Abundance","HFHS Vehicle","HFHS B. longum APC1472",0.594746046908559,1,"0.5947","ns","Wilcoxon","Abundance",0.159947148705467,7,7,"small"
"Burkholderiales","Abundance","HFHS FOS+GOS","HFHS B. longum APC1472",0.0213077106716282,1,"0.0213","*","Wilcoxon","Abundance",0.632459085783536,7,7,"large"
"Caldicoprobacterales","Abundance","Control Vehicle","HFHS FOS+GOS",0.391365938307552,1,"0.3914","ns","Wilcoxon","Abundance",0.267261241912424,7,7,"small"
"Caldicoprobacterales","Abundance","HFHS Vehicle","HFHS FOS+GOS",0.391365938307552,1,"0.3914","ns","Wilcoxon","Abundance",0.267261241912424,7,7,"small"
"Caldicoprobacterales","Abundance","HFHS FOS+GOS","HFHS B. longum APC1472",0.391365938307552,1,"0.3914","ns","Wilcoxon","Abundance",0.267261241912424,7,7,"small"
"Christensenellales","Abundance","Control Vehicle","HFHS Vehicle",0.0151936099774602,1,"0.0152","*","Wilcoxon","Abundance",0.665913082343448,7,7,"large"
"Christensenellales","Abundance","Control Vehicle","HFHS FOS+GOS",0.608886305023202,1,"0.6089","ns","Wilcoxon","Abundance",0.153841399244644,7,7,"small"
"Christensenellales","Abundance","Control Vehicle","HFHS B. longum APC1472",0.201336485287401,1,"0.2013","ns","Wilcoxon","Abundance",0.358568582800318,7,7,"moderate"
"Christensenellales","Abundance","HFHS Vehicle","HFHS FOS+GOS",0.00214070973158512,0.29,"0.0021","**","Wilcoxon","Abundance",0.837580951443062,7,7,"large"
"Christensenellales","Abundance","HFHS Vehicle","HFHS B. longum APC1472",0.250153007959382,1,"0.2502","ns","Wilcoxon","Abundance",0.324419193962193,7,7,"moderate"
"Christensenellales","Abundance","HFHS FOS+GOS","HFHS B. longum APC1472",0.0400288484634404,1,"0.0400","*","Wilcoxon","Abundance",0.565958135597835,7,7,"large"
"Clostridiales","Abundance","Control Vehicle","HFHS Vehicle",0.0409135529844968,1,"0.0409","*","Wilcoxon","Abundance",0.563464915829071,7,7,"large"
"Clostridiales","Abundance","Control Vehicle","HFHS FOS+GOS",0.0893501473953888,1,"0.0894","ns","Wilcoxon","Abundance",0.471495740848508,7,7,"moderate"
"Clostridiales","Abundance","Control Vehicle","HFHS B. longum APC1472",0.0736382701203026,1,"0.0736","ns","Wilcoxon","Abundance",0.49516613815282,7,7,"moderate"
"Clostridiales","Abundance","HFHS Vehicle","HFHS FOS+GOS",0.00895956001760788,1,"0.0090","**","Wilcoxon","Abundance",0.715975013881067,7,7,"large"
"Clostridiales","Abundance","HFHS Vehicle","HFHS B. longum APC1472",0.701478108866614,1,"0.7015","ns","Wilcoxon","Abundance",0.119522860933439,7,7,"small"
"Clostridiales","Abundance","HFHS FOS+GOS","HFHS B. longum APC1472",0.0138795351777304,1,"0.0139","*","Wilcoxon","Abundance",0.675332405645305,7,7,"large"
"Coriobacteriales","Abundance","Control Vehicle","HFHS Vehicle",0.701478108866614,1,"0.7015","ns","Wilcoxon","Abundance",0.119522860933439,7,7,"small"
"Coriobacteriales","Abundance","Control Vehicle","HFHS FOS+GOS",0.701478108866614,1,"0.7015","ns","Wilcoxon","Abundance",0.119522860933439,7,7,"small"
"Coriobacteriales","Abundance","Control Vehicle","HFHS B. longum APC1472",0.522903234512671,1,"0.5229","ns","Wilcoxon","Abundance",0.18782163860969,7,7,"small"
"Coriobacteriales","Abundance","HFHS Vehicle","HFHS FOS+GOS",0.371093369522698,1,"0.3711","ns","Wilcoxon","Abundance",0.256120416285941,7,7,"small"
"Coriobacteriales","Abundance","HFHS Vehicle","HFHS B. longum APC1472",0.371093369522698,1,"0.3711","ns","Wilcoxon","Abundance",0.256120416285941,7,7,"small"
"Coriobacteriales","Abundance","HFHS FOS+GOS","HFHS B. longum APC1472",0.701478108866614,1,"0.7015","ns","Wilcoxon","Abundance",0.119522860933439,7,7,"small"
"Deferribacterales","Abundance","Control Vehicle","HFHS Vehicle",0.0409135529844968,1,"0.0409","*","Wilcoxon","Abundance",0.563464915829071,7,7,"large"
"Deferribacterales","Abundance","Control Vehicle","HFHS FOS+GOS",1,1,"1.0000","ns","Wilcoxon","Abundance",0.0170746944190628,7,7,"small"
"Deferribacterales","Abundance","Control Vehicle","HFHS B. longum APC1472",0.159864197547973,1,"0.1599","ns","Wilcoxon","Abundance",0.392717971638444,7,7,"moderate"
"Deferribacterales","Abundance","HFHS Vehicle","HFHS FOS+GOS",0.0552849927170241,1,"0.0553","ns","Wilcoxon","Abundance",0.529315526990946,7,7,"large"
"Deferribacterales","Abundance","HFHS Vehicle","HFHS B. longum APC1472",0.306685065904181,1,"0.3067","ns","Wilcoxon","Abundance",0.290269805124067,7,7,"small"
"Deferribacterales","Abundance","HFHS FOS+GOS","HFHS B. longum APC1472",0.159864197547973,1,"0.1599","ns","Wilcoxon","Abundance",0.392717971638444,7,7,"moderate"
"Desulfovibrionales","Abundance","Control Vehicle","HFHS Vehicle",0.00729035809153564,0.87,"0.0073","**","Wilcoxon","Abundance",0.734211860019699,7,7,"large"
"Desulfovibrionales","Abundance","Control Vehicle","HFHS FOS+GOS",0.201336485287401,1,"0.2013","ns","Wilcoxon","Abundance",0.358568582800318,7,7,"moderate"
"Desulfovibrionales","Abundance","Control Vehicle","HFHS B. longum APC1472",0.44328852211644,1,"0.4433","ns","Wilcoxon","Abundance",0.221971027447816,7,7,"small"
"Desulfovibrionales","Abundance","HFHS Vehicle","HFHS FOS+GOS",0.00329451387658258,0.41,"0.0033","**","Wilcoxon","Abundance",0.80251063769595,7,7,"large"
"Desulfovibrionales","Abundance","HFHS Vehicle","HFHS B. longum APC1472",0.0736382701203026,1,"0.0736","ns","Wilcoxon","Abundance",0.49516613815282,7,7,"moderate"
"Desulfovibrionales","Abundance","HFHS FOS+GOS","HFHS B. longum APC1472",0.0552849927170241,1,"0.0553","ns","Wilcoxon","Abundance",0.529315526990946,7,7,"large"
"Enterobacterales","Abundance","Control Vehicle","HFHS Vehicle",0.200406593222455,1,"0.2004","ns","Wilcoxon","Abundance",0.363587179195637,7,7,"moderate"
"Enterobacterales","Abundance","Control Vehicle","HFHS FOS+GOS",0.371603852607153,1,"0.3716","ns","Wilcoxon","Abundance",0.258689967998569,7,7,"small"
"Enterobacterales","Abundance","Control Vehicle","HFHS B. longum APC1472",1,1,"1.0000","ns","Wilcoxon","Abundance",0.0189091359160134,7,7,"small"
"Enterobacterales","Abundance","HFHS Vehicle","HFHS FOS+GOS",0.593767798161571,1,"0.5938","ns","Wilcoxon","Abundance",0.166311678688194,7,7,"small"
"Enterobacterales","Abundance","HFHS Vehicle","HFHS B. longum APC1472",0.200406593222455,1,"0.2004","ns","Wilcoxon","Abundance",0.363587179195637,7,7,"moderate"
"Enterobacterales","Abundance","HFHS FOS+GOS","HFHS B. longum APC1472",0.371603852607153,1,"0.3716","ns","Wilcoxon","Abundance",0.258689967998569,7,7,"small"
"Erysipelotrichales","Abundance","Control Vehicle","HFHS Vehicle",0.125201029610315,1,"0.1252","ns","Wilcoxon","Abundance",0.426867360476569,7,7,"moderate"
"Erysipelotrichales","Abundance","Control Vehicle","HFHS FOS+GOS",0.0298420644179543,1,"0.0298","*","Wilcoxon","Abundance",0.597614304667197,7,7,"large"
"Erysipelotrichales","Abundance","Control Vehicle","HFHS B. longum APC1472",0.371093369522698,1,"0.3711","ns","Wilcoxon","Abundance",0.256120416285941,7,7,"small"
"Erysipelotrichales","Abundance","HFHS Vehicle","HFHS FOS+GOS",0.898326787269238,1,"0.8983","ns","Wilcoxon","Abundance",0.0512240832571883,7,7,"small"
"Erysipelotrichales","Abundance","HFHS Vehicle","HFHS B. longum APC1472",0.522903234512671,1,"0.5229","ns","Wilcoxon","Abundance",0.18782163860969,7,7,"small"
"Erysipelotrichales","Abundance","HFHS FOS+GOS","HFHS B. longum APC1472",0.201336485287401,1,"0.2013","ns","Wilcoxon","Abundance",0.358568582800318,7,7,"moderate"
"Lachnospirales","Abundance","Control Vehicle","HFHS Vehicle",0.00729035809153564,0.87,"0.0073","**","Wilcoxon","Abundance",0.734211860019699,7,7,"large"
"Lachnospirales","Abundance","Control Vehicle","HFHS FOS+GOS",0.798297847328526,1,"0.7983","ns","Wilcoxon","Abundance",0.0853734720953138,7,7,"small"
"Lachnospirales","Abundance","Control Vehicle","HFHS B. longum APC1472",0.201336485287401,1,"0.2013","ns","Wilcoxon","Abundance",0.358568582800318,7,7,"moderate"
"Lachnospirales","Abundance","HFHS Vehicle","HFHS FOS+GOS",0.0409135529844968,1,"0.0409","*","Wilcoxon","Abundance",0.563464915829071,7,7,"large"
"Lachnospirales","Abundance","HFHS Vehicle","HFHS B. longum APC1472",0.371093369522698,1,"0.3711","ns","Wilcoxon","Abundance",0.256120416285941,7,7,"small"
"Lachnospirales","Abundance","HFHS FOS+GOS","HFHS B. longum APC1472",0.250153007959382,1,"0.2502","ns","Wilcoxon","Abundance",0.324419193962193,7,7,"moderate"
"Lactobacillales","Abundance","Control Vehicle","HFHS Vehicle",0.0736382701203026,1,"0.0736","ns","Wilcoxon","Abundance",0.49516613815282,7,7,"moderate"
"Lactobacillales","Abundance","Control Vehicle","HFHS FOS+GOS",0.0298420644179543,1,"0.0298","*","Wilcoxon","Abundance",0.597614304667197,7,7,"large"
"Lactobacillales","Abundance","Control Vehicle","HFHS B. longum APC1472",0.00729035809153564,0.87,"0.0073","**","Wilcoxon","Abundance",0.734211860019699,7,7,"large"
"Lactobacillales","Abundance","HFHS Vehicle","HFHS FOS+GOS",0.798297847328526,1,"0.7983","ns","Wilcoxon","Abundance",0.0853734720953138,7,7,"small"
"Lactobacillales","Abundance","HFHS Vehicle","HFHS B. longum APC1472",0.701478108866614,1,"0.7015","ns","Wilcoxon","Abundance",0.119522860933439,7,7,"small"
"Lactobacillales","Abundance","HFHS FOS+GOS","HFHS B. longum APC1472",0.609280159304103,1,"0.6093","ns","Wilcoxon","Abundance",0.153672249771565,7,7,"small"
"Monoglobales","Abundance","Control Vehicle","HFHS Vehicle",1,1,"1.0000","ns","Wilcoxon","Abundance",0.0280165907340263,7,7,"small"
"Monoglobales","Abundance","Control Vehicle","HFHS FOS+GOS",0.391365938307552,1,"0.3914","ns","Wilcoxon","Abundance",0.267261241912424,7,7,"small"
"Monoglobales","Abundance","Control Vehicle","HFHS B. longum APC1472",0.391365938307552,1,"0.3914","ns","Wilcoxon","Abundance",0.267261241912424,7,7,"small"
"Monoglobales","Abundance","HFHS Vehicle","HFHS FOS+GOS",0.391365938307552,1,"0.3914","ns","Wilcoxon","Abundance",0.267261241912424,7,7,"small"
"Monoglobales","Abundance","HFHS Vehicle","HFHS B. longum APC1472",0.391365938307552,1,"0.3914","ns","Wilcoxon","Abundance",0.267261241912424,7,7,"small"
