"Phylum",".y..x","group1","group2","p","p.adj","p.format","p.signif","method",".y..y","effsize","n1","n2","magnitude"
"Actinobacteriota","Abundance","Control Vehicle","HFHS Vehicle",0.00329451387658258,0.15,"0.0033","**","Wilcoxon","Abundance",0.80251063769595,7,7,"large"
"Actinobacteriota","Abundance","Control Vehicle","HFHS FOS+GOS",0.125201029610315,1,"0.1252","ns","Wilcoxon","Abundance",0.426867360476569,7,7,"moderate"
"Actinobacteriota","Abundance","Control Vehicle","HFHS B. longum APC1472",0.00216502933303838,0.1,"0.0022","**","Wilcoxon","Abundance",0.836660026534076,7,7,"large"
"Actinobacteriota","Abundance","HFHS Vehicle","HFHS FOS+GOS",0.0151936099774602,0.55,"0.0152","*","Wilcoxon","Abundance",0.665913082343448,7,7,"large"
"Actinobacteriota","Abundance","HFHS Vehicle","HFHS B. longum APC1472",0.306685065904181,1,"0.3067","ns","Wilcoxon","Abundance",0.290269805124067,7,7,"small"
"Actinobacteriota","Abundance","HFHS FOS+GOS","HFHS B. longum APC1472",0.00729035809153564,0.31,"0.0073","**","Wilcoxon","Abundance",0.734211860019699,7,7,"large"
"Bacteroidota","Abundance","Control Vehicle","HFHS Vehicle",0.0409135529844968,1,"0.0409","*","Wilcoxon","Abundance",0.563464915829071,7,7,"large"
"Bacteroidota","Abundance","Control Vehicle","HFHS FOS+GOS",0.0552849927170241,1,"0.0553","ns","Wilcoxon","Abundance",0.529315526990946,7,7,"large"
"Bacteroidota","Abundance","Control Vehicle","HFHS B. longum APC1472",0.0106033453821227,0.41,"0.0106","*","Wilcoxon","Abundance",0.700062471181573,7,7,"large"
"Bacteroidota","Abundance","HFHS Vehicle","HFHS FOS+GOS",0.0106033453821227,0.41,"0.0106","*","Wilcoxon","Abundance",0.700062471181573,7,7,"large"
"Bacteroidota","Abundance","HFHS Vehicle","HFHS B. longum APC1472",0.798297847328526,1,"0.7983","ns","Wilcoxon","Abundance",0.0853734720953138,7,7,"small"
"Bacteroidota","Abundance","HFHS FOS+GOS","HFHS B. longum APC1472",0.00729035809153564,0.31,"0.0073","**","Wilcoxon","Abundance",0.734211860019699,7,7,"large"
"Deferribacterota","Abundance","Control Vehicle","HFHS Vehicle",0.0409135529844968,1,"0.0409","*","Wilcoxon","Abundance",0.563464915829071,7,7,"large"
"Deferribacterota","Abundance","Control Vehicle","HFHS FOS+GOS",1,1,"1.0000","ns","Wilcoxon","Abundance",0.0170746944190628,7,7,"small"
"Deferribacterota","Abundance","Control Vehicle","HFHS B. longum APC1472",0.159864197547973,1,"0.1599","ns","Wilcoxon","Abundance",0.392717971638444,7,7,"moderate"
"Deferribacterota","Abundance","HFHS Vehicle","HFHS FOS+GOS",0.0552849927170241,1,"0.0553","ns","Wilcoxon","Abundance",0.529315526990946,7,7,"large"
"Deferribacterota","Abundance","HFHS Vehicle","HFHS B. longum APC1472",0.306685065904181,1,"0.3067","ns","Wilcoxon","Abundance",0.290269805124067,7,7,"small"
