"sex","timepoint","Family",".y..x","group1","group2","p","p.adj","p.format","p.signif","method",".y..y","effsize","n1","n2","magnitude"
"Male","week 5","Acholeplasmataceae","Abundance","Control Vehicle","HFHS Vehicle",0.359317338329571,1,"0.35932","ns","Wilcoxon","Abundance",0.204124145231932,12,12,"small"
"Male","week 5","Acholeplasmataceae","Abundance","Control Vehicle","HFHS FOS+GOS",0.700007247798547,1,"0.70001","ns","Wilcoxon","Abundance",0.086694903597234,12,13,"small"
"Male","week 5","Acholeplasmataceae","Abundance","Control Vehicle","HFHS B. longum APC1472",1,1,"1.00000","ns","Wilcoxon","Abundance",0.0122868296795748,12,12,"small"
"Male","week 5","Acholeplasmataceae","Abundance","HFHS Vehicle","HFHS FOS+GOS",0.183858124913274,1,"0.18386","ns","Wilcoxon","Abundance",0.277350098112615,12,13,"small"
"Male","week 5","Acholeplasmataceae","Abundance","HFHS Vehicle","HFHS B. longum APC1472",0.359317338329571,1,"0.35932","ns","Wilcoxon","Abundance",0.204124145231932,12,12,"small"
"Male","week 5","Acholeplasmataceae","Abundance","HFHS FOS+GOS","HFHS B. longum APC1472",0.63006287571188,1,"0.63006","ns","Wilcoxon","Abundance",0.105960437729953,13,12,"small"
"Female","week 5","Acholeplasmataceae","Abundance","Control Vehicle","HFHS FOS+GOS",0.359317338329571,1,"0.35932","ns","Wilcoxon","Abundance",0.204124145231932,12,12,"small"
"Female","week 5","Acholeplasmataceae","Abundance","HFHS Vehicle","HFHS FOS+GOS",0.359317338329571,1,"0.35932","ns","Wilcoxon","Abundance",0.204124145231932,12,12,"small"
"Female","week 5","Acholeplasmataceae","Abundance","HFHS FOS+GOS","HFHS B. longum APC1472",0.336668367610039,1,"0.33667","ns","Wilcoxon","Abundance",0.208166599946613,12,13,"small"
"Female","week 10","Acholeplasmataceae","Abundance","Control Vehicle","HFHS B. longum APC1472",0.183858124913274,1,"0.18386","ns","Wilcoxon","Abundance",0.277350098112615,12,13,"small"
"Female","week 10","Acholeplasmataceae","Abundance","HFHS Vehicle","HFHS B. longum APC1472",0.183858124913274,1,"0.18386","ns","Wilcoxon","Abundance",0.277350098112615,12,13,"small"
"Female","week 10","Acholeplasmataceae","Abundance","HFHS FOS+GOS","HFHS B. longum APC1472",0.183858124913274,1,"0.18386","ns","Wilcoxon","Abundance",0.277350098112615,12,13,"small"
"Male","week 5","Akkermansiaceae","Abundance","Control Vehicle","HFHS Vehicle",0.0998774027692641,1,"0.09988","ns","Wilcoxon","Abundance",0.341768277573498,12,12,"moderate"
"Male","week 5","Akkermansiaceae","Abundance","Control Vehicle","HFHS FOS+GOS",0.20116781630321,1,"0.20117","ns","Wilcoxon","Abundance",0.261085580745802,12,13,"small"
"Male","week 5","Akkermansiaceae","Abundance","Control Vehicle","HFHS B. longum APC1472",0.140955219144371,1,"0.14096","ns","Wilcoxon","Abundance",0.306412938514171,12,12,"moderate"
"Male","week 5","Akkermansiaceae","Abundance","HFHS Vehicle","HFHS FOS+GOS",0.605343339336507,1,"0.60534","ns","Wilcoxon","Abundance",0.108785658644084,12,13,"small"
"Male","week 5","Akkermansiaceae","Abundance","HFHS Vehicle","HFHS B. longum APC1472",0.976970255321976,1,"0.97697","ns","Wilcoxon","Abundance",0.0117851130197758,12,12,"small"
"Male","week 5","Akkermansiaceae","Abundance","HFHS FOS+GOS","HFHS B. longum APC1472",0.341160626670575,1,"0.34116","ns","Wilcoxon","Abundance",0.195814185559352,13,12,"small"
"Male","week 10","Akkermansiaceae","Abundance","Control Vehicle","HFHS Vehicle",0.260236202617189,1,"0.26024","ns","Wilcoxon","Abundance",0.235702260395516,12,12,"small"
"Male","week 10","Akkermansiaceae","Abundance","Control Vehicle","HFHS FOS+GOS",0.399178751652786,1,"0.39918","ns","Wilcoxon","Abundance",0.174057053830535,12,13,"small"
"Male","week 10","Akkermansiaceae","Abundance","Control Vehicle","HFHS B. longum APC1472",0.140955219144371,1,"0.14096","ns","Wilcoxon","Abundance",0.306412938514171,12,12,"moderate"
"Male","week 10","Akkermansiaceae","Abundance","HFHS Vehicle","HFHS FOS+GOS",0.341160626670575,1,"0.34116","ns","Wilcoxon","Abundance",0.195814185559352,12,13,"small"
"Male","week 10","Akkermansiaceae","Abundance","HFHS Vehicle","HFHS B. longum APC1472",0.623604884395689,1,"0.62360","ns","Wilcoxon","Abundance",0.106066017177982,12,12,"small"
"Male","week 10","Akkermansiaceae","Abundance","HFHS FOS+GOS","HFHS B. longum APC1472",0.20116781630321,1,"0.20117","ns","Wilcoxon","Abundance",0.261085580745802,13,12,"small"
"Female","week 10","Akkermansiaceae","Abundance","Control Vehicle","HFHS Vehicle",0.402503823782004,1,"0.40250","ns","Wilcoxon","Abundance",0.176776695296637,12,12,"small"
"Female","week 10","Akkermansiaceae","Abundance","Control Vehicle","HFHS FOS+GOS",0.00426476491403054,1,"0.00426","**","Wilcoxon","Abundance",0.58925565098879,12,12,"large"
"Female","week 10","Akkermansiaceae","Abundance","Control Vehicle","HFHS B. longum APC1472",0.683082518213167,1,"0.68308","ns","Wilcoxon","Abundance",0.0870955492793907,12,13,"small"
