"sex","timepoint","Genus",".y..x","group1","group2","p","p.adj","p.format","p.signif","method",".y..y","effsize","n1","n2","magnitude"
"Female","week 5","28-4","Abundance","Control Vehicle","HFHS B. longum APC1472",0.378477593244679,1,"0.37848","ns","Wilcoxon","Abundance",0.192153784566105,12,13,"small"
"Female","week 5","28-4","Abundance","HFHS Vehicle","HFHS B. longum APC1472",0.378477593244679,1,"0.37848","ns","Wilcoxon","Abundance",0.192153784566105,12,13,"small"
"Female","week 5","28-4","Abundance","HFHS FOS+GOS","HFHS B. longum APC1472",0.378477593244679,1,"0.37848","ns","Wilcoxon","Abundance",0.192153784566105,12,13,"small"
"Male","week 10","A2","Abundance","Control Vehicle","HFHS Vehicle",0.583278592418016,1,"0.58328","ns","Wilcoxon","Abundance",0.117876758365985,12,12,"small"
"Male","week 10","A2","Abundance","Control Vehicle","HFHS FOS+GOS",0.764773633107833,1,"0.76477","ns","Wilcoxon","Abundance",0.0652839509998179,12,13,"small"
"Male","week 10","A2","Abundance","Control Vehicle","HFHS B. longum APC1472",1,1,"1.00000","ns","Wilcoxon","Abundance",0,12,12,"small"
"Male","week 10","A2","Abundance","HFHS Vehicle","HFHS FOS+GOS",0.340230285542184,1,"0.34023","ns","Wilcoxon","Abundance",0.196191841041463,12,13,"small"
"Male","week 10","A2","Abundance","HFHS Vehicle","HFHS B. longum APC1472",0.543492631695685,1,"0.54349","ns","Wilcoxon","Abundance",0.129918983451374,12,12,"small"
"Male","week 10","A2","Abundance","HFHS FOS+GOS","HFHS B. longum APC1472",0.806270760146666,1,"0.80627","ns","Wilcoxon","Abundance",0.0544977336226285,13,12,"small"
"Female","week 5","A2","Abundance","Control Vehicle","HFHS Vehicle",0.121393449118069,1,"0.12139","ns","Wilcoxon","Abundance",0.322143970870036,12,12,"moderate"
"Female","week 5","A2","Abundance","Control Vehicle","HFHS FOS+GOS",0.0677580553701216,1,"0.06776","ns","Wilcoxon","Abundance",0.378774056100796,12,12,"moderate"
"Female","week 5","A2","Abundance","Control Vehicle","HFHS B. longum APC1472",0.283598526520839,1,"0.28360","ns","Wilcoxon","Abundance",0.219952935107292,12,13,"small"
"Female","week 5","A2","Abundance","HFHS Vehicle","HFHS FOS+GOS",0.0134961136109738,1,"0.01350","*","Wilcoxon","Abundance",0.510271980893089,12,12,"large"
"Female","week 5","A2","Abundance","HFHS Vehicle","HFHS B. longum APC1472",0.866098293503202,1,"0.86610","ns","Wilcoxon","Abundance",0.0393438523058324,12,13,"small"
"Female","week 5","A2","Abundance","HFHS FOS+GOS","HFHS B. longum APC1472",0.0128391024777422,1,"0.01284","*","Wilcoxon","Abundance",0.503169603849908,12,13,"large"
