"sex","timepoint","Order",".y..x","group1","group2","p","p.adj","p.format","p.signif","method",".y..y","effsize","n1","n2","magnitude"
"Male","week 5","Acholeplasmatales","Abundance","Control Vehicle","HFHS Vehicle",0.359317338329571,1,"0.35932","ns","Wilcoxon","Abundance",0.204124145231932,12,12,"small"
"Male","week 5","Acholeplasmatales","Abundance","Control Vehicle","HFHS FOS+GOS",0.700007247798547,1,"0.70001","ns","Wilcoxon","Abundance",0.086694903597234,12,13,"small"
"Male","week 5","Acholeplasmatales","Abundance","Control Vehicle","HFHS B. longum APC1472",1,1,"1.00000","ns","Wilcoxon","Abundance",0.0122868296795748,12,12,"small"
"Male","week 5","Acholeplasmatales","Abundance","HFHS Vehicle","HFHS FOS+GOS",0.183858124913274,1,"0.18386","ns","Wilcoxon","Abundance",0.277350098112615,12,13,"small"
"Male","week 5","Acholeplasmatales","Abundance","HFHS Vehicle","HFHS B. longum APC1472",0.359317338329571,1,"0.35932","ns","Wilcoxon","Abundance",0.204124145231932,12,12,"small"
"Male","week 5","Acholeplasmatales","Abundance","HFHS FOS+GOS","HFHS B. longum APC1472",0.63006287571188,1,"0.63006","ns","Wilcoxon","Abundance",0.105960437729953,13,12,"small"
"Female","week 5","Acholeplasmatales","Abundance","Control Vehicle","HFHS FOS+GOS",0.359317338329571,1,"0.35932","ns","Wilcoxon","Abundance",0.204124145231932,12,12,"small"
"Female","week 5","Acholeplasmatales","Abundance","HFHS Vehicle","HFHS FOS+GOS",0.359317338329571,1,"0.35932","ns","Wilcoxon","Abundance",0.204124145231932,12,12,"small"
"Female","week 5","Acholeplasmatales","Abundance","HFHS FOS+GOS","HFHS B. longum APC1472",0.336668367610039,1,"0.33667","ns","Wilcoxon","Abundance",0.208166599946613,12,13,"small"
"Female","week 10","Acholeplasmatales","Abundance","Control Vehicle","HFHS B. longum APC1472",0.183858124913274,1,"0.18386","ns","Wilcoxon","Abundance",0.277350098112615,12,13,"small"
"Female","week 10","Acholeplasmatales","Abundance","HFHS Vehicle","HFHS B. longum APC1472",0.183858124913274,1,"0.18386","ns","Wilcoxon","Abundance",0.277350098112615,12,13,"small"
"Female","week 10","Acholeplasmatales","Abundance","HFHS FOS+GOS","HFHS B. longum APC1472",0.183858124913274,1,"0.18386","ns","Wilcoxon","Abundance",0.277350098112615,12,13,"small"
"Female","week 10","Bacteroidales","Abundance","Control Vehicle","HFHS Vehicle",0.0782522285262371,1,"0.07825","ns","Wilcoxon","Abundance",0.36533850361305,12,12,"moderate"
"Female","week 10","Bacteroidales","Abundance","Control Vehicle","HFHS FOS+GOS",0.54437014585661,1,"0.54437","ns","Wilcoxon","Abundance",0.129636243217534,12,12,"small"
"Female","week 10","Bacteroidales","Abundance","Control Vehicle","HFHS B. longum APC1472",0.934973354835189,1,"0.93497","ns","Wilcoxon","Abundance",0.0217571317288168,12,13,"small"
"Female","week 10","Bacteroidales","Abundance","HFHS Vehicle","HFHS FOS+GOS",0.0782522285262371,1,"0.07825","ns","Wilcoxon","Abundance",0.36533850361305,12,12,"moderate"
"Female","week 10","Bacteroidales","Abundance","HFHS Vehicle","HFHS B. longum APC1472",0.149468893289711,1,"0.14947","ns","Wilcoxon","Abundance",0.293721278339027,12,13,"small"
"Female","week 10","Bacteroidales","Abundance","HFHS FOS+GOS","HFHS B. longum APC1472",0.891835452746662,1,"0.89184","ns","Wilcoxon","Abundance",0.0326356975932253,12,13,"small"
"Male","week 10","Bacteroidales","Abundance","Control Vehicle","HFHS Vehicle",0.839859972540003,1,"0.83986","ns","Wilcoxon","Abundance",0.0471404520791032,12,12,"small"
"Male","week 10","Bacteroidales","Abundance","Control Vehicle","HFHS FOS+GOS",0.723673609831763,1,"0.72367","ns","Wilcoxon","Abundance",0.076149961050859,12,13,"small"
"Male","week 10","Bacteroidales","Abundance","Control Vehicle","HFHS B. longum APC1472",0.340778613562955,1,"0.34078","ns","Wilcoxon","Abundance",0.200346921336189,12,12,"small"
"Male","week 10","Bacteroidales","Abundance","HFHS Vehicle","HFHS FOS+GOS",0.314286985518924,1,"0.31429","ns","Wilcoxon","Abundance",0.20669275142376,12,13,"small"
"Male","week 10","Bacteroidales","Abundance","HFHS Vehicle","HFHS B. longum APC1472",0.583360466702703,1,"0.58336","ns","Wilcoxon","Abundance",0.117851130197758,12,12,"small"
"Male","week 10","Bacteroidales","Abundance","HFHS FOS+GOS","HFHS B. longum APC1472",0.264827710046756,1,"0.26483","ns","Wilcoxon","Abundance",0.228449883152577,13,12,"small"
"Female","week 5","Bacteroidales","Abundance","Control Vehicle","HFHS Vehicle",0.00510790542499549,1,"0.00511","**","Wilcoxon","Abundance",0.577470537969014,12,12,"large"
"Female","week 5","Bacteroidales","Abundance","Control Vehicle","HFHS FOS+GOS",0.0303828219765775,1,"0.03038","*","Wilcoxon","Abundance",0.44783429475148,12,12,"moderate"
"Female","week 5","Bacteroidales","Abundance","Control Vehicle","HFHS B. longum APC1472",0.0770998717435418,1,"0.07710","ns","Wilcoxon","Abundance",0.358992673525478,12,13,"moderate"
"Female","week 5","Bacteroidales","Abundance","HFHS Vehicle","HFHS FOS+GOS",0.000384202027034971,0.18,"0.00038","***","Wilcoxon","Abundance",0.730677007226099,12,12,"large"
"Female","week 5","Bacteroidales","Abundance","HFHS Vehicle","HFHS B. longum APC1472",0.0770998717435418,1,"0.07710","ns","Wilcoxon","Abundance",0.358992673525478,12,13,"moderate"
"Female","week 5","Bacteroidales","Abundance","HFHS FOS+GOS","HFHS B. longum APC1472",0.000297895591481399,0.14,"0.00030","***","Wilcoxon","Abundance",0.728863912915364,12,13,"large"
"Male","week 5","Bacteroidales","Abundance","Control Vehicle","HFHS Vehicle",0.54437014585661,1,"0.54437","ns","Wilcoxon","Abundance",0.129636243217534,12,12,"small"
"Male","week 5","Bacteroidales","Abundance","Control Vehicle","HFHS FOS+GOS",0.0207944835540628,1,"0.02079","*","Wilcoxon","Abundance",0.467778332169562,12,13,"moderate"
"Male","week 5","Bacteroidales","Abundance","Control Vehicle","HFHS B. longum APC1472",0.0885337720142296,1,"0.08853","ns","Wilcoxon","Abundance",0.353553390593274,12,12,"moderate"
"Male","week 5","Bacteroidales","Abundance","HFHS Vehicle","HFHS FOS+GOS",0.086643733654737,1,"0.08664","ns","Wilcoxon","Abundance",0.34811410766107,12,13,"moderate"
"Male","week 5","Bacteroidales","Abundance","HFHS Vehicle","HFHS B. longum APC1472",0.930987446559567,1,"0.93099","ns","Wilcoxon","Abundance",0.0235702260395516,12,12,"small"
"Male","week 5","Bacteroidales","Abundance","HFHS FOS+GOS","HFHS B. longum APC1472",0.849015362824316,1,"0.84902","ns","Wilcoxon","Abundance",0.0435142634576337,13,12,"small"
"Male","week 5","Bifidobacteriales","Abundance","Control Vehicle","HFHS Vehicle",2.92477541231384e-05,0.015,"2.9e-05","****","Wilcoxon","Abundance",0.859050588986762,12,12,"large"
"Male","week 5","Bifidobacteriales","Abundance","Control Vehicle","HFHS FOS+GOS",0.20116781630321,1,"0.20117","ns","Wilcoxon","Abundance",0.261085580745802,12,13,"small"
"Male","week 5","Bifidobacteriales","Abundance","Control Vehicle","HFHS B. longum APC1472",3.6584553538971e-05,0.018,"3.7e-05","****","Wilcoxon","Abundance",0.848528137423857,12,12,"large"
"Male","week 5","Bifidobacteriales","Abundance","HFHS Vehicle","HFHS FOS+GOS",2.59241531758704e-05,0.013,"2.6e-05","****","Wilcoxon","Abundance",0.846818800163073,12,13,"large"
"Male","week 5","Bifidobacteriales","Abundance","HFHS Vehicle","HFHS B. longum APC1472",0.000627633492804342,0.29,"0.00063","***","Wilcoxon","Abundance",0.70394423264193,12,12,"large"
"Male","week 5","Bifidobacteriales","Abundance","HFHS FOS+GOS","HFHS B. longum APC1472",3.16785710013428e-05,0.016,"3.2e-05","****","Wilcoxon","Abundance",0.837649571559449,13,12,"large"
"Female","week 10","Bifidobacteriales","Abundance","Control Vehicle","HFHS Vehicle",0.112351197690464,1,"0.11235","ns","Wilcoxon","Abundance",0.329983164553722,12,12,"moderate"
"Female","week 10","Bifidobacteriales","Abundance","Control Vehicle","HFHS FOS+GOS",0.00165203945623417,0.73,"0.00165","**","Wilcoxon","Abundance",0.648181216087669,12,12,"large"
"Female","week 10","Bifidobacteriales","Abundance","Control Vehicle","HFHS B. longum APC1472",0.64383820081329,1,"0.64384","ns","Wilcoxon","Abundance",0.0979070927796758,12,13,"small"
"Female","week 10","Bifidobacteriales","Abundance","HFHS Vehicle","HFHS FOS+GOS",0.000308044705627747,0.15,"0.00031","***","Wilcoxon","Abundance",0.742462120245875,12,12,"large"
"Female","week 10","Bifidobacteriales","Abundance","HFHS Vehicle","HFHS B. longum APC1472",0.0276011217404837,1,"0.02760","*","Wilcoxon","Abundance",0.446021200440745,12,13,"moderate"
"Female","week 10","Bifidobacteriales","Abundance","HFHS FOS+GOS","HFHS B. longum APC1472",0.000450916626112914,0.21,"0.00045","***","Wilcoxon","Abundance",0.707106781186548,12,13,"large"
