"sex","timepoint","Phylum",".y..x","group1","group2","p","p.adj","p.format","p.signif","method",".y..y","effsize","n1","n2","magnitude"
"Male","week 10","Actinobacteriota","Abundance","Control Vehicle","HFHS Vehicle",0.0404041195882237,1,"0.04040","*","Wilcoxon","Abundance",0.424264068711929,12,12,"moderate"
"Male","week 10","Actinobacteriota","Abundance","Control Vehicle","HFHS FOS+GOS",0.182655120585445,1,"0.18266","ns","Wilcoxon","Abundance",0.271964146610211,12,13,"small"
"Male","week 10","Actinobacteriota","Abundance","Control Vehicle","HFHS B. longum APC1472",0.00725995498819057,1,"0.00726","**","Wilcoxon","Abundance",0.553900311929462,12,12,"large"
"Male","week 10","Actinobacteriota","Abundance","HFHS Vehicle","HFHS FOS+GOS",0.00303264727448614,0.5,"0.00303","**","Wilcoxon","Abundance",0.598321122542463,12,13,"large"
"Male","week 10","Actinobacteriota","Abundance","HFHS Vehicle","HFHS B. longum APC1472",0.750831884089117,1,"0.75083","ns","Wilcoxon","Abundance",0.0707106781186548,12,12,"small"
"Male","week 10","Actinobacteriota","Abundance","HFHS FOS+GOS","HFHS B. longum APC1472",2.49286946474741e-05,0.0049,"2.5e-05","****","Wilcoxon","Abundance",0.848528137423857,13,12,"large"
"Male","week 5","Actinobacteriota","Abundance","Control Vehicle","HFHS Vehicle",6.0057602968049e-05,0.011,"6.0e-05","****","Wilcoxon","Abundance",0.824957911384306,12,12,"large"
"Male","week 5","Actinobacteriota","Abundance","Control Vehicle","HFHS FOS+GOS",0.242224053991965,1,"0.24222","ns","Wilcoxon","Abundance",0.239328449016985,12,13,"small"
"Male","week 5","Actinobacteriota","Abundance","Control Vehicle","HFHS B. longum APC1472",3.6584553538971e-05,0.007,"3.7e-05","****","Wilcoxon","Abundance",0.848528137423857,12,12,"large"
"Male","week 5","Actinobacteriota","Abundance","HFHS Vehicle","HFHS FOS+GOS",0.000194612758389279,0.036,"0.00019","***","Wilcoxon","Abundance",0.750621044644181,12,13,"large"
"Male","week 5","Actinobacteriota","Abundance","HFHS Vehicle","HFHS B. longum APC1472",0.0606019697120062,1,"0.06060","ns","Wilcoxon","Abundance",0.388908729652601,12,12,"moderate"
"Male","week 5","Actinobacteriota","Abundance","HFHS FOS+GOS","HFHS B. longum APC1472",4.01423841526447e-05,0.0076,"4.0e-05","****","Wilcoxon","Abundance",0.82677100569504,13,12,"large"
"Female","week 10","Actinobacteriota","Abundance","Control Vehicle","HFHS Vehicle",0.126022121770373,1,"0.12602","ns","Wilcoxon","Abundance",0.318198051533946,12,12,"moderate"
"Female","week 10","Actinobacteriota","Abundance","Control Vehicle","HFHS FOS+GOS",0.00165203945623417,0.28,"0.00165","**","Wilcoxon","Abundance",0.648181216087669,12,12,"large"
"Female","week 10","Actinobacteriota","Abundance","Control Vehicle","HFHS B. longum APC1472",0.849015362824316,1,"0.84902","ns","Wilcoxon","Abundance",0.0435142634576337,12,13,"small"
"Female","week 10","Actinobacteriota","Abundance","HFHS Vehicle","HFHS FOS+GOS",0.000384202027034971,0.068,"0.00038","***","Wilcoxon","Abundance",0.730677007226099,12,12,"large"
"Female","week 10","Actinobacteriota","Abundance","HFHS Vehicle","HFHS B. longum APC1472",0.0534897998673802,1,"0.05349","ns","Wilcoxon","Abundance",0.391628371118703,12,13,"moderate"
"Female","week 10","Actinobacteriota","Abundance","HFHS FOS+GOS","HFHS B. longum APC1472",0.000450916626112914,0.079,"0.00045","***","Wilcoxon","Abundance",0.707106781186548,12,13,"large"
"Female","week 5","Actinobacteriota","Abundance","Control Vehicle","HFHS Vehicle",0.000900935596360016,0.15,"0.00090","***","Wilcoxon","Abundance",0.683536555146996,12,12,"large"
"Female","week 5","Actinobacteriota","Abundance","Control Vehicle","HFHS FOS+GOS",0.370844333304221,1,"0.37084","ns","Wilcoxon","Abundance",0.188561808316413,12,12,"small"
"Female","week 5","Actinobacteriota","Abundance","Control Vehicle","HFHS B. longum APC1472",0.00709302226890095,1,"0.00709","**","Wilcoxon","Abundance",0.543928293220421,12,13,"large"
"Female","week 5","Actinobacteriota","Abundance","HFHS Vehicle","HFHS FOS+GOS",0.000477681728956982,0.083,"0.00048","***","Wilcoxon","Abundance",0.718891894206323,12,12,"large"
"Female","week 5","Actinobacteriota","Abundance","HFHS Vehicle","HFHS B. longum APC1472",0.0179771671186101,1,"0.01798","*","Wilcoxon","Abundance",0.478656898033971,12,13,"moderate"
"Female","week 5","Actinobacteriota","Abundance","HFHS FOS+GOS","HFHS B. longum APC1472",0.00833837400275133,1,"0.00834","**","Wilcoxon","Abundance",0.533049727356013,12,13,"large"
"Female","week 10","Bacteroidota","Abundance","Control Vehicle","HFHS Vehicle",0.0782522285262371,1,"0.07825","ns","Wilcoxon","Abundance",0.36533850361305,12,12,"moderate"
"Female","week 10","Bacteroidota","Abundance","Control Vehicle","HFHS FOS+GOS",0.54437014585661,1,"0.54437","ns","Wilcoxon","Abundance",0.129636243217534,12,12,"small"
"Female","week 10","Bacteroidota","Abundance","Control Vehicle","HFHS B. longum APC1472",0.934973354835189,1,"0.93497","ns","Wilcoxon","Abundance",0.0217571317288168,12,13,"small"
"Female","week 10","Bacteroidota","Abundance","HFHS Vehicle","HFHS FOS+GOS",0.0782522285262371,1,"0.07825","ns","Wilcoxon","Abundance",0.36533850361305,12,12,"moderate"
"Female","week 10","Bacteroidota","Abundance","HFHS Vehicle","HFHS B. longum APC1472",0.149468893289711,1,"0.14947","ns","Wilcoxon","Abundance",0.293721278339027,12,13,"small"
