Mouse_ID,section,bregma,diet,treatment,legend,sex,cohort,cage,Area,Lepr_aver_puncta,Ghsr_aver_puncta,Pomc_aver_puncta,ARC_cells,Posit_Lepr_cells,Posit_Ghsr_cells,Posit_Pomc_cells,Lepr_puncta_triple_cells,Ghsr_puncta_triple_cells,Pomc_puncta_triple_cells,double_Ghsr_Pomc_cells,double_Lepr_Ghsr_cells,double_Lepr_Pomc_cells,N_triple_cells,Lepr_puncta_double_Lepr_Ghsr_cells,Ghsr_puncta_double_Lepr_Ghsr_cells,Ghsr_puncta_double_Ghsr_Pomc_cells,Pomc_puncta_double_Ghsr_Pomc_cells,Lepr_puncta_double_Lepr_Pomc_cells,Pomc_puncta_double_Lepr_Pomc_cells,double_Ghsr_Pomc_cells_among_Pomc_posit_cells,double_Ghsr_Pomc_cells_among_Ghsr_posit_cells,double_Lepr_Ghsr_cells_among_Lepr_posit_cells,double_Lepr_Ghsr_cells_among_Ghsr_posit_cells,double_Lepr_Pomc_cells_among_Pomc_posit_cells,double_Lepr_Pomc_cells_among_Lepr_posit_cells,triple_posit_cells_among_Pomc_cells,triple_posit_cells_among_Lepr_cells,triple_posit_cells_among_Ghsr_cells
103,3,1.43,Control,Vehicle,Control Vehicle,M,1,105,107376.4415,18.59,29.41,36.51,400,104,179,155,26.25,44.68,35.63,95,81,81,66,22.28,42.47,36.3,33.61,22.54,43.28,61.29032258,53.0726257,77.88461538,45.25139665,52.25806452,77.88461538,42.58064516,63.46153846,36.87150838
103,5,1.91,Control,Vehicle,Control Vehicle,M,1,105,114578.5308,20.49,30.25,27.11,410,150,234,155,29.12,46.47,26.16,110,132,94,89,22.51,41.73,39.48,24.04,27.9,28.14,70.96774194,47.00854701,88,56.41025641,60.64516129,62.66666667,57.41935484,59.33333333,38.03418803
104,3,-1.55_-1.67,Control,Vehicle,Control Vehicle,M,1,105,110839.1402,15.58,27.34,24.08,480,144,212,157,22.52,46.34,20.14,105,125,90,79,17.12,37.25,38.43,20.93,20.55,24.87,66.87898089,49.52830189,86.80555556,58.96226415,57.32484076,62.5,50.31847134,54.86111111,37.26415094
104,4,-1.43,Control,Vehicle,Control Vehicle,M,1,105,112883.1897,13.82,22.78,30.51,516,150,234,163,21.95,40.65,31.25,93,130,72,59,15.08,31.21,30.79,32.08,18.92,34.82,57.05521472,39.74358974,86.66666667,55.55555556,44.17177914,48,36.19631902,39.33333333,25.21367521
104,5,-1.79,Control,Vehicle,Control Vehicle,M,1,105,99153.6354,13.08,25.88,26.37,458,149,226,179,16.4,39.99,26.42,116,137,93,86,13.56,34.56,32.98,25.36,15.71,29.69,64.80446927,51.32743363,91.94630872,60.61946903,51.95530726,62.41610738,48.04469274,57.71812081,38.05309735
117,1,-1.43_-1.55,Control,Vehicle,Control Vehicle,M,1,104,121003.8973,11.27,23.62,42.04,534,131,201,152,15.08,34.95,48.47,85,111,73,61,12.08,31.71,28.58,48.58,13.63,51.54,55.92105263,42.28855721,84.73282443,55.2238806,48.02631579,55.72519084,40.13157895,46.5648855,30.34825871
117,4,-1.79,Control,Vehicle,Control Vehicle,M,1,104,113291.1916,11.31,21.63,31.77,486,116,198,153,14.88,30.48,34.46,87,98,73,65,12.3,29.37,26.26,35.22,13.88,37.6,56.8627451,43.93939394,84.48275862,49.49494949,47.7124183,62.93103448,42.48366013,56.03448276,32.82828283
413,3,-1.43,Control,Vehicle,Control Vehicle,M,4,113,113488.996,10.84,12.33,33.65,368,56,105,140,14.73,17.96,29.99,51,26,44,22,14.02,16.44,14.22,30.23,11.93,50.36,36.42857143,48.57142857,46.42857143,24.76190476,31.42857143,78.57142857,15.71428571,39.28571429,20.95238095
413,5,-1.79,Control,Vehicle,Control Vehicle,M,4,113,109508.5044,11.02,13.79,25.06,519,48,186,124,16.03,32.52,17.69,48,37,27,20,11.62,26.3,21.11,16.82,13.11,34.82,38.70967742,25.80645161,77.08333333,19.89247312,21.77419355,56.25,16.12903226,41.66666667,10.75268817
109,2,-1.67,HFHS,Vehicle,HFHS Vehicle,M,1,113,136461.0522,11.54,20.21,40.17,553,111,201,73,16.12,23.88,57.52,22,85,25,11,13.44,32.86,14.59,49.18,9.44,64.47,30.1369863,10.94527363,76.57657658,42.28855721,34.24657534,22.52252252,15.06849315,9.90990991,5.472636816
109,3,-1.79,HFHS,Vehicle,HFHS Vehicle,M,1,113,106465.6381,10.25,19.16,28.34,537,79,213,85,15.31,38.89,17.06,39,65,32,26,11.33,35.25,28.66,22.39,13.42,25.8,45.88235294,18.30985915,82.27848101,30.51643192,37.64705882,40.50632911,30.58823529,32.91139241,12.20657277
217,2,-1.55_-1.67,HFHS,Vehicle,HFHS Vehicle,M,2,110,113083.6567,11.54,13.81,42.71,432,73,142,76,22,28.56,13.45,25,59,23,16,13.18,19.27,19.96,20.45,16.99,39.85,32.89473684,17.6056338,80.82191781,41.54929577,30.26315789,31.50684932,21.05263158,21.91780822,11.26760563
217,3,-1.79,HFHS,Vehicle,HFHS Vehicle,M,2,110,107681.0663,13.16,13.89,34.34,511,79,186,98,27.03,32.8,17.33,40,61,30,22,15.19,23.49,21.68,26.55,21.18,36.2,40.81632653,21.50537634,77.21518987,32.79569892,30.6122449,37.97468354,22.44897959,27.84810127,11.82795699
221,4,not known,HFHS,Vehicle,HFHS Vehicle,M,2,123,125017.1448,7.34,8.52,45.5,456,61,74,20,7.89,7.7,95.4,4,25,5,2,8.4,10.54,6.69,60.09,8.22,60.58,20,5.405405405,40.98360656,33.78378378,25,8.196721311,10,3.278688525,2.702702703
221,5,not known,HFHS,Vehicle,HFHS Vehicle,M,2,123,120706.2997,8.47,7.34,27.34,409,65,73,32,17.42,7.54,14.95,3,33,14,2,10.6,8.69,6.36,14.95,9.53,43.77,9.375,4.109589041,50.76923077,45.20547945,43.75,21.53846154,6.25,3.076923077,2.739726027
221,6,not known,HFHS,Vehicle,HFHS Vehicle,M,2,123,122231.4829,6.34,6.98,21.03,449,40,51,21,8.5954,13.7022,10.8931,1,16,8,1,7.39,8.65,13.7022,10.8931,7.08,22.21,4.761904762,1.960784314,40,31.37254902,38.0952381,20,4.761904762,2.5,1.960784314
310,6,not known,HFHS,Vehicle,HFHS Vehicle,M,3,121,139075.7667,15.2,14.41,14.35,538,100,123,68,29.5,30.7,17.44,30,63,36,25,18.55,20.15,27.41,15.71,22.79,18.47,44.11764706,24.3902439,63,51.2195122,52.94117647,36,36.76470588,25,20.32520325
310,7,not known,HFHS,Vehicle,HFHS Vehicle,M,3,121,143863.9661,16.79,13.48,28.15,556,132,145,41,17.11,28.54,16.37,12,83,19,9,21.45,16.56,22.64,17.63,14.19,39.32,29.26829268,8.275862069,62.87878788,57.24137931,46.34146341,14.39393939,21.95121951,6.818181818,6.206896552
423,4,-1.43_-1.55,HFHS,Vehicle,HFHS Vehicle,M,4,125,91296.5114,12.26,17.21,26.96,369,64,127,68,20.32,31.22,7.82,28,55,25,20,12.92,24.72,24.02,15.53,17.92,17.4,41.17647059,22.04724409,85.9375,43.30708661,36.76470588,39.0625,29.41176471,31.25,15.7480315
423,6,-1.79,HFHS,Vehicle,HFHS Vehicle,M,4,125,106427.7994,8.1,12.78,21.62,437,64,138,44,13.97,22.77,14.12,15,53,12,9,8.64,16.84,18,13.04,12.01,20.82,34.09090909,10.86956522,82.8125,38.4057971,27.27272727,18.75,20.45454545,14.0625,6.52173913
125,3,-1.55,HFHS,FOS+GOS,HFHS FOS+GOS,M,1,126,122941.0052,16.82,31.89,28.04,516,135,208,295,20.3,49.95,26.02,140,117,114,102,18.44,46.16,40.5,26.31,18.89,27.96,47.45762712,67.30769231,86.66666667,56.25,38.6440678,84.44444444,34.57627119,75.55555556,49.03846154
125,5,-1.79,HFHS,FOS+GOS,HFHS FOS+GOS,M,1,126,120576.5948,13.8,23,29.81,483,84,188,159,20.03,43.46,27.73,67,71,56,45,15.32,37.69,33.96,26.35,17.18,35.23,42.13836478,35.63829787,84.52380952,37.76595745,35.22012579,66.66666667,28.30188679,53.57142857,23.93617021
125,6,-1.91,HFHS,FOS+GOS,HFHS FOS+GOS,M,1,126,122838.379,10.49,16.16,18.72,598,103,220,138,15.67,28.05,10.18,53,88,33,28,10.73,22.79,20.42,14.69,15.08,12.27,38.4057971,24.09090909,85.4368932,40,23.91304348,32.03883495,20.28985507,27.18446602,12.72727273
226,2,-1.55_-1.67,HFHS,FOS+GOS,HFHS FOS+GOS,M,2,106,126915.3807,6.39,10.34,35.44,602,44,134,91,9.28,15.7,9.72,20,36,8,4,6.71,15.47,8.64,34.2,6.14,52.41,21.97802198,14.92537313,81.81818182,26.86567164,8.791208791,18.18181818,4.395604396,9.090909091,2.985074627
226,4,-1.79,HFHS,FOS+GOS,HFHS FOS+GOS,M,2,106,116913.0489,7.32,10.22,35.52,496,41,116,45,8.96,12.41,74.21,12,27,10,5,7.52,11.65,10.54,48.62,8.17,59.62,26.66666667,10.34482759,65.85365854,23.27586207,22.22222222,24.3902439,11.11111111,12.19512195,4.310344828
226,3,not known,HFHS,FOS+GOS,HFHS FOS+GOS,M,2,124,122861.4369,12.9,9.35,25.52,547,114,86,54,14.98,10.84,12.53,5,66,23,4,14.85,10.56,9.47,16.38,13,32.79,9.259259259,5.813953488,57.89473684,76.74418605,42.59259259,20.1754386,7.407407407,3.50877193,4.651162791
226,5,not known,HFHS,FOS+GOS,HFHS FOS+GOS,M,2,124,143304.3687,14.51,9.97,13.53,747,150,147,39,9.35,7.29,12.7,7,86,17,4,15.88,12.91,6.73,9.81,7.31,15.64,17.94871795,4.761904762,57.33333333,58.50340136,43.58974359,11.33333333,10.25641026,2.666666667,2.721088435
227,3,not known,HFHS,FOS+GOS,HFHS FOS+GOS,M,2,124,145876.9423,6.98,10.36,22.12,580,49,80,39,16.38,20.35,4.93,2,26,6,2,8.7,15.15,20.35,4.93,10.46,54.26,5.128205128,2.5,53.06122449,32.5,15.38461538,12.24489796,5.128205128,4.081632653,2.5
227,4,not known,HFHS,FOS+GOS,HFHS FOS+GOS,M,2,124,123943.1778,6.08,9.71,13.33,465,56,47,33,15.96,21.7,6.64,3,26,7,2,7.38,12.62,15.98,8.07,7.99,23.82,9.090909091,6.382978723,46.42857143,55.31914894,21.21212121,12.5,6.060606061,3.571428571,4.255319149
