Mouse_ID,section,bregma,diet,treatment,legend,sex,cohort,cage,Area,ARC_cells,ARC_Posit_Nod2_cells,ARC_Posit_Pnoc_cells,ARC_Nod2_aver_puncta,ARC_Pnoc_aver_puncta,ARC_N_double_cells,ARC_Nod2_puncta_double,ARC_Pnoc_puncta_double,ARC_double_Nod2_Pnoc_cells_among_Nod2_posit_cells,ARC_double_Nod2_Pnoc_cells_among_Pnoc_posit_cells
103,4,-1.91,Control,Vehicle,Control Vehicle,M,1,105,109946.5514,490,311,211,5.66,19.14,143,6.11,21.32,45.980707,67.772512
103,5,-1.79,Control,Vehicle,Control Vehicle,M,1,105,110060.2373,626,303,232,5.86,21.22,135,6.7,24.15,44.554455,58.189655
104,2,-1.43,Control,Vehicle,Control Vehicle,M,1,105,119531.0019,606,181,128,5.53,19.4,47,6.15,30.34,25.966851,36.71875
104,3,-1.55,Control,Vehicle,Control Vehicle,M,1,105,106132.6032,577,198,234,5.59,16.42,107,5.63,17.84,54.040404,45.726496
104,4,-1.67,Control,Vehicle,Control Vehicle,M,1,105,121822.869,648,301,209,5.64,18.31,118,5.89,22.66,39.202658,56.45933
104,5,-1.79,Control,Vehicle,Control Vehicle,M,1,105,136396.9618,680,261,242,5.33,18.62,111,5.28,21.63,42.528736,45.867769
117,1,-1.55,Control,Vehicle,Control Vehicle,M,1,104,138627.8692,588,344,247,5.84,18.61,169,6.55,20.48,49.127907,68.421053
117,2,-1.67,Control,Vehicle,Control Vehicle,M,1,104,114049.9006,492,246,185,5.92,24.71,111,6.7,28.97,45.121951,60
117,4,-1.79,Control,Vehicle,Control Vehicle,M,1,104,125183.7574,528,192,180,4.45,19.05,80,4.55,25.09,41.666667,44.444444
413,2,-1.43,Control,Vehicle,Control Vehicle,M,4,113,135025.8035,511,148,126,5.46,20.06,51,7.16,24.2,34.459459,40.47619
413,5,-1.91,Control,Vehicle,Control Vehicle,M,4,113,136430.1023,583,200,145,5.16,16.84,59,4.66,21.66,29.5,40.689655
109,2,-1.55,HFHS,Vehicle,HFHS Vehicle,M,1,110,94469.1032,429,126,121,4.97,18.65,35,5.55,28.96,27.777778,28.92562
