Mouse_ID,section,bregma,diet,treatment,legend,sex,cohort,cage,Area,Tany_N_cells,Tany_Posit_Nod2_cells,Tany_Posit_Pnoc_cells,Tany_Nod2_aver_puncta,Tany_Pnoc_aver_puncta,Tany_N_double_cells,Tany_Nod2_puncta_double,Tany_Pnoc_puncta_double
103,2,-1.67,Control,Vehicle,Control Vehicle,M,1,105,13315.376,53,24,2,6.21,6.3,2,3.91,6.3
103,4,-1.91,Control,Vehicle,Control Vehicle,M,1,105,20149.0408,63,42,2,5.55,4.92,2,6.44,4.92
103,5,-1.79,Control,Vehicle,Control Vehicle,M,1,105,18506.797,86,40,1,5.94,26.94,1,6,26.94
104,2,-1.43,Control,Vehicle,Control Vehicle,M,1,105,16182.5811,63,24,0,5.25,0,0,0,0
104,3,-1.55,Control,Vehicle,Control Vehicle,M,1,105,19798.8592,86,26,4,6.25,9.48,2,14.58,6.11
104,4,-1.67,Control,Vehicle,Control Vehicle,M,1,105,17606.4779,92,46,10,5.51,6.5,6,7.9,6.36
104,5,-1.79,Control,Vehicle,Control Vehicle,M,1,105,16662.0794,68,25,0,6.33,0,0,0,0
117,1,-1.55,Control,Vehicle,Control Vehicle,M,1,104,16787.5229,50,43,17,7.28,9.52,17,11.04,9.52
117,2,-1.67,Control,Vehicle,Control Vehicle,M,1,104,13804.1915,50,36,9,6.35,8.94,8,10.37,9.21
117,4,-1.79,Control,Vehicle,Control Vehicle,M,1,104,17378.4897,51,25,2,4.85,6.02,1,7.4961,6.3969
413,2,-1.43,Control,Vehicle,Control Vehicle,M,4,113,13883.7188,37,19,4,4.99,6.26,3,8.31,6.87
413,5,-1.91,Control,Vehicle,Control Vehicle,M,4,113,12016.5731,37,26,0,6.35,0,0,0,0
109,2,-1.55,HFHS,Vehicle,HFHS Vehicle,M,1,110,12691.4962,47,20,3,4.3,0,0,0,0
109,4,-1.67,HFHS,Vehicle,HFHS Vehicle,M,1,110,13434.665,48,7,0,3.27,0,0,0,0
