"","timepoint","age","sex","legend","name","n","G","U","grubbs","p_grubbs"
"1","w5","pup","F","HFHS FOS+GOS","IsoValerate",10,2.75,0.0633,"highest value 1.54296875 is an outlier",2.26e-05
"2","w5","pup","F","HFHS FOS+GOS","Butyrate",10,2.6,0.162,"highest value 10.66968131 is an outlier",0.00102
"3","dam","dam","F","HFHS Vehicle","Butyrate",7,2.19,0.064,"highest value 6.502849003 is an outlier",0.00126
"4","w12","pup","M","HFHS FOS+GOS","IsoValerate",6,1.98,0.0591,"highest value 0.947 is an outlier",0.00401
"5","w5","pup","F","HFHS Vehicle","Valerate",8,2.25,0.176,"highest value 4.744444444 is an outlier",0.00726
"6","w5","pup","M","HFHS FOS+GOS","Propionate",13,2.64,0.37,"highest value 5.663452709 is an outlier",0.00774
"7","w5","pup","F","Control Vehicle","Butyrate",6,1.93,0.105,"highest value 8.550135501 is an outlier",0.013
"8","w5","pup","F","HFHS FOS+GOS","Propionate",10,2.35,0.316,"highest value 8.092592593 is an outlier",0.0157
"9","dam","dam","F","HFHS FOS+GOS","Total",7,2.06,0.179,"highest value 104.7512438 is an outlier",0.0172
"10","w5","pup","F","Control Vehicle","Valerate",6,1.9,0.137,"highest value 5.975609756 is an outlier",0.0223
"11","dam","dam","F","HFHS Vehicle","Valerate",7,2.02,0.207,"highest value 3.333333333 is an outlier",0.0251
"12","dam","dam","F","HFHS FOS+GOS","Acetate",7,2.02,0.208,"highest value 84.95024876 is an outlier",0.0256
"13","dam","dam","F","HFHS FOS+GOS","Propionate",7,2.01,0.212,"highest value 11.82006633 is an outlier",0.0268
"14","w12","pup","M","HFHS FOS+GOS","IsoButyrate",6,1.87,0.16,"highest value 0.856 is an outlier",0.0304
"15","w12","pup","M","HFHS Vehicle","Propionate",6,1.87,0.165,"highest value 5.404 is an outlier",0.0325
"16","w5","pup","M","Control Vehicle","Valerate",11,2.29,0.423,"highest value 4.943310658 is an outlier",0.0367
"17","w5","pup","F","Control Vehicle","Propionate",6,1.85,0.179,"highest value 8.902439024 is an outlier",0.0384
"18","w12","pup","M","HFHS FOS+GOS","Propionate",6,1.84,0.191,"highest value 11.807 is an outlier",0.0441
"19","dam","dam","F","HFHS FOS+GOS","Valerate",7,1.95,0.258,"highest value 1.940298507 is an outlier",0.0445
"20","w5","pup","F","HFHS Vehicle","IsoValerate",8,2.04,0.321,"highest value 0.988888889 is an outlier",0.0475
"21","w12","pup","M","HFHS FOS+GOS","Valerate",6,1.83,0.2,"lowest value 0.974 is an outlier",0.0486
"22","w12","pup","F","HFHS Vehicle","IsoButyrate",6,1.8,0.219,"highest value 0.597 is an outlier",0.0586
"23","w12","pup","F","Control Vehicle","Butyrate",6,1.8,0.221,"lowest value 1.966 is an outlier",0.0593
"24","w5","pup","M","HFHS Vehicle","IsoValerate",14,2.32,0.552,"highest value 0.762527233 is an outlier",0.062
"25","w5","pup","F","HFHS B. longum APC1472","IsoValerate",9,2.06,0.405,"lowest value 0.694444444 is an outlier",0.0674
"26","w12","pup","F","HFHS Vehicle","Propionate",6,1.76,0.255,"highest value 4.154 is an outlier",0.0807
"27","w12","pup","F","Control Vehicle","Valerate",6,1.76,0.256,"lowest value 1.054 is an outlier",0.0813
"28","w12","pup","M","HFHS Vehicle","Butyrate",6,1.76,0.257,"highest value 5.381 is an outlier",0.0816
"29","w12","pup","M","HFHS Vehicle","IsoValerate",6,1.76,0.258,"highest value 0.807 is an outlier",0.0823
"30","w5","pup","M","Control Vehicle","IsoValerate",11,2.13,0.503,"highest value 1.145124717 is an outlier",0.0843
"31","dam","dam","F","HFHS FOS+GOS","IsoButyrate",7,1.86,0.33,"lowest value 0.191477886 is an outlier",0.085
