Sample,sample,age,timepoint,sex,dam_cage,cohort,diet,treatment,legend,Acetate,Propionate,IsoButyrate,Butyrate,IsoValerate,Valerate,Total
101 w12,101,pup,w12,F,105,1,Control,Vehicle,Control Vehicle,273.481,122.108,28.354,112.364,20.596,97.801,654.704
115 w12,115,pup,w12,F,104,1,Control,Vehicle,Control Vehicle,292.794,105.62,23.86,98.085,18.511,82.468,621.337
201 w12,201,pup,w12,F,117,2,Control,Vehicle,Control Vehicle,218.604,68.5,15,63.467,11.752,52.778,430.1
208 w12,208,pup,w12,F,122,2,Control,Vehicle,Control Vehicle,223.672,64.969,14.644,58.219,11.25,46.417,419.172
401 w12,401,pup,w12,F,129,4,Control,Vehicle,Control Vehicle,151.81,54.519,12.313,50.609,10.292,39.484,319.027
408 w12,408,pup,w12,F,113,4,Control,Vehicle,Control Vehicle,343.696,124.651,26.048,112.717,21.084,86.207,714.403
211 w12,211,pup,w12,F,123,2,HFHS,Vehicle,HFHS Vehicle,364.548,107.409,22.421,102.237,17.337,77.91,691.862
212 w12,212,pup,w12,F,123,2,HFHS,Vehicle,HFHS Vehicle,330.211,104.132,23.242,93.45,17.648,73.699,642.383
302 w12,302,pup,w12,F,125,3,HFHS,Vehicle,HFHS Vehicle,217.412,77.14,16.826,86.596,14.255,56.932,469.161
305 w12,305,pup,w12,F,125,3,HFHS,Vehicle,HFHS Vehicle,325.567,121.842,25.345,111.687,19.879,88.946,693.267
306 w12,306,pup,w12,F,125,3,HFHS,Vehicle,HFHS Vehicle,364.692,166.982,36.457,151.308,27.605,122.612,869.654
420 w12,420,pup,w12,F,126,4,HFHS,Vehicle,HFHS Vehicle,398.355,171.93,36.67,161.171,28.471,124.435,921.033
124 w12,124,pup,w12,F,106,1,HFHS,FOS+GOS,HFHS FOS+GOS,432.794,98.175,15.55,78.567,12.342,50.886,688.314
225 w12,225,pup,w12,F,124,2,HFHS,FOS+GOS,HFHS FOS+GOS,989.93,224.637,30.026,195.904,24.326,94.459,1559.281
232 w12,232,pup,w12,F,119,2,HFHS,FOS+GOS,HFHS FOS+GOS,704.893,182.311,33.807,172.022,24.674,116.893,1234.6
236 w12,236,pup,w12,F,128,2,HFHS,FOS+GOS,HFHS FOS+GOS,407.278,104.386,20.442,95.869,16.273,68.503,712.75
