Sample,timepoint,age,sample,dam_cage,cohort,sex,diet,treatment,legend,Acetate,Propionate,IsoButyrate,Butyrate,IsoValerate,Valerate,Total
104 dam,dam,dam,104dam,104,cohort1,F,Control,Vehicle,Control Vehicle,26.40544518,6.118469463,0.603384842,3.660779985,0.684326711,1.835908756,39.30831494
105 dam,dam,dam,105dam,105,cohort1,F,Control,Vehicle,Control Vehicle,14.04126984,4.263492063,0.520634921,3.885714286,0.498412698,1.66984127,24.87936508
106 dam,dam,dam,106dam,106,cohort1,F,HFHS,FOS+GOS,HFHS FOS+GOS,29.31730238,7.25262576,0.436705362,3.537866224,0.43946932,1.348811498,42.33278054
107 dam,dam,dam,107dam,107,cohort1,F,HFHS,Vehicle,HFHS Vehicle,26.18945869,7.072649573,0.897435897,6.502849003,0.925925926,3.333333333,44.92165242
110 dam,dam,dam,110dam,110,cohort1,F,HFHS,Vehicle,HFHS Vehicle,19.40903054,4.225320938,0.633023462,2.850818946,0.613103143,1.32580788,29.05710491
111 dam,dam,dam,111dam,111,cohort1,F,HFHS,1472,HFHS B. longum APC1472,20.35639413,8.238993711,0.854297694,3.909853249,0.791404612,2.520964361,36.67190776
113 dam,dam,dam,113dam,113,cohort4,F,Control,Vehicle,Control Vehicle,14.6678744,3.605072464,0.489130435,2.989130435,0.603864734,2.632850242,24.98792271
114 dam,dam,dam,114dam,114,cohort3,F,HFHS,FOS+GOS,HFHS FOS+GOS,28.52516193,7.326856004,0.635276532,6.128550075,0.647732935,1.362730443,44.62630792
115 dam,dam,dam,115dam,115,cohort1,F,HFHS,1472,HFHS B. longum APC1472,11.61111111,4.479166667,0.548611111,2.486111111,0.496527778,1.604166667,21.22569444
116 dam,dam,dam,116dam,116,cohort4,F,HFHS,1472,HFHS B. longum APC1472,15.43874644,3.689458689,0.458689459,2.256410256,0.495726496,1.452991453,23.79202279
117 dam,dam,dam,117dam,117,cohort2,F,Control,Vehicle,Control Vehicle,15.12091503,3.140522876,0.486928105,2.192810458,0.539215686,1.522875817,23.00326797
118 dam,dam,dam,118dam,118,cohort6,F,HFHS,FOS+GOS,HFHS FOS+GOS,34.17717718,8.405405405,0.552552553,3.981981982,0.600600601,1.465465465,49.18318318
119 dam,dam,dam,119dam,119,cohort2,F,HFHS,FOS+GOS,HFHS FOS+GOS,54.53074434,7.796655879,0.191477886,2.59978425,0.329018339,1.19201726,66.63969795
120 dam,dam,dam,120dam,120,cohort2,F,HFHS,1472,HFHS B. longum APC1472,12.93080506,4.424484365,0.469061876,2.850964737,0.508982036,1.593479707,22.77777778
121 dam,dam,dam,121dam,121,cohort2,F,HFHS,Vehicle,HFHS Vehicle,16.65662651,4.943105756,0.558902276,2.764390897,0.592369478,1.633199465,27.14859438
122 dam,dam,dam,122dam,122,cohort2,F,Control,Vehicle,Control Vehicle,14.675588,5.04460665,0.673154907,3.252230333,0.665044607,1.877534469,26.18815896
123 dam,dam,dam,123dam,123,cohort2,F,HFHS,Vehicle,HFHS Vehicle,16.83106576,5.68877551,0.736961451,3.353174603,0.68877551,1.505102041,28.80385488
124 dam,dam,dam,124dam,124,cohort2,F,HFHS,FOS+GOS,HFHS FOS+GOS,25.25413712,5.646178093,0.394011032,2.425137904,0.439322301,1.012608353,35.1713948
125 dam,dam,dam,125dam,125,cohort3,F,HFHS,Vehicle,HFHS Vehicle,18.22447447,4.740990991,0.589339339,3.284534535,0.570570571,1.775525526,29.18543544
126 dam,dam,dam,126dam,126,cohort4,F,HFHS,Vehicle,HFHS Vehicle,18.55620155,5.881782946,0.59754522,2.645348837,0.584625323,1.585917313,29.85142119
127 dam,dam,dam,127dam,127,cohort2,F,HFHS,1472,HFHS B. longum APC1472,25.1335056,6.464254953,0.740740741,3.880275624,0.732127476,2.114556417,39.06546081
128 dam,dam,dam,128dam,128,cohort2,F,HFHS,FOS+GOS,HFHS FOS+GOS,25.76457646,6.237623762,0.45929593,2.799779978,0.54180418,1.331133113,37.13421342
129 dam,dam,dam,129dam,129,cohort4,F,Control,Vehicle,Control Vehicle,29.46078431,6.552287582,0.784313725,5.196078431,0.800653595,2.144607843,44.93872549
130 dam,dam,dam,130dam,130,cohort5,F,HFHS,1472,HFHS B. longum APC1472,20.84377611,6.357560568,0.74770259,3.337510443,0.710108605,2.063492063,34.06015038
131 dam,dam,dam,131dam,131,cohort6,F,Control,Vehicle,Control Vehicle,15.93657817,4.314159292,0.425270403,1.093903638,0.476892822,1.243854474,23.4906588
133 dam,dam,dam,133dam,133,cohort6,F,HFHS,Vehicle,HFHS Vehicle,24.21367521,6.957264957,0.901709402,3.55982906,1.085470085,2.333333333,39.05128205
135 dam,dam,dam,135dam,135,cohort6,F,HFHS,1472,HFHS B. longum APC1472,12.09876543,3.959034792,0.426487093,2.112794613,0.448933782,1.338383838,20.38439955
136 dam,dam,dam,136dam,136,cohort6,F,HFHS,FOS+GOS,HFHS FOS+GOS,84.95024876,11.82006633,0.476782753,5.020729685,0.543117745,1.940298507,104.7512438
107 w5,w5,pup,107,105,1,M,Control,Vehicle,Control Vehicle,28.03782506,6.134751773,0.567375887,4.007092199,0.691489362,2.695035461,42.13356974
108 w5,w5,pup,108,110,1,M,HFHS,Vehicle,HFHS Vehicle,16.92393736,4.395973154,0.48098434,3.117076808,0.548098434,1.774794929,27.24086503
111 w5,w5,pup,111,110,1,M,HFHS,Vehicle,HFHS Vehicle,16.9619883,4.207602339,0.385964912,2.926900585,0.429824561,1.418128655,26.33040936
112 w5,w5,pup,112,110,1,M,HFHS,Vehicle,HFHS Vehicle,15.80168776,4.483122363,0.474683544,2.988748242,0.513361463,1.67721519,25.93881857
118 w5,w5,pup,118,104,1,M,Control,Vehicle,Control Vehicle,19.48275862,4.329501916,0.463601533,2.816091954,0.475095785,1.750957854,29.31800766
120 w5,w5,pup,120,107,1,M,HFHS,Vehicle,HFHS Vehicle,13.45833333,3.635416667,0.354166667,2.767361111,0.413194444,1.590277778,22.21875
123 w5,w5,pup,123,106,1,F,HFHS,FOS+GOS,HFHS FOS+GOS,37.67872524,5.699827735,0.297157623,10.66968131,0.374677003,1.096037898,55.8161068
127 w5,w5,pup,127,106,1,M,HFHS,FOS+GOS,HFHS FOS+GOS,25.58230453,3.469135802,0.279835391,3.21399177,0.409465021,1.0781893,34.03292181
129 w5,w5,pup,129,115,1,F,HFHS,1472,HFHS B. longum APC1472,21.09053498,5.730452675,0.637860082,3.991769547,0.694444444,2.417695473,34.5627572
203 w5,w5,pup,203,117,2,M,Control,Vehicle,Control Vehicle,26.48526077,7.936507937,0.918367347,6.201814059,1.145124717,4.943310658,47.63038549
206 w5,w5,pup,206,122,2,F,Control,Vehicle,Control Vehicle,16.11570248,4.476584022,0.541781451,3.269054178,0.592286501,2.121212121,27.11662075
210 w5,w5,pup,210,123,2,F,HFHS,Vehicle,HFHS Vehicle,34.46666667,6.677777778,0.811111111,5.622222222,0.988888889,4.744444444,53.31111111
214 w5,w5,pup,214,123,2,M,HFHS,Vehicle,HFHS Vehicle,20.98039216,6.405228758,0.713507625,4.564270153,0.762527233,2.527233115,35.95315904
215 w5,w5,pup,215,123,2,M,HFHS,Vehicle,HFHS Vehicle,15.89065256,4.58994709,0.467372134,3.403880071,0.529100529,2.05026455,26.93121693
220 w5,w5,pup,220,121,2,M,HFHS,Vehicle,HFHS Vehicle,18.93289329,5.478547855,0.665566557,5.170517052,0.687568757,2.607260726,33.54235424
222 w5,w5,pup,222,121,2,M,HFHS,Vehicle,HFHS Vehicle,14.55197133,4.112903226,0.474910394,4.032258065,0.510752688,2.051971326,25.73476703
229 w5,w5,pup,229,124,2,M,HFHS,FOS+GOS,HFHS FOS+GOS,16.63934426,3.724954463,0.473588342,2.850637523,0.564663024,2.04007286,26.29326047
230 w5,w5,pup,230,119,2,F,HFHS,FOS+GOS,HFHS FOS+GOS,48.59157986,4.600694444,0.193142361,4.288194444,1.54296875,1.011284722,60.22786458
240 w5,w5,pup,240,128,2,M,HFHS,FOS+GOS,HFHS FOS+GOS,18.16378066,3.838383838,0.483405483,2.752525253,0.523088023,1.731601732,27.49278499
244 w5,w5,pup,244,120,2,F,HFHS,1472,HFHS B. longum APC1472,18.08531746,6.200396825,0.803571429,5.079365079,0.942460317,4.255952381,35.36706349
249 w5,w5,pup,249,127,2,F,HFHS,1472,HFHS B. longum APC1472,25.90534979,8.374485597,0.905349794,6.244855967,1.008230453,4.465020576,46.90329218
