Sample,sample,age,timepoint,sex,dam_cage,cohort,diet,treatment,legend,Acetate,Propionate,IsoButyrate,Butyrate,IsoValerate,Valerate,Total
101 W12 A,101,pup,w12,F,105,1,Control,Vehicle,Control Vehicle,39.522,17.61,4.106,16.525,3.007,13.829,94.599
115 W12 A,115,pup,w12,F,104,1,Control,Vehicle,Control Vehicle,41.758,16.371,3.799,15.125,2.906,12.775,92.734
201 W12 B,201,pup,w12,F,117,2,Control,Vehicle,Control Vehicle,42.197,12.335,2.641,11.091,1.992,9.315,79.571
208 W12 B,208,pup,w12,F,122,2,Control,Vehicle,Control Vehicle,42.005,11.487,2.502,10.292,1.988,8.085,76.359
401 W12 B,401,pup,w12,F,129,4,Control,Vehicle,Control Vehicle,42.997,13.558,2.788,11.788,2.312,9.675,83.118
408 W12 A,408,pup,w12,F,113,4,Control,Vehicle,Control Vehicle,,21.665,4.536,19.607,3.746,14.72,
211 W12 A,211,pup,w12,F,123,2,HFHS,Vehicle,HFHS Vehicle,61.933,18.979,4.003,18.054,3.142,13.529,119.64
302 W12 B,302,pup,w12,F,125,3,HFHS,Vehicle,HFHS Vehicle,52.99,18.281,3.848,20.522,3.242,13.354,112.237
305 W12 A,305,pup,w12,F,125,3,HFHS,Vehicle,HFHS Vehicle,46.528,17.974,3.782,16.654,2.953,13.099,100.99
306 W12 A,306,pup,w12,F,125,3,HFHS,Vehicle,HFHS Vehicle,44.279,21.603,4.792,19.407,3.53,15.51,109.121
420 W12 A,420,pup,w12,F,126,4,HFHS,Vehicle,HFHS Vehicle,52.599,23.919,5.204,22.193,3.978,17.453,125.346
124 W12 B,124,pup,w12,F,106,1,HFHS,FOS+GOS,HFHS FOS+GOS,80.098,16.961,2.644,13.645,2.116,8.62,124.084
225 W12 A,225,pup,w12,F,124,2,HFHS,FOS+GOS,HFHS FOS+GOS,127.892,30.624,4.215,26.478,3.411,12.828,205.448
231 W12 A,231,pup,w12,F,119,2,HFHS,FOS+GOS,HFHS FOS+GOS,132.132,30.312,5.157,26.308,4.131,17.223,215.263
232 W12 A,232,pup,w12,F,119,2,HFHS,FOS+GOS,HFHS FOS+GOS,75.086,20.754,3.943,19.36,3.014,13.391,135.548
236 W12 B,236,pup,w12,F,128,2,HFHS,FOS+GOS,HFHS FOS+GOS,93.362,24.215,4.785,22.119,3.731,16.02,164.232
238 W12 B,238,pup,w12,F,128,2,HFHS,FOS+GOS,HFHS FOS+GOS,97.671,23.081,4.073,20.156,3.156,13.661,161.798
130 W12 A,130,pup,w12,F,115,1,HFHS,1472,HFHS B. longum APC1472,26.541,3.139,0.372,2.072,0.34,1.576,34.04
131 W12 A,131,pup,w12,F,115,1,HFHS,1472,HFHS B. longum APC1472,30.28,4.391,0.595,2.773,0.748,1.439,40.226
135 w12 A,135,pup,w12,F,111,1,HFHS,1472,HFHS B. longum APC1472,23.351,6.831,1.383,5.581,1.152,5.316,43.614
246 W12 A,246,pup,w12,F,120,2,HFHS,1472,HFHS B. longum APC1472,26.608,5.732,0.923,5.836,1.122,4.522,44.743
248 W12 A,248,pup,w12,F,127,2,HFHS,1472,HFHS B. longum APC1472,23.722,5.859,0.961,5.43,0.927,5.347,42.246
435 W12 B,435,pup,w12,F,116,4,HFHS,1472,HFHS B. longum APC1472,,5.399,0.749,4.852,1.261,4.915,53.983
501 W12 B,501,pup,w12,F,130,5,HFHS,1472,HFHS B. longum APC1472,24.518,4.172,0.334,3.685,0.33,2.409,35.448
105 W12 A,105,pup,w12,M,105,1,Control,Vehicle,Control Vehicle,28.125,6.528,1.175,6.528,1.36,5.545,49.261
106 W12 B,106,pup,w12,M,105,1,Control,Vehicle,Control Vehicle,34.59,4.76,0.557,4.868,1.128,3.54,49.443
116 W12 B,116,pup,w12,M,104,1,Control,Vehicle,Control Vehicle,24.363,4.67,0.639,4.139,1.24,4.014,
209 W12 B,209,pup,w12,M,122,2,Control,Vehicle,Control Vehicle,34.857,5.743,0.856,6.19,1.455,5.298,54.399
405 W12 A,405,pup,w12,M,129,4,Control,Vehicle,Control Vehicle,29.684,7.756,1.231,6.689,1.2,6.297,52.857
412 W12 A,412,pup,w12,M,113,4,Control,Vehicle,Control Vehicle,28.906,6.335,1.105,6.183,1.237,5.308,49.074
110 W12 B,110,pup,w12,M,110,1,HFHS,Vehicle,HFHS Vehicle,31.637,6.038,0.638,6.186,,4.305,49.897
119 W12 A,119,pup,w12,M,107,1,HFHS,Vehicle,HFHS Vehicle,95.7,14.324,1.476,,1.983,3.739,131.527
216 W12 B,216,pup,w12,M,123,2,HFHS,Vehicle,HFHS Vehicle,104.133,13.167,1.612,8.597,2.302,3.906,133.717
219 W12 B,219,pup,w12,M,121,2,HFHS,Vehicle,HFHS Vehicle,45.145,8.379,1.059,6.785,2.102,6.422,69.892
308 W12 B,308,pup,w12,M,125,3,HFHS,Vehicle,HFHS Vehicle,102.964,14.271,1.505,9.438,2.135,2.601,132.914
422 W12 B,422,pup,w12,M,126,4,HFHS,Vehicle,HFHS Vehicle,35.825,8.063,1.181,6.611,1.903,6.993,60.576
