Name,Cage/Litter,Mouse_ID,Cohort,Sex,Diet,Treatment,Age,BW(g),Active_Ghrl,ActGhrl_BW,CORT,NORADRENALINE,L_DOPA,DOPAC,Dopamine,5HIAA,HVA,5HT,DOPAC_DOPAMINE,HVA_DOPAMINE,5HIAA_5HT,LDOPA_DOPAMINE,DOPAC_HVA
CT_CT_C1_L105_P101_F,105,101,1,F,Control,Vehicle,PND84,22.1,0.089625,0.004644,17.89683,270.21,109.58,2991.84,9802.83,431.55,1307.79,609.34,0.3052,0.1334,0.7082,0.01,2.2877
CT_CT_C1_L105_P105_M,105,105,1,M,Control,Vehicle,PND84,26.1,0.374931,0.014365,126.5804,340.01,0.38,1477.59,6736.43,536.27,1397.93,693.2,0.2193,0.2075,0.7736,0,1.057
CT_CT_C1_L105_P106_M,105,106,1,M,Control,Vehicle,PND84,27.3,0.545433,0.019979,90.31185,257.58,83.61,1771.38,7138.63,339.37,1274.98,512.3,0.2481,0.1786,0.6624,0.012,1.389
CT_CT_C1_L104_P115_F,104,115,1,F,Control,Vehicle,PND84,17.1,0.263346,0.0154,30.53577,322.48,0.42,2366.52,9608.32,498.97,1608.02,672.46,0.2463,0.1674,0.742,0,1.4717
CT_CT_C1_L104_P116_M,104,116,1,M,Control,Vehicle,PND84,23,0.439668,0.019116,42.72816,375.53,143.65,2727.83,10081.99,714.08,2066.7,711.33,0.2706,0.205,1.0039,0.014,1.32
CT_CT_C2_L117_P201_F,117,201,2,F,Control,Vehicle,PND84,18.8,0.268662,0.014291,317.138,296.89,0.32,3052.04,10812.42,572.58,1759.49,691.72,0.2823,0.1627,0.8278,0,1.7346
CT_CT_C2_L122_P208_F,122,208,2,F,Control,Vehicle,PND84,20.6,0.836205,0.040592,78.40365,308.62,0.81,2406.05,6556.14,451.93,1233.29,560.18,0.367,0.1881,0.8068,0.0001,1.9509
CT_CT_C2_L117_P209_M,117,209,2,M,Control,Vehicle,PND84,27.7,0.343758,0.01241,51.08853,387.63,227.45,2168.48,10825.28,538.91,1626.03,706.45,0.2003,0.1502,0.7628,0.021,1.334
CT_CT_C4_L129_P401_F,129,401,4,F,Control,Vehicle,PND84,20,0.156468,0.007823,126.2017,376.33,1.31,2602.46,10760.5,481.94,1509.31,682.38,0.2419,0.1403,0.7063,0.0001,1.7243
CT_CT_C4_L129_P405_M,129,405,4,M,Control,Vehicle,PND84,25.5,0.227577,0.008925,101.7958,387.36,139.38,2951.21,10306.14,495.15,1542.35,719.27,0.2864,0.1497,0.6884,0.014,1.913
CT_CT_C4_L113_P408_F,113,408,4,F,Control,Vehicle,PND84,18.2,0.160215,0.008803,329.576,328.96,1.03,2201.8,10767.71,467.89,1467.8,702.55,0.2045,0.1363,0.666,0.0001,1.5001
CT_CT_C4_L113_P412_M,113,412,4,M,Control,Vehicle,PND84,26,0.284421,0.010939,62.57055,436.79,1.76,2034.47,10509.25,489.69,1492.53,740.78,0.1936,0.142,0.661,0,1.363
HFHS_CT_C1_L110_P110_M,110,110,1,M,HFHS,Vehicle,PND84,28.3,0.203718,0.007199,15.993,347.6,144.45,2390.39,10731.27,528.61,1805.97,711.01,0.2228,0.1683,0.7435,0.013,1.324
HFHS_CT_C1_L107_P119_M,107,119,1,M,HFHS,Vehicle,PND84,22.9,0.401907,0.017551,12.6723,326.88,69.79,2070.94,8062.47,468.97,1629.89,622.29,0.2569,0.2022,0.7536,0.009,1.271
HFHS_CT_C2_L123_P211_F,123,211,2,F,HFHS,Vehicle,PND84,19,0.222651,0.011718,144.3342,319.1,0.72,2052.28,8963.16,451.34,1306.59,670.09,0.229,0.1458,0.6736,0.0001,1.5707
HFHS_CT_C2_L123_P212_F,123,212,2,F,HFHS,Vehicle,PND84,19.8,0.361344,0.01825,325.9234,388.05,88.17,3020.82,12347.3,506.23,1930.14,785.92,0.2447,0.1563,0.6441,0.0071,1.5651
HFHS_CT_C2_L123_P217_M,123,217,2,M,HFHS,Vehicle,PND84,25,0.515211,0.020608,54.22674,288.69,177.65,2788.19,11241.19,488.84,1732.62,711.86,0.248,0.1541,0.6867,0.016,1.609
HFHS_CT_C2_L121_P219_M,121,219,2,M,HFHS,Vehicle,PND84,25.1,2.116269,0.084314,44.94435,271.23,97.36,2771.07,9179.15,476.28,1821.12,639.66,0.3019,0.1984,0.7446,0.011,1.522
HFHS_CT_C3_L125.1_P302_F,125.1,302,3,F,HFHS,Vehicle,PND84,21.6,0.222912,0.01032,23.15553,314.4,42.09,2829.88,9872.96,512.98,2028.79,691.82,0.2866,0.2055,0.7415,0.0043,1.3949
HFHS_CT_C3_L125.1_P305_F,125.1,305,3,F,HFHS,Vehicle,PND84,19.3,0.719496,0.03728,27.86655,333.9,50.64,3224.54,11401.39,437.35,1893.29,668.35,0.2828,0.1661,0.6544,0.0044,1.7031
HFHS_CT_C3_L125.2_P306_F,125.2,306,3,F,HFHS,Vehicle,PND84,19.4,0.29442,0.015176,49.64154,311.58,45.03,3253.97,11912.72,486.45,1465.07,713.28,0.2732,0.123,0.682,0.0038,2.22
HFHS_CT_C3_L125_P308_M,125,308,3,M,HFHS,Vehicle,PND84,26.2,0.82242,0.03139,42.21048,294.77,0.27,1891.05,8768.91,450.24,1444.92,625.39,0.2157,0.1648,0.7199,0,1.309
HFHS_CT_C4_L126_P420_F,126,420,4,F,HFHS,Vehicle,PND84,18.7,0.562677,0.03009,320.9747,343.04,49.35,3094.38,10526.82,627.29,2081.12,711.97,0.294,0.1977,0.8811,0.0047,1.4869
HFHS_CT_C4_L126_P422_M,126,422,4,M,HFHS,Vehicle,PND84,22.6,0.288573,0.012769,31.81152,299.25,95.84,2790.15,10505.54,462.57,1493.93,660.33,0.2656,0.1422,0.7005,0.009,1.868
HFHS_FOS+GOS_C1_L106_P124_F,106,124,1,F,HFHS,FOS+GOS,PND84,21.6,0.279756,0.012952,19.75278,308.14,122.99,4056.97,11789.89,522.81,2115.62,725.1,0.3441,0.1794,0.721,0.0104,1.9176
HFHS_FOS+GOS_C1_L106_P126_M,106,126,1,M,HFHS,FOS+GOS,PND84,28.6,0.285225,0.009973,33.83745,330.43,282.43,2575.68,8798.67,516.35,1926.44,672.25,0.2927,0.2189,0.7681,0.03,1.337
HFHS_FOS+GOS_C2_L124_P225_F,124,225,2,F,HFHS,FOS+GOS,PND84,20.7,0.483303,0.023348,109.2027,293.6,85.36,3803.8,10310.12,553.41,2126.42,701.94,0.3689,0.2062,0.7884,0.0083,1.7888
HFHS_FOS+GOS_C2_L124_P228_M,124,228,2,M,HFHS,FOS+GOS,PND84,26.9,1.290171,0.047962,79.74633,346.7,125.56,2348.97,7273.94,433.9,1716.48,637.6,0.3229,0.236,0.6805,0.017,1.368
HFHS_FOS+GOS_C2_L119_P231_F,119,231,2,F,HFHS,FOS+GOS,PND84,21.4,0.52233,0.024408,172.1657,311.27,118.44,3028.59,12843.5,494.93,1855.12,790.44,0.2358,0.1444,0.6261,0.0092,1.6326
HFHS_FOS+GOS_C2_L119_P232_F,119,232,2,F,HFHS,FOS+GOS,PND84,19,0.840783,0.044252,213.5033,288.66,1.72,2994.75,10840.75,478.69,1724.91,676.37,0.2762,0.1591,0.7077,0.0002,1.7362
