,name,term,df,sumsq,meansq,statistic,p.value
1,DrinkIntake.ml.,Legend,2,479.3196056,239.6598028,181.708131,7.44E-75
2,DrinkIntake.ml.,Sex,1,36.39323708,36.39323708,27.59305905,1.61E-07
3,DrinkIntake.ml.,Age,67,426.4583393,6.36504984,4.825929491,8.21E-33
4,DrinkIntake.ml.,Time,1,1190.294656,1190.294656,902.4718154,9.18E-172
5,DrinkIntake.ml.,Legend:Sex,2,10.10542737,5.052713687,3.830926796,0.021805097
6,DrinkIntake.ml.,Legend:Age,133,144.9512141,1.089858753,0.826322123,0.924762295
7,DrinkIntake.ml.,Sex:Age,67,34.11963042,0.509248215,0.386107893,0.999998459
8,DrinkIntake.ml.,Legend:Time,2,200.2571922,100.1285961,75.91669458,8.05E-33
9,DrinkIntake.ml.,Sex:Time,1,1.616356772,1.616356772,1.225508678,0.268378887
10,DrinkIntake.ml.,Age:Time,67,99.07051194,1.478664357,1.121111399,0.235523501
11,DrinkIntake.ml.,Legend:Sex:Age,130,88.26623307,0.678971024,0.514790358,0.999998742
12,DrinkIntake.ml.,Legend:Sex:Time,2,31.3154972,15.6577486,11.8715788,7.35E-06
13,DrinkIntake.ml.,Legend:Age:Time,128,108.9794921,0.851402282,0.645526349,0.999230845
14,DrinkIntake.ml.,Sex:Age:Time,67,44.45367529,0.663487691,0.50305102,0.999751494
15,DrinkIntake.ml.,Legend:Sex:Age:Time,123,73.61744586,0.59851582,0.453789871,0.999999959
16,DrinkIntake.ml.,Residuals,2756,3634.96346,1.318927235,NA,NA
