"","name","term","df","sumsq","meansq","statistic","p.value"
"1","DrinkIntake.ml.","Legend",2,33.5139705464356,16.7569852732178,28.1680917815378,7.83644325678798e-13
"2","DrinkIntake.ml.","Age",67,346.042546326371,5.1648141242742,8.68192911284941,1.17287871616218e-73
"3","DrinkIntake.ml.","Time",1,949.111891288549,949.111891288549,1595.43440713611,6.83248462063167e-274
"4","DrinkIntake.ml.","Sex",1,24.0850048948715,24.0850048948715,40.4863176386411,2.32238327345959e-10
"5","DrinkIntake.ml.","Legend:Age",133,77.5280790689015,0.582917887736101,0.97987103856287,0.549078736053925
"6","DrinkIntake.ml.","Legend:Time",2,105.020762706831,52.5103813534154,88.2686961485003,7.59195598297988e-38
"7","DrinkIntake.ml.","Age:Time",67,89.7692153156071,1.3398390345613,2.2522373972799,4.05758978945342e-08
"8","DrinkIntake.ml.","Legend:Sex",2,3.93332226773043,1.96666113386522,3.30591036625413,0.0368160724313449
"9","DrinkIntake.ml.","Age:Sex",67,32.1952834556546,0.480526618741113,0.80775376235516,0.869458590670248
"10","DrinkIntake.ml.","Time:Sex",1,4.02311052593264,4.02311052593264,6.76275264876331,0.00935938255516841
"11","DrinkIntake.ml.","Legend:Age:Time",125,87.5510461986284,0.700408369589027,1.1773697307399,0.0914086739017608
"12","DrinkIntake.ml.","Legend:Age:Sex",131,52.0457914999115,0.397296118319935,0.667845280211053,0.998487685387861
"13","DrinkIntake.ml.","Legend:Time:Sex",2,41.4160967214642,20.7080483607321,34.809734408128,1.19179396416412e-15
"14","DrinkIntake.ml.","Age:Time:Sex",65,40.0009064309451,0.615398560476079,1.03447027320731,0.402012553416327
"15","DrinkIntake.ml.","Legend:Age:Time:Sex",120,40.9995324482681,0.341662770402234,0.574326951901446,0.999935815834644
"16","DrinkIntake.ml.","Residuals",2668,1587.17307,0.594892455022489,NA,NA
