Mouse_ID,Cohort,Diet,Treatment,Legend,Age,bw,bw_gain
105,1,Control,Vehicle,Control Vehicle,PND0,25.3,0
104,1,Control,Vehicle,Control Vehicle,PND0,24.5,0
117,2,Control,Vehicle,Control Vehicle,PND0,24.4,0
122,2,Control,Vehicle,Control Vehicle,PND0,25.4,0
129,2,Control,Vehicle,Control Vehicle,PND0,28.7,0
113,4,Control,Vehicle,Control Vehicle,PND0,31.3,0
131,6,Control,Vehicle,Control Vehicle,PND0,28.5,0
110,1,HFHS,Vehicle,HFHS Vehicle,PND0,23.5,0
107,1,HFHS,Vehicle,HFHS Vehicle,PND0,23.3,0
123,2,HFHS,Vehicle,HFHS Vehicle,PND0,24.2,0
121,2,HFHS,Vehicle,HFHS Vehicle,PND0,25.9,0
125,3,HFHS,Vehicle,HFHS Vehicle,PND0,26.8,0
126,4,HFHS,Vehicle,HFHS Vehicle,PND0,25.4,0
133,6,HFHS,Vehicle,HFHS Vehicle,PND0,28.8,0
106,1,HFHS,FOS+GOS,HFHS FOS+GOS,PND0,25.7,0
124,2,HFHS,FOS+GOS,HFHS FOS+GOS,PND0,25,0
119,2,HFHS,FOS+GOS,HFHS FOS+GOS,PND0,25.4,0
128,2,HFHS,FOS+GOS,HFHS FOS+GOS,PND0,23,0
114,3,HFHS,FOS+GOS,HFHS FOS+GOS,PND0,27.4,0
118,6,HFHS,FOS+GOS,HFHS FOS+GOS,PND0,28.5,0
136,6,HFHS,FOS+GOS,HFHS FOS+GOS,PND0,28.2,0
115,1,HFHS,1472,HFHS 1472,PND0,26,0
111,1,HFHS,1472,HFHS 1472,PND0,24.4,0
120,2,HFHS,1472,HFHS 1472,PND0,25.1,0
127,2,HFHS,1472,HFHS 1472,PND0,25.8,0
116,4,HFHS,1472,HFHS 1472,PND0,25.5,0
130,5,HFHS,1472,HFHS 1472,PND0,25.6,0
135,6,HFHS,1472,HFHS 1472,PND0,28.2,0
105,1,Control,Vehicle,Control Vehicle,PND7,24.8,-0.5
104,1,Control,Vehicle,Control Vehicle,PND7,26.3,1.8
117,2,Control,Vehicle,Control Vehicle,PND7,23.3,-1.1
122,2,Control,Vehicle,Control Vehicle,PND7,27.1,1.7
129,2,Control,Vehicle,Control Vehicle,PND7,27.9,-0.8
113,4,Control,Vehicle,Control Vehicle,PND7,29.7,-1.6
131,6,Control,Vehicle,Control Vehicle,PND7,30,1.5
110,1,HFHS,Vehicle,HFHS Vehicle,PND7,26.5,3
107,1,HFHS,Vehicle,HFHS Vehicle,PND7,26.2,2.9
123,2,HFHS,Vehicle,HFHS Vehicle,PND7,27,2.8
121,2,HFHS,Vehicle,HFHS Vehicle,PND7,29,3.1
125,3,HFHS,Vehicle,HFHS Vehicle,PND7,29.1,2.3
126,4,HFHS,Vehicle,HFHS Vehicle,PND7,28.2,2.8
133,6,HFHS,Vehicle,HFHS Vehicle,PND7,30,1.2
106,1,HFHS,FOS+GOS,HFHS FOS+GOS,PND7,28.4,2.7
124,2,HFHS,FOS+GOS,HFHS FOS+GOS,PND7,25.7,0.7
119,2,HFHS,FOS+GOS,HFHS FOS+GOS,PND7,26.8,1.4
128,2,HFHS,FOS+GOS,HFHS FOS+GOS,PND7,27.8,4.8
114,3,HFHS,FOS+GOS,HFHS FOS+GOS,PND7,29,1.6
118,6,HFHS,FOS+GOS,HFHS FOS+GOS,PND7,32.5,4
136,6,HFHS,FOS+GOS,HFHS FOS+GOS,PND7,30.8,2.6
115,1,HFHS,1472,HFHS 1472,PND7,26.6,0.6
111,1,HFHS,1472,HFHS 1472,PND7,27.3,2.9
120,2,HFHS,1472,HFHS 1472,PND7,27.4,2.3
127,2,HFHS,1472,HFHS 1472,PND7,26.7,0.9
116,4,HFHS,1472,HFHS 1472,PND7,28,2.5
130,5,HFHS,1472,HFHS 1472,PND7,28.9,3.3
135,6,HFHS,1472,HFHS 1472,PND7,30.2,2
105,1,Control,Vehicle,Control Vehicle,PND14,24.9,-0.4
104,1,Control,Vehicle,Control Vehicle,PND14,23.4,-1.1
117,2,Control,Vehicle,Control Vehicle,PND14,20.5,-3.9
122,2,Control,Vehicle,Control Vehicle,PND14,28.3,2.9
129,2,Control,Vehicle,Control Vehicle,PND14,25.7,-3
113,4,Control,Vehicle,Control Vehicle,PND14,30.8,-0.5
131,6,Control,Vehicle,Control Vehicle,PND14,30.2,1.7
110,1,HFHS,Vehicle,HFHS Vehicle,PND14,28,4.5
107,1,HFHS,Vehicle,HFHS Vehicle,PND14,27.1,3.8
123,2,HFHS,Vehicle,HFHS Vehicle,PND14,30,5.8
121,2,HFHS,Vehicle,HFHS Vehicle,PND14,34,8.1
125,3,HFHS,Vehicle,HFHS Vehicle,PND14,35.2,8.4
126,4,HFHS,Vehicle,HFHS Vehicle,PND14,30.8,5.4
133,6,HFHS,Vehicle,HFHS Vehicle,PND14,32.1,3.3
106,1,HFHS,FOS+GOS,HFHS FOS+GOS,PND14,31,5.3
124,2,HFHS,FOS+GOS,HFHS FOS+GOS,PND14,31.2,6.2
119,2,HFHS,FOS+GOS,HFHS FOS+GOS,PND14,30.5,5.1
128,2,HFHS,FOS+GOS,HFHS FOS+GOS,PND14,30.7,7.7
114,3,HFHS,FOS+GOS,HFHS FOS+GOS,PND14,22.4,-5
118,6,HFHS,FOS+GOS,HFHS FOS+GOS,PND14,34.7,6.2
136,6,HFHS,FOS+GOS,HFHS FOS+GOS,PND14,32.5,4.3
115,1,HFHS,1472,HFHS 1472,PND14,30,4
111,1,HFHS,1472,HFHS 1472,PND14,29.3,4.9
120,2,HFHS,1472,HFHS 1472,PND14,29.4,4.3
127,2,HFHS,1472,HFHS 1472,PND14,32.3,6.5
116,4,HFHS,1472,HFHS 1472,PND14,30.6,5.1
130,5,HFHS,1472,HFHS 1472,PND14,30.3,4.7
135,6,HFHS,1472,HFHS 1472,PND14,30.4,2.2
105,1,Control,Vehicle,Control Vehicle,PND21,25.8,0.5
104,1,Control,Vehicle,Control Vehicle,PND21,22.4,-2.1
117,2,Control,Vehicle,Control Vehicle,PND21,20.7,-3.7
122,2,Control,Vehicle,Control Vehicle,PND21,25.8,0.4
129,2,Control,Vehicle,Control Vehicle,PND21,28,-0.7
113,4,Control,Vehicle,Control Vehicle,PND21,25.1,-6.2
131,6,Control,Vehicle,Control Vehicle,PND21,30,1.5
110,1,HFHS,Vehicle,HFHS Vehicle,PND21,22.9,-0.6
107,1,HFHS,Vehicle,HFHS Vehicle,PND21,29,5.7
123,2,HFHS,Vehicle,HFHS Vehicle,PND21,29.6,5.4
121,2,HFHS,Vehicle,HFHS Vehicle,PND21,31.9,6
125,3,HFHS,Vehicle,HFHS Vehicle,PND21,28.9,2.1
126,4,HFHS,Vehicle,HFHS Vehicle,PND21,27.1,1.7
133,6,HFHS,Vehicle,HFHS Vehicle,PND21,27.7,-1.1
106,1,HFHS,FOS+GOS,HFHS FOS+GOS,PND21,28.1,2.4
124,2,HFHS,FOS+GOS,HFHS FOS+GOS,PND21,28.5,3.5
119,2,HFHS,FOS+GOS,HFHS FOS+GOS,PND21,27.2,1.8
128,2,HFHS,FOS+GOS,HFHS FOS+GOS,PND21,24.7,1.7
114,3,HFHS,FOS+GOS,HFHS FOS+GOS,PND21,28.5,1.1
118,6,HFHS,FOS+GOS,HFHS FOS+GOS,PND21,32.6,4.1
136,6,HFHS,FOS+GOS,HFHS FOS+GOS,PND21,34.4,6.2
115,1,HFHS,1472,HFHS 1472,PND21,29,3
111,1,HFHS,1472,HFHS 1472,PND21,20.1,-4.3
120,2,HFHS,1472,HFHS 1472,PND21,25.7,0.6
127,2,HFHS,1472,HFHS 1472,PND21,33.8,8
116,4,HFHS,1472,HFHS 1472,PND21,28.2,2.7
130,5,HFHS,1472,HFHS 1472,PND21,26,0.4
135,6,HFHS,1472,HFHS 1472,PND21,29.2,1
