Name,Cage/Litter,Mouse_ID,Cohort,Sex,Diet,Treatment,Age,bw,bw_gain
CT_CT_C1_L105_P101_F,105,101,1,F,Control,Vehicle,PND1,1.4,0
CT_CT_C1_L105_P102_F,105,102,1,F,Control,Vehicle,PND1,1,0
CT_CT_C1_L105_P103_M,105,103,1,M,Control,Vehicle,PND1,1.2,0
CT_CT_C1_L105_P104_M,105,104,1,M,Control,Vehicle,PND1,1.4,0
CT_CT_C1_L105_P105_M,105,105,1,M,Control,Vehicle,PND1,1.3,0
CT_CT_C1_L105_P106_M,105,106,1,M,Control,Vehicle,PND1,1.2,0
CT_CT_C1_L104_P113_F,104,113,1,F,Control,Vehicle,PND1,1.1,0
CT_CT_C1_L104_P115_F,104,115,1,F,Control,Vehicle,PND1,1.2,0
CT_CT_C1_L104_P116_M,104,116,1,M,Control,Vehicle,PND1,1.2,0
CT_CT_C1_L104_P117_M,104,117,1,M,Control,Vehicle,PND1,1.4,0
CT_CT_C2_L117_P201_F,117,201,2,F,Control,Vehicle,PND1,1.2,0
CT_CT_C2_L117_P202_F,117,202,2,F,Control,Vehicle,PND1,1.4,0
CT_CT_C2_L117_P204_M,117,204,2,M,Control,Vehicle,PND1,1.6,0
CT_CT_C2_L122_P207_F,122,207,2,F,Control,Vehicle,PND1,1.4,0
CT_CT_C2_L122_P208_F,122,208,2,F,Control,Vehicle,PND1,1.5,0
CT_CT_C2_L117_P209_M,117,209,2,M,Control,Vehicle,PND1,1.4,0
CT_CT_C4_L129_P401_F,129,401,4,F,Control,Vehicle,PND1,1.4,0
CT_CT_C4_L129_P402_F,129,402,4,F,Control,Vehicle,PND1,1.4,0
CT_CT_C4_L129_P405_M,129,405,4,M,Control,Vehicle,PND1,1.4,0
CT_CT_C4_L129_P407_M,129,407,4,M,Control,Vehicle,PND1,1.4,0
CT_CT_C4_L113_P408_F,113,408,4,F,Control,Vehicle,PND1,1.4,0
CT_CT_C4_L113_P409_F,113,409,4,F,Control,Vehicle,PND1,1.4,0
CT_CT_C4_L113_P412_M,113,412,4,M,Control,Vehicle,PND1,1.4,0
CT_CT_C4_L113_P413_M,113,413,4,M,Control,Vehicle,PND1,1.4,0
HFHS_CT_C1_L110_P109_M,110,109,1,M,HFHS,Vehicle,PND1,1.3,0
HFHS_CT_C1_L110_P110_M,110,110,1,M,HFHS,Vehicle,PND1,1.5,0
HFHS_CT_C1_L107_P119_M,107,119,1,M,HFHS,Vehicle,PND1,1.3,0
HFHS_CT_C1_L107_P121_M,107,121,1,M,HFHS,Vehicle,PND1,1.2,0
HFHS_CT_C2_L123_P211_F,123,211,2,F,HFHS,Vehicle,PND1,1.3,0
HFHS_CT_C2_L123_P212_F,123,212,2,F,HFHS,Vehicle,PND1,1.3,0
HFHS_CT_C2_L123_P213_F,123,213,2,F,HFHS,Vehicle,PND1,1.4,0
HFHS_CT_C2_L123_P216_M,123,216,2,M,HFHS,Vehicle,PND1,1.4,0
HFHS_CT_C2_L123_P217_M,123,217,2,M,HFHS,Vehicle,PND1,1.3,0
HFHS_CT_C2_L123_P218_F,123,218,2,F,HFHS,Vehicle,PND1,1.7,0
HFHS_CT_C2_L121_P219_M,121,219,2,M,HFHS,Vehicle,PND1,1.5,0
HFHS_CT_C2_L121_P221_M,121,221,2,M,HFHS,Vehicle,PND1,1.5,0
HFHS_CT_C3_L125.1_P302_F,125.1,302,3,F,HFHS,Vehicle,PND1,1.5,0
HFHS_CT_C3_L125.2_P303_F,125.2,303,3,F,HFHS,Vehicle,PND1,1.4,0
HFHS_CT_C3_L125.2_P304_F,125.2,304,3,F,HFHS,Vehicle,PND1,1.3,0
HFHS_CT_C3_L125.1_P305_F,125.1,305,3,F,HFHS,Vehicle,PND1,1.3,0
HFHS_CT_C3_L125.2_P306_F,125.2,306,3,F,HFHS,Vehicle,PND1,1.3,0
HFHS_CT_C3_L125_P308_M,125,308,3,M,HFHS,Vehicle,PND1,1.4,0
HFHS_CT_C3_L125_P310_M,125,310,3,M,HFHS,Vehicle,PND1,1.3,0
HFHS_CT_C4_L126_P419_F,126,419,4,F,HFHS,Vehicle,PND1,1.3,0
HFHS_CT_C4_L126_P420_F,126,420,4,F,HFHS,Vehicle,PND1,1.2,0
HFHS_CT_C4_L126_P421_F,126,421,4,F,HFHS,Vehicle,PND1,1.3,0
HFHS_CT_C4_L126_P422_M,126,422,4,M,HFHS,Vehicle,PND1,1.4,0
HFHS_CT_C4_L126_P423_M,126,423,4,M,HFHS,Vehicle,PND1,1.3,0
HFHS_FOS+GOS_C1_L106_P122_F,106,122,1,F,HFHS,FOS+GOS,PND1,1.5,0
HFHS_FOS+GOS_C1_L106_P124_F,106,124,1,F,HFHS,FOS+GOS,PND1,1.5,0
HFHS_FOS+GOS_C1_L106_P125_M,106,125,1,M,HFHS,FOS+GOS,PND1,1.6,0
HFHS_FOS+GOS_C1_L106_P126_M,106,126,1,M,HFHS,FOS+GOS,PND1,1.4,0
HFHS_FOS+GOS_C2_L124_P223_F,124,223,2,F,HFHS,FOS+GOS,PND1,1.3,0
HFHS_FOS+GOS_C2_L124_P224_F,124,224,2,F,HFHS,FOS+GOS,PND1,1.3,0
HFHS_FOS+GOS_C2_L124_P225_F,124,225,2,F,HFHS,FOS+GOS,PND1,1.4,0
HFHS_FOS+GOS_C2_L124_P226_M,124,226,2,M,HFHS,FOS+GOS,PND1,1.4,0
HFHS_FOS+GOS_C2_L124_P227_M,124,227,2,M,HFHS,FOS+GOS,PND1,1.2,0
HFHS_FOS+GOS_C2_L124_P228_M,124,228,2,M,HFHS,FOS+GOS,PND1,1.3,0
HFHS_FOS+GOS_C2_L119_P231_F,119,231,2,F,HFHS,FOS+GOS,PND1,1.4,0
HFHS_FOS+GOS_C2_L119_P232_F,119,232,2,F,HFHS,FOS+GOS,PND1,1.4,0
HFHS_FOS+GOS_C2_L119_P233_F,119,233,2,F,HFHS,FOS+GOS,PND1,1.7,0
HFHS_FOS+GOS_C2_L119_P234_M,119,234,2,M,HFHS,FOS+GOS,PND1,1.5,0
HFHS_FOS+GOS_C2_L119_P235_M,119,235,2,M,HFHS,FOS+GOS,PND1,1.3,0
HFHS_FOS+GOS_C2_L128_P236_F,128,236,2,F,HFHS,FOS+GOS,PND1,1.2,0
HFHS_FOS+GOS_C2_L128_P237_F,128,237,2,F,HFHS,FOS+GOS,PND1,1.5,0
HFHS_FOS+GOS_C2_L128_P238_F,128,238,2,F,HFHS,FOS+GOS,PND1,1.2,0
HFHS_FOS+GOS_C2_L128_P239_M,128,239,2,M,HFHS,FOS+GOS,PND1,1.2,0
HFHS_FOS+GOS_C2_L128_P239_M,128,241,2,M,HFHS,FOS+GOS,PND1,1.4,0
HFHS_FOS+GOS_C2_L128_P239_M,128,243,2,M,HFHS,FOS+GOS,PND1,1.3,0
HFHS_FOS+GOS_C3_L114_P311_F,114,311,3,F,HFHS,FOS+GOS,PND1,1.4,0
HFHS_FOS+GOS_C3_L114_P312_M,114,312,3,M,HFHS,FOS+GOS,PND1,1.6,0
HFHS_FOS+GOS_C3_L114_P314_M,114,314,3,M,HFHS,FOS+GOS,PND1,1.5,0
HFHS_FOS+GOS_C3_L114_P315_M,114,315,3,M,HFHS,FOS+GOS,PND1,1.6,0
HFHS_1472_C1_L115_P128_F,115,128,1,F,HFHS,1472,PND1,1.4,0
HFHS_1472_C1_L115_P130_F,115,130,1,F,HFHS,1472,PND1,1.2,0
HFHS_1472_C1_L115_P131_F,115,131,1,F,HFHS,1472,PND1,1.2,0
HFHS_1472_C1_L115_P132_M,115,132,1,M,HFHS,1472,PND1,1.2,0
HFHS_1472_C1_L115_P133_M,115,133,1,M,HFHS,1472,PND1,1.4,0
HFHS_1472_C1_L111_P134_F,111,134,1,F,HFHS,1472,PND1,1.4,0
HFHS_1472_C1_L111_P135_F,111,135,1,F,HFHS,1472,PND1,1.1,0
HFHS_1472_C1_L111_P136_M,111,136,1,M,HFHS,1472,PND1,1.1,0
HFHS_1472_C1_L111_P137_M,111,137,1,M,HFHS,1472,PND1,1.4,0
