"","asvs","feature","module_number","module_name","Sample","clr_abundance","sex","timepoint","Cage.Litter","Cohort","Diet","Treatment","legend"
"1","1","1","MGB015","p-Cresol synthesis","101w10",2.55676346276177,"F","w10",105,1,"Control","Vehicle","Control Vehicle"
"2","1","1","MGB015","p-Cresol synthesis","101w5",2.45987567441095,"F","w5",105,1,"Control","Vehicle","Control Vehicle"
"3","1","1","MGB015","p-Cresol synthesis","102w10",2.847880984177,"F","w10",105,1,"Control","Vehicle","Control Vehicle"
"4","1","1","MGB015","p-Cresol synthesis","102w5",2.8970646681075,"F","w5",105,1,"Control","Vehicle","Control Vehicle"
"5","1","1","MGB015","p-Cresol synthesis","103w10",2.68449402435055,"M","w10",105,1,"Control","Vehicle","Control Vehicle"
"6","1","1","MGB015","p-Cresol synthesis","103w5",2.24329402612534,"M","w5",105,1,"Control","Vehicle","Control Vehicle"
"7","1","1","MGB015","p-Cresol synthesis","104w10",2.47428726887329,"M","w10",105,1,"Control","Vehicle","Control Vehicle"
"8","1","1","MGB015","p-Cresol synthesis","104w5",2.20962963804493,"M","w5",105,1,"Control","Vehicle","Control Vehicle"
"9","1","1","MGB015","p-Cresol synthesis","105w10",2.49617515290883,"M","w10",105,1,"Control","Vehicle","Control Vehicle"
"10","1","1","MGB015","p-Cresol synthesis","105w5",2.45301303987249,"M","w5",105,1,"Control","Vehicle","Control Vehicle"
"11","1","1","MGB015","p-Cresol synthesis","106w10",2.30681015857907,"M","w10",105,1,"Control","Vehicle","Control Vehicle"
"12","1","1","MGB015","p-Cresol synthesis","106w5",2.26588221774505,"M","w5",105,1,"Control","Vehicle","Control Vehicle"
"13","1","1","MGB015","p-Cresol synthesis","109w10",2.36160409259572,"M","w10",110,1,"HFHS","Vehicle","HFHS Vehicle"
"14","1","1","MGB015","p-Cresol synthesis","109w5",2.73314354359706,"M","w5",110,1,"HFHS","Vehicle","HFHS Vehicle"
"15","1","1","MGB015","p-Cresol synthesis","110w10",2.11715008394565,"M","w10",110,1,"HFHS","Vehicle","HFHS Vehicle"
"16","1","1","MGB015","p-Cresol synthesis","110w5",2.48461334247726,"M","w5",110,1,"HFHS","Vehicle","HFHS Vehicle"
