"","pathway","Sample","Value","sex","timepoint","Cage.Litter","Cohort","Diet","Treatment","legend"
"1","ARG+POLYAMINE-SYN","x101w10",1.68818284787175,"F","w10",105,1,"Control","Vehicle","Control Vehicle"
"2","ARG+POLYAMINE-SYN","x101w5",0.549020181337911,"F","w5",105,1,"Control","Vehicle","Control Vehicle"
"3","ARG+POLYAMINE-SYN","x102w10",1.29072789986444,"F","w10",105,1,"Control","Vehicle","Control Vehicle"
"4","ARG+POLYAMINE-SYN","x102w5",0.533187098077426,"F","w5",105,1,"Control","Vehicle","Control Vehicle"
"5","ARG+POLYAMINE-SYN","x103w10",1.42587724246651,"M","w10",105,1,"Control","Vehicle","Control Vehicle"
"6","ARG+POLYAMINE-SYN","x103w5",-0.500163824794367,"M","w5",105,1,"Control","Vehicle","Control Vehicle"
"7","ARG+POLYAMINE-SYN","x104w10",1.1788631241489,"M","w10",105,1,"Control","Vehicle","Control Vehicle"
"8","ARG+POLYAMINE-SYN","x104w5",-0.0188069161356665,"M","w5",105,1,"Control","Vehicle","Control Vehicle"
"9","ARG+POLYAMINE-SYN","x105w10",1.28434744669172,"M","w10",105,1,"Control","Vehicle","Control Vehicle"
"10","ARG+POLYAMINE-SYN","x105w5",0.233693522609817,"M","w5",105,1,"Control","Vehicle","Control Vehicle"
"11","ARG+POLYAMINE-SYN","x106w10",1.07863505183543,"M","w10",105,1,"Control","Vehicle","Control Vehicle"
"12","ARG+POLYAMINE-SYN","x106w5",0.199444531187088,"M","w5",105,1,"Control","Vehicle","Control Vehicle"
"13","ARG+POLYAMINE-SYN","x109w10",1.58977909572669,"M","w10",110,1,"HFHS","Vehicle","HFHS Vehicle"
"14","ARG+POLYAMINE-SYN","x109w5",2.30306943805187,"M","w5",110,1,"HFHS","Vehicle","HFHS Vehicle"
"15","ARG+POLYAMINE-SYN","x110w10",0.92532707102365,"M","w10",110,1,"HFHS","Vehicle","HFHS Vehicle"
"16","ARG+POLYAMINE-SYN","x110w5",1.45122420868902,"M","w5",110,1,"HFHS","Vehicle","HFHS Vehicle"
"17","ARG+POLYAMINE-SYN","x113w10",1.07002298752431,"F","w10",104,1,"Control","Vehicle","Control Vehicle"
"18","ARG+POLYAMINE-SYN","x113w5",1.25769025981567,"F","w5",104,1,"Control","Vehicle","Control Vehicle"
"19","ARG+POLYAMINE-SYN","x115w10",0.846063449791399,"F","w10",104,1,"Control","Vehicle","Control Vehicle"
"20","ARG+POLYAMINE-SYN","x116w10",1.33033754836659,"M","w10",104,1,"Control","Vehicle","Control Vehicle"
"21","ARG+POLYAMINE-SYN","x116w5",0.788902082192294,"M","w5",104,1,"Control","Vehicle","Control Vehicle"
"22","ARG+POLYAMINE-SYN","x117w10",1.60690629931365,"M","w10",104,1,"Control","Vehicle","Control Vehicle"
"23","ARG+POLYAMINE-SYN","x117w5",1.00723241767577,"M","w5",104,1,"Control","Vehicle","Control Vehicle"
"24","ARG+POLYAMINE-SYN","x119w10",1.46141978737439,"M","w10",107,1,"HFHS","Vehicle","HFHS Vehicle"
"25","ARG+POLYAMINE-SYN","x119w5",1.10344310858724,"M","w5",107,1,"HFHS","Vehicle","HFHS Vehicle"
"26","ARG+POLYAMINE-SYN","x121w10",1.322462815247,"M","w10",107,1,"HFHS","Vehicle","HFHS Vehicle"
"27","ARG+POLYAMINE-SYN","x121w5",0.84444457242425,"M","w5",107,1,"HFHS","Vehicle","HFHS Vehicle"
"28","ARG+POLYAMINE-SYN","x122w10",0.543385387579097,"F","w10",106,1,"HFHS","FOS+GOS","HFHS FOS+GOS"
"29","ARG+POLYAMINE-SYN","x122w5",0.763000385079494,"F","w5",106,1,"HFHS","FOS+GOS","HFHS FOS+GOS"
"30","ARG+POLYAMINE-SYN","x124w10",1.05026186104645,"F","w10",106,1,"HFHS","FOS+GOS","HFHS FOS+GOS"
"31","ARG+POLYAMINE-SYN","x124w5",0.949756678882161,"F","w5",106,1,"HFHS","FOS+GOS","HFHS FOS+GOS"
"32","ARG+POLYAMINE-SYN","x125w10",0.580885300284438,"M","w10",106,1,"HFHS","FOS+GOS","HFHS FOS+GOS"
"33","ARG+POLYAMINE-SYN","x125w5",1.5758283032796,"M","w5",106,1,"HFHS","FOS+GOS","HFHS FOS+GOS"
"34","ARG+POLYAMINE-SYN","x126w10",0.332844569812663,"M","w10",106,1,"HFHS","FOS+GOS","HFHS FOS+GOS"
"35","ARG+POLYAMINE-SYN","x126w5",1.18175611455901,"M","w5",106,1,"HFHS","FOS+GOS","HFHS FOS+GOS"
"36","ARG+POLYAMINE-SYN","x128w10",2.3349451845367,"F","w10",115,1,"HFHS","1472","HFHS B. longum APC1472"
"37","ARG+POLYAMINE-SYN","x128w5",2.37151755637348,"F","w5",115,1,"HFHS","1472","HFHS B. longum APC1472"
"38","ARG+POLYAMINE-SYN","x130w10",1.81752361552287,"F","w10",115,1,"HFHS","1472","HFHS B. longum APC1472"
"39","ARG+POLYAMINE-SYN","x130w5",2.44519841716537,"F","w5",115,1,"HFHS","1472","HFHS B. longum APC1472"
"40","ARG+POLYAMINE-SYN","x131w10",1.58137412644974,"F","w10",115,1,"HFHS","1472","HFHS B. longum APC1472"
"41","ARG+POLYAMINE-SYN","x131w5",2.0469694053917,"F","w5",115,1,"HFHS","1472","HFHS B. longum APC1472"
"42","ARG+POLYAMINE-SYN","x132w10",1.55947483012086,"M","w10",115,1,"HFHS","1472","HFHS B. longum APC1472"
"43","ARG+POLYAMINE-SYN","x132w5",1.58484880863207,"M","w5",115,1,"HFHS","1472","HFHS B. longum APC1472"
"44","ARG+POLYAMINE-SYN","x133w10",2.06753788081353,"M","w10",115,1,"HFHS","1472","HFHS B. longum APC1472"
"45","ARG+POLYAMINE-SYN","x133w5",2.11031094359417,"M","w5",115,1,"HFHS","1472","HFHS B. longum APC1472"
"46","ARG+POLYAMINE-SYN","x134w10",0.809678843213228,"F","w10",111,1,"HFHS","1472","HFHS B. longum APC1472"
"47","ARG+POLYAMINE-SYN","x134w5",0.551466708477281,"F","w5",111,1,"HFHS","1472","HFHS B. longum APC1472"
"48","ARG+POLYAMINE-SYN","x135w10",2.20985807356367,"F","w10",111,1,"HFHS","1472","HFHS B. longum APC1472"
"49","ARG+POLYAMINE-SYN","x135w5",1.03057203162909,"F","w5",111,1,"HFHS","1472","HFHS B. longum APC1472"
