pathway,sex,timepoint,statistic_diet,p.adj_diet,statistic_treatment_FOSGOS,p.adj_treatment_FOSGOS,statistic_treatment_1472,p.adj_treatment_1472,restoration_FOSGOS,restoration_1472,metacyc_of_interest,X
ARG+POLYAMINE-SYN,F,w10,-1.464623373,0.157,4.252357528,0.002,-0.088429924,0.93,not restored,not restored,arginine_metacyc,superpathway of arginine and polyamine biosynthesis
ARG+POLYAMINE-SYN,F,w5,-2.231819948,0.036,3.892040133,0.003,2.354624117,0.056,restored,not restored,arginine_metacyc,superpathway of arginine and polyamine biosynthesis
ARG+POLYAMINE-SYN,M,w10,1.315833662,0.206,0.205211701,1,-0.562124705,1,not restored,not restored,arginine_metacyc,superpathway of arginine and polyamine biosynthesis
ARG+POLYAMINE-SYN,M,w5,-4.160821239,0.000436,3.603658011,0.005,0.59526127,0.558,restored,not restored,arginine_metacyc,superpathway of arginine and polyamine biosynthesis
ARGDEG-PWY,F,w10,1.530187673,0.141,0.351074286,1,-0.216866263,1,not restored,not restored,arginine_metacyc,"superpathway of L-arginine, putrescine, and 4-aminobutanoate degradation"
ARGDEG-PWY,F,w5,2.26226532,0.039,-1.189277114,0.741,-0.549796647,1,not restored,not restored,arginine_metacyc,"superpathway of L-arginine, putrescine, and 4-aminobutanoate degradation"
ARGDEG-PWY,M,w10,-0.02656684,0.979,0.804441833,1,0.053805283,1,not restored,not restored,arginine_metacyc,"superpathway of L-arginine, putrescine, and 4-aminobutanoate degradation"
ARGDEG-PWY,M,w5,2.374987776,0.032,1.20748071,0.732,0.334298,0.742,not restored,not restored,arginine_metacyc,"superpathway of L-arginine, putrescine, and 4-aminobutanoate degradation"
ARGORNPROST-PWY,F,w10,-3.493258088,0.003,11.98731879,1.39E-10,0.577678243,0.571,restored,not restored,arginine_metacyc,"arginine, ornithine and proline interconversion"
ARGORNPROST-PWY,F,w5,-4.902529847,0.000257,7.420828877,9.96E-07,3.219556879,0.004,restored,restored,arginine_metacyc,"arginine, ornithine and proline interconversion"
ARGORNPROST-PWY,M,w10,0.82406177,0.419,4.704389526,0.000218,-1.674148468,0.108,not restored,not restored,arginine_metacyc,"arginine, ornithine and proline interconversion"
ARGORNPROST-PWY,M,w5,-5.381216769,7.88E-05,2.503891321,0.062,0.393304754,0.699,not restored,not restored,arginine_metacyc,"arginine, ornithine and proline interconversion"
ARGSYN-PWY,F,w10,-1.876240009,0.074,-0.646201934,1,-0.241725297,1,not restored,not restored,arginine_metacyc,L-arginine biosynthesis I (via L-ornithine)
