"sex","metabolite",".y.","group1","group2","n1","n2","statistic","df","p","p.adj","p.adj.signif","comparison_type"
"F","Acetate","value","Control","HFHS",5,5,-3.18666369157482,4.28615765676126,0.03,0.03,"*","diet"
"F","Butyrate","value","Control","HFHS",6,5,-2.99490799044403,8.24850015094408,0.017,0.017,"*","diet"
"F","IsoButyrate","value","Control","HFHS",6,5,-2.05837078937371,8.9139106150646,0.07,0.07,"ns","diet"
"F","IsoValerate","value","Control","HFHS",6,5,-2.13080967621763,8.17600581312312,0.065,0.065,"ns","diet"
"F","Propionate","value","Control","HFHS",6,5,-2.40514817560126,8.66760752922272,0.041,0.041,"*","diet"
"F","Total","value","Control","HFHS",5,5,-5.08558382093315,7.80929433219295,0.001,0.001,"**","diet"
"F","Valerate","value","Control","HFHS",6,5,-2.29354095059931,8.74715767139502,0.048,0.048,"*","diet"
"M","Acetate","value","Control","HFHS",6,6,-2.71273974532795,5.13166654683776,0.041,0.041,"*","diet"
"M","Butyrate","value","Control","HFHS",6,5,-2.31960688946125,7.16794636773236,0.053,0.053,"ns","diet"
"M","IsoButyrate","value","Control","HFHS",6,6,-1.68124612546637,9.47633221192429,0.125,0.125,"ns","diet"
"M","IsoValerate","value","Control","HFHS",6,5,-9.75303308345659,7.47574151729776,1.63e-05,1.63e-05,"****","diet"
"M","Propionate","value","Control","HFHS",6,6,-3.04206958828117,6.02463073554914,0.023,0.023,"*","diet"
"M","Total","value","Control","HFHS",5,6,-2.75622305233435,5.04466751801957,0.04,0.04,"*","diet"
"M","Valerate","value","Control","HFHS",6,6,0.419853748605421,8.23795901550147,0.685,0.685,"ns","diet"
"F","Acetate","value","Vehicle","FOS+GOS",5,6,-4.81559905701302,5.96378778987876,0.003,0.003,"**","treatment"
"F","Acetate","value","Vehicle","1472",5,6,7.94929684623127,4.9381947159756,0.000538,0.002,"**","treatment"
"F","Acetate","value","FOS+GOS","1472",6,6,7.64437292059654,5.11573683151084,0.00055,0.002,"**","treatment"
"F","Butyrate","value","Vehicle","FOS+GOS",5,6,-0.903510490182517,7.15314100757218,0.396,0.396,"ns","treatment"
"F","Butyrate","value","Vehicle","1472",5,7,13.5356816324825,6.68904412801248,4.16e-06,1.25e-05,"****","treatment"
"F","Butyrate","value","FOS+GOS","1472",6,7,8.31806911965538,5.81555776502214,0.000193,0.000386,"***","treatment"
"F","IsoButyrate","value","Vehicle","FOS+GOS",5,6,0.418410134435637,8.9065605305412,0.686,0.686,"ns","treatment"
"F","IsoButyrate","value","Vehicle","1472",5,7,11.2643777206995,5.92205284466796,3.2e-05,9.6e-05,"****","treatment"
"F","IsoButyrate","value","FOS+GOS","1472",6,7,8.89921744369709,6.54566833875515,6.82e-05,0.000136,"***","treatment"
"F","IsoValerate","value","Vehicle","FOS+GOS",5,6,0.327191366891017,8.17263749856593,0.752,0.752,"ns","treatment"
"F","IsoValerate","value","Vehicle","1472",5,7,11.0025238404664,8.53062720918355,2.49e-06,7.47e-06,"****","treatment"
"F","IsoValerate","value","FOS+GOS","1472",6,7,7.63680569782646,7.54827619129445,8.29e-05,0.000166,"***","treatment"
"F","Propionate","value","Vehicle","FOS+GOS",5,6,-1.69001693124702,7.38987886084981,0.133,0.133,"ns","treatment"
"F","Propionate","value","Vehicle","1472",5,7,12.2430697577241,5.37417983294742,3.95e-05,0.000118,"***","treatment"
"F","Propionate","value","FOS+GOS","1472",6,7,8.58930624327594,5.46038401557118,0.000226,0.000452,"***","treatment"
"F","Total","value","Vehicle","FOS+GOS",5,6,-3.50185713198481,5.78475340884139,0.014,0.014,"*","treatment"
"F","Total","value","Vehicle","1472",5,7,14.5698068950268,6.75917060280975,2.35e-06,7.05e-06,"****","treatment"
"F","Total","value","FOS+GOS","1472",6,7,8.31275532648193,5.28233626125697,0.000315,0.00063,"***","treatment"
"F","Valerate","value","Vehicle","FOS+GOS",5,6,0.654181669883108,8.46670799345004,0.53,0.53,"ns","treatment"
"F","Valerate","value","Vehicle","1472",5,7,10.2383989757634,8.45679004150482,4.72e-06,1.42e-05,"****","treatment"
"F","Valerate","value","FOS+GOS","1472",6,7,7.18740558878654,7.8724377686451,0.000101,0.000202,"***","treatment"
"M","Acetate","value","Vehicle","FOS+GOS",6,6,-0.926392387663623,9.27855432884513,0.378,0.756,"ns","treatment"
"M","Acetate","value","Vehicle","1472",6,4,0.260699092154885,5.07876760697453,0.805,0.805,"ns","treatment"
"M","Acetate","value","FOS+GOS","1472",6,4,1.35204718737418,5.04447229445816,0.234,0.702,"ns","treatment"
"M","Butyrate","value","Vehicle","FOS+GOS",5,6,-0.750751370458288,5.8621733330027,0.482,0.482,"ns","treatment"
