"module_name","sex","timepoint",".y.","group1","group2","n1","n2","statistic","df","p","p.adj","p.adj.signif","comparison_type"
"p-Cresol synthesis","F","w10","clr_abundance","Control","HFHS",12,12,-0.414140991940123,21.7944871608909,0.683,0.683,"ns","diet"
"p-Cresol synthesis","F","w5","clr_abundance","Control","HFHS",12,12,-5.06312275726674,21.4513899116736,4.86e-05,4.86e-05,"****","diet"
"p-Cresol synthesis","M","w10","clr_abundance","Control","HFHS",12,12,-0.842111544604067,15.1493170364294,0.413,0.413,"ns","diet"
"p-Cresol synthesis","M","w5","clr_abundance","Control","HFHS",12,12,-6.80779645784673,19.8366240932913,1.34e-06,1.34e-06,"****","diet"
"Inositol synthesis","F","w10","clr_abundance","Control","HFHS",12,12,0.965672106260496,20.7026473471182,0.345,0.345,"ns","diet"
"Inositol synthesis","F","w5","clr_abundance","Control","HFHS",12,12,3.34770217345715,17.7543108195208,0.004,0.004,"**","diet"
"Inositol synthesis","M","w10","clr_abundance","Control","HFHS",12,12,0.751937642743319,17.5320432276694,0.462,0.462,"ns","diet"
"Inositol synthesis","M","w5","clr_abundance","Control","HFHS",12,12,2.14482617009869,21.981634880333,0.043,0.043,"*","diet"
"p-Cresol degradation","F","w10","clr_abundance","Control","HFHS",12,12,1.24456503264306,14.4315575448412,0.233,0.233,"ns","diet"
"p-Cresol degradation","F","w5","clr_abundance","Control","HFHS",12,12,0.842764301161979,14.5758279784069,0.413,0.413,"ns","diet"
"p-Cresol degradation","M","w10","clr_abundance","Control","HFHS",12,12,-0.205521269948339,21.350028210159,0.839,0.839,"ns","diet"
"p-Cresol degradation","M","w5","clr_abundance","Control","HFHS",12,12,-1.66452663400864,21.9645775197214,0.11,0.11,"ns","diet"
"Inositol degradation","F","w10","clr_abundance","Control","HFHS",12,12,-2.18688641164821,16.358938969961,0.044,0.044,"*","diet"
"Inositol degradation","F","w5","clr_abundance","Control","HFHS",12,12,-0.370054351743292,19.4600805797493,0.715,0.715,"ns","diet"
"Inositol degradation","M","w10","clr_abundance","Control","HFHS",12,12,-0.506495547421935,18.29550723885,0.619,0.619,"ns","diet"
"Inositol degradation","M","w5","clr_abundance","Control","HFHS",12,12,-0.529805671698024,21.9974902691852,0.602,0.602,"ns","diet"
"g-Hydroxybutyric acid (GHB) degradation","F","w10","clr_abundance","Control","HFHS",12,12,0.246582697730819,21.9817227830476,0.808,0.808,"ns","diet"
"g-Hydroxybutyric acid (GHB) degradation","F","w5","clr_abundance","Control","HFHS",12,12,1.09420529317449,17.2848792621317,0.289,0.289,"ns","diet"
"g-Hydroxybutyric acid (GHB) degradation","M","w10","clr_abundance","Control","HFHS",12,12,-0.221647524823633,18.7029206361381,0.827,0.827,"ns","diet"
"g-Hydroxybutyric acid (GHB) degradation","M","w5","clr_abundance","Control","HFHS",12,12,1.55175144839566,16.112037073591,0.14,0.14,"ns","diet"
"Quinolinic acid degradation","F","w10","clr_abundance","Control","HFHS",12,12,-0.623949408692864,20.5630670322748,0.54,0.54,"ns","diet"
"Quinolinic acid degradation","F","w5","clr_abundance","Control","HFHS",12,12,-0.727182938556954,17.5565730905063,0.477,0.477,"ns","diet"
"Quinolinic acid degradation","M","w10","clr_abundance","Control","HFHS",12,12,0.820541356943567,16.217549790923,0.424,0.424,"ns","diet"
"Quinolinic acid degradation","M","w5","clr_abundance","Control","HFHS",12,12,-0.917910024621473,17.8575671501052,0.371,0.371,"ns","diet"
"Propionate synthesis III","F","w10","clr_abundance","Control","HFHS",12,12,0.0957516167021032,21.9575454915828,0.925,0.925,"ns","diet"
"Propionate synthesis III","F","w5","clr_abundance","Control","HFHS",12,12,-0.841232319297235,21.916549099232,0.409,0.409,"ns","diet"
"Propionate synthesis III","M","w10","clr_abundance","Control","HFHS",12,12,-0.0194523569212915,21.5195145296135,0.985,0.985,"ns","diet"
"Propionate synthesis III","M","w5","clr_abundance","Control","HFHS",12,12,-3.40207625776536,21.7660409160443,0.003,0.003,"**","diet"
"Isovaleric acid synthesis I (KADH pathway)","F","w10","clr_abundance","Control","HFHS",12,12,-0.860707521965342,18.0382781697343,0.401,0.401,"ns","diet"
"Isovaleric acid synthesis I (KADH pathway)","F","w5","clr_abundance","Control","HFHS",12,12,-0.610593337035558,16.8138340041034,0.55,0.55,"ns","diet"
"Isovaleric acid synthesis I (KADH pathway)","M","w10","clr_abundance","Control","HFHS",12,12,0.495994743729433,13.7159546884735,0.628,0.628,"ns","diet"
"Isovaleric acid synthesis I (KADH pathway)","M","w5","clr_abundance","Control","HFHS",12,12,-1.14101403609489,21.865336820886,0.266,0.266,"ns","diet"
"Propionate degradation I","F","w10","clr_abundance","Control","HFHS",12,12,-0.350405175422218,20.7713012228928,0.73,0.73,"ns","diet"
"Propionate degradation I","F","w5","clr_abundance","Control","HFHS",12,12,0.877756327976318,21.6517581649812,0.39,0.39,"ns","diet"
"Propionate degradation I","M","w10","clr_abundance","Control","HFHS",12,12,-0.342990053905115,17.3433422559963,0.736,0.736,"ns","diet"
"Propionate degradation I","M","w5","clr_abundance","Control","HFHS",12,12,1.26501341862791,21.5382873910904,0.219,0.219,"ns","diet"
"Isovaleric acid synthesis II (KADC pathway)","F","w10","clr_abundance","Control","HFHS",12,12,-1.16574962391534,19.879303947611,0.258,0.258,"ns","diet"
"Isovaleric acid synthesis II (KADC pathway)","F","w5","clr_abundance","Control","HFHS",12,12,-2.1363534637805,16.3163883197948,0.048,0.048,"*","diet"
"Isovaleric acid synthesis II (KADC pathway)","M","w10","clr_abundance","Control","HFHS",12,12,0.859931064064905,15.7595566594757,0.403,0.403,"ns","diet"
"Isovaleric acid synthesis II (KADC pathway)","M","w5","clr_abundance","Control","HFHS",12,12,-1.01350545962837,19.1185098567347,0.323,0.323,"ns","diet"
"S-Adenosylmethionine (SAM) synthesis","F","w10","clr_abundance","Control","HFHS",12,12,-1.55397057930675,18.907442419604,0.137,0.137,"ns","diet"
"S-Adenosylmethionine (SAM) synthesis","F","w5","clr_abundance","Control","HFHS",12,12,-2.42422436134508,16.2728575555937,0.027,0.027,"*","diet"
"S-Adenosylmethionine (SAM) synthesis","M","w10","clr_abundance","Control","HFHS",12,12,0.594655055712676,14.5458791746419,0.561,0.561,"ns","diet"
"S-Adenosylmethionine (SAM) synthesis","M","w5","clr_abundance","Control","HFHS",12,12,-2.23808958147768,21.9355589309886,0.036,0.036,"*","diet"
"Butyrate synthesis I","F","w10","clr_abundance","Control","HFHS",12,12,-2.01928834889808,21.9996757246915,0.056,0.056,"ns","diet"
"Butyrate synthesis I","F","w5","clr_abundance","Control","HFHS",12,12,-8.57618341047214,20.1041986610083,3.76e-08,3.76e-08,"****","diet"
