"module_name","sex","timepoint","statistic_diet","p.adj_diet","statistic_treatment_FOSGOS","p.adj_treatment_FOSGOS","statistic_treatment_1472","p.adj_treatment_1472","restoration_FOSGOS","restoration_1472"
"Acetate degradation","F","w10",1.5502187579689,0.136,-3.90325669196121,0.003,-2.0752581486397,0.099,"not restored","not restored"
"Acetate degradation","F","w5",-0.120513465231422,0.905,-1.6289965784909,0.236,-2.66657453628887,0.045,"not restored","not restored"
"Acetate degradation","M","w10",-0.364091648774302,0.72,-0.491484454295805,1,-0.0909085540094643,1,"not restored","not restored"
"Acetate degradation","M","w5",-1.94208690896523,0.065,1.9390570703864,0.195,1.1384656989898,0.534,"not restored","not restored"
"Acetate synthesis I","F","w10",-1.30701135987038,0.206,0.795305725163991,0.438,-1.26604731999686,0.438,"not restored","not restored"
"Acetate synthesis I","F","w5",-1.43610374273494,0.167,3.51625530230175,0.004,-0.965751849999223,0.344,"not restored","not restored"
"Acetate synthesis I","M","w10",-0.330479412013038,0.746,0.91865569325477,0.744,-0.0223716872833387,0.982,"not restored","not restored"
"Acetate synthesis I","M","w5",-2.27927823744493,0.033,2.1940385427694,0.125,0.941894899623269,0.358,"not restored","not restored"
"Acetate synthesis II","F","w10",-0.632044071625887,0.534,-0.334294295026789,0.741,-1.37954861298104,0.543,"not restored","not restored"
"Acetate synthesis II","F","w5",-4.29472751299131,0.000309,5.1475592315427,0.000133,-0.165225140059442,0.87,"restored","not restored"
"Acetate synthesis II","M","w10",-0.390655462110055,0.701,0.544541417358305,1,-0.18794031070863,1,"not restored","not restored"
"Acetate synthesis II","M","w5",-4.07480287860529,0.000506,3.02353451113509,0.018,0.85404038040567,0.402,"restored","not restored"
"Acetate synthesis III","F","w10",-0.632734699010309,0.533,-0.339728434204177,0.737,-1.37853491120239,0.543,"not restored","not restored"
"Acetate synthesis III","F","w5",-4.29355827156128,0.00031,5.14924763525832,0.000132,-0.165418470920475,0.87,"restored","not restored"
"Acetate synthesis III","M","w10",-0.391860227506178,0.7,0.551111823330678,1,-0.185675610516828,1,"not restored","not restored"
"Acetate synthesis III","M","w5",-4.08061458198371,0.000499,3.02727314807717,0.018,0.856073066262658,0.401,"restored","not restored"
"Acetate synthesis IV","F","w10",0.184136134492727,0.856,-1.02600922656088,0.951,-0.59323281090795,1,"not restored","not restored"
"Acetate synthesis IV","F","w5",0.621609113211175,0.543,-1.06784754359124,0.596,-1.72972722028156,0.296,"not restored","not restored"
"Acetate synthesis IV","M","w10",0.225386498933398,0.824,-2.13415008242372,0.131,-0.0480245227972106,0.962,"not restored","not restored"
